Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
NXPH2	4	0.14147	1.0234	0.27485	0.74767	0.30612	0.55509
EPS8L1	4	0.083012	1.5794	0.46234	0.87652	0.11425	0.4735
HIF1AN	4	-0.28354	-1.7857	0.50316	0.89518	0.074143	0.4735
ATP6V0D1	4	-2.5182	-1.8894	0	0	0.058833	0.42556
GOLGA2	4	-0.40781	-1.7243	0.32317	0.78797	0.08465	0.4735
DYRK1B	4	-0.11333	-0.83417	0.86208	0.98674	0.40419	0.63966
HS3ST3B1	4	-0.06122	-0.77402	0.97842	0.99706	0.43892	0.6699
LEAP2	4	0.094428	0.8341	0.4241	0.85387	0.40422	0.63966
DNAJC17	4	-1.25	-2.8616	0.01054	0.12679	0.0042155	0.070655
ASPH	4	-0.040471	-0.2999	0.90996	0.99065	0.76425	0.86095
THEMIS2	4	0.30602	1.4253	0.024661	0.22423	0.15407	0.4735
GHSR	4	0.093437	1.357	0.42719	0.85523	0.17477	0.47494
DCDC2C	4	-0.058421	-0.90067	0.97027	0.99582	0.36776	0.61035
PRELP	4	-0.11665	-1.5217	0.85303	0.98502	0.1281	0.4735
FADD	4	-0.10917	-1.4853	0.87441	0.9887	0.13748	0.4735
ASB9	4	0.05919	0.4689	0.54696	0.91508	0.63914	0.77669
CLCNKA	4	-0.13456	-1.0529	0.80426	0.97744	0.29239	0.54367
ATG4C	4	-0.05619	-0.55879	0.96241	0.99518	0.5763	0.73518
CD81	4	-0.39836	-2.0005	0.33466	0.79988	0.045441	0.3669
NEXN	4	0.17186	1.1265	0.1947	0.64969	0.25997	0.52074
SPP1	4	0.087858	1.0517	0.44628	0.86812	0.29292	0.54418
SPRR1B	4	0.18987	1.3261	0.15487	0.59367	0.1848	0.47683
OR1N2	4	0.2782	1.443	0.041565	0.30673	0.14902	0.4735
C11orf73	4	-0.095765	-0.46336	0.91235	0.99098	0.64311	0.77906
LSM10	4	-1.6366	-3.1665	0.0017402	0.036649	0.0015426	0.034616
RNF145	4	0.125	0.88086	0.32208	0.78655	0.37839	0.6193
KRTAP4-8	4	-0.57067	-1.9805	0.16636	0.61121	0.04765	0.37687
HUNK	4	0.14591	1.3961	0.26326	0.73736	0.1627	0.4735
SLC9B2	4	0.27338	1.6231	0.044399	0.3151	0.10457	0.4735
NUP62CL	4	0.16598	1.0481	0.20947	0.66878	0.2946	0.5458
OR2T29	4	-0.16124	-0.81952	0.73952	0.96825	0.41249	0.64719
OR7G1	4	0.14932	1.5369	0.25247	0.72344	0.12431	0.4735
C4orf26	4	-0.0066453	-0.1227	0.78805	0.97482	0.90235	0.94626
TMED1	4	-0.29553	-1.7532	0.48397	0.88632	0.079564	0.4735
SLC29A1	4	0.21171	1.1286	0.11694	0.51989	0.25905	0.52029
STAR	4	0.1894	1.1796	0.15577	0.59574	0.23815	0.50528
BACE1	4	-0.16871	-1.4518	0.72366	0.96541	0.14656	0.4735
MCM5	4	-2.1367	-3.868	0.00029831	0.011364	0.00010972	0.0058075
CEP295	4	-0.35257	-2.1535	0.39661	0.84096	0.031276	0.29327
POLL	4	0.040469	0.52859	0.61577	0.93948	0.59709	0.74638
UGT8	4	0.10008	0.81597	0.40635	0.84732	0.41452	0.6486
TMEM189	4	-0.0066042	-0.12563	0.7878	0.97482	0.90002	0.94479
FAM214B	4	-0.037467	-0.25779	0.90026	0.98919	0.79657	0.88214
PLEKHG6	4	-0.27173	-1.6823	0.52235	0.9032	0.092506	0.4735
OR1L1	4	0.021582	0.17407	0.68389	0.95694	0.86181	0.92212
C10orf2	4	-2.199	-3.7691	0.0002486	0.010823	0.00016385	0.0076431
ATOX1	4	0.069535	0.60501	0.51022	0.89742	0.54517	0.72545
ERG	4	-0.089459	-0.64973	0.93139	0.99343	0.51587	0.71925
FGF6	4	0.082477	0.64653	0.46398	0.87742	0.51794	0.72028
RAB2A	4	-0.1994	-1.3024	0.65758	0.94949	0.19277	0.47878
C9orf69	4	0.087309	1.2779	0.44797	0.86855	0.20128	0.48322
ALOX5AP	4	0.031949	0.3925	0.64605	0.94706	0.69469	0.81495
LGI3	4	-0.011435	-0.093366	0.8053	0.97744	0.92561	0.95899
ASF1A	4	-0.039629	-0.23275	0.90752	0.99018	0.81596	0.89416
NQO2	4	0.14425	1.487	0.26858	0.7449	0.13701	0.4735
