sgRNA,Gene,Ts13.initial,Ts13.final
6521262,ANGPT2,1468,1131
202437955,PPP1R12B,407,665
46228145,LRRC63,2505,3091
19386330,MFAP4,1044,1006
96320759,DNTT,689,752
37739720,ZNF573,933,1648
127416546,POU5F1B,622,1055
19126234,PLIN2,1378,1983
78657922,ZCCHC5,1085,1732
60090412,MS4A2,1238,1435
103276050,C5orf30,749,1100
154829627,SMIM9,1452,1449
182666878,RGS8,1052,1447
147654261,ACP6,588,459
73701002,NAT8B,1582,1545
98119751,VWA3B,1518,1835
50105617,RBM5,1981,1774
133703022,SARDH,1136,1572
36135461,CBR3,618,636
57198892,HESX1,1859,1628
57114795,IL17RD,992,1343
58179141,AQP9,1425,1537
99876559,OR2AE1,1617,1928
15962903,DERA,515,500
154446638,SAP30L,1819,1961
139716141,HIPK2,2589,2585
23096192,GNAZ,1950,2424
41919225,EHD4,1304,1484
42864734,ACKR2,2553,3471
169482266,BBS5,1913,2156
22314210,ZNF729,2522,3315
60742500,CHD7,465,398
79202378,HMGN3,2173,3408
10749263,TMEM14B,1847,2762
113434173,SDSL,2252,3160
30132522,MBOAT4,1318,1522
90087233,IDH2,1523,1688
31590093,NCR3,1296,905
27399145,PTCHD3,1294,1554
120988894,HNF1A,3202,5545
55279551,HSPBP1,1689,3277
15936285,FGFBP1,1392,1793
48646741,FAM19A5,573,462
156927602,LEKR1,1747,2045
99679443,ENTPD7,981,707
131941564,PUS1,2241,1189
86279755,AGBL1,817,824
170992217,MROH9,996,1896
83014502,B3GNTL1,3371,5241
88842778,GALNS,1425,2079
50078927,HEATR3,962,685
163326444,NPY1R,1034,1144
111500337,ADORA3,3090,3331
3316957,ZNF75A,761,595
24942387,PRTFDC1,1247,1466
77794582,GNAQ,2055,2305
,Non-Targeting_Control-N399,1735,2296
94014710,STX19,1334,1576
38075202,CYP1B1,631,883
12186157,ZNF136,2529,2256
102749727,BHLHB9,804,898
15259094,PMP22,1036,830
113385070,MCC,1466,1569
226223731,MIXL1,860,1063
44264509,GDAP1L1,2957,3639
67149894,B3GNT9,1446,2170
43075529,PSG2,721,1475
38240592,KIAA1755,789,1337
37493108,DYRK1A,643,358
219165194,SLC23A3,1476,1688
49276776,C3orf62,1030,995
62192124,SCGB1D1,534,462
,Non-Targeting_Control-N903,2664,3710
34260499,ASIP,1974,2770
120960777,CT47A6,2509,2980
98127752,POP1,2056,383
54128073,PRPF31,2073,653
69795287,RAB3IP,2821,3627
70255563,NPFFR1,2430,3920
96955036,LCOR,3030,3399
23562346,AP1G2,976,971
143719351,MAPK15,1210,1189
116856232,RAD21,2733,2448
42606524,TNFSF11,1161,1379
43018615,VAT1,2764,1715
72918118,EMX1,1495,2358
,Non-Targeting_Control-N169,3140,3884
154535978,G6PD,2409,1839
66940242,CES2,1708,1745
168267604,DDX60,872,974
226736808,ITPKB,1441,1820
142917744,CYP11B2,2839,3540
45765705,SLC6A20,1280,1098
7703723,OVCH2,3610,4078
24370337,NFATC4,2262,2758
29233576,ALK,1247,1377
24179553,ZFX,791,725
36995489,ALG5,2364,1180
74133863,ISLR2,2040,2135
72128782,NPFFR2,3021,3420
23689289,FAM221A,610,822
87518030,KLHL4,2217,2688
44285965,TCTE1,2359,2961
89443761,SLC16A12,1139,961
165115519,SCN3A,1367,1913
1506985,INPP5K,3492,3523
66062977,CEP112,1698,2194
15003567,CPEB2,963,1070
48722353,PRAC1,2091,1961
188105291,TRIML2,2770,2927
4745468,GALNT8,2619,3899
94589216,PIWIL4,961,1545
9003167,ERI1,765,605
17463069,CAP2,828,833
29307125,OR14J1,1154,1716
96819605,ZNF782,2456,2587
229996806,FBXO36,1984,2593
49165228,MAGIX,1800,1594
37471879,CMTR1,559,198
48412318,LPAR6,2912,3854
675519,SCRT2,1960,2672
185450054,MAP3K13,1530,1693
71349913,SLC4A4,1981,2172
42194655,GUCA1B,1022,1352
37590120,C4orf19,2401,3122
116741090,RNFT2,1862,2454
91937178,FBLN5,1088,909
56664078,OR5AR1,1495,1824
38716859,GTPBP1,861,898
184398929,IRF2,867,1473
43577077,ANO10,1085,1378
52034780,ZNF432,2058,2459
154993695,LENEP,730,1176
27380098,ZNF513,1902,1453
122952995,ZHX2,771,839
122152369,NDUFA8,1409,444
117189214,SIDT2,1332,1844
23803342,SMARCB1,1510,685
54054114,HOXC4,2234,2914
47580964,NDUFS3,1722,931
51978302,ABHD14A,2554,2618
122552504,PARP9,1713,2461
12817243,CAND2,979,1222
54192230,TSEN34,729,690
93259405,EPHA7,3435,4567
171522614,CYBRD1,1877,2834
118754690,CACUL1,2044,3139
31302187,CDH6,2209,2521
110315416,METTL24,1790,2521
12859131,PRAMEF2,1215,1786
9697392,TBL1X,923,850
240030040,OR6B2,2033,2055
54028732,HOXC6,1890,2776
146294048,SLC10A7,890,991
65291400,ADAMTS6,1873,2235
77768672,RSBN1L,2528,3321
64616264,CYP7B1,1295,1627
50482662,RSAD1,2056,2329
204156746,REN,2523,2121
50091390,NRXN1,934,960
72221299,FOLR2,1212,1625
74474562,CD300A,1646,1724
28956807,TRIL,1333,1546
90227287,STEAP2,2742,3848
177458581,DBN1,2059,3215
151132481,ANXA6,594,462
100299765,LONRF2,1317,1413
89210470,EPHA3,1091,1164
56018917,ERC2,742,1231
73912090,C10orf55,2650,2715
152649210,XRCC2,1885,1734
73782750,CD109,926,1107
81931932,SPATA31D4,2484,3298
57415093,CCL17,2528,3136
51009966,KCNG1,2204,2095
10400413,MYH8,2260,2873
47843015,PKD1L1,925,1118
234231689,SLC35F3,1508,1083
56989306,OR5AK2,2660,3226
154329671,GALNT10,530,507
84225009,LRIT2,972,1213
150795499,SMIM3,1815,2006
9041908,SLC2A5,927,1374
247112172,C1orf229,1064,1656
88811610,APRT,2059,1971
165913579,TTC21B,816,711
898135,GAK,2041,1381
119807368,NR1I2,2097,2898
140673971,ADCK2,1997,1828
17311218,NUCB2,2778,4794
87783823,RGPD2,2279,1733
31956708,NELFE,973,949
118902150,BCL9L,422,418
36578876,TGIF2,1741,2584
124790585,C7orf77,655,807
184338507,FAM131A,1033,1453
40032048,MED24,1948,1452
91693133,CATSPERB,1326,1397
70053126,HTN1,1282,1483
69048525,TMF1,1491,1943
33770782,FBXO3,1086,842
46608251,CALM3,1813,2184
47590431,C1QTNF4,2275,2132
45340742,TPT1,1913,305
55105531,GZMA,643,839
110451233,PROK1,1595,1644
84868905,CRISPLD2,2489,3334
184236191,VWA5B2,761,733
76167079,RNF157,853,1051
55331813,GFRAL,854,1076
119147068,C3orf30,2826,2964
4212896,OTOP1,2052,2228
46318131,C21orf58,463,431
73837051,CXCL6,2004,2753
153913853,ARHGAP4,1063,773
94404230,RAD54B,1265,1415
128254558,LEP,1894,2010
42838783,PSME3,1075,1071
109763949,FIG4,2219,2585
136849483,PHPT1,969,1251
248203631,OR2M3,1792,2624
11727894,DNAH9,1847,1593
45892408,CTSA,1516,1859
58155369,OR4D1,1350,1125
135039738,HBS1L,1720,318
71749975,AP1G1,1972,1724
44131588,PARVB,1444,2289
105478345,CRIP2,2200,3176
54999252,BSND,767,1084
33912394,ATP5O,2007,1059
4248374,ADRA1D,754,550
89903875,ARPIN,2866,3511
32439146,DPY19L3,1358,1878
32974096,C19orf40,1220,862
173090934,CREBRF,1457,1779
90954151,CCER1,708,858
174241176,FBXO8,802,996
