sgRNA,Gene,HCT116-Ts3.initial,HCT116-Ts3.final
SHOX_E3_135.13,SHOX,596,614
ELOC_1,ELOC,635,987
ZNF80_E1_411.39,ZNF80,1985,1677
NEK6_PKc_E5_63,NEK6,517,526
RNFT1_1308.81,RNFT1,1317,986
MOZ_e14_210.0,MOZ,1182,1700
KBTBD2_BTB21128_E1_1872.1,KBTBD2,556,444
CYHR1_5,CYHR1,1452,1949
UNCX_E2_135.0,UNCX,2997,2272
ADAM10_2247.58,ADAM10,1404,1353
G2E3_Phd_E8_59.0,G2E3,2683,3391
G2E3_1983.22,G2E3,2683,3391
DMRTA1_E1_141.18,DMRTA1,1936,1721
PWWP2B_PWWP488574_E1_1773.183,PWWP2B,262,404
NR2F2_E1_208.19,NR2F2,2474,1641
HOXA5_E2_177.22,HOXA5,725,824
MYCL_E2_165.1,MYCL,1966,2548
ZNF366_E2_366.43,ZNF366,1648,1481
UHRF1_3,UHRF1,745,66
C17orf49_SANT_E3_98.2,C17orf49,452,291
ZNF253_E4_828.60,ZNF253,1544,1068
ZNF480_E5_1050.16,ZNF480,2021,2618
CREB3L3_E6_92.1,CREB3L3,939,982
DAPK1_PKc_E8_153.1,DAPK1,962,1166
FBXO25_2,FBXO25,806,659
PHRF1_4950.1066,PHRF1,1701,956
RPL9_e3.2,RPL9,6826,699
neg51,neg51,2583,3259
ZNF324B_E4_660.34,ZNF324B,466,309
KALRN_PKc_E58_201,KALRN,1053,1037
CTRB2_792.86,CTRB2,553,551
HERC3_2799.114,HERC3,1673,1967
ACE_3921.52,ACE,1113,1463
KMT2B_ePhd_E21_39.2,KMT2B,1630,1890
ZFHX4_E10_2571.111,ZFHX4,1287,993
MARK4_PKc_E5_66,MARK4,707,544
NEK4_PKc_E5_117.1,NEK4,788,928
RNF103_2058.119,RNF103,682,780
BATF3_E2_90.1,BATF3,1331,1625
ZNF81_E5_1236.33,ZNF81,798,1350
POU2F1_E11_63.5,POU2F1,1338,103
ZNF274_E8_552.10,ZNF274,3090,3351
DPP3_2214.238,DPP3,1416,1234
AFG3L2_2394.2,AFG3L2,2365,485
ZFP92_E4_657.72,ZFP92,1881,2531
RAG1_3132.325,RAG1,2492,2190
DOT1L_e7_63.3,DOT1L,2200,1803
TRIML1_1407.190,TRIML1,467,514
AURKB_PKc_E7_149.8,AURKB,993,1261
ADAM15_2592.452,ADAM15,1059,973
NFIA_E9_166.6,NFIA,3965,3705
ZNF446_E7_69.1,ZNF446,791,812
DEAF1_E11_84.0,DEAF1,1162,702
FOXP3_E12_81.2,FOXP3,291,420
ZFP36_E2_195.2,ZFP36,1195,995
L3MBTL2_MBT511604_E1_2118.243,L3MBTL2,1217,710
RNF31_2766.163,RNF31,682,813
ADAM17_2475.206,ADAM17,1165,932
TINAG_1431.103,TINAG,969,810
MMP26_786.76,MMP26,1047,1314
MPHOSPH8_Chromo_E2_114.0,MPHOSPH8,758,851
PRSS37_708.91,PRSS37,2463,2191
OLIG1_E1_189.1,OLIG1,179,172
EGR3_E2_237.0,EGR3,539,839
NO66_e1_980.160,NO66,895,759
neg98,neg98,2561,3832
KLHL20_BTB59165_E1_1830.206,KLHL20,1159,1043
BCR_PKc_E1_1278.13,BCR,285,382
UBP1_E4_106.7,UBP1,3191,3292
DCAF5_2829.11,DCAF5,497,642
ZHX3_E3_1533.208,ZHX3,1567,1784
CUL3_2325.160,CUL3,1022,831
MAZ_E2_78.2,MAZ,2837,2437
ATG4A_1197.84,ATG4A,1703,1774
CDX4_E2_126.0,CDX4,2031,2424
CUX2_E21_155.5,CUX2,1422,962
USP17L4_1593.42,USP17L4,1407,472
ZNF740_E6_119.3,ZNF740,4819,4031
ZNF287_E6_1158.39,ZNF287,2064,2133
TRIM21_1428.211,TRIM21,795,666
ZIC2_E1_118.10,ZIC2,1191,1558
KLHL3_BTB40147_E1_1764.222,KLHL3,1751,1926
PhIP_BD2_e36_153.1,PhIP,2049,2543
PHIP_5466.213,PHIP,2049,2543
MAP2K5_PKc_E8_56,MAP2K5,799,482
QPCT_1086.28,QPCT,1288,1674
FBXL5_2076.23,FBXL5,1054,1193
ZNF251_E5_1287.133,ZNF251,416,193
MIER1_SANT_E13_57.1,MIER1,1082,988
TRIM11_1407.255,TRIM11,780,628
PAX6_E5_129.5,PAX6,1100,1040
ADAM12_2730.46,ADAM12,1472,1029
SPSB2_792.16,SPSB2,1812,1703
UBE4A_3201.198,UBE4A,963,1222
PDIK1L_PKc_E3_708.64,PDIK1L,287,280
ASH1L_Phd_E20_63.1,ASH1L,1862,1961
DCAF5_2829.51,DCAF5,1864,1504
DNAJC1_E11_449.65,DNAJC1,4073,5223
DNAJC1_SANT2_E11_449.65,DNAJC1,4073,5223
PRCP_1554.87,PRCP,812,785
HNF4G_E2_113.4,HNF4G,1125,977
RFPL1_954.122,RFPL1,604,623
