Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
SLC38A9	4	0.32564	1.4411	0.031225	0.29088	0.14956	0.50807
SLC36A2	4	0.034895	0.21012	0.67532	0.92983	0.83357	0.9086
SPINK13	4	0.34068	1.3494	0.024264	0.25603	0.17721	0.50807
CREBRF	4	0.38123	1.3876	0.011883	0.16597	0.16525	0.50807
CEP120	4	-0.36105	-2.0623	0.25975	0.71926	0.039183	0.44903
SLC25A48	4	0.12105	1.1167	0.37067	0.79535	0.26411	0.54846
TMEM167A	4	0.13629	0.95296	0.32498	0.76578	0.34061	0.60339
MBLAC2	4	0.14854	1.0579	0.29077	0.74326	0.2901	0.5664
TMEM161B	4	-0.19358	-1.203	0.56379	0.8894	0.22899	0.52419
SRFBP1	4	-0.34473	-1.3592	0.28142	0.73634	0.1741	0.50807
PLEKHG4B	4	0.13289	1.2736	0.33453	0.77253	0.20282	0.51192
ZMAT2	4	-0.21598	-0.7475	0.51109	0.86891	0.45476	0.69091
MARVELD2	4	-0.078381	-0.86029	0.90627	0.98222	0.38963	0.64043
C5orf38	4	0.25533	1.4918	0.086217	0.48517	0.13576	0.50807
IRX2	4	0.21659	1.6512	0.14061	0.59122	0.098699	0.50807
BTNL9	4	0.040358	0.35722	0.65468	0.92443	0.72093	0.83651
ARSK	4	0.09605	0.86047	0.45252	0.84011	0.38953	0.64043
FAM81B	4	0.059171	0.45593	0.58174	0.89807	0.64844	0.78924
TTC23L	4	0.27111	1.4905	0.069958	0.44374	0.13609	0.50807
CCDC112	4	0.37845	1.3601	0.012729	0.17297	0.17381	0.50807
FAM71B	4	0.12852	1.5087	0.3486	0.78285	0.13136	0.50807
PRELID2	4	0.22853	1.3726	0.12217	0.5616	0.16988	0.50807
SH3RF2	4	-0.07658	-1.5743	0.91184	0.98248	0.11542	0.50807
PLAC8L1	4	0.07268	0.80328	0.53331	0.87835	0.42181	0.66423
RNF145	4	0.088816	0.55937	0.47718	0.8519	0.57591	0.74795
ZC2HC1B	4	0.30172	1.2684	0.04644	0.36427	0.20467	0.513
SNRNP48	4	-0.58151	-1.4904	0.07861	0.46844	0.13612	0.50807
CNKSR3	4	0.062245	0.54831	0.56931	0.89251	0.58348	0.74998
RAET1L	4	0.047874	0.31362	0.62599	0.9149	0.75381	0.85852
SAMD3	4	0.071225	0.68723	0.53913	0.88169	0.49194	0.71949
SLC2A12	4	0.057801	1.4334	0.58701	0.90102	0.15174	0.50807
MBOAT1	4	0.14022	1.3976	0.31409	0.75975	0.16223	0.50807
HDGFL1	4	0.10793	1.6354	0.41363	0.82175	0.10197	0.50807
PNLDC1	4	0.18961	0.90902	0.19014	0.64726	0.36334	0.61938
RNF217	4	0.0598	0.3694	0.57921	0.89704	0.71183	0.8308
NKAIN2	4	0.3715	1.4012	0.013773	0.18105	0.16116	0.50807
KHDC3L	4	-0.18514	-1.0572	0.58627	0.90056	0.2904	0.56659
C6orf165	4	0.11856	0.71606	0.37853	0.80053	0.47395	0.70575
CCDC167	4	-0.13391	-1.4203	0.72574	0.94442	0.15551	0.50807
RUNDC3B	4	0.31793	1.4487	0.035501	0.31206	0.14741	0.50807
ABCA13	4	0.19742	1.3207	0.17378	0.63087	0.18662	0.50837
C7orf60	4	-0.038384	-0.48559	0.95038	0.9899	0.62726	0.77371
CLEC2L	4	-0.056192	-0.50649	0.98364	0.99748	0.61251	0.76346
C7orf55	4	-0.085761	-0.93978	0.88196	0.97741	0.34733	0.60668
AMOT	4	0.050733	0.63039	0.61466	0.91087	0.52844	0.74005
VKORC1L1	4	-0.69844	-1.8448	0.041667	0.34387	0.065068	0.50807
AMOTL1	4	-0.0075557	-0.079176	0.83711	0.96983	0.93689	0.96687
IQUB	4	0.18188	1.1223	0.20659	0.6648	0.26173	0.54619
C7orf77	4	0.14629	0.83122	0.29704	0.74934	0.40585	0.65244
KCTD7	4	0.24826	1.4132	0.094918	0.50663	0.15758	0.50807
C7orf66	4	0.05644	0.46647	0.59233	0.90262	0.64088	0.78364
TMEM213	4	0.17098	1.5905	0.232	0.69232	0.11173	0.50807
GIMAP8	4	0.27195	1.2484	0.069809	0.4436	0.2119	0.51594
CRYGN	4	-0.077405	-0.54633	0.90931	0.98236	0.58484	0.75009
ZNF425	4	-0.072431	-0.71574	0.92552	0.98566	0.47415	0.70581
