Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
S100G	4	0.092326	0.37544	0.67949	0.95875	0.70733	0.85583
SEZ6	4	0.41425	0.95964	0.18442	0.76721	0.33724	0.70148
CCDC157	4	-0.65718	-1.3982	0.18198	0.76473	0.16205	0.69021
MXD3	4	-0.44042	-1.0498	0.37087	0.87099	0.29379	0.69235
ZFP14	4	0.69803	1.2515	0.025557	0.36978	0.21074	0.69021
ELMO2	4	-0.10103	-0.33137	0.92159	0.99276	0.74036	0.87353
SNAPC3	4	0.29873	0.62356	0.32264	0.85455	0.53292	0.78866
CFB	4	0.092648	0.43295	0.67895	0.95875	0.66505	0.83429
GABRG1	4	0.38364	1.3697	0.21465	0.79057	0.17077	0.69021
GSTA3	4	-0.26043	-1.1115	0.6253	0.94784	0.26636	0.69021
LIMS2	4	0.092315	0.34499	0.67954	0.95875	0.7301	0.86802
IGF2BP3	4	-0.29398	-0.78614	0.5707	0.93441	0.43179	0.74483
SPAG8	4	0.43883	1.2847	0.15886	0.74199	0.19891	0.69021
PKD2L2	4	0.51508	1.1354	0.099543	0.64249	0.25622	0.69021
TAS2R31	4	0.6939	1.2166	0.026402	0.3758	0.22376	0.69021
BST1	4	-0.4232	-2.063	0.39096	0.88082	0.039111	0.46592
PDCL	4	0.88789	1.1166	0.0036297	0.14455	0.26417	0.69021
ZNF576	4	-0.72631	-1.2877	0.14499	0.72375	0.19784	0.69021
MED12L	4	0.42649	0.96172	0.17174	0.75729	0.33619	0.70141
LYVE1	4	0.024312	0.13008	0.81608	0.97967	0.8965	0.95243
TERF2	4	-2.1701	-3.4017	0.00014916	0.020979	0.00066979	0.072612
NDC80	4	-1.4034	-2.6067	0.0090493	0.22441	0.0091407	0.24173
PNRC2	4	-0.80027	-1.9723	0.11088	0.67097	0.048573	0.50836
TMEM18	4	-0.19759	-0.77078	0.73702	0.96907	0.44084	0.74847
PCYOX1L	4	0.36814	0.85977	0.232	0.79942	0.38991	0.72543
COMMD9	4	-0.77529	-2.1249	0.12122	0.68731	0.033594	0.43247
FARP1	4	0.24199	0.81998	0.40523	0.8852	0.41223	0.73666
XCL1	4	-0.14563	-0.51207	0.83487	0.98216	0.6086	0.81336
CASC4	4	-0.47213	-1.4415	0.33378	0.85811	0.14945	0.69021
GPR150	4	-0.026334	-0.068114	0.92432	0.99276	0.94569	0.97443
JMJD1C	4	-0.45548	-1.4661	0.35238	0.86606	0.14263	0.69021
ARHGAP19	4	-0.67317	-1.3082	0.17273	0.75733	0.19079	0.69021
SNAPC2	4	-0.40665	-1.1173	0.411	0.88807	0.26385	0.69021
GAREM	4	0.05615	0.41979	0.75144	0.97101	0.67464	0.83912
CHRNA9	4	-0.70045	-2.3515	0.15936	0.74224	0.018697	0.33387
CUL3	4	-1.0578	-1.7905	0.03933	0.44513	0.073373	0.5966
CUX2	4	0.16406	1.4411	0.5438	0.93168	0.14955	0.69021
RITA1	4	-0.28488	-0.73761	0.58542	0.9375	0.46075	0.75676
GBAS	4	0.59205	1.236	0.059169	0.52285	0.21646	0.69021
PAWR	4	-0.037132	-0.2928	0.94655	0.99524	0.76967	0.88976
C9orf85	4	0.12731	1.2876	0.61386	0.94692	0.1979	0.69021
INSM1	4	0.64774	1.2892	0.038733	0.44337	0.19732	0.69021
ADH5	4	-0.53698	-1.8287	0.27282	0.82326	0.067444	0.57904
KRT9	4	-0.23279	-0.85015	0.67293	0.95708	0.39524	0.72761
PNCK	4	0.043118	0.19548	0.77715	0.97336	0.84502	0.92677
ADORA3	4	0.38821	0.94001	0.20992	0.78659	0.34721	0.70477
RRM2	4	-1.9689	-3.3824	0.0006961	0.06087	0.00071847	0.07339
PPM1K	4	0.32806	1.4466	0.28157	0.83055	0.148	0.69021
ADCY10	4	0.17534	1.1708	0.52307	0.92743	0.24167	0.69021
HNRNPF	4	-1.1698	-2.641	0.024811	0.36854	0.0082665	0.23091
PGGT1B	4	-1.0182	-1.8017	0.046589	0.47984	0.071589	0.5921
GADD45B	4	0.32798	1.0938	0.28167	0.83055	0.27406	0.69021
NASP	4	-0.26741	-0.72619	0.61341	0.94682	0.46772	0.75978
MRPL13	4	-0.614	-1.3958	0.21201	0.78843	0.16276	0.69021
KAT5	4	-1.6914	-3.0728	0.0027347	0.12821	0.0021208	0.12075
C8orf82	4	-0.3627	-0.88034	0.46674	0.91182	0.37868	0.72026
AKR1A1	4	0.40653	1.2719	0.19178	0.77481	0.2034	0.69021
LYZL1	4	0.51895	1.3563	0.096311	0.63074	0.175	0.69021
COA6	4	-2.1424	-3.6467	0.00019889	0.026316	0.00026564	0.042054
RAB8B	4	-0.19181	-1.7605	0.74687	0.97047	0.078315	0.61287
SCML2	4	0.067941	0.63029	0.72822	0.96833	0.5285	0.78628
ARL13A	4	0.21329	0.74511	0.4557	0.90782	0.45621	0.75502
HECTD2	4	-0.5745	-1.4315	0.24085	0.80292	0.15228	0.69021
EFHD2	4	-0.37791	-1.0038	0.44715	0.9042	0.31545	0.69725
RARRES3	4	-0.33609	-1.7657	0.50651	0.92393	0.077452	0.61039
AZIN1	4	0.20615	0.9523	0.46723	0.91224	0.34095	0.70353
RNASE7	4	-0.30406	-0.77988	0.55504	0.93441	0.43546	0.74631
MT2A	4	-0.66394	-1.4168	0.17795	0.7603	0.15654	0.69021
SNUPN	4	-0.4169	-1.2305	0.39941	0.88343	0.2185	0.69021
LOC100507462	4	-2.0579	-2.7491	0.00039777	0.044693	0.0059754	0.20096
NUMB	4	-0.38751	-1.5839	0.43402	0.90036	0.11322	0.69021
HIST1H4L	4	0.20962	0.84907	0.46132	0.9098	0.39584	0.72772
OR2J2	4	0.251	1.3036	0.39111	0.88082	0.19239	0.69021
IL33	4	0.25679	0.66661	0.38077	0.87373	0.50502	0.7764
LDB1	4	0.39218	0.9247	0.20605	0.78351	0.35512	0.70977
LAMA3	4	0.35691	0.91487	0.24493	0.80503	0.36026	0.71236
CXorf36	4	0.019604	0.18093	0.82602	0.98082	0.85642	0.93243
REXO4	4	-0.33731	-0.79603	0.50447	0.92352	0.42601	0.74225
CRY2	4	-0.1174	-0.49694	0.88937	0.98758	0.61923	0.81682
WNK3	4	-0.29213	-0.7339	0.57374	0.93487	0.46301	0.75731
HAS1	4	0.23954	1.5855	0.40931	0.88711	0.11285	0.69021
CAB39L	4	-0.28938	-0.71511	0.57791	0.93498	0.47454	0.76368
CTSW	4	0.066189	0.27743	0.73121	0.96846	0.78145	0.89547
RBL1	4	0.46235	1.123	0.13862	0.71469	0.26144	0.69021
KLHL2	4	0.3093	0.84227	0.30857	0.84579	0.39964	0.73015
FBXL14	4	-0.21558	-1.0915	0.70416	0.96457	0.27505	0.69021
PLA2G2D	4	0.51941	0.9663	0.096012	0.63043	0.33389	0.70076
ETV2	4	0.27159	0.83662	0.35998	0.86988	0.4028	0.73208
WDR82	4	-0.92274	-2.0103	0.068566	0.5583	0.044402	0.49311
SGPL1	4	0.2099	1.374	0.46072	0.90959	0.16944	0.69021
RPS6KC1	4	-0.17036	-0.53839	0.78575	0.97423	0.5903	0.8074
CD163L1	4	0.027444	0.071032	0.81006	0.97844	0.94337	0.97333
CCDC169	4	-0.2091	-0.83306	0.71559	0.96604	0.40481	0.73271
CARD6	4	0.63146	1.2263	0.044103	0.46611	0.22009	0.69021
AKAP1	4	0.57824	1.066	0.064638	0.54371	0.28644	0.69111
FBXO15	4	-0.58348	-1.9361	0.23344	0.8001	0.052852	0.52298
MAN2A1	4	0.31152	0.81208	0.30564	0.84579	0.41674	0.73731
HIST1H4C	4	0.29602	1.2105	0.32612	0.8564	0.22609	0.69021
PRAMEF7	4	0.15207	0.46236	0.56628	0.93441	0.64382	0.82526
GUCY1A2	4	0.5045	1.3016	0.1068	0.66125	0.19304	0.69021
CLN3	4	-0.27919	-1.842	0.59437	0.94119	0.065476	0.57196
KCTD1	4	0.41505	0.85537	0.18337	0.76651	0.39235	0.72618
ARIH1	4	-1.4832	-3.1863	0.0062649	0.18722	0.0014411	0.099257
ARR3	4	0.39898	1.0517	0.19894	0.7802	0.29295	0.69235
FEZ1	4	-0.20202	-0.83726	0.72837	0.9684	0.40245	0.73176
TERT	4	-0.20889	-1.8847	0.71599	0.96631	0.059468	0.54893
SEC31A	4	0.63126	1.2788	0.044252	0.4667	0.20095	0.69021
SUV39H2	4	0.85724	1.112	0.005171	0.17627	0.26614	0.69021
TOP3A	4	-0.68888	-1.7545	0.16493	0.75161	0.079343	0.6147
JDP2	4	0.026663	0.073715	0.81175	0.97903	0.94124	0.97301
PRAMEF8	4	-0.2245	-0.89856	0.68785	0.96136	0.36889	0.7171
GJA1	4	0.038144	0.11877	0.78769	0.9743	0.90546	0.95659
PRR14	4	0.010021	0.13646	0.84636	0.98399	0.89145	0.95001
NPAT	4	-0.49398	-1.0038	0.3128	0.8466	0.31547	0.69725
AKIP1	4	-0.085203	-0.16604	0.95475	0.99644	0.86812	0.93869
ADARB1	4	-0.171	-1.2158	0.78466	0.97408	0.22404	0.69021
SGCG	4	0.52855	1.2941	0.090692	0.61456	0.19564	0.69021
TTF2	4	-0.83947	-2.399	0.095416	0.62868	0.016441	0.31545
