Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
KRTAP12-1	4	0.11696	1.5034	0.26435	0.72289	0.13273	0.43501
TEX14	4	0.09092	1.3129	0.3593	0.81665	0.18921	0.44392
CSH2	4	-0.089012	-0.84221	0.90819	0.99291	0.39967	0.60374
TEC	4	0.022626	0.22829	0.64185	0.94664	0.81942	0.89872
PPIAL4G	4	-0.76852	-1.876	0.026785	0.20645	0.060656	0.40301
PCSK2	4	0.14478	1.4109	0.18247	0.61756	0.15828	0.43526
ITGAD	4	-0.13388	-1.8904	0.7718	0.97858	0.058698	0.39762
SLC25A6	4	0.074828	1.528	0.42307	0.8601	0.12651	0.43501
KAZALD1	4	0.055968	0.52963	0.50092	0.89982	0.59637	0.75047
CSNK2A1	4	-0.15982	-1.772	0.70186	0.96641	0.076395	0.43501
ZCCHC9	4	-1.0033	-2.7447	0.0052315	0.05963	0.0060571	0.08845
KLRC4-KLRK1	4	0.01907	0.26023	0.65786	0.9515	0.79469	0.88255
CABP4	4	-0.0036636	-0.090188	0.75857	0.97644	0.92814	0.96197
EFNA3	4	-0.47283	-2.1454	0.15203	0.5683	0.031921	0.27735
DPM1	4	-0.41351	-2.0117	0.21313	0.65997	0.044253	0.34047
ZNF598	4	-0.080064	-0.84477	0.9401	0.99425	0.39824	0.60285
DEFB115	4	-0.047994	-0.89505	0.94104	0.99425	0.37076	0.58096
IRS4	4	0.043258	0.41683	0.55375	0.918	0.67681	0.80557
MAPK3	4	0.012779	0.2341	0.68637	0.96159	0.81491	0.89593
SOWAHD	4	0.23102	1.6143	0.039759	0.26979	0.10647	0.43501
PAN2	4	-0.097905	-1.0752	0.88036	0.98839	0.28227	0.51032
GAGE2A	4	-0.28123	-1.0218	0.42762	0.86224	0.30686	0.5308
KRTAP5-9	4	-0.38791	-1.4122	0.24598	0.70548	0.1579	0.43526
PRKX	4	0.30395	1.3935	0.0061732	0.068248	0.16346	0.43526
BBOX1	4	-0.11983	-1.2521	0.81303	0.98347	0.21055	0.45724
PSG7	4	-0.12979	-1.0492	0.78357	0.98024	0.29408	0.51994
