Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
FAM169B	4	0.14607	1.1364	0.22275	0.80706	0.2558	0.60714
PARP10	4	-0.021612	-0.3516	0.93909	0.99437	0.72514	0.85604
C8orf4	4	0.15888	1.4741	0.18849	0.76785	0.14046	0.58307
CDC42BPG	4	-0.076182	-0.8872	0.81285	0.98446	0.37497	0.68343
XYLT2	4	-0.32722	-1.9691	0.19053	0.77041	0.048945	0.58307
MLNR	4	-0.030565	-0.25951	0.9825	0.99818	0.79524	0.89657
CENPT	4	-0.36884	-1.5868	0.14683	0.71839	0.11255	0.58307
IL1R1	4	0.041564	0.35458	0.62933	0.96393	0.72291	0.85459
VPS35	4	-0.34244	-1.8198	0.17358	0.754	0.068788	0.58307
STK17A	4	-0.39985	-1.4456	0.12281	0.68455	0.1483	0.58307
TMEM61	4	-0.10057	-1.0824	0.71634	0.97784	0.27909	0.62039
ASNSD1	4	0.10305	1.5408	0.36476	0.89192	0.12336	0.58307
CYB561	4	-0.23795	-1.6275	0.32771	0.87718	0.10364	0.58307
SYPL1	4	-0.064181	-0.52415	0.86525	0.99062	0.60017	0.7774
IGDCC3	4	0.03911	0.43308	0.64126	0.96439	0.66496	0.81701
VANGL1	4	-0.052708	-0.34472	0.91513	0.99261	0.7303	0.85857
CCND3	4	0.022745	0.14409	0.72216	0.97844	0.88543	0.94383
SRPRB	4	-0.28716	-2.0663	0.24393	0.82116	0.038796	0.58307
SLITRK6	4	0.088134	1.3239	0.42159	0.91462	0.18555	0.58382
GNB3	4	-0.033723	-0.61943	0.99647	0.9989	0.53563	0.7481
PAQR6	4	-0.19399	-1.3119	0.42502	0.91661	0.18956	0.5845
OVCH2	4	-0.0019914	-0.018013	0.84706	0.98923	0.98563	0.99245
SLC25A24	4	-0.14868	-1.4951	0.54987	0.956	0.13489	0.58307
CHAC2	4	0.050235	1.0677	0.5889	0.96138	0.28564	0.62508
KPTN	4	-0.22886	-1.1242	0.34686	0.8851	0.26092	0.60939
ETNK1	4	0.046806	0.47582	0.60521	0.96315	0.6342	0.79899
ZNF358	4	0.060376	1.0246	0.54177	0.95278	0.30555	0.63463
ZNF84	4	-0.0041244	-0.028773	0.85635	0.98974	0.97705	0.98855
RAD23B	4	-0.25172	-1.7514	0.30156	0.86089	0.079879	0.58307
HAL	4	0.078428	0.81465	0.46221	0.93159	0.41527	0.70801
RAP1GDS1	4	0.13398	1.4033	0.2583	0.832	0.16053	0.58307
PRR23A	4	0.24508	1.4035	0.049175	0.46	0.16047	0.58307
ZNF408	4	0.049799	0.47496	0.59119	0.96175	0.63482	0.79921
C10orf76	4	0.15794	0.89138	0.19038	0.77027	0.37273	0.68235
WLS	4	0.10458	1.4025	0.35839	0.88779	0.16078	0.58307
TAPT1	4	0.13105	1.0383	0.26755	0.83855	0.29911	0.63079
GABRA2	4	0.0082803	0.048584	0.79545	0.98347	0.96125	0.98017
PHC3	4	-0.0706	-0.69501	0.83731	0.98712	0.48705	0.74686
DNASE2	4	-0.33108	-1.8457	0.18581	0.76461	0.064937	0.58307
OCSTAMP	4	0.064173	0.88827	0.52496	0.94893	0.3744	0.6831
GSG1	4	-0.043198	-0.76167	0.95928	0.99611	0.44626	0.72773
ADGRA3	4	0.02688	0.28546	0.70182	0.97591	0.77529	0.88503
ISOC1	4	-0.018744	-0.24198	0.92437	0.99381	0.8088	0.90389
POLE4	4	-0.37853	-1.5868	0.13867	0.70477	0.11255	0.58307
GPI	4	-1.0827	-3.0442	0.00094471	0.042601	0.0023327	0.36927
TOB1	4	-0.014627	-0.24511	0.90374	0.99113	0.80637	0.90284
C22orf42	4	-0.12359	-1.0473	0.63226	0.96398	0.29496	0.62933
UBE2L6	4	-0.038094	-0.73697	0.98215	0.99818	0.46114	0.73612
PCP4L1	4	0.27178	1.356	0.029634	0.35817	0.17511	0.58307
FAM111B	4	0.041282	0.61067	0.63072	0.96398	0.54142	0.74942
FBXW10	4	0.04024	0.76973	0.63549	0.96424	0.44146	0.72455
AVPR1B	4	0.06102	0.90402	0.53903	0.95221	0.36598	0.6774
RPRM	4	0.083837	0.52255	0.43949	0.92526	0.60129	0.77824
ZNF253	4	0.23705	1.6282	0.056036	0.48767	0.10349	0.58307
CYP2F1	4	0.02614	0.28909	0.7059	0.97601	0.77251	0.88321
TCEAL8	4	0.078125	0.4648	0.4637	0.93223	0.64207	0.80358
NEO1	4	-0.011181	-0.078192	0.88823	0.99062	0.93768	0.96969
PRR14L	4	0.06818	0.52532	0.50602	0.94357	0.59936	0.77705
FOXM1	4	-0.43317	-1.8661	0.099294	0.63296	0.062034	0.58307
ZNF71	4	-0.063212	-0.71833	0.86948	0.99062	0.47256	0.74174
IRF2BP2	4	-0.12701	-1.2747	0.61988	0.96355	0.20243	0.58558
SEC13	4	-0.82612	-1.8375	0.0063146	0.14679	0.066134	0.58307
GABPB2	4	-0.041881	-0.30995	0.96524	0.99611	0.7566	0.87423
SLC26A9	4	0.10142	1.1342	0.37142	0.89558	0.25672	0.60761
UBTD2	4	0.10517	0.96536	0.35695	0.88748	0.33437	0.65437
LAPTM5	4	-0.030373	-0.2738	0.9816	0.99818	0.78423	0.89053
AGO2	4	0.064381	1.3536	0.52407	0.94893	0.17588	0.58307
PTX3	4	-0.018082	-0.23433	0.92059	0.99351	0.81473	0.9077
MOGAT3	4	0.071273	0.63132	0.49279	0.9383	0.52783	0.74753
PRR15	4	0.011032	0.1782	0.78197	0.98347	0.85857	0.92926
C16orf96	4	-0.079821	-1.0756	0.79748	0.98347	0.28213	0.62203
PABPC3	4	-0.059085	-0.64426	0.88649	0.99062	0.51941	0.74753
XIRP2	4	-0.077516	-0.58735	0.80708	0.98434	0.55697	0.75538
GAD2	4	0.032524	0.37805	0.67492	0.96889	0.7054	0.84375
TMEM33	4	-0.03727	-0.62156	0.98653	0.99854	0.53423	0.7481
SPAG9	4	-0.42069	-1.7352	0.1077	0.65104	0.0827	0.58307
NDUFB9	4	-0.47851	-1.4153	0.074781	0.554	0.15697	0.58307
SLC39A6	4	0.18427	1.5511	0.13315	0.69631	0.12088	0.58307
TMEM5	4	-0.0025438	-0.023821	0.84969	0.98923	0.981	0.9907
PCDHGA2	4	-0.015556	-0.25561	0.90806	0.99164	0.79825	0.8985
CPB1	4	0.056252	0.74155	0.56185	0.95665	0.45836	0.73484
CST3	4	0.25036	1.5506	0.045147	0.44261	0.121	0.58307
HDHD1	4	0.18322	1.4859	0.13574	0.70023	0.13731	0.58307
ADRA1A	4	0.19086	1.2984	0.12087	0.67943	0.19415	0.58512
BOD1	4	0.29804	1.3426	0.017751	0.27454	0.17941	0.58307
RAB38	4	-0.014037	-0.53396	0.9014	0.99113	0.59337	0.77347
SIGIRR	4	-0.011594	-0.19549	0.88982	0.99062	0.84501	0.92203
ZDHHC24	4	0.20859	1.5077	0.090444	0.60352	0.13163	0.58307
ZFP69	4	0.092123	0.50315	0.40618	0.91044	0.61486	0.78689
NXPE3	4	-0.13417	-1.1871	0.59601	0.96217	0.2352	0.59853
C11orf87	4	0.1549	1.5263	0.19874	0.78342	0.12693	0.58307
RTEL1	4	-0.51665	-1.6565	0.058771	0.5017	0.097624	0.58307
GNB1L	4	-0.55144	-1.9698	0.045943	0.44466	0.048857	0.58307
UBXN2B	4	-0.18626	-1.4492	0.4457	0.92805	0.14728	0.58307
PLEKHA5	4	0.029258	0.55938	0.69038	0.97224	0.5759	0.76392
FFAR2	4	0.17504	1.0738	0.1522	0.72693	0.28293	0.62269
SUPT4H1	4	-1.578	-2.7357	4.9722e-05	0.0063291	0.0062243	0.45602
COMMD10	4	0.16723	0.84978	0.1695	0.74869	0.39544	0.69593
USP39	4	-1.2251	-2.8658	0.00044749	0.031579	0.0041596	0.41114
ZNF280B	4	-0.077343	-0.43264	0.80753	0.98434	0.66528	0.8173
GPR85	4	0.094827	0.97793	0.39608	0.90543	0.32811	0.65
SHMT1	4	0.13111	0.36609	0.26745	0.83837	0.7143	0.8501
HOXD9	4	-0.092544	-0.62662	0.74831	0.98173	0.53091	0.74797
NT5E	4	0.19582	1.4594	0.11172	0.65773	0.14445	0.58307
SLC2A6	4	-0.092506	-0.80955	0.74841	0.98173	0.4182	0.70955
DDX50	4	0.096572	1.1162	0.38887	0.90281	0.26432	0.61113
FASTK	4	-0.053484	-0.71236	0.91204	0.99261	0.47624	0.74342
RPS26	4	-1.7828	-2.6423	0	0	0.0082355	0.48289
RECQL	4	-0.12083	-0.96076	0.64121	0.96439	0.33667	0.65656
YTHDF2	4	-0.29622	-1.3713	0.23145	0.81438	0.17029	0.58307
NTNG1	4	0.19943	1.6472	0.10551	0.64342	0.099523	0.58307
CTRC	4	-0.32872	-1.8267	0.18879	0.76785	0.067743	0.58307
FAM181B	4	0.2392	1.6201	0.054246	0.48317	0.10521	0.58307
ARL4D	4	-0.31825	-1.9519	0.20167	0.78681	0.05095	0.58307
TCL1A	4	0.11223	1.5775	0.33	0.87884	0.11468	0.58307
SGPP1	4	0.061754	0.67339	0.53545	0.95034	0.5007	0.74686
NTPCR	4	-0.27994	-1.1359	0.25467	0.8284	0.25601	0.60714
PHKA1	4	0.08845	0.57394	0.42064	0.91462	0.56601	0.75876
KCNJ18	4	0.20386	1.025	0.098449	0.62957	0.30534	0.63453
SIK1	4	0.01405	0.075856	0.76735	0.9827	0.93953	0.97038
BMP6	4	0.0016011	0.039763	0.82836	0.98516	0.96828	0.98434
TMEM251	4	-0.14315	-1.4409	0.56623	0.95708	0.14963	0.58307
NR5A1	4	0.081031	0.87921	0.45097	0.92805	0.37929	0.68581
F2RL1	4	-0.17489	-1.8148	0.4736	0.93315	0.069558	0.58307
TMPRSS11E	4	0.020461	0.24831	0.73464	0.98072	0.8039	0.90189
PLVAP	4	-0.18799	-1.4824	0.44128	0.92651	0.13825	0.58307
TUBA1B	4	-2.224	-3.9101	0	0	9.2259e-05	0.19403
CTTNBP2	4	-0.24843	-1.4454	0.30753	0.86395	0.14834	0.58307
ATP5J	4	0.10991	0.60496	0.3384	0.88271	0.54521	0.75087
PITX3	4	0.021792	0.22433	0.72768	0.98018	0.8225	0.91097
LYPD5	4	0.099711	1.1148	0.37744	0.89813	0.26492	0.61127
ZAN	4	-0.30189	-1.3723	0.22226	0.80613	0.16997	0.58307
KRT24	4	-0.10417	-0.66931	0.70237	0.97591	0.5033	0.74686
MRPS23	4	-1.0359	-2.3212	0.0011933	0.04908	0.020278	0.58307
KLF15	4	0.11226	1.339	0.32995	0.87882	0.18057	0.58382
PLEKHG4B	4	0.12146	1.3002	0.29898	0.859	0.19352	0.58512
GJA8	4	0.10424	0.72143	0.35974	0.8892	0.47064	0.74042
LIPT1	4	-0.02718	-0.22881	0.96554	0.99611	0.81902	0.90996
MB21D1	4	-0.040171	-1.4431	0.97355	0.9972	0.149	0.58307
AXIN1	4	0.047732	1.3576	0.60054	0.96295	0.17459	0.58307
MTMR3	4	-0.18513	-1.4887	0.44859	0.92805	0.13657	0.58307
OR10H2	4	-0.077778	-1.2508	0.80599	0.98409	0.21099	0.58595
AMFR	4	0.16124	1.1753	0.18337	0.76434	0.23988	0.60084
OPN1MW2	4	-0.13851	-1.0517	0.58164	0.96086	0.29295	0.62793
SPNS2	4	-0.12612	-0.92612	0.62281	0.96355	0.35438	0.67012
USHBP1	4	-0.01664	-0.44118	0.91358	0.99261	0.65908	0.81382
ABI3	4	-0.032881	-0.32579	0.99304	0.9989	0.74458	0.86727
TM4SF18	4	-0.11671	-1.2298	0.65608	0.96723	0.21877	0.59019
TMEM109	4	-0.010328	-0.12304	0.8841	0.99062	0.90208	0.95142
RABGGTB	4	-0.55877	-1.7443	0.043954	0.43676	0.081105	0.58307
NBEA	4	-0.13049	-1.1586	0.60879	0.96315	0.24662	0.6024
PIGQ	4	-0.26299	-1.1511	0.28137	0.84868	0.24968	0.60412
MAF1	4	-0.15093	-1.5236	0.54286	0.95304	0.12761	0.58307
TP53INP1	4	0.059796	0.82553	0.54425	0.95373	0.40907	0.70442
CYP1A2	4	-0.089041	-0.79466	0.76119	0.98248	0.42681	0.71474
ZP3	4	-0.099039	-1.3493	0.72216	0.97844	0.17725	0.58307
PCDH12	4	0.0044874	0.04536	0.81335	0.98459	0.96382	0.98178
BAZ2B	4	-0.1079	-1.8479	0.68914	0.97224	0.064623	0.58307
RPS3A	4	-1.2355	-2.7224	0.00044749	0.031579	0.0064804	0.45692
HSP90AB1	4	-0.42825	-1.2845	0.10223	0.63653	0.19898	0.58558
SH2D7	4	0.025174	0.20721	0.70987	0.97674	0.83584	0.91695
TAF1D	4	-0.3426	-1.4399	0.17348	0.754	0.14989	0.58307
OR11L1	4	0.11727	1.568	0.31255	0.86702	0.11687	0.58307
PEX3	4	0.11278	0.93283	0.32796	0.87718	0.35091	0.66756
PLXNA4	4	0.12196	0.63874	0.29679	0.85737	0.52299	0.74753
DOK3	4	0.072266	1.3799	0.48817	0.93692	0.16762	0.58307
SLC10A5	4	0.054904	0.78452	0.56782	0.95736	0.43273	0.71925
TGM4	4	-0.13379	-1.4341	0.59691	0.96217	0.15156	0.58307
AHNAK	4	0.018764	0.28521	0.74339	0.98072	0.77548	0.88506
SCN7A	4	-0.12751	-1.2291	0.61854	0.96355	0.21905	0.59047
CD48	4	0.10965	1.3252	0.3388	0.88276	0.18511	0.58382
MORN1	4	-0.12453	-1.0452	0.62918	0.96393	0.29593	0.62965
ZNF142	4	0.086146	0.79066	0.4289	0.91746	0.42914	0.71649
DEFB103A	4	-0.094845	-1.6073	0.73941	0.98072	0.10798	0.58307
NBPF4	4	-0.427	-1.8916	0.10302	0.63793	0.058549	0.58307
LAIR2	4	-0.13573	-0.95383	0.59039	0.96163	0.34017	0.65993
C1QTNF6	4	0.060835	0.4538	0.53993	0.95221	0.64997	0.80827
BHMT	4	0.019253	0.24929	0.7413	0.98072	0.80314	0.90189
RPP14	4	-0.035185	-0.42436	0.99622	0.9989	0.6713	0.82159
SLCO3A1	4	0.13306	1.1983	0.26069	0.83344	0.23078	0.597
SDHC	4	-0.66911	-2.2214	0.020535	0.29749	0.026321	0.58307
ERF	4	-0.29099	-1.9149	0.23851	0.81804	0.055501	0.58307
ATP12A	4	-0.0045489	-0.067958	0.85814	0.98974	0.94582	0.97308
CTPS2	4	0.098681	1.0311	0.38131	0.89939	0.3025	0.63274
FAM73A	4	0.014452	0.16972	0.76541	0.9827	0.86523	0.93257
CSPG4	4	0.0023281	0.027573	0.82513	0.98511	0.978	0.98907
OR13D1	4	0.070945	1.452	0.49403	0.93877	0.1465	0.58307
BMI1	4	0.15603	0.85689	0.19575	0.77791	0.39151	0.69356
ACSM5	4	0.082554	1.1887	0.44431	0.92716	0.23456	0.59814
C9orf66	4	0.11249	1.0648	0.32911	0.87774	0.28696	0.62569
TRAK2	4	-0.026491	-0.48022	0.96246	0.99611	0.63107	0.7973
EFTUD1	4	-0.10328	-0.90376	0.70565	0.97593	0.36612	0.67753
PSMA3	4	-0.92141	-2.2696	0.0029336	0.091331	0.023233	0.58307
PRSS37	4	0.025976	0.49713	0.70674	0.97624	0.6191	0.78941
KCNK2	4	0.02638	0.96882	0.7047	0.97591	0.33264	0.653
FAM46A	4	0.23913	1.4072	0.054395	0.48332	0.15937	0.58307
SLC25A14	4	-0.0086289	-0.50821	0.87629	0.99062	0.61131	0.78414
ARRDC3	4	0.44353	1.4594	0.00044749	0.031579	0.14446	0.58307
OR7C2	4	0.025798	0.30942	0.70749	0.97642	0.757	0.87457
TIPIN	4	-0.37839	-2.0452	0.13877	0.70477	0.040839	0.58307
C9orf172	4	0.2516	1.4948	0.044053	0.4371	0.13496	0.58307
PIK3CB	4	-0.65012	-2.169	0.02327	0.31558	0.030079	0.58307
BRICD5	4	-0.080165	-0.62135	0.79624	0.98347	0.53437	0.7481
SORBS2	4	-0.099867	-0.82194	0.71873	0.97784	0.41111	0.70554
ITIH2	4	0.0050707	0.046034	0.80986	0.98434	0.96328	0.98134
MUC20	4	-0.16878	-1.2449	0.49085	0.93824	0.21318	0.58701
CXCL17	4	-0.11066	-0.80498	0.67915	0.97027	0.42083	0.711
HORMAD2	4	-0.088669	-0.49941	0.76288	0.9827	0.61749	0.78844
PLEKHB1	4	0.14908	0.72307	0.2146	0.80015	0.46964	0.73988
KCNJ8	4	0.081018	1.3663	0.45102	0.92805	0.17184	0.58307
HDAC5	4	0.084236	1.0559	0.43755	0.92418	0.29103	0.62791
LRFN3	4	0.091957	0.70468	0.40662	0.91059	0.48101	0.74553
NKX2-4	4	0.080581	0.45249	0.45271	0.92805	0.65092	0.80847
TPD52L1	4	0.090349	1.1163	0.41329	0.9128	0.2643	0.61113
COQ7	4	0.0032727	0.021857	0.81946	0.98477	0.98256	0.99114
CREB1	4	0.045039	0.52895	0.61252	0.96355	0.59684	0.77516
TRAPPC13	4	-0.13772	-0.94118	0.58388	0.96086	0.34661	0.66486
USP17L24	4	-0.22214	-1.3859	0.36068	0.88984	0.16577	0.58307
TEX38	4	-0.095061	-1.5885	0.73861	0.98072	0.11216	0.58307
OR2T29	4	-0.3935	-1.8149	0.12768	0.69231	0.069538	0.58307
CEBPZ	4	-1.0536	-2.3202	0.0010442	0.045064	0.020331	0.58307
ZNF384	4	-0.28534	-1.6725	0.24662	0.82146	0.094422	0.58307
SNX13	4	0.056744	0.62957	0.55932	0.95665	0.52897	0.74753
DNTT	4	-0.034462	-0.62432	0.99945	0.99975	0.53242	0.7481
CCDC8	4	0.11091	0.75966	0.33492	0.88181	0.44746	0.72839
B3GNTL1	4	0.067192	1.3752	0.51034	0.94442	0.16907	0.58307
TMEM127	4	-0.20939	-1.5609	0.38778	0.90281	0.11855	0.58307
ACSM2B	4	0.40164	1.337	0.0014916	0.056075	0.18121	0.58382
PDE6B	4	0.13375	1.6415	0.2588	0.832	0.1007	0.58307
TPRX1	4	0.054136	0.7272	0.5711	0.9579	0.4671	0.73878
KLK4	4	-0.072645	-0.51373	0.82737	0.98514	0.60744	0.78172
SEMA6B	4	-0.58715	-1.9415	0.036148	0.39425	0.052195	0.58307
SQSTM1	4	-0.026448	-0.22092	0.96236	0.99611	0.82516	0.91134
APEX2	4	-0.32661	-1.273	0.19103	0.77118	0.20301	0.58558
SPANXC	4	-0.16878	-1.2848	0.49085	0.93824	0.19886	0.58558
KCNS2	4	0.006775	0.057025	0.80226	0.98347	0.95453	0.97702
TCEANC	4	0.1025	0.81695	0.36729	0.89312	0.41396	0.70741
CMC2	4	0.03456	0.46366	0.66408	0.96867	0.64289	0.80408
MICU2	4	0.11432	1.1443	0.3222	0.87273	0.2525	0.60524
LAGE3	4	-0.55849	-1.6385	0.043954	0.43676	0.10131	0.58307
KLHL30	4	0.22049	1.4114	0.074284	0.55313	0.15813	0.58307
ACSF2	4	-0.05323	-0.53708	0.91279	0.99261	0.59121	0.77241
EDDM3A	4	0.076078	0.91619	0.47191	0.93315	0.35957	0.67339
OSR1	4	0.16519	1.3014	0.17447	0.75544	0.19311	0.58512
PLCL2	4	0.30008	1.5834	0.016856	0.26651	0.11332	0.58307
DRC7	4	-0.25489	-1.2382	0.2954	0.85694	0.21565	0.58879
CCDC66	4	-0.059118	-0.63265	0.88634	0.99062	0.52696	0.74753
SORL1	4	0.16617	1.5138	0.17229	0.75266	0.13007	0.58307
GPD1	4	0.10117	1.5441	0.37212	0.89586	0.12257	0.58307
PPP2R2C	4	0.23032	1.273	0.063296	0.51727	0.20301	0.58558
ARHGEF5	4	-0.42085	-2.2623	0.10755	0.65104	0.023679	0.58307
EPOR	4	-0.52885	-1.9352	0.053948	0.48137	0.052962	0.58307
TMEM70	4	0.28462	1.3431	0.022772	0.31114	0.17925	0.58307
ZNF620	4	0.11758	1.4067	0.31165	0.86669	0.15951	0.58307
CLIC1	4	0.072648	0.85733	0.48638	0.93617	0.39126	0.6933
TRIT1	4	-0.58485	-1.8185	0.036844	0.39817	0.068981	0.58307
CLCN7	4	0.035684	0.53464	0.65936	0.96804	0.5929	0.77331
SLC35A3	4	-0.10113	-0.91612	0.7141	0.97784	0.35961	0.67339
NKAIN3	4	-0.057225	-0.8418	0.89444	0.99062	0.3999	0.6987
NKAIN4	4	-0.0017011	-0.016837	0.84522	0.98923	0.98657	0.99288
SLC13A5	4	0.17232	1.3801	0.15846	0.73838	0.16757	0.58307
F12	4	0.24191	1.6238	0.051661	0.47292	0.10442	0.58307
MBD3L5	4	-0.82735	-2.2142	0.0061655	0.14486	0.026817	0.58307
MICAL3	4	-0.36552	-1.9987	0.15006	0.7237	0.045645	0.58307
C1orf100	4	-0.056003	-0.83288	0.89991	0.99113	0.40491	0.70171
A3GALT2	4	0.10293	1.2684	0.36511	0.89192	0.20466	0.58585
ZNF133	4	-0.060275	-0.37649	0.88156	0.99062	0.70655	0.84474
C3orf67	4	-0.0092632	-0.066423	0.87957	0.99062	0.94704	0.97363
ATP5G2	4	-0.18277	-0.94306	0.45326	0.9285	0.34565	0.66423
CLDN34	4	0.13961	1.6035	0.24105	0.81966	0.10883	0.58307
EIF4EBP2	4	-0.036168	-1.2612	0.99165	0.9989	0.20723	0.58595
NAIF1	4	-0.0098989	-0.11264	0.88231	0.99062	0.91032	0.95575
PIK3C2G	4	0.16027	1.0446	0.18531	0.76461	0.29621	0.62965
CCKAR	4	-0.001306	-0.014453	0.84308	0.98892	0.98847	0.99381
HOOK3	4	0.24212	1.3675	0.051512	0.47241	0.17147	0.58307
USPL1	4	-0.82158	-2.6228	0.0063644	0.14679	0.0087209	0.49587
EHBP1L1	4	-0.085029	-0.92833	0.77819	0.98347	0.35324	0.66932
ZNF292	4	0.076906	0.83847	0.46912	0.93231	0.40176	0.69983
GJA4	4	-0.0073564	-0.1413	0.87057	0.99062	0.88763	0.94488
TYW1B	4	-0.071351	-0.60972	0.83383	0.98647	0.54205	0.74965
TSSC1	4	-0.059622	-0.90789	0.8843	0.99062	0.36394	0.67624
ALPPL2	4	0.16825	1.4786	0.16721	0.74816	0.13926	0.58307
THRSP	4	0.011931	0.21473	0.77715	0.98347	0.82998	0.91385
HAMP	4	-0.048394	-0.51412	0.93611	0.9943	0.60717	0.78159
ACTR10	4	-0.58936	-2.1013	0.035601	0.3904	0.035615	0.58307
HSPA8	4	-0.46105	-2.3141	0.083284	0.57719	0.02066	0.58307
CDH18	4	0.12514	1.2792	0.28699	0.85296	0.20082	0.58558
KRTAP10-6	4	-0.020895	-0.1706	0.93491	0.9943	0.86454	0.93236
USP15	4	0.025759	0.15563	0.70764	0.97642	0.87633	0.93863
SAMD11	4	0.14999	1.1676	0.21231	0.79836	0.24295	0.60126
INSRR	4	0.15057	1.1705	0.21047	0.79688	0.24178	0.60126
SEC61B	4	-0.6715	-1.963	0.020088	0.29425	0.049647	0.58307
DCLK2	4	0.22355	1.4703	0.070406	0.54005	0.14147	0.58307
TFAP4	4	0.20278	1.4728	0.10039	0.63371	0.1408	0.58307
OAZ3	4	0.039432	0.62886	0.63927	0.96425	0.52944	0.74753
CDCA7	4	0.31133	1.0113	0.013723	0.23834	0.31185	0.63964
TIMELESS	4	-1.168	-3.1234	0.00054694	0.033133	0.0017876	0.36927
GRID2IP	4	-0.017296	-0.44517	0.91642	0.99284	0.6562	0.81235
TRHDE	4	0.15148	1.5482	0.20799	0.79477	0.12156	0.58307
KIAA1549L	4	-0.09233	-1.5761	0.74896	0.98173	0.11501	0.58307
COL13A1	4	-0.1345	-0.85275	0.59497	0.96217	0.3938	0.69506
LRP11	4	0.16952	1.3634	0.16438	0.74392	0.17277	0.58307
C1QBP	4	-1.0643	-2.8335	0.00094471	0.042601	0.0046045	0.41816
SLC38A1	4	-0.080525	-0.80543	0.7943	0.98347	0.42057	0.71096
PPAPDC3	4	-0.097623	-0.65401	0.72862	0.9802	0.51311	0.74753
SCFD2	4	0.097535	1.2006	0.38624	0.90281	0.22992	0.597
RAET1E	4	0.25728	1.542	0.039529	0.41307	0.12308	0.58307
SEMA4D	4	-0.11402	-1.713	0.66721	0.9688	0.086714	0.58307
KIF7	4	0.053313	0.51264	0.57473	0.95981	0.6082	0.78211
ZNF367	4	-0.21903	-1.9629	0.36734	0.89312	0.049663	0.58307
FGGY	4	0.22025	1.2272	0.074732	0.554	0.21974	0.59141
SLC38A6	4	-0.12931	-0.80326	0.61257	0.96355	0.42182	0.71131
TMEM183A	4	-0.29598	-1.9683	0.23175	0.81443	0.049034	0.58307
PPP1R14D	4	-0.034473	-0.24206	0.99935	0.99975	0.80874	0.90389
CA3	4	0.046347	0.5033	0.6068	0.96315	0.61476	0.78689
C17orf107	4	-0.0059419	-0.077657	0.86386	0.99062	0.9381	0.96982
CNBP	4	-0.12838	-1.1189	0.6153	0.96355	0.26318	0.61048
MAGOH	4	-0.18553	-1.0951	0.44715	0.92805	0.27348	0.61705
THTPA	4	0.065296	0.98574	0.51974	0.94893	0.32426	0.64749
WBP4	4	-0.057245	-0.39646	0.89424	0.99062	0.69176	0.83545
C5orf46	4	0.066346	0.72181	0.51422	0.94603	0.47041	0.74035
CREB3L3	4	0.12402	1.3631	0.29057	0.85539	0.17285	0.58307
TRIM24	4	0.086529	0.98982	0.4278	0.91684	0.32226	0.6465
MYL1	4	0.15797	0.92052	0.19033	0.77027	0.3573	0.67245
LPO	4	-0.1402	-0.87615	0.57578	0.95988	0.38095	0.68677
GPR148	4	-0.11093	-1.5633	0.67815	0.96999	0.11798	0.58307
S1PR1	4	-0.10844	-1.5365	0.687	0.97152	0.12442	0.58307
PLEKHA8	4	0.2878	1.5373	0.02143	0.30098	0.12422	0.58307
ZNF331	4	-0.080464	-1.8728	0.79465	0.98347	0.061098	0.58307
CARNS1	4	0.075907	1.1371	0.47245	0.93315	0.25549	0.60714
LPCAT1	4	0.10467	1.2992	0.35824	0.88766	0.19386	0.58512
VPS25	4	-1.8841	-2.7228	0	0	0.006473	0.45692
GUSB	4	-0.073815	-0.54693	0.8214	0.98511	0.58443	0.76768
MEP1A	4	0.037283	0.7493	0.65031	0.966	0.45367	0.73254
NOL10	4	-1.6232	-3.3263	4.9722e-05	0.0063291	0.00088007	0.34261
PPM1M	4	0.055676	0.44252	0.56364	0.95665	0.65812	0.81322
LELP1	4	0.26872	1.5815	0.031325	0.36729	0.11377	0.58307
SSSCA1	4	0.11859	1.0202	0.30807	0.86459	0.30763	0.63635
SLC25A22	4	-0.21272	-1.7669	0.38077	0.89904	0.077246	0.58307
STBD1	4	0.17956	1.1055	0.14305	0.71088	0.26895	0.61445
STAC2	4	0.053351	1.0064	0.57453	0.95972	0.31425	0.64113
HOXC6	4	-0.017138	-0.59765	0.91562	0.99267	0.55007	0.75244
ZNF776	4	0.01773	0.15771	0.74901	0.98173	0.87468	0.93817
ADCK1	4	0.1289	1.3102	0.27411	0.84532	0.19011	0.58485
C16orf89	4	0.034353	1.173	0.66577	0.9688	0.24078	0.60125
WDR33	4	-0.49499	-1.4903	0.067472	0.5307	0.13613	0.58307
LIN54	4	-0.26477	-1.9067	0.27834	0.8481	0.056564	0.58307
RAD21L1	4	0.18389	1.0894	0.13435	0.69763	0.27599	0.61839
DCTN3	4	0.12287	0.92904	0.29405	0.85694	0.35287	0.66924
DACT3	4	0.011997	0.17796	0.77705	0.98347	0.85875	0.92941
PRKCI	4	0.29169	1.3707	0.020137	0.29455	0.17048	0.58307
GRINA	4	-0.033015	-0.32893	0.99339	0.9989	0.74221	0.8658
CLIP3	4	-0.054709	-0.48276	0.90573	0.99113	0.62927	0.79612
DDX23	4	-1.5812	-3.405	4.9722e-05	0.0063291	0.00066169	0.33562
CGB5	4	-0.56119	-2.1965	0.043357	0.43362	0.028059	0.58307
ARHGEF19	4	0.023662	0.14825	0.71768	0.97784	0.88214	0.9418
ARRDC5	4	-0.14512	-1.0499	0.56041	0.95665	0.29376	0.62839
