Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
LRP1B	4	-0.036486	-0.40371	0.9904	0.9989	0.68643	0.83215
RBM6	4	-0.02919	-0.50302	0.97608	0.99781	0.61495	0.78696
WNT5A	4	-0.062998	-0.36267	0.87067	0.99062	0.71685	0.85187
RASGRP1	4	-0.053229	-0.87423	0.91279	0.99261	0.38199	0.6873
ZNF117	4	0.49165	1.3886	0.00014916	0.014354	0.16496	0.58307
NKIRAS1	4	0.11468	0.98431	0.321	0.87244	0.32496	0.6479
SUGP1	4	-0.32866	-1.1047	0.18879	0.76785	0.26929	0.61448
MMP25	4	-0.014188	-0.26186	0.90185	0.99113	0.79343	0.89576
TEKT1	4	-0.1035	-1.5699	0.70485	0.97591	0.11645	0.58307
KLF11	4	-0.12831	-1.6579	0.6157	0.96355	0.097333	0.58307
PMS1	4	0.25705	0.74986	0.039578	0.41307	0.45334	0.73228
C17orf50	4	-0.043715	-0.31328	0.95694	0.99611	0.75407	0.87281
IL18	4	-0.22058	-1.5668	0.36401	0.89096	0.11716	0.58307
JAK1	4	-0.016599	-0.16717	0.91334	0.99261	0.86723	0.93388
GLI3	4	-0.19694	-1.5568	0.41766	0.91452	0.11951	0.58307
BARHL1	4	-0.14633	-1.846	0.55638	0.95665	0.064893	0.58307
PLK4	4	-0.4738	-1.9763	0.077019	0.55977	0.048126	0.58307
NGFR	4	0.048473	0.34322	0.59696	0.96217	0.73143	0.85894
NCOR2	4	0.095811	0.68746	0.39166	0.90409	0.4918	0.74686
CREBZF	4	-0.21667	-1.6026	0.37182	0.89578	0.10903	0.58307
BSX	4	0.25299	1.6102	0.043009	0.43293	0.10735	0.58307
CDK11A	4	0.073841	0.75157	0.48101	0.93509	0.45231	0.73149
EGR4	4	-0.035002	-0.55707	0.99712	0.9991	0.57748	0.76449
C9orf114	4	-0.42999	-1.274	0.10103	0.63381	0.20265	0.58558
NDUFAF7	4	-0.67634	-1.886	0.019441	0.28963	0.059299	0.58307
