Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
GNG2	4	0.11634	0.97301	0.33466	0.80468	0.33055	0.54972
CIDEB	4	-0.25504	-1.6836	0.55224	0.92857	0.092252	0.4508
SYNGAP1	4	-0.056657	-0.78244	0.95255	0.99668	0.43395	0.63492
VPREB1	4	0.06884	0.57887	0.49657	0.90083	0.56268	0.73117
SP140	4	0.032693	0.27369	0.63207	0.95676	0.78433	0.88051
CD300LG	4	-0.33215	-1.97	0.42558	0.86057	0.048835	0.36084
ABCC10	4	-0.12107	-0.56072	0.85331	0.99041	0.57499	0.74033
DLG5	4	-0.44157	-1.9689	0.28397	0.76056	0.04897	0.36155
NIPA1	4	0.19569	1.3828	0.13775	0.56405	0.16672	0.4508
POLH	4	-0.11856	-1.6329	0.86021	0.99126	0.10249	0.4508
LTBP1	4	0.040364	0.47186	0.60272	0.94726	0.63703	0.7853
PRKACG	4	-0.22483	-1.9565	0.61041	0.9488	0.050404	0.3676
PEX7	4	-0.066498	-0.64597	0.98383	0.99846	0.5183	0.69705
EHBP1	4	0.082632	1.4367	0.44755	0.87656	0.15081	0.4508
IL31	4	-0.088377	-0.53612	0.94706	0.99659	0.59187	0.75284
NELL2	4	-0.032186	-0.16338	0.86885	0.99261	0.87022	0.93138
C10orf128	4	-0.027325	-0.33218	0.85137	0.99041	0.73976	0.852
SPG7	4	0.010765	0.11733	0.71331	0.97245	0.9066	0.95155
IL31RA	4	-0.030974	-0.34282	0.86414	0.99226	0.73174	0.84668
SCRG1	4	0.26116	1.4602	0.05242	0.33955	0.14424	0.4508
LRRC74A	4	-0.060959	-1.4027	0.96636	0.99699	0.16069	0.4508
TAS2R7	4	-0.054364	-0.64638	0.94455	0.99608	0.51803	0.69692
ANAPC16	4	0.064968	0.94626	0.51154	0.90954	0.34402	0.56116
CCDC40	4	-0.23098	-1.7977	0.5977	0.94562	0.072223	0.44409
TMEM253	4	-0.08826	-0.5534	0.94737	0.99664	0.57999	0.74428
RTP4	4	-0.044579	-0.67168	0.91352	0.99426	0.50178	0.68487
GLRA1	4	0.054815	1.047	0.55009	0.92788	0.29508	0.52062
KIAA1033	4	-0.46594	-1.909	0.25734	0.73444	0.056262	0.38994
PAK1	4	0.1677	1.4351	0.19723	0.65986	0.15125	0.4508
ADGRE5	4	-0.23371	-1.9841	0.59226	0.94413	0.04724	0.35384
ABCB8	4	0.13892	1.0167	0.26848	0.74648	0.30928	0.53145
ZNF398	4	0.024718	0.32106	0.66063	0.96096	0.74817	0.85742
CC2D1B	4	0.13217	1.3176	0.28805	0.7625	0.18763	0.4559
ZBTB7A	4	-0.27065	-1.8717	0.52582	0.91667	0.061251	0.40966
HIST1H2BE	4	-0.22299	-0.68639	0.61376	0.95027	0.49247	0.6787
SLCO1B7	4	0.21689	1.4212	0.1016	0.48453	0.15525	0.4508
SSX4	4	-0.11566	-0.7222	0.86895	0.99261	0.47017	0.66313
POMZP3	4	-0.5647	-1.9768	0.17295	0.62811	0.048061	0.35716
LOC286238	4	0.00056363	0.0049845	0.74978	0.97737	0.99602	0.99862
CDH11	4	0.018816	0.19704	0.68224	0.96595	0.84379	0.9158
ACBD3	4	0.34683	1.3292	0.010672	0.12282	0.18378	0.45459
RWDD1	4	0.0077276	0.078462	0.72467	0.9746	0.93746	0.96806
CGB	4	-0.66975	-2.5124	0.1118	0.50736	0.01199	0.14451
COPS6	4	-2.0599	-3.45	0.00031389	0.011173	0.00056057	0.016717
SMPX	4	0.044912	0.35736	0.58603	0.94174	0.72082	0.84041
NCR1	4	0.0014203	0.010432	0.74669	0.97737	0.99168	0.99632
EYA1	4	0.21813	1.4446	0.099555	0.47995	0.14858	0.4508
