Gene	sgRNA	Cont|beta	Cont|z	Cont|p-value	Cont|fdr	Cont|wald-p-value	Cont|wald-fdr
SETD1A	4	-0.48971	-1.7704	0.010839	0.31457	0.076654	0.52186
SETD1B	4	0.021646	0.57978	0.62411	0.91359	0.56206	0.73722
SETD2	4	-0.38307	-1.1401	0.032518	0.46219	0.25425	0.55717
SETD3	4	-0.12994	-1.7067	0.40727	0.83303	0.087879	0.52186
SETD4	4	0.093972	1.2066	0.18213	0.69087	0.22759	0.54389
SETD5	4	-0.010471	-0.12763	0.87117	0.97659	0.89844	0.94707
SETD6	4	-0.018144	-0.19306	0.92721	0.98913	0.84691	0.91743
SETD7	4	-0.027761	-0.95562	0.9999	0.99995	0.33926	0.61934
SETD8	4	-0.044397	-0.29371	0.88181	0.97856	0.76898	0.87035
SETD9	4	0.01289	0.20847	0.68805	0.93073	0.83486	0.90987
SETDB1	4	-0.16388	-1.1524	0.29112	0.76938	0.24916	0.55376
SETDB2	4	0.050273	0.71694	0.4188	0.84167	0.47341	0.71937
SETMAR	4	0.024461	0.49871	0.60272	0.90856	0.61798	0.77298
SETSIP	4	-0.028252	-0.19467	0.99652	0.99955	0.84565	0.91647
SETX	4	-0.0041186	-0.061058	0.8208	0.96425	0.95131	0.97537
SEZ6	4	-0.13805	-1.0149	0.37674	0.81936	0.31017	0.59639
SEZ6L	4	-0.057133	-0.3872	0.79415	0.9566	0.69861	0.82713
SEZ6L2	4	0.064611	1.511	0.32612	0.79142	0.1308	0.52186
SF1	4	-0.43899	-2.0205	0.018198	0.38105	0.043329	0.52186
SF3A1	4	-0.21262	-1.3818	0.178	0.68795	0.16703	0.52186
SF3A2	4	-0.47289	-1.7185	0.013176	0.3419	0.08571	0.52186
SF3A3	4	-0.17602	-1.5434	0.2593	0.74742	0.12272	0.52186
SF3B1	4	-0.35382	-1.8848	0.043854	0.50283	0.059463	0.52186
SF3B2	4	-0.40842	-1.7838	0.024513	0.41339	0.074455	0.52186
SF3B3	4	-0.37279	-2.102	0.036197	0.4731	0.035555	0.52186
SF3B4	4	-0.46847	-1.6426	0.013624	0.34198	0.10046	0.52186
SF3B5	4	-0.8163	-2.2761	0.00029833	0.042857	0.022839	0.52186
SF3B6	4	0.091064	1.5675	0.19317	0.69843	0.11701	0.52186
SFI1	4	0.014402	0.58094	0.67686	0.92732	0.56128	0.73668
SFMBT1	4	-0.12598	-1.4014	0.42358	0.84381	0.16109	0.52186
SFMBT2	4	0.092895	0.79839	0.18695	0.69401	0.42464	0.68548
SFN	4	-0.1574	-1.7909	0.3119	0.78448	0.073308	0.52186
SFPQ	4	-0.81023	-2.4008	0.00034805	0.04698	0.016361	0.52186
SFR1	4	-0.37029	-1.7998	0.037291	0.47865	0.071893	0.52186
SFRP1	4	0.079943	1.6441	0.24309	0.73505	0.10016	0.52186
SFRP2	4	0.064282	1.2803	0.32806	0.79255	0.20043	0.52889
SFRP4	4	0.089147	1.5192	0.20083	0.70317	0.12871	0.52186
SFRP5	4	-0.0090133	-0.12648	0.85904	0.97423	0.89935	0.94744
SFSWAP	4	-0.1386	-1.1413	0.3748	0.81816	0.25377	0.55665
SFT2D1	4	0.19119	1.5689	0.0090493	0.28173	0.11667	0.52186
SFT2D2	4	-0.1307	-1.2429	0.40389	0.83056	0.2139	0.536
SFT2D3	4	-0.20698	-1.7489	0.1883	0.69461	0.080316	0.52186
SFTA2	4	-0.09412	-1.4074	0.57195	0.89761	0.15931	0.52186
SFTA3	4	0.070613	0.69395	0.29331	0.77101	0.48771	0.71937
SFTPA1	4	0.12402	1.416	0.086963	0.60179	0.15676	0.52186
SFTPA2	4	0.0038794	0.12432	0.7583	0.94913	0.90106	0.94826
SFTPB	4	-0.028743	-0.44244	0.99324	0.9993	0.65817	0.79963
SFTPC	4	-0.0022755	-0.060114	0.80539	0.96017	0.95207	0.97552
SFTPD	4	0.1157	1.1215	0.10675	0.6225	0.26209	0.56098
SFXN1	4	-0.058491	-0.78416	0.78466	0.95454	0.43294	0.69199
SFXN2	4	-0.12164	-1.3339	0.44083	0.85095	0.18224	0.52383
SFXN3	4	0.19072	1.5135	0.0093477	0.2879	0.13016	0.52186
SFXN4	4	-0.0056788	-0.10056	0.83204	0.96757	0.9199	0.95833
SFXN5	4	-0.037887	-0.39622	0.92989	0.98958	0.69194	0.82311
SGCA	4	-0.27513	-1.6528	0.093725	0.60514	0.098375	0.52186
SGCB	4	0.11445	1.5513	0.11048	0.62843	0.12083	0.52186
SGCD	4	0.0064332	0.16551	0.73817	0.94371	0.86854	0.93029
SGCE	4	0.040607	1.0243	0.48429	0.8683	0.30572	0.59287
SGCG	4	-0.17314	-1.8079	0.26651	0.75375	0.070617	0.52186
SGCZ	4	0.1112	1.5852	0.12013	0.63275	0.11292	0.52186
SGIP1	4	0.053971	1.0098	0.39379	0.82799	0.31257	0.598
SGK1	4	0.058104	0.72463	0.3669	0.81484	0.46868	0.71785
SGK2	4	0.061112	1.1252	0.3482	0.8046	0.26048	0.56016
SGK223	4	0.29223	1.3702	0	0	0.17063	0.52186
SGK3	4	0.13794	1.5335	0.057379	0.54052	0.12516	0.52186
SGK494	4	-0.25701	-1.3068	0.11376	0.62899	0.19127	0.52591
SGMS1	4	-0.043982	-0.42854	0.8844	0.97873	0.66826	0.8073
SGMS2	4	0.12272	1.4998	0.090145	0.60331	0.13366	0.52186
SGOL2	4	0.11407	1.2533	0.11153	0.62899	0.21008	0.53458
SGPL1	4	0.12804	1.5619	0.077367	0.58742	0.11832	0.52186
SGPP1	4	-0.23119	-1.55	0.14643	0.66076	0.12113	0.52186
SGPP2	4	0.035051	0.74036	0.52431	0.88029	0.45908	0.71128
SGSH	4	-0.048561	-0.79162	0.85223	0.97254	0.42858	0.68897
SGSM1	4	-0.056696	-0.56367	0.79743	0.95812	0.57298	0.7439
SGSM2	4	-0.18256	-1.8062	0.24254	0.73505	0.070885	0.52186
SGSM3	4	0.0079845	0.11327	0.72593	0.94007	0.90982	0.95288
SGTA	4	-0.090118	-0.73506	0.59382	0.90587	0.4623	0.71324
SGTB	4	-0.069066	-0.86717	0.71843	0.93853	0.38585	0.65551
SH2B1	4	0.081543	1.5825	0.23533	0.73108	0.11354	0.52186
SH2B2	4	0.060573	0.76684	0.35158	0.80618	0.44318	0.6996
SH2B3	4	-0.024959	-0.53606	0.97996	0.99809	0.59192	0.75673
SH2D1A	4	0.030189	0.65694	0.5618	0.89468	0.51122	0.71937
SH2D1B	4	0.073129	1.1612	0.27889	0.76137	0.24556	0.55332
SH2D2A	4	-0.18295	-1.6332	0.2415	0.73413	0.10242	0.52186
SH2D3A	4	0.063985	0.97193	0.3298	0.79333	0.33108	0.61335
SH2D3C	4	-0.040032	-0.70137	0.91304	0.98538	0.48307	0.71937
SH2D4A	4	-0.019714	-0.22141	0.93929	0.99129	0.82478	0.9036
SH2D4B	4	-0.022376	-0.54382	0.96062	0.99562	0.58657	0.75333
SH2D5	4	-0.019177	-0.20306	0.93501	0.99053	0.83909	0.91235
SH2D6	4	0.0006644	0.012357	0.78331	0.95454	0.99014	0.99574
SH2D7	4	0.06872	1.305	0.30415	0.7792	0.19191	0.52591
SH3BGR	4	-0.040486	-0.54951	0.90961	0.9845	0.58266	0.7506
SH3BGRL	4	0.037646	1.1666	0.50527	0.87475	0.24339	0.55164
SH3BGRL2	4	0.070879	1.0713	0.29241	0.7705	0.28405	0.57551
SH3BGRL3	4	-0.0072156	-0.32834	0.84432	0.97034	0.74265	0.85394
SH3BP1	4	-0.23496	-1.516	0.14121	0.65688	0.12952	0.52186
SH3BP2	4	0.086534	1.1876	0.21236	0.71443	0.23497	0.54767
SH3BP4	4	0.020106	1.4845	0.63435	0.91548	0.13769	0.52186
SH3BP5	4	-0.027231	-0.81249	0.99582	0.99955	0.41651	0.67939
SH3BP5L	4	-0.040817	-1.0143	0.90627	0.98354	0.31045	0.59641
SH3D19	4	-0.026434	-0.22191	0.99055	0.999	0.82438	0.90349
SH3D21	4	-0.020697	-0.50185	0.94744	0.99272	0.61577	0.77171
SH3GL1	4	-0.42636	-2.0942	0.020237	0.3891	0.036239	0.52186
SH3GL2	4	0.15415	1.0137	0.034606	0.4731	0.31073	0.59649
SH3GL3	4	0.23858	1.2687	0.00099443	0.088496	0.20453	0.53135
SH3GLB1	4	0.03077	0.26466	0.55693	0.89329	0.79127	0.88333
SH3GLB2	4	0.038696	0.59117	0.49826	0.87258	0.55441	0.7315
SH3KBP1	4	0.095193	1.647	0.17671	0.68678	0.099551	0.52186
SH3PXD2A	4	0.053159	0.82679	0.39852	0.82861	0.40836	0.6738
SH3PXD2B	4	0.12798	1.7376	0.077516	0.58742	0.082273	0.52186
SH3RF1	4	-0.070224	-1.3373	0.71127	0.93744	0.18113	0.5234
SH3RF2	4	0.08735	0.9657	0.20848	0.7096	0.33419	0.61505
SH3RF3	4	-0.019331	-0.77628	0.93631	0.99053	0.43758	0.69548
SH3TC1	4	0.059117	1.385	0.36068	0.81059	0.16605	0.52186
SH3TC2	4	0.096718	1.0657	0.17054	0.68191	0.28655	0.57759
SH3YL1	4	0.036992	0.57442	0.51009	0.87744	0.56568	0.73958
SHANK1	4	0.010054	0.65536	0.71047	0.93744	0.51224	0.71937
SHANK2	4	-0.077947	-1.8617	0.66269	0.92376	0.062642	0.52186
SHANK3	4	-0.14675	-1.5473	0.34492	0.80427	0.1218	0.52186
SHARPIN	4	-0.25295	-1.9818	0.11764	0.63211	0.047503	0.52186
SHB	4	-0.076455	-0.97757	0.67179	0.92716	0.32829	0.61115
SHBG	4	-0.10106	-0.86978	0.5364	0.88513	0.38442	0.65432
SHC1	4	-0.068771	-0.85407	0.72017	0.93853	0.39307	0.66092
SHC2	4	-0.22356	-2.0078	0.15861	0.66987	0.044664	0.52186
SHC3	4	0.057143	0.87336	0.37256	0.81694	0.38247	0.65315
SHC4	4	-0.1055	-1.1309	0.51616	0.87919	0.25809	0.55917
SHCBP1	4	-0.010457	-0.12531	0.87102	0.97653	0.90028	0.94788
SHCBP1L	4	0.086916	1.261	0.21057	0.71296	0.2073	0.53274
SHD	4	-0.16157	-1.5194	0.29883	0.77538	0.12867	0.52186
SHE	4	-0.18735	-1.2754	0.23125	0.72916	0.20217	0.52963
SHF	4	-0.14014	-0.79385	0.36859	0.81532	0.42728	0.68765
SHFM1	4	-0.28984	-1.3717	0.081792	0.59612	0.17015	0.52186
SHH	4	-0.10366	-1.1803	0.52402	0.8802	0.23789	0.54882
SHISA2	4	-0.19032	-1.9191	0.22449	0.72327	0.054975	0.52186
SHISA3	4	0.0024338	0.066439	0.76954	0.95183	0.94703	0.97356
SHISA4	4	-0.22141	-1.529	0.16219	0.67216	0.12626	0.52186
SHISA5	4	-0.028281	-0.79031	0.99642	0.99955	0.42935	0.68953
SHISA6	4	0.00031049	0.0040867	0.7859	0.95454	0.99674	0.99813
SHISA7	4	-0.010854	-0.15217	0.87396	0.97706	0.87905	0.93682
SHISA8	4	0.17094	1.5994	0.019292	0.38454	0.10973	0.52186
SHISA9	4	0.12893	1.1461	0.075776	0.584	0.25175	0.55585
SHKBP1	4	0.089191	1.4038	0.20063	0.70317	0.16038	0.52186
SHMT1	4	0.06999	1.4166	0.29689	0.77405	0.15659	0.52186
SHMT2	4	-0.0087826	-0.11728	0.8572	0.9738	0.90664	0.95139
SHOC2	4	0.0034985	0.05769	0.76129	0.94981	0.954	0.97672
SHOX	4	0.021587	0.46507	0.62485	0.91359	0.64188	0.78932
SHOX2	4	-0.026998	-0.32827	0.99433	0.99945	0.74271	0.85395
SHPK	4	0.021336	0.41932	0.62679	0.91359	0.67498	0.81289
SHPRH	4	0.060766	1.2894	0.35049	0.80528	0.19727	0.52853
SHQ1	4	-0.044183	-1.533	0.88315	0.97873	0.12529	0.52186
SHROOM1	4	0.049325	0.93697	0.42447	0.84396	0.34877	0.62663
SHROOM2	4	0.21002	1.6803	0.0042761	0.20091	0.092899	0.52186
SHROOM3	4	0.123	1.5046	0.089499	0.6028	0.13242	0.52186
SHROOM4	4	0.05038	1.444	0.41821	0.84152	0.14874	0.52186
SI	4	0.050014	0.90982	0.4203	0.84269	0.36292	0.63831
SIAE	4	0.12751	1.6723	0.078958	0.59298	0.094458	0.52186
SIAH1	4	-0.030352	-0.45305	0.98275	0.99809	0.65051	0.79464
SIAH2	4	0.060425	1.2058	0.35292	0.80766	0.2279	0.54389
SIAH3	4	0.065405	0.75175	0.32249	0.78972	0.4522	0.70638
SIDT1	4	0.02388	0.81764	0.60645	0.90984	0.41356	0.67727
SIDT2	4	0.034115	0.71688	0.53118	0.88348	0.47345	0.71937
SIGIRR	4	-0.016946	-0.30513	0.91866	0.98618	0.76027	0.8647
SIGLEC1	4	-0.053083	-0.54982	0.82105	0.96438	0.58245	0.75048
SIGLEC10	4	-0.27045	-1.6437	0.09825	0.61327	0.10023	0.52186
SIGLEC11	4	0.044721	0.52479	0.4553	0.85684	0.59973	0.76186
SIGLEC12	4	-0.16659	-1.4048	0.28302	0.7625	0.16007	0.52186
SIGLEC14	4	0.090774	1.2467	0.19386	0.69843	0.2125	0.53587
SIGLEC15	4	-0.041891	-1.0229	0.89817	0.98163	0.30635	0.5932
SIGLEC5	4	-0.021376	-0.26552	0.95247	0.9931	0.79061	0.88274
SIGLEC6	4	-0.18118	-1.4372	0.24587	0.73671	0.15066	0.52186
SIGLEC7	4	-0.035045	-0.55947	0.95008	0.99273	0.57584	0.74583
SIGLEC8	4	-0.051147	-1.4734	0.83492	0.9679	0.14063	0.52186
SIGLEC9	4	-0.33422	-2.0353	0.053302	0.53176	0.041819	0.52186
SIGLECL1	4	-0.34596	-1.6777	0.047285	0.5182	0.093399	0.52186
SIGMAR1	4	-0.19161	-1.9894	0.22121	0.72174	0.046654	0.52186
SIK1	4	0.075136	1.5506	0.2684	0.75451	0.121	0.52186
SIK2	4	0.07918	1.3568	0.24642	0.73706	0.17485	0.52207
SIK3	4	-0.0067315	-0.21449	0.84015	0.96931	0.83016	0.90678
SIKE1	4	-0.060321	-0.81384	0.77302	0.95233	0.41574	0.67884
SIL1	4	-0.066641	-1.0671	0.73285	0.94245	0.28594	0.57727
SIM1	4	-0.022044	-0.33991	0.95799	0.99422	0.73392	0.84857
SIM2	4	-0.029759	-0.33885	0.98618	0.99809	0.73472	0.84891
SIMC1	4	0.10427	1.7592	0.143	0.659	0.078543	0.52186
SIN3A	4	-0.24631	-1.975	0.12525	0.63669	0.048267	0.52186
SIN3B	4	0.072257	1.2029	0.28416	0.76312	0.229	0.54414
SIPA1	4	0.064981	1.3406	0.32458	0.79019	0.18006	0.5231
SIPA1L1	4	0.050177	0.59507	0.41925	0.84202	0.5518	0.72978
SIPA1L2	4	-0.0043385	-0.1298	0.82259	0.96534	0.89673	0.94602
SIPA1L3	4	-0.064119	-0.73341	0.74901	0.94619	0.46331	0.71422
SIRPA	4	0.12049	1.6114	0.095068	0.60754	0.10708	0.52186
SIRPB1	4	0.038226	1.1304	0.50159	0.87335	0.25831	0.55925
SIRPB2	4	0.030054	0.89139	0.5626	0.89468	0.37272	0.64626
SIRPD	4	0.14853	1.7179	0.040672	0.49339	0.08582	0.52186
SIRPG	4	-0.080164	-1.2219	0.64931	0.92082	0.22176	0.54149
SIRT1	4	-0.28699	-1.1753	0.083284	0.59717	0.23989	0.54948
SIRT2	4	-0.035185	-0.72971	0.94918	0.99272	0.46557	0.71573
SIRT3	4	-0.071123	-0.68747	0.70495	0.93538	0.49179	0.71937
SIRT4	4	-0.13222	-1.909	0.39897	0.82861	0.056257	0.52186
SIRT5	4	0.035875	0.79141	0.5176	0.87919	0.42871	0.68905
SIRT6	4	0.10674	1.1954	0.1345	0.65065	0.23195	0.5458
SIRT7	4	0.15336	1.6391	0.035352	0.4731	0.1012	0.52186
SIT1	4	0.038039	0.69865	0.50268	0.87343	0.48477	0.71937
SIVA1	4	0.0045889	0.13724	0.75273	0.94748	0.89084	0.94285
SIX1	4	0.036015	0.81925	0.51676	0.87919	0.41264	0.67659
SIX2	4	0.045925	0.76672	0.44809	0.85498	0.44325	0.6996
SIX3	4	0.0017359	0.020032	0.77436	0.95271	0.98402	0.9931
SIX4	4	-0.12189	-1.1152	0.43949	0.85089	0.26477	0.56254
SIX5	4	-0.16897	-1.6118	0.27665	0.75972	0.10701	0.52186
SIX6	4	0.027122	0.35121	0.58323	0.90196	0.72543	0.84287
SKA1	4	0.038225	0.55811	0.50169	0.87335	0.57677	0.74637
SKA2	4	-0.50926	-1.5747	0.0082538	0.26307	0.11533	0.52186
SKA3	4	-0.07217	-0.72772	0.69789	0.93288	0.46679	0.71653
SKAP1	4	-0.023142	-0.38555	0.96614	0.99605	0.69983	0.82775
SKAP2	4	0.067452	0.76677	0.31086	0.78428	0.44322	0.6996
SKI	4	-0.70369	-1.4818	0.0010939	0.093617	0.13838	0.52186
SKIDA1	4	-0.15246	-1.2985	0.32528	0.79019	0.19413	0.52682
SKIL	4	0.11451	1.1457	0.11018	0.62705	0.25193	0.55601
SKIV2L	4	0.032914	0.4005	0.53998	0.88653	0.68879	0.82095
SKIV2L2	4	-0.28544	-1.1945	0.084676	0.59838	0.2323	0.5459
SKOR1	4	0.10121	1.199	0.15334	0.66537	0.23052	0.54499
SKOR2	4	0.10287	1.3867	0.14752	0.66076	0.16553	0.52186
SKP1	4	-0.13941	-1.3568	0.37112	0.81627	0.17485	0.52207
SKP2	4	-0.25953	-1.7266	0.11103	0.62899	0.084243	0.52186
SLA	4	-0.11238	-0.9918	0.48459	0.8683	0.32129	0.6053
SLA2	4	-0.083873	-1.1813	0.62808	0.91359	0.23749	0.54864
SLAIN1	4	0.1221	1.1148	0.091587	0.60411	0.26495	0.5628
SLAIN2	4	0.038662	0.33188	0.49866	0.87258	0.73998	0.85218
SLAMF1	4	0.059188	0.98653	0.36023	0.81038	0.32387	0.60751
SLAMF6	4	0.058255	0.77776	0.36565	0.81359	0.43671	0.69475
SLAMF7	4	-0.010909	-0.11328	0.87435	0.97706	0.90981	0.95288
SLAMF8	4	-0.16311	-1.1414	0.29356	0.77119	0.25371	0.55662
SLAMF9	4	-0.0034267	-0.069566	0.81484	0.96225	0.94454	0.97224
SLBP	4	-0.10512	-0.70371	0.51825	0.87936	0.48161	0.71937
SLC10A1	4	0.12784	0.5441	0.077963	0.58992	0.58637	0.75322
SLC10A2	4	0.012732	0.19041	0.68924	0.93073	0.84899	0.91866
SLC10A3	4	0.072508	1.0664	0.28292	0.7625	0.28623	0.57739
SLC10A4	4	-0.090319	-1.394	0.59273	0.90527	0.16332	0.52186
SLC10A5	4	-0.15049	-1.3157	0.33105	0.79366	0.18826	0.52577
SLC10A6	4	-0.031982	-0.33757	0.97196	0.99806	0.73569	0.84942
SLC10A7	4	-0.060533	-0.67282	0.77108	0.95217	0.50106	0.71937
SLC11A1	4	-0.13562	-1.4057	0.38504	0.82392	0.15981	0.52186
SLC11A2	4	-0.036693	-1.0006	0.93919	0.99129	0.31702	0.6023
SLC12A1	4	-0.019506	-0.26257	0.93775	0.99122	0.79288	0.88425
SLC12A2	4	-0.010149	-0.087968	0.86859	0.9756	0.9299	0.96413
SLC12A3	4	0.03664	0.32572	0.51253	0.87911	0.74464	0.85544
SLC12A4	4	-0.12305	-1.2935	0.43486	0.8495	0.19584	0.52801
SLC12A5	4	0.078088	1.0954	0.25239	0.74092	0.27333	0.56747
SLC12A6	4	-0.018555	-0.18475	0.93014	0.98958	0.85342	0.92134
SLC12A7	4	-0.08896	-1.4968	0.60034	0.9083	0.13444	0.52186
SLC12A8	4	0.12234	1.2932	0.090891	0.60411	0.19595	0.52806
SLC12A9	4	-0.03706	-0.53888	0.93611	0.99053	0.58997	0.75547
SLC13A1	4	-0.11598	-1.118	0.46788	0.86267	0.26356	0.56152
SLC13A2	4	-0.29941	-1.476	0.074433	0.58181	0.13995	0.52186
SLC13A3	4	0.056366	1.1926	0.37783	0.81965	0.23303	0.54649
SLC13A4	4	0.0037754	0.077587	0.75925	0.94934	0.93816	0.96904
SLC13A5	4	0.084248	1.3221	0.22285	0.72327	0.18613	0.52551
SLC14A1	4	0.00091888	0.052446	0.78088	0.95454	0.95817	0.97871
SLC14A2	4	-0.061803	-0.82106	0.76342	0.95059	0.41161	0.67623
SLC15A1	4	0.064564	0.74846	0.32627	0.79142	0.45418	0.70804
SLC15A2	4	0.0057601	0.16025	0.74334	0.94536	0.87268	0.93289
SLC15A3	4	0.013269	0.17469	0.68546	0.92979	0.86133	0.92636
SLC15A4	4	-0.00033634	-0.0069339	0.79102	0.95595	0.99447	0.9971
SLC15A5	4	-0.0080975	-0.11072	0.85153	0.97254	0.91184	0.95414
SLC16A1	4	-0.056008	-1.0893	0.80176	0.95897	0.27604	0.56987
SLC16A10	4	0.094472	0.93149	0.17989	0.68849	0.3516	0.62955
SLC16A11	4	-0.13842	-1.128	0.37545	0.81824	0.2593	0.55935
SLC16A12	4	-0.015443	-0.33056	0.90806	0.984	0.74098	0.85295
SLC16A13	4	-0.2877	-1.937	0.082737	0.59628	0.052746	0.52186
SLC16A14	4	0.047338	1.1318	0.43839	0.85057	0.25772	0.55917
SLC16A2	4	0.057732	1.1249	0.36898	0.81532	0.26061	0.56016
SLC16A3	4	-0.053369	-1.1333	0.81936	0.96352	0.25708	0.55884
SLC16A4	4	-0.006291	-0.11755	0.83676	0.96835	0.90642	0.95128
SLC16A5	4	-0.07525	-1.2961	0.67895	0.92786	0.19494	0.52694
SLC16A6	4	0.11882	1.441	0.099393	0.61366	0.14959	0.52186
SLC16A7	4	0.014544	0.3267	0.67582	0.92716	0.74389	0.85492
SLC16A8	4	0.049356	0.75509	0.42427	0.84396	0.4502	0.70501
SLC16A9	4	0.09103	1.3856	0.19327	0.69843	0.16588	0.52186
SLC17A1	4	0.047806	0.81134	0.43486	0.8495	0.41717	0.68012
SLC17A2	4	0.087155	1.4373	0.20938	0.71132	0.15064	0.52186
SLC17A3	4	-0.011803	-0.27792	0.88082	0.97856	0.78107	0.8773
SLC17A4	4	0.032748	0.33169	0.54112	0.88667	0.74012	0.8523
SLC17A5	4	-0.050683	-1.1387	0.83796	0.96879	0.25484	0.55717
SLC17A6	4	-0.087499	-1.6531	0.60795	0.90988	0.098313	0.52186
SLC17A7	4	-0.01909	-0.41869	0.93437	0.99053	0.67544	0.81325
SLC17A8	4	0.17845	1.6169	0.01437	0.34569	0.1059	0.52186
SLC17A9	4	-0.092718	-1.2279	0.57946	0.90048	0.21949	0.53922
SLC18A1	4	0.082138	1.4476	0.23195	0.72916	0.14773	0.52186
SLC18A2	4	-0.004694	-0.044584	0.82528	0.96581	0.96444	0.98201
SLC18A3	4	-0.0073854	-0.16918	0.84556	0.97034	0.86565	0.92878
SLC18B1	4	0.14287	1.2032	0.049125	0.52027	0.22889	0.54402
SLC19A1	4	-0.038873	-0.52807	0.92238	0.98719	0.59745	0.76079
SLC19A2	4	-0.13583	-1.4237	0.38455	0.82392	0.15454	0.52186
SLC19A3	4	0.025412	0.41287	0.59532	0.90618	0.6797	0.8154
SLC1A1	4	0.036313	0.95709	0.51442	0.87919	0.33852	0.61893
SLC1A2	4	-0.029647	-0.40046	0.98712	0.99809	0.68882	0.82095
SLC1A3	4	-0.0035492	-0.055922	0.81623	0.96282	0.9554	0.97727
SLC1A4	4	-0.15277	-1.1535	0.32428	0.79012	0.24872	0.55376
SLC1A5	4	-0.32075	-1.8545	0.06066	0.54913	0.063666	0.52186
SLC1A6	4	0.049237	0.61479	0.42512	0.84396	0.53869	0.7221
SLC1A7	4	-0.12197	-1.2352	0.43924	0.85089	0.21674	0.53734
SLC20A1	4	-0.25475	-1.7514	0.11575	0.63007	0.079873	0.52186
SLC20A2	4	-0.0075796	-0.13236	0.84755	0.97117	0.8947	0.94514
SLC22A1	4	-0.046706	-0.89866	0.8655	0.9756	0.36884	0.64353
SLC22A10	4	0.0036351	0.064701	0.76029	0.94963	0.94841	0.9742
SLC22A11	4	-0.035247	-0.43945	0.94869	0.99272	0.66034	0.80154
SLC22A12	4	-0.24223	-1.5348	0.13126	0.64706	0.12483	0.52186
SLC22A13	4	0.023051	0.58265	0.61297	0.91123	0.56013	0.73586
SLC22A14	4	0.10616	1.6393	0.13654	0.65226	0.10116	0.52186
SLC22A15	4	0.0056732	0.084803	0.74398	0.94536	0.93242	0.96549
SLC22A16	4	0.068001	1.1693	0.30748	0.78057	0.24228	0.55077
SLC22A17	4	-0.12433	-1.3675	0.42999	0.84706	0.17146	0.52186
SLC22A18	4	-0.053594	-0.80147	0.81812	0.96318	0.42286	0.68403
SLC22A18AS	4	-0.12244	-1.4474	0.43715	0.85002	0.14777	0.52186
SLC22A2	4	0.15244	1.5969	0.036048	0.4731	0.11028	0.52186
SLC22A20	4	-0.013303	-0.16647	0.89225	0.98007	0.86778	0.92984
SLC22A23	4	-0.081292	-0.68234	0.64265	0.91778	0.49502	0.71937
SLC22A24	4	0.10316	1.3256	0.14653	0.66076	0.18498	0.52516
SLC22A25	4	-0.11275	-1.4712	0.4828	0.8683	0.14124	0.52186
SLC22A3	4	0.12387	1.6945	0.08746	0.60235	0.090164	0.52186
SLC22A31	4	-0.056524	-1.021	0.79863	0.95829	0.30724	0.59409
SLC22A4	4	-0.20369	-1.5501	0.19461	0.69843	0.12113	0.52186
SLC22A5	4	-0.15988	-1.6121	0.3035	0.7792	0.10694	0.52186
SLC22A6	4	-0.03347	-0.49478	0.96211	0.99563	0.62075	0.77501
SLC22A7	4	-0.067664	-1.1443	0.72708	0.94057	0.2525	0.55601
SLC22A8	4	-0.10688	-0.83896	0.5098	0.87744	0.40149	0.66794
SLC22A9	4	-0.052936	-0.78867	0.82215	0.96504	0.43031	0.69016
SLC23A1	4	-0.072431	-0.86985	0.6966	0.93238	0.38438	0.65431
SLC23A2	4	0.13739	1.4244	0.058224	0.54226	0.15432	0.52186
SLC23A3	4	-0.028697	-0.40244	0.99354	0.99935	0.68736	0.82027
SLC24A1	4	0.079852	1.0867	0.24369	0.73505	0.27715	0.57071
SLC24A2	4	0.16407	1.3315	0.024562	0.41339	0.18303	0.52432
SLC24A3	4	-0.010803	-0.16903	0.87356	0.97706	0.86578	0.92887
SLC24A4	4	0.079491	0.79479	0.24488	0.73541	0.42673	0.68742
SLC24A5	4	0.017361	0.21927	0.65513	0.92237	0.82644	0.90429
SLC25A1	4	-0.44271	-1.9105	0.0178	0.37924	0.056073	0.52186
SLC25A10	4	0.058561	0.8716	0.36391	0.81196	0.38343	0.65346
SLC25A11	4	-0.22166	-1.867	0.16189	0.67216	0.061906	0.52186
SLC25A12	4	0.019779	0.70498	0.63673	0.91656	0.48082	0.71937
SLC25A13	4	-0.028283	-0.48234	0.99642	0.99955	0.62957	0.7806
SLC25A14	4	0.06893	1.6567	0.30246	0.77833	0.097585	0.52186
SLC25A15	4	-0.064017	-0.79127	0.74965	0.94619	0.42879	0.68907
SLC25A16	4	0.099635	1.7015	0.15921	0.66987	0.088843	0.52186
SLC25A17	4	-0.037055	-0.93994	0.93626	0.99053	0.34725	0.62552
SLC25A18	4	-0.35179	-2.076	0.04465	0.50449	0.037895	0.52186
SLC25A19	4	-0.13724	-1.4869	0.37952	0.82084	0.13705	0.52186
SLC25A2	4	0.019038	0.28568	0.6427	0.91778	0.77513	0.87418
SLC25A20	4	-0.014761	-0.48264	0.90369	0.98303	0.62935	0.78051
SLC25A21	4	0.0094513	0.17951	0.7141	0.93815	0.85754	0.92372
SLC25A22	4	-0.18878	-1.7232	0.22827	0.72758	0.084846	0.52186
SLC25A23	4	0.04734	1.0319	0.43839	0.85057	0.30214	0.58974
SLC25A24	4	-0.14129	-1.2392	0.36461	0.81252	0.21527	0.53705
SLC25A25	4	-0.14259	-1.2855	0.35949	0.80997	0.1986	0.52889
