Gene	sgRNA	Cont2|beta	Cont2|z	Cont2|p-value	Cont2|fdr	Cont2|wald-p-value	Cont2|wald-fdr
ZNF692	4	-0.70786	-2.4372	0.063709	0.43922	0.014802	0.20932
ZNF695	5	-0.1478	-1.2503	0.69283	0.94825	0.21119	0.55923
ZNF696	6	0.14827	0.62978	0.40017	0.84302	0.52884	0.78068
ZNF697	6	-0.010902	-0.12832	0.89221	0.98437	0.8979	0.96045
ZNF699	6	-0.37291	-2.4704	0.219	0.7031	0.013495	0.20096
ZNF7	6	0.049532	0.41857	0.68572	0.94475	0.67553	0.84843
ZNF70	6	-0.21491	-0.7758	0.5091	0.89282	0.43787	0.71941
ZNF700	6	0.33133	1.8744	0.086462	0.49271	0.06088	0.44288
ZNF701	4	0.026475	0.16727	0.81797	0.9774	0.86716	0.94953
ZNF703	6	0.2351	1.1262	0.21189	0.69638	0.26008	0.5873
ZNF705A	6	0.16649	0.79717	0.35694	0.82187	0.42535	0.70624
ZNF705D	6	-0.068794	-0.41423	0.91724	0.98455	0.67871	0.85
ZNF705G	6	-0.093356	-0.5376	0.843	0.97954	0.59085	0.79692
ZNF706	4	-0.31443	-0.79487	0.40358	0.84501	0.42669	0.70701
ZNF707	6	-0.18879	-0.66839	0.57622	0.9158	0.50388	0.77058
ZNF708	6	0.2887	1.8392	0.12998	0.57465	0.06589	0.45784
ZNF709	6	0.097541	0.82768	0.54096	0.90057	0.40785	0.69714
ZNF71	6	-0.14227	-0.68388	0.70193	0.95216	0.49405	0.76462
ZNF710	6	-0.060145	-0.41923	0.94767	0.99019	0.67505	0.84842
ZNF711	6	0.52115	1.661	0.012514	0.16357	0.096705	0.47566
ZNF713	6	0.48558	1.157	0.019909	0.22293	0.24726	0.58433
ZNF714	5	0.29793	1.4592	0.15899	0.62458	0.14452	0.50847
ZNF716	5	0.2384	0.71255	0.24858	0.73445	0.47612	0.75374
ZNF717	6	0.05671	0.53342	0.66325	0.94471	0.59374	0.79796
ZNF726	6	0.14664	1.1513	0.40614	0.84552	0.24959	0.58433
ZNF732	6	0.052653	0.35492	0.6752	0.94471	0.72265	0.87075
ZNF736	5	-0.22562	-1.0794	0.50171	0.88777	0.28039	0.60313
ZNF737	5	0.10687	0.99055	0.56286	0.90905	0.32191	0.63212
ZNF74	6	-0.2778	-1.0523	0.37429	0.8256	0.29268	0.61362
ZNF740	7	0.20634	1.5595	0.23294	0.71968	0.11888	0.48646
ZNF746	6	0.078437	0.45709	0.59727	0.92151	0.64761	0.83365
ZNF749	6	0.036476	0.46058	0.73123	0.96058	0.6451	0.83176
ZNF75A	6	0.21829	1.1349	0.23834	0.72328	0.2564	0.58618
ZNF75D	6	0.0015118	0.010588	0.84812	0.98033	0.99155	0.99894
ZNF76	7	-0.21644	-1.6171	0.4653	0.87253	0.10586	0.48029
ZNF763	6	0.17901	0.9978	0.32878	0.80334	0.31838	0.6303
ZNF764	6	0.051127	0.30322	0.67975	0.94471	0.76173	0.89329
ZNF765	4	0.46477	1.4157	0.067406	0.44717	0.15686	0.51408
ZNF766	6	0.20976	1.0905	0.26024	0.75102	0.27549	0.59939
ZNF768	6	0.10521	0.58214	0.52275	0.89839	0.56047	0.78849
ZNF77	6	0.057653	0.49895	0.65842	0.94413	0.61782	0.81418
ZNF770	6	-0.21007	-1.4145	0.5219	0.89839	0.15722	0.51408
ZNF771	6	0.14377	1.3913	0.41212	0.84687	0.16414	0.51693
ZNF772	8	0.13749	0.80245	0.36291	0.82211	0.42229	0.70269
ZNF773	6	0.12424	0.88432	0.46985	0.87731	0.37652	0.67337
ZNF774	6	0.26745	1.9635	0.16013	0.62486	0.049585	0.40756
ZNF775	6	0.51376	1.6236	0.013083	0.16606	0.10447	0.47842
ZNF776	6	0.024839	0.20374	0.77218	0.97496	0.83856	0.93421
ZNF777	6	-0.15515	-0.71037	0.66524	0.94471	0.47748	0.75467
ZNF778	6	0.10878	0.53953	0.50939	0.89282	0.58952	0.79686
ZNF780A	6	0.25832	1.7101	0.17235	0.644	0.087255	0.47326
ZNF780B	6	0.084518	1.2484	0.57793	0.9158	0.21188	0.55923
ZNF781	6	0.098837	1.04	0.53783	0.90057	0.29832	0.61683
ZNF782	6	0.10223	0.8443	0.52986	0.89971	0.3985	0.68954
ZNF783	6	0.19153	1.1379	0.29437	0.77703	0.25515	0.58618
ZNF784	6	0.16657	1.1456	0.35666	0.82187	0.25198	0.58513
ZNF785	6	-0.26008	-1.0251	0.41325	0.84772	0.30532	0.62159
ZNF786	6	-0.021564	-0.13135	0.92264	0.98455	0.8955	0.95964
ZNF787	6	-0.13716	-0.85756	0.7153	0.95631	0.39114	0.6842
ZNF789	1	0.33197	0.59926	0.48749	0.88169	0.549	0.78795
ZNF79	6	-0.31084	-1.6847	0.31684	0.79685	0.092045	0.47326
ZNF790	6	0.1774	1.137	0.33191	0.80538	0.25552	0.58618
ZNF791	6	0.19366	1.3209	0.28982	0.77601	0.18653	0.53874
ZNF792	6	0.24307	1.122	0.19852	0.68297	0.26187	0.58983
ZNF793	6	-0.043198	-0.21535	0.99602	0.99943	0.82949	0.93163
ZNF799	6	0.013711	0.072655	0.81115	0.9774	0.94208	0.97993
ZNF8	6	-0.011173	-0.048375	0.89221	0.98437	0.96142	0.98812
ZNF80	6	0.27105	1.3475	0.15529	0.61991	0.17781	0.52959
ZNF800	5	0.2044	0.81298	0.3157	0.79585	0.41623	0.70089
ZNF805	6	0.19753	1.4467	0.28271	0.77209	0.14797	0.50858
ZNF808	6	0.30567	1.0999	0.11007	0.53729	0.27139	0.5975
ZNF81	6	0.17059	1.3221	0.34727	0.81971	0.18612	0.53874
ZNF813	6	-0.056922	-0.28459	0.95734	0.99122	0.77596	0.90072
ZNF814	6	0.015679	0.14166	0.80233	0.9774	0.88735	0.95731
ZNF816	4	-0.010092	-0.081437	0.91268	0.98455	0.93509	0.9771
ZNF821	6	0.10602	0.48947	0.51877	0.89764	0.62451	0.81711
ZNF823	6	0.14235	0.47335	0.41809	0.85032	0.63597	0.82572
ZNF827	6	-0.19593	-1.709	0.55546	0.90654	0.087458	0.47326
ZNF83	6	0.15557	0.86561	0.38197	0.83209	0.38671	0.68051
ZNF831	6	-0.041345	-0.33684	0.98777	0.99942	0.73624	0.8766
ZNF836	6	0.011088	0.11962	0.81826	0.9774	0.90479	0.96239
ZNF837	6	-0.30021	-1.4053	0.33532	0.80809	0.15993	0.51583
ZNF84	6	0.085586	0.63771	0.57594	0.9158	0.52366	0.77953
ZNF841	6	0.25614	1.7815	0.17577	0.64479	0.074831	0.47081
ZNF844	6	0.2319	1.6234	0.21615	0.69853	0.1045	0.47842
