sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final,test2,test3,DLD1-Ts4.final_recalculate
STAT5A_E12_93.9,STAT5A,2225,3630,1405,1405,1405
ZNF556_E4_492.21,ZNF556,2187,4413,2226,2226,2226
HELLS_D_e9_190.7,HELLS,1624,3708,2084,2084,2084
CAMK2B_PKc_E6_73.6,CAMK2B,1199,2491,1292,1292,1292
ZNF302_E6_495.26,ZNF302,1151,2538,1387,1387,1387
MID1_2004.236,MID1,1061,2502,1441,1441,1441
RXRG_E4_180.4,RXRG,657,1098,441,441,441
ZNF225_E5_1635.25,ZNF225,2946,7181,4235,4235,4235
DAPK1_PKc_E2_44.1,DAPK1,1094,1762,668,668,668
ATF6_E8_162.9,ATF6,1979,3615,1636,1636,1636
ZNF782_E6_1062.1,ZNF782,2050,4680,2630,2630,2630
C1R_2118.175,C1R,657,1013,356,356,356
ZNF74_E5_915.57,ZNF74,821,1035,214,214,214
KCND1_BTB42131_E1_1944.35,KCND1,942,1647,705,705,705
NTRK3_PKc_E15_123,NTRK3,927,2197,1270,1270,1270
TRIM36_2187.183,TRIM36,2283,4021,1738,1738,1738
DNMT3B_PWWP223309_E1_2562.342,DNMT3B,643,995,352,352,352
AGA_1041.86,AGA,1175,2134,959,959,959
SIAH1_942.79,SIAH1,1945,3165,1220,1220,1220
PhIP_BD1_e30_86.1,PhIP,1930,3031,1101,1101,1101
PHIP_5466.190,PHIP,1930,3031,1101,1101,1101
CHD1L_H_e11_74.2,CHD1L,1346,2868,1522,1522,1522
neg49,neg49,5332,8250,2918,2918,2918
RNF34_1122.64,RNF34,667,917,250,250,250
SETMAR_e2_380.5,SETMAR,1490,2152,662,662,662
DTX3L_2223.99,DTX3L,385,634,249,249,249
ERCC6_H_e13_105.0,ERCC6,1537,3040,1503,1503,1503
IKZF5_E5_187.11,IKZF5,1015,1702,687,687,687
ECT2L_2715.251,ECT2L,560,831,271,271,271
BAZ1B_Phd_E15_113.2,BAZ1B,780,2161,1381,1381,1381
NRF1_E5_141.8,NRF1,1700,1997,297,297,297
BRD3_BD2_e7_129.3,BRD3,1706,3188,1482,1482,1482
USP17L15_1680.151,USP17L15,1573,3160,1587,1587,1587
HOXB3_E4_177.12,HOXB3,1014,2402,1388,1388,1388
FGR_PKc_E10_77.7,FGR,1327,2742,1415,1415,1415
DDB1_3423.475,DDB1,498,860,362,362,362
KCNA10_BTB88179_E1_1536.29,KCNA10,426,650,224,224,224
ANAPC5_2268.82,ANAPC5,1063,1764,701,701,701
KDM4A_ePhd_E16_53.4,KDM4A,768,1503,735,735,735
PRSS53_1662.325,PRSS53,1393,2602,1209,1209,1209
PRSS53_825.103,PRSS53,1393,2602,1209,1209,1209
ZNF460_E3_999.105,ZNF460,1141,2506,1365,1365,1365
KMT2A_BD_e17_111.4,KMT2A,1362,2459,1097,1097,1097
PRMT1_e4_73.7,PRMT1,546,743,197,197,197
TRIM40_777.108,TRIM40,427,900,473,473,473
KDM7A_e6_187.7,KDM7A,1345,2042,697,697,697
AKTIP_8,AKTIP,1768,4080,2312,2312,2312
USP18_1119.135,USP18,1673,2943,1270,1270,1270
ZNF251_E5_1287.112,ZNF251,3019,6619,3600,3600,3600
MAP2K7_PKc_E5_114.12,MAP2K7,1035,2372,1337,1337,1337
ZNF276_E2_231.25,ZNF276,1041,2342,1301,1301,1301
HSF4_E4_109.8,HSF4,897,1524,627,627,627
CUL4B_2742.48,CUL4B,1214,2301,1087,1087,1087
GATAD2B_E8_203.16,GATAD2B,1681,2583,902,902,902
KDM5D_e15_118.1,KDM5D,1948,5555,3607,3607,3607
KLK8_134.1,KLK8,1648,3702,2054,2054,2054
KDM5A_e12_163.5,KDM5A,2873,6713,3840,3840,3840
ANAPC5_2268.41,ANAPC5,2008,3499,1491,1491,1491
KDM5A_Phd3_E28_204.0,KDM5A,421,765,344,344,344
ZNF155_E5_750.59,ZNF155,1230,2044,814,814,814
IVNS1ABP_BTB22126_E1_1929.1,IVNS1ABP,629,1278,649,649,649
UBE2V1_513.26,UBE2V1,1034,2109,1075,1075,1075
CTRB1_792.75,CTRB1,1272,1661,389,389,389
PRKRIR_E1_80.9,PRKRIR,1317,1924,607,607,607
TGFBR2_PKc_E8_102.12,TGFBR2,1314,2707,1393,1393,1393
HLTF_3030.169,HLTF,1169,1991,822,822,822
MMP21_1710.74,MMP21,759,1450,691,691,691
ZNF200_E5_240.12,ZNF200,1129,1534,405,405,405
ZNF677_E5_903.12,ZNF677,2199,4581,2382,2382,2382
ZNF534_E4_1170.83,ZNF534,484,891,407,407,407
MARCH7_2001.91,7-Mar,1800,2393,593,593,593
ZNF530_E3_1005.13,ZNF530,2564,4277,1713,1713,1713
PTK7_PKc_E18_152.17,PTK7,230,256,26,26,26
PHF19_Phd1_E5_86.9,PHF19,1265,3839,2574,2574,2574
FOS_E3_75.1,FOS,909,1557,648,648,648
KDM1B_e13_75.2,KDM1B,2528,6212,3684,3684,3684
ZNF816_E5_999.43,ZNF816,4119,8728,4609,4609,4609
