"","sgRNA","Gene","mergeD0","Vaco.Ts13.final"
"3415",108545257,"SART3",730.759117896522,470
"3416",108560502,"FAM102B",2400.22985581001,518
"3417",108561005,"SART3",739.373197625106,475
"3418",108561507,"FOXO3",1652.87531806616,447
"3419",108561732,"FOXO3",4672.614927905,1202
"3420",108562724,"ISCU",2423.10687022901,1421
"3421",10856273,"C19orf38",2092.76420695505,443
"3422",108564307,"ISCU",651.895674300254,326
"3423",108564354,"ISCU",1123.49787955895,315
"3424",108564688,"THAP5",3217.27735368957,293
"3425",108564810,"THAP5",2701.39016115352,1443
"3426",108564968,"THAP5",5968.81849024597,874
"3427",108565412,"ISCU",3044.29940627651,515
"3428",108565897,"THAP5",5516.35453774385,1023
"3429",108569481,"KIAA1524",4136.0203562341,521
"3430",108571866,"DNAJB9",4470.96352841391,338
"3431",108571905,"DNAJB9",2660.4427480916,693
"3432",108572945,"DNAJB9",189.373197625106,240
"3433",108573112,"DNAJB9",2321.31297709924,206
"3434",108573586,"COL4A5",5622.30958439355,985
"3435",108579631,"KIAA1524",3057.18659881255,444
"3436",108582996,"KIAA1524",5022.57082273113,1174
"3437",108584520,"COL4A5",1709.32400339271,170
"3438",108585115,"KIAA1524",3330.92875318066,1297
"3439",1085901,"RNF212",1225.97794741306,556
"3440",108591933,"TMEM119",3013.44105173876,930
"3441",108592044,"TMEM119",2420.31636980492,121
"3442",108592106,"TMEM119",4376.81340118745,566
"3443",108592186,"TMEM119",2935.18490245971,601
"3444",1085941,"C1orf159",4811.43596268024,652
"3445",108600678,"FAM102B",2006.16200169635,230
"3446",108601428,"COL4A5",3405.35114503817,800
"3447",108611271,"DZIP3",4868.74639525021,1107
"3448",108612246,"FAM102B",939.30534351145,536
"3449",108622573,"RPL34",668.374045801527,1
"3450",108623563,"SELPLG",7086.97879558948,1245
"3451",108623893,"SELPLG",6189.93129770992,1018
"3452",108624001,"SELPLG",549.119592875318,408
"3453",108624175,"SELPLG",904.126378286684,47
"3454",108625777,"COL4A5",1572.27565733673,288
"3455",108628215,"FAM102B",1625.1764206955,69
"3456",108629068,"DZIP3",2141.15267175573,536
"3457",1086338,"WDR37",149.746395250212,295
"3458",108644389,"DZIP3",3284.48430873622,788
"3459",108648930,"DZIP3",4060.60983884648,835
"3460",108650267,"HENMT1",3579.92366412214,652
"3461",108650725,"OSTC",14.7319762510602,59
"3462",108650790,"OSTC",1866.50975402884,573
"3463",108652372,"CORO1C",3197.21458863444,679
"3464",108654771,"HENMT1",10401.1679389313,1052
"3465",108655592,"HENMT1",4312.53435114504,1048
"3466",108655599,"OSTC",2419.4385072095,795
"3467",108657500,"OSTC",6023.07124681934,1853
"3468",108657502,"HENMT1",7170.94062765055,1906
"3469",108659670,"LIMS1",3896.36132315522,750
"3470",108662074,"CORO1C",5222.13231552163,519
"3471",108663575,"FOXO3",3681.30025445293,213
"3472",108663938,"FOXO3",528.103477523325,1
"3473",108672898,"LIMS1",1616.8566581849,329
"3474",108672977,"LIMS1",797.586089906701,1
"3475",108675991,"LIMS1",2322.32824427481,1298
"3476",108677157,"DDX10",146.185750636132,63
"3477",108678318,"CORO1C",9521.02120441052,1174
"3479",108691918,"DDX10",80.6454622561493,1
"3480",1086944,"SLC12A7",3850.95759117897,115
"3481",108696294,"PRPF38B",548.373197625106,181
"3482",108699228,"PRPF38B",3114.09329940628,807
"3483",108699346,"PRPF38B",1744.07294317218,18
"3484",108701161,"CORO1C",3983.95928753181,880
"3485",108717909,"FNDC7",1259.14673452078,122
"3486",10871816,"CARM1",1624.01102629347,197
"3487",108725790,"FNDC7",3174.15860899067,664
"3488",108727825,"FNDC7",531.81679389313,295
"3489",108727957,"FNDC7",5365.34096692112,1101
"3490",108734214,"IRS4",4176.01272264631,933
"3491",108735564,"IRS4",660.423240033927,112
"3492",108735641,"RANBP2",1275.71840542833,1
"3493",108735910,"IRS4",2169.86598812553,202
"3494",108736140,"IRS4",3839.9016115352,430
"3495",10874627,"GCM2",1481.74469889737,456
"3496",108749311,"ETNPPL",3973.46649703138,1322
"3497",108749449,"ETNPPL",4040.90415606446,557
"3498",10875016,"SLC6A11",1565.86259541985,12
"3499",1087511,"C1orf159",2585.42917726887,154
"3500",108752302,"STXBP3",321.373197625106,118
"3501",1087549,"C1orf159",745.497031382528,89
"3502",108756510,"RETNLB",3637.09075487701,1403
"3503",108756537,"RETNLB",1396.53859202714,386
"3504",108756574,"RETNLB",2602.93129770992,444
"3505",108757129,"RETNLB",4288.12553011026,477
"3506",10875896,"GCM2",2885.0534351145,1083
"3507",108759827,"ETNPPL",2616.3401187447,631
"3508",108760188,"ETNPPL",577.743002544529,434
"3509",108763407,"RANBP2",1550.16624257846,86
"3510",108764136,"RANBP2",916.98812553011,1
"3511",10876488,"GCM2",4291.47328244275,606
"3512",108772715,"STXBP3",2600.49957591179,153
"3513",10877379,"GCM2",3934.96098388465,522
"3514",108779318,"STXBP3",1386.40712468193,382
"3515",108782502,"STXBP3",6511.69804919423,1193
"3516",108784505,"TMEM74",6550.36641221374,796
"3517",108784654,"TMEM74",4705.78541136556,587
"3518",108784814,"TMEM74",6491.95250212044,1352
"3519",108784939,"TMEM74",3826.68617472434,1357
"3520",108792291,"SSH1",5714.53604749788,991
"3521",108792697,"SSH1",1950.41984732824,513
"3522",108798385,"FER",5844.99067005937,1182
"3523",108799052,"SSH1",2100.67090754877,398
"3524",108800813,"SSH1",4001.64546225615,704
"3525",108815950,"CCDC138",2915.7090754877,568
"3526",108820395,"MYO16",3133.26972010178,432
"3527",10882590,"PRH1",6646.27905004241,1362
"3528",10882662,"PRH1",5077.37319762511,1973
"3529",108830698,"TRAT1",3431.26293469042,427
"3530",10883071,"PRH1",4534.52586938083,610
"3531",108830776,"TRAT1",3306.68702290076,90
"3532",108838965,"TRAT1",2180.4834605598,801
"3533",108839275,"CCDC138",1353.64376590331,212
"3534",10884178,"PRH1",2991.42239185751,488
"3535",108843158,"AKNAD1",6010.7786259542,1307
"3536",108846888,"CCDC138",985.384223918575,1
"3537",108849052,"AKNAD1",2565.31382527566,449
"3538",108852097,"AKNAD1",449.319762510602,357
"3539",108852450,"AKNAD1",4839.23579304495,1372
"3540",108853654,"TRAT1",1680.05937234945,496
"3541",108855150,"ACTL7B",6091.32400339271,1056
"3542",108855257,"ACTL7B",909.130619168787,490
"3543",108855355,"ACTL7B",2498.3401187447,383
"3544",108855681,"ACTL7B",1712.22391857506,261
"3545",108856807,"CCDC138",387.373197625106,62
"3546",108858267,"ARMC2",3560.63358778626,998
"3547",108859718,"COL25A1",2969.39779474131,163
"3548",108862460,"ACTL7A",6095.25954198473,457
"3549",108862599,"ACTL7A",822.528413910093,638
"3550",108862674,"ACTL7A",9547.45547073791,1248
"3551",108862996,"ACTL7A",10920.7972858355,1386
"3552",108863382,"COL25A1",2771.52078032231,899
"3553",108867854,"FER",2999.79304495335,586
"3554",108868989,"ARMC2",7176.05852417303,905
"3555",108871409,"FER",3469.90670059372,521
"3556",108884138,"C7orf66",9725.47497879559,2391
"3557",108884182,"C7orf66",10441.1535199321,2033
"3558",108884441,"C7orf66",7889.78625954198,1871
"3559",108884510,"C7orf66",2019.51823579304,230
"3560",108885110,"DAO",3193.25699745547,452
"3561",108887473,"DAO",5897.24766751484,2315
"3562",108890257,"DAO",2600.42663273961,296
"3563",108894300,"DAO",2134.66497031383,460
"3564",108896933,"GPSM2",2214.42154368109,367
"3565",108898040,"GPSM2",444.128074639525,367
"3566",108898129,"MYO16",1458.99491094148,1102
"3567",108898676,"IKBKAP",228.373197625106,325
"3568",108900340,"IKBKAP",805.86598812553,531
"3569",108901801,"GPSM2",3548.2663273961,375
"3570",108904344,"ARMC2",4899.88464800679,1474
"3571",108906372,"IKBKAP",174.022900763359,142
"3572",108912314,"IKBKAP",385.701441899915,134
"3573",108914358,"GPSM2",297.534351145038,219
