Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
PHPT1	4	0.078505	0.58832	0.53828	0.89457	0.55632	0.74976
RORB	4	0.23497	1.1201	0.16332	0.62287	0.26266	0.56377
RTN4IP1	4	-1.3876	-2.0929	0.0035299	0.060892	0.036356	0.35208
LIPF	4	0.07641	0.48091	0.54435	0.89584	0.63058	0.78086
TMBIM1	4	-0.026683	-0.16197	0.87362	0.97774	0.87133	0.93308
SLC52A2	4	0.064025	0.47673	0.58372	0.91051	0.63355	0.78276
ZBTB26	4	0.094792	1.0864	0.48807	0.87714	0.27731	0.57296
PLEKHG3	4	-0.60152	-2.2775	0.13463	0.57288	0.022759	0.27008
PRCC	4	-0.78657	-2.3025	0.058069	0.37536	0.021304	0.26097
NUDT10	4	-0.016843	-0.076233	0.84314	0.97126	0.93923	0.96927
GABRG3	4	-0.045985	-0.18369	0.93234	0.98736	0.85425	0.92312
USB1	4	-2.1885	-3.5281	4.9717e-05	0.002924	0.00041854	0.023516
FAM53A	4	-0.014188	-0.23475	0.83424	0.9709	0.8144	0.89886
LOC400927-CSNK1E	4	0.13285	1.4782	0.38327	0.82616	0.13934	0.53615
AK8	4	0.20424	1.0151	0.21786	0.68899	0.31007	0.59719
DCTD	4	0.093869	0.86662	0.4911	0.87735	0.38615	0.65271
ARL13B	4	0.039422	0.5924	0.66426	0.93399	0.55358	0.74969
PRAMEF15	4	-0.62466	-1.9555	0.12071	0.54281	0.050521	0.41975
RSPH14	4	-0.24768	-1.1194	0.56115	0.90347	0.26296	0.56383
LYRM5	4	0.036752	0.34058	0.67242	0.93574	0.73342	0.84943
CDHR2	4	-0.065997	-0.52855	0.99299	0.9979	0.59712	0.76369
ANKRD17	4	-0.92637	-2.7354	0.031073	0.26305	0.0062296	0.12755
LIPG	4	0.078566	0.41998	0.53803	0.89423	0.6745	0.81156
MIEN1	4	-0.23055	-1.1611	0.59466	0.91277	0.24561	0.55472
RNF25	4	-0.13436	-1.9471	0.81585	0.96781	0.05152	0.42263
RFNG	4	-0.14384	-1.0668	0.79293	0.96404	0.28606	0.58013
UGT2B17	4	0.16931	1.3373	0.29228	0.76239	0.18112	0.53615
SLC11A2	4	-0.86615	-2.1993	0.041066	0.31205	0.027856	0.30451
SF3B1	4	-1.3249	-2.5749	0.0045242	0.071205	0.010027	0.16739
RPL6	4	-3.475	-6.0825	0	0	1.1833e-09	3.9667e-06
C9orf116	4	-0.18653	-1.5106	0.68833	0.93873	0.1309	0.53615
MTRF1L	4	-0.92972	-1.4959	0.030824	0.2626	0.13468	0.53615
ERRFI1	4	0.52666	1.3966	0.0041762	0.068016	0.16253	0.53615
DOC2A	4	-0.041547	-0.20389	0.91871	0.98529	0.83844	0.91292
GRID1	4	0.26606	1.3111	0.11808	0.53867	0.18983	0.53746
MAP3K8	4	-0.076351	-0.79164	0.97693	0.99535	0.42857	0.68555
IL31RA	4	-0.0048899	-0.14761	0.80476	0.96633	0.88265	0.93949
IFI6	4	-0.22244	-1.4021	0.61117	0.91869	0.16088	0.53615
TMEM82	4	-0.1739	-1.2836	0.71905	0.94888	0.19929	0.5393
PACRGL	4	0.17673	0.6962	0.27508	0.75092	0.4863	0.72659
DIABLO	4	0.077125	0.59162	0.54221	0.89525	0.55411	0.74969
FADS2	4	0.026366	0.12646	0.70508	0.94443	0.89937	0.94885
OR4C15	4	-0.13588	-0.58596	0.81222	0.96781	0.5579	0.75051
REEP4	4	-0.1266	-1.1704	0.83579	0.9709	0.24185	0.55431
MED10	4	-0.48543	-1.6571	0.22248	0.6934	0.097493	0.53615
OPN5	4	-0.127	-0.56768	0.83509	0.9709	0.57025	0.75376
FOXK1	4	0.77415	1.1817	0.00014915	0.0061224	0.23731	0.55188
HOXC11	4	0.090544	0.75362	0.50159	0.8818	0.45108	0.70244
SGCZ	4	0.13422	1.5961	0.37944	0.82368	0.11047	0.53615
DNAJC12	4	-0.38197	-1.4643	0.34125	0.79654	0.1431	0.53615
LRP5L	4	0.27805	1.5673	0.10535	0.51221	0.11704	0.53615
OR1D5	4	-0.063795	-0.66113	0.98588	0.99633	0.50853	0.73614
CKMT1B	4	-0.13325	-1.2704	0.81858	0.96781	0.20396	0.53981
FABP7	4	0.30962	1.5285	0.07373	0.42664	0.12639	0.53615
FBXL4	4	0.055681	0.48153	0.61052	0.91799	0.63014	0.78059
RAB24	4	-0.054709	-0.45258	0.95804	0.99146	0.65085	0.7944
BPIFA2	4	0.26189	1.6204	0.12325	0.54857	0.10514	0.53615
FAM13B	4	-0.15757	-0.7208	0.75808	0.95702	0.47103	0.71677
OAT	4	0.12214	0.54976	0.41175	0.84043	0.58249	0.75661
C8orf74	4	0.19964	1.1893	0.22661	0.69673	0.23434	0.55019
ZNF419	4	0.18629	0.63603	0.25395	0.72899	0.52475	0.7433
C16orf93	4	-0.2805	-1.5905	0.50035	0.88095	0.11173	0.53615
PCDHGA6	4	0.36107	1.4978	0.039724	0.30648	0.13419	0.53615
