Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
EID1	4	-0.23442	-1.2313	0.50696	0.92675	0.21822	0.60247
ZNF433	4	0.31764	1.0509	0.080052	0.52597	0.29328	0.62834
TMEM45A	4	0.18049	0.97544	0.29415	0.8412	0.32934	0.64799
HYAL4	4	0.2302	0.92916	0.19456	0.75535	0.35281	0.66337
TMEM91	4	0.11617	0.78625	0.46047	0.91331	0.43172	0.71295
FAM102B	4	-0.014833	-0.26791	0.88917	0.98889	0.78877	0.88801
PPP1R12C	4	-0.12754	-1.4565	0.76512	0.97584	0.14524	0.60247
GIMAP7	4	0.29299	1.1759	0.10422	0.59444	0.23965	0.60602
NUPL2	4	0.06492	0.94494	0.62381	0.9574	0.34469	0.65737
TRIP6	4	0.02802	0.3904	0.74463	0.97377	0.69624	0.83499
SEC22B	4	-0.94277	-1.6063	0.017701	0.21854	0.1082	0.60247
ACTRT2	4	0.033969	0.30385	0.72414	0.97101	0.76124	0.87203
SAMD9	4	-0.011628	-0.060079	0.87858	0.98781	0.95209	0.97751
BTNL10	4	-0.0019505	-0.011435	0.84487	0.9863	0.99088	0.99603
YEATS2	4	-0.79362	-1.7761	0.036247	0.3386	0.075715	0.60247
ASPHD2	4	0.17322	1.1482	0.31061	0.84732	0.25089	0.60869
CACNA2D3	4	0.25877	1.4823	0.14728	0.6778	0.13826	0.60247
BAHD1	4	0.35937	1.0684	0.050567	0.41291	0.28534	0.62452
CCL27	4	0.049115	0.21879	0.67343	0.96145	0.82681	0.90888
KIAA0368	4	0.15323	0.77951	0.3579	0.87238	0.43568	0.71588
VPS36	4	-0.49723	-2.1105	0.16125	0.70004	0.034814	0.42053
SAT1	4	-0.0051013	-0.042652	0.85665	0.98654	0.96598	0.98423
WDR37	4	0.26636	1.3166	0.13574	0.65878	0.18797	0.60247
DEPTOR	4	-0.18402	-1.0576	0.61779	0.9574	0.29025	0.62619
C9orf16	4	-0.27692	-1.3096	0.4277	0.89904	0.19034	0.60247
RC3H1	4	-0.065423	-0.40229	0.95038	0.99699	0.68747	0.82987
RPSA	4	-2.106	-2.938	4.9722e-05	0.0028986	0.0033029	0.11674
KLHDC8B	4	-0.41781	-1.6362	0.23111	0.7924	0.10179	0.60247
PPP1R26	4	0.025585	0.35249	0.75194	0.97377	0.72447	0.85157
PARD6B	4	-0.10758	-0.59149	0.82269	0.98335	0.55419	0.76336
GLIS3	4	-0.020776	-0.19099	0.90841	0.99138	0.84853	0.92264
PRKRIR	4	-0.7682	-1.7483	0.040871	0.36243	0.080411	0.60247
ARVCF	4	0.13403	1.5236	0.41005	0.89226	0.1276	0.60247
YAP1	4	0.00024686	0.00084832	0.83676	0.98572	0.99932	0.9998
MOV10L1	4	-0.037781	-0.58325	0.96475	0.99784	0.55973	0.76391
ZNF335	4	-0.30939	-1.613	0.37629	0.87888	0.10675	0.60247
NAA11	4	-0.099147	-0.63137	0.84765	0.9863	0.5278	0.75764
PLD1	4	0.52758	1.213	0.0050219	0.094041	0.22513	0.60307
NWD1	4	0.014027	0.16352	0.79008	0.97881	0.87011	0.93541
ZNF74	4	0.0096485	0.047562	0.80445	0.98041	0.96207	0.98286
NUP54	4	-0.30868	-1.215	0.37699	0.87899	0.22435	0.60307
PDZD9	4	0.0065542	0.049205	0.81514	0.98186	0.96076	0.98212
ENO1	4	-1.8292	-3.7571	4.9722e-05	0.0028986	0.00017192	0.023363
RNASE12	4	-0.087185	-0.68293	0.88236	0.9882	0.49465	0.74801
PNPLA1	4	-0.49362	-2.1012	0.16393	0.70359	0.035625	0.42547
HIST1H2AL	4	0.11025	1.0539	0.47951	0.91842	0.29195	0.62687
MPND	4	-0.81829	-2.6212	0.032319	0.31615	0.0087617	0.19733
BRCA1	4	-1.3873	-2.5119	0.0013922	0.037234	0.012008	0.23865
ARMCX5	4	0.10583	0.6667	0.49274	0.92443	0.50497	0.752
SLC10A7	4	0.1762	1.0221	0.3039	0.84545	0.30675	0.63549
TTC33	4	-0.019139	-0.18843	0.90235	0.98975	0.85054	0.92375
OR10P1	4	0.14987	0.96171	0.36695	0.87403	0.3362	0.65212
VKORC1L1	4	-0.046518	-0.26032	0.99199	0.9992	0.79462	0.89142
BRAF	4	-0.99967	-2.1577	0.013475	0.18664	0.030951	0.3959
DCAF12	4	0.45451	1.2895	0.014718	0.19616	0.19722	0.60247
BTBD6	4	0.056459	1.7894	0.64991	0.95962	0.073549	0.59759
TRIB1	4	0.31418	1.2702	0.083184	0.53639	0.204	0.60247
UTP15	4	-1.8563	-3.562	4.9722e-05	0.0028986	0.00036807	0.033648
NRAS	4	0.099955	0.81587	0.51044	0.92856	0.41457	0.70212
ADCY1	4	-0.0352	-0.22347	0.95595	0.99761	0.82317	0.90691
PADI1	4	-0.14889	-1.0988	0.70465	0.96747	0.27184	0.61838
CPED1	4	0.13983	1.1926	0.3923	0.88432	0.23305	0.60485
SLU7	4	-1.5742	-2.918	0.00049722	0.015924	0.0035228	0.1209
C3orf18	4	-0.05681	-0.46931	0.97758	0.99879	0.63885	0.79913
CACNG8	4	0.04552	0.36662	0.68531	0.96395	0.71391	0.84549
FUT7	4	-0.13145	-0.57564	0.75373	0.97398	0.56486	0.7641
SPDYE2	4	-1.5721	-2.9104	0.00049722	0.015924	0.0036093	0.12192
RGS3	4	-0.18659	-0.65665	0.61237	0.9569	0.51141	0.75443
OR51I1	4	0.097784	0.68866	0.5176	0.93072	0.49104	0.74686
IFITM1	4	-0.5742	-2.2494	0.11098	0.61268	0.024488	0.34713
TMBIM6	4	-0.02487	-0.14504	0.92253	0.99337	0.88468	0.94209
CACTIN	4	-0.66257	-1.912	0.071848	0.49639	0.055874	0.52487
NLRP13	4	-0.24446	-1.0606	0.48628	0.92212	0.28887	0.62602
ADAD2	4	0.19962	1.5027	0.25278	0.81266	0.1329	0.60247
MPG	4	0.12338	1.0573	0.43959	0.90427	0.29038	0.62619
CMTM3	4	0.027808	0.22801	0.74513	0.97377	0.81964	0.90511
C7orf71	4	0.1332	0.55926	0.41239	0.89248	0.57599	0.76607
FBXO48	4	0.05113	0.22456	0.66667	0.95962	0.82232	0.90647
QPRT	4	0.0063983	0.059281	0.81593	0.98216	0.95273	0.97787
GJA3	4	0.26469	1.2685	0.13847	0.66373	0.2046	0.60247
AFF4	4	0.23606	0.85665	0.18427	0.73869	0.39164	0.68659
MIEF1	4	-0.22625	-1.4271	0.52407	0.9326	0.15356	0.60247
FAM114A1	4	0.27721	1.44	0.12227	0.63239	0.14988	0.60247
