93134475	C8orf87	433	1480
96157638	ZNF518A	1037	3802
153747331	INTS3	422	865
22508565	ZBTB40	260	575
126727103	CHCHD6	894	3656
42765109	CHRNA6	450	1575
97643356	NCBP1	1026	1487
99449465	REV1	428	1227
101818654	OR4F15	767	2813
5352092	OR51B6	408	1323
170892405	RANBP17	526	1689
125957062	HINT3	829	3065
158798005	ESYT2	480	1558
25726398	HIST1H2AA	471	1560
71604547	ACRC	464	1779
42435285	ZMYND12	1066	2861
36295783	CCDC169	1371	4409
121802728	EXOSC9	393	487
55406824	UBE2S	306	1164
89267101	GBP5	880	2667
21032363	APOB	849	3068
152652892	TMEM154	567	2265
88055904	CGGBP1	776	2768
93532972	FNBP1L	424	1501
6173699	CYTH3	426	1522
30854921	TAB3	936	3484
72719036	MZT1	856	1500
158843391	MNDA	780	2782
160093537	PWWP2A	571	2243
89988951	TDP1	124	270
28575265	ZBED9	1007	3580
8370083	KRBA2	411	1182
179908661	TOR1AIP1	401	1367
27929889	BRE	244	921
149330335	TM4SF18	366	1398
94575934	PDLIM5	1250	3781
118262524	MPZL2	376	1009
19555683	SLC47A1	594	2364
45255773	SPATA32	310	1602
41742426	PGC	839	2027
39532424	RPS19BP1	566	1497
143440169	GAB1	409	1538
206771035	IL10	376	972
202964623	CYB5R1	506	1529
42637643	NKTR	737	1903
11N	Non-Targeting_Control	1013	3837
160681387	CD48	831	1958
172032496	DNM3	500	1616
122456176	IL2	190	466
51995434	RPL29	767	2138
16392088	NPIPA7	294	858
63857928	UGP2	531	1382
121335542	ANAPC5	434	436
139371732	COPB2	355	1322
123698508	ANXA13	613	2425
168568705	PANK3	1358	4613
89248870	GPRIN3	275	622
65489057	ZC3H12B	521	2128
98891281	EIF4E	1353	842
113901128	GRAMD1C	1313	4319
8842978	MBD3L1	546	1957
122275852	CASR	839	2947
29253695	CRYBA1	567	1611
36438887	OSCP1	444	1278
241712009	ING5	216	1389
109333884	DPPA4	644	2908
92579355	FAM133B	541	907
86079193	GOLM1	664	2745
45176727	FANCM	360	710
11298924	TSPAN16	671	1864
28272701	ZSCAN26	347	1920
59503647	OR4D11	266	927
22664349	ZNF492	451	1009
3317393	ZNF75A	232	931
152398126	NMUR2	492	1975
12N	Non-Targeting_Control	562	2442
87024574	FAM25A	724	2337
47487376	FAM25G	531	1185
151740814	AADACL2	487	2037
158579787	OR10X1	346	975
70335336	CABS1	486	1955
101244115	FIS1	952	2587
95783185	FAM76B	299	1184
26415547	RBPJ	277	1174
49973277	AQP6	285	979
61393255	TMEM216	191	687
58522013	SEPT4	1006	3885
58358784	OR5B17	307	883
63155698	RPS27L	425	1399
107455727	CWF19L2	452	1045
25903691	STMN1	385	1094
122767530	DENR	599	2642
229859324	TRIP12	448	1547
73213783	NAP1L2	533	2386
78124032	TMC6	428	1848
112703769	RHOC	836	3211
98389687	CNGA3	393	946
96983229	C10orf12	435	1508
89894871	GJA10	782	2391
70833907	CD207	309	1071
112234827	PTBP3	1209	4434
36049314	UGT3A2	1010	3534
127374611	ZNF800	831	2363
248521925	OR2G6	1137	4044
237753394	LRRFIP1	572	2656
45278542	MARK4	313	913
22690918	EGR3	622	2171
47014839	ADGRF1	334	1160
69957620	CSN2	832	2269
55790231	TGS1	397	644
133333792	SURF6	262	467
162375380	C1orf111	685	2312
70134812	IGBP1	778	287
80026394	TTK	234	224
67095240	C1orf141	1021	2804
48569911	LALBA	579	1643
213862521	SPAG16	426	1468
35422574	SLFN12	504	1695
130620407	FUBP3	364	605
8888238	PIK3R5	252	1241
114628216	C9orf91	420	1268
102655349	GPRASP1	330	1621
48139261	ABCC12	926	3910
32128141	GPD1L	1224	4591
