Gene	sgRNA	7qDi|beta	7qDi|z	7qDi|p-value	7qDi|fdr	7qDi|wald-p-value	7qDi|wald-fdr
CMTR2	4	0.083879	1.4395	0.2632	0.86257	0.15001	0.51558
ALDH3B2	4	-0.055164	-1.6747	0.8503	0.98846	0.093985	0.51558
EIF4A2	4	0.0019792	0.057462	0.78145	0.98237	0.95418	0.97567
CH17-360D5.1	4	0.071686	0.71208	0.32654	0.90222	0.47641	0.71148
CCDC122	4	0.016579	0.56067	0.67898	0.96877	0.57502	0.74353
TTC17	4	-0.015293	-0.2637	0.9033	0.99074	0.79201	0.88361
CHPT1	4	-0.027758	-0.71914	0.98543	0.99774	0.47205	0.71148
AKAP12	4	-0.033519	-1.3955	0.97668	0.99595	0.16286	0.51558
SLC9B2	4	0.056042	1.7496	0.41379	0.92726	0.08019	0.51558
RGS2	4	0.057797	1.0156	0.40345	0.92391	0.30982	0.59431
MROH8	4	-0.12707	-1.3723	0.54206	0.95638	0.16996	0.51558
ALPK2	4	0.15375	1.1658	0.053843	0.46741	0.24369	0.55277
SERPINA7	4	0.074329	1.3407	0.31123	0.89495	0.18	0.51795
DISC1	4	0.066448	1.2125	0.35413	0.91201	0.22533	0.54071
ECHDC2	4	0.02266	0.27511	0.63573	0.96508	0.78323	0.87802
HCST	4	0.026617	0.47919	0.60709	0.9627	0.6318	0.78518
XPA	4	-0.10571	-0.95995	0.61514	0.9627	0.33708	0.61363
GNAI3	4	0.001866	0.039262	0.78239	0.98259	0.96868	0.98383
NSFL1C	4	-0.2073	-1.5457	0.35344	0.91188	0.12219	0.51558
GP2	4	0.10626	1.5453	0.16919	0.75791	0.12226	0.51558
PRKCD	4	-0.0034263	-0.033966	0.81928	0.98813	0.9729	0.9858
FAS	4	0.009433	0.285	0.72914	0.9754	0.77564	0.87392
GRIA1	4	0.10445	1.5806	0.17634	0.76968	0.11397	0.51558
URB1	4	-0.57349	-1.8927	0.039276	0.39461	0.058402	0.51558
GLCCI1	4	-0.025037	-0.41904	0.96923	0.99595	0.67519	0.81365
CFAP99	4	0.10535	1.5144	0.17277	0.76307	0.12992	0.51558
JAKMIP2	4	0.071952	1.063	0.3253	0.90222	0.28778	0.58042
BRD4	4	-0.68753	-2.3336	0.019191	0.25768	0.019617	0.47771
KLHL42	4	-0.015231	-0.25081	0.9027	0.99074	0.80196	0.88955
SCN2A	4	0.061828	1.5928	0.37969	0.91857	0.1112	0.51558
