Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
STK26	6	-0.25676	-2.006	0.28665	0.7225	0.044855	0.3256
ATF6B	6	-0.035876	-0.24218	0.97262	0.99359	0.80864	0.90003
PCGF6	3	-0.15025	-1.1224	0.6004	0.88632	0.2617	0.52823
RNF208	7	-0.066013	-0.83961	0.89932	0.97616	0.40113	0.6463
KCND2	6	-0.065781	-0.76081	0.88021	0.97216	0.44677	0.6803
ZNF813	6	-0.080936	-0.5914	0.82145	0.96481	0.55425	0.73858
neg5	1	0.15164	0.65817	0.61323	0.8936	0.51043	0.72398
KLK9	6	0.046764	0.70886	0.5559	0.86239	0.47841	0.70653
KCTD2	6	-0.075217	-0.93905	0.84199	0.96564	0.3477	0.60356
NAT10	5	-1.1253	-2.7915	0.00057045	0.010695	0.0052462	0.075413
MPHOSPH8	6	0.097112	0.63975	0.33714	0.75672	0.52234	0.73024
SIX4	6	0.2291	1.7652	0.045636	0.29851	0.077538	0.36106
KLHL34	6	0.16225	1.2124	0.14803	0.5446	0.22536	0.49692
BHLHA15	6	0.064123	0.81497	0.47547	0.83101	0.41509	0.65643
TESK1	6	0.034574	0.35179	0.61495	0.89498	0.725	0.8465
MYF5	8	0.10373	1.2678	0.23274	0.6586	0.20488	0.47227
TRIM69	8	-0.048065	-0.74305	0.99829	0.99943	0.45745	0.68804
CASP4	6	0.13389	1.6508	0.21392	0.63667	0.098788	0.38271
MERTK	6	-0.050738	-0.70166	0.95379	0.98935	0.48289	0.70956
POU4F2	6	0.17222	1.3581	0.12664	0.50859	0.17442	0.45013
NR1H3	7	0.13752	1.8209	0.17028	0.58587	0.068617	0.35542
RNFT2	9	0.10042	0.66933	0.24016	0.67037	0.50329	0.71934
SP9	5	0.074832	1.3758	0.4846	0.83558	0.16888	0.44451
RAB40C	18	-0.17746	-2.1917	0.28437	0.7183	0.028399	0.24961
NPAS4	6	0.1178	1.1842	0.26127	0.69499	0.23635	0.5107
HIPK1	6	-0.4915	-1.7675	0.047347	0.30713	0.077139	0.3606
TAF3	6	-0.90403	-3.5571	0.0017114	0.027778	0.000375	0.0084278
PCAF	5	0.017047	0.22045	0.73959	0.93915	0.82552	0.90726
KLK10	6	0.25649	1.9393	0.027096	0.2164	0.052469	0.34449
PLK4	6	-1.6116	-3.0297	0	0	0.0024478	0.041863
