sgRNA,Gene,Vaco_Ts13_D0,Vaco_Ts13_D10
28574214,ALDOC,2830,1795
134449728,AKR1B1,421,535
134451695,AKR1B1,570,886
134450883,AKR1B1,1387,1450
134449049,AKR1B1,1540,1967
29233576,ALK,1678,2206
29275222,ALK,745,1209
29318368,ALK,1875,2083
29383813,ALK,598,433
7005282,ALOX12,1011,1076
6998795,ALOX12,1461,1700
7000429,ALOX12,1898,1913
6999425,ALOX12,1488,2051
45382609,ALOX5,1265,1159
45412241,ALOX5,372,581
45382502,ALOX5,900,820
45424974,ALOX5,1241,972
30744104,ALOX5AP,1693,1507
30752079,ALOX5AP,2748,1694
30752118,ALOX5AP,1809,2053
30744141,ALOX5AP,2296,2166
8077106,ALOX12B,1550,1593
8080916,ALOX12B,2225,1454
8079822,ALOX12B,1376,1002
8086122,ALOX12B,1543,1944
4641527,ALOX15,601,567
4638911,ALOX15,1209,1034
4637168,ALOX15,1080,981
4633485,ALOX15,1599,1478
8044899,ALOX15B,943,942
8039270,ALOX15B,1396,1229
8045589,ALOX15B,1941,2302
8045317,ALOX15B,1020,1201
232457035,ALPI,1034,1233
232458227,ALPI,883,782
232456906,ALPI,381,236
232458046,ALPI,717,696
21568214,ALPL,1564,1994
21563169,ALPL,1711,1770
21560713,ALPL,1704,1851
21564068,ALPL,896,859
232379001,ALPP,1567,1379
232380221,ALPP,444,500
232379846,ALPP,1887,1682
232379513,ALPP,2250,2976
232407927,ALPPL2,1396,1496
232408007,ALPPL2,1400,1803
232407169,ALPPL2,1298,1300
232407594,ALPPL2,2079,2460
110070341,ALX3,1373,1671
110064850,ALX3,1784,1682
110064708,ALX3,2501,1564
110070409,ALX3,2195,1710
70603887,AMBN,2830,2471
70597011,AMBN,2274,1953
70602974,AMBN,1622,1842
70602626,AMBN,1865,1876
114069734,AMBP,930,1079
114074055,AMBP,630,466
114074141,AMBP,799,576
114075026,AMBP,949,908
110888962,AMD1,700,292
110890301,AMD1,971,1096
110875214,AMD1,822,365
110892784,AMD1,520,633
11298595,AMELX,2778,2674
11298694,AMELX,1921,2209
11298724,AMELX,2357,2885
11298556,AMELX,906,992
6868317,AMELY,1117,1794
6868461,AMELY,1105,1349
6868369,AMELY,961,1090
6868408,AMELY,802,948
56408079,AMFR,2525,1450
56405004,AMFR,2173,1820
56403010,AMFR,1605,1149
56414270,AMFR,1294,1317
2251263,AMH,1779,1893
2250754,AMH,1130,1510
2250360,AMH,1811,1023
2249462,AMH,1047,1454
53425838,AMHR2,972,941
53429463,AMHR2,497,457
53425697,AMHR2,775,528
53425483,AMHR2,1243,1544
114679696,AMPD1,886,821
114686747,AMPD1,424,192
114677356,AMPD1,375,473
114680394,AMPD1,393,362
109626884,AMPD2,699,553
109627298,AMPD2,635,1013
109628416,AMPD2,703,619
109625720,AMPD2,597,486
10495000,AMPD3,1291,1452
10495729,AMPD3,1360,1241
10487343,AMPD3,649,614
10482132,AMPD3,630,513
38491109,AMPH,695,917
38432194,AMPH,660,750
38463098,AMPH,450,430
38494522,AMPH,943,863
127070763,BIN1,1707,1109
127069017,BIN1,2314,1317
127059016,BIN1,2217,1603
127070558,BIN1,941,617
49420321,AMT,2067,1797
49420215,AMT,2011,2322
49419376,AMT,1525,1306
49419297,AMT,768,545
103660394,AMY1A,3065,1913
103658529,AMY1A,469,152
103656984,AMY1A,1171,637
103656476,AMY1A,1509,1934
103693331,AMY1B,1704,1412
103691527,AMY1B,1224,1056
103694985,AMY1B,2060,564
103693492,AMY1B,1555,734
103752674,AMY1C,861,1042
103752126,AMY1C,497,478
103751968,AMY1C,801,402
103750626,AMY1C,1007,554
103619104,AMY2A,760,700
103617587,AMY2A,329,484
103621657,AMY2A,950,567
103618964,AMY2A,764,758
103575257,AMY2B,851,881
103573721,AMY2B,1328,1330
103573803,AMY2B,743,955
103572252,AMY2B,2019,735
20693754,ANG,2689,2800
20693626,ANG,1888,1416
20693690,ANG,895,1082
20693724,ANG,2585,1644
107497449,ANGPT1,668,745
107497342,ANGPT1,2407,2122
107347085,ANGPT1,2068,2394
107294016,ANGPT1,982,1382
6521262,ANGPT2,1331,1531
6532362,ANGPT2,421,695
6562722,ANGPT2,1143,1474
6519911,ANGPT2,2129,2165
41733976,ANK1,840,766
41718120,ANK1,1731,1265
41706163,ANK1,2131,2611
41694721,ANK1,1502,1349
113288482,ANK2,381,452
113240531,ANK2,585,478
113311297,ANK2,623,656
113274549,ANK2,869,819
60073203,ANK3,1597,1113
60075277,ANK3,1428,1058
60173167,ANK3,2060,1817
60108970,ANK3,1118,942
89805360,ANPEP,1053,1124
89806377,ANPEP,469,574
89804574,ANPEP,304,394
89801506,ANPEP,459,491
185144822,SLC25A4,531,572
185145108,SLC25A4,652,478
185144885,SLC25A4,437,375
185145011,SLC25A4,559,323
119469920,SLC25A5,705,710
119469981,SLC25A5,460,227
119470116,SLC25A5,501,181
119469762,SLC25A5,596,516
1389453,SLC25A6,2483,2302
1389588,SLC25A6,2213,1822
1389265,SLC25A6,418,376
1389687,SLC25A6,1974,1731
73158764,ANXA1,841,731
73160876,ANXA1,558,605
73160306,ANXA1,933,655
73163487,ANXA1,613,860
