Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
MSANTD3-TMEFF1	4	0.633	1.2486	0.0084527	0.15084	0.2118	0.634
ARL17B	4	0.1559	0.73095	0.4651	0.90966	0.46481	0.73921
BRCA2	4	-0.37911	-1.2644	0.34343	0.85643	0.20609	0.634
MIS12	4	-0.15545	-0.64792	0.75264	0.9778	0.51704	0.76477
YME1L1	4	-0.2175	-0.86508	0.61878	0.95029	0.387	0.69039
CHSY3	4	-0.48193	-1.5543	0.22772	0.76308	0.12012	0.634
INF2	4	0.054706	0.1924	0.71251	0.97086	0.84743	0.92321
SLC7A1	4	0.17238	0.76135	0.42915	0.89795	0.44645	0.72924
CYP51A1	4	-0.17264	-1.4683	0.7135	0.97086	0.14203	0.634
FAM171B	4	0.43374	1.1093	0.070008	0.49965	0.26729	0.63763
PPP2R5A	4	0.13958	0.66422	0.50194	0.92372	0.50655	0.76167
KLHL21	4	0.062392	0.63758	0.69212	0.96676	0.52375	0.76785
ZCCHC24	4	0.27194	1.201	0.23876	0.77719	0.22975	0.634
ZAK	4	-0.25569	-0.74374	0.54371	0.93275	0.45703	0.73458
RPL36	4	-3.4853	-6.3289	0	0	2.4694e-10	9.9328e-07
GKAP1	4	0.089828	0.63546	0.62241	0.95125	0.52513	0.76785
RCBTB2	4	0.18094	0.91368	0.40976	0.89053	0.36089	0.67536
GTPBP1	4	-0.014486	-0.068058	0.90036	0.99393	0.94574	0.97552
FBXO9	4	-0.276	-0.9682	0.50696	0.92468	0.33295	0.66126
SOSTDC1	4	-0.040129	-0.3597	0.96405	0.99826	0.71907	0.84832
C1QTNF9B-AS1	4	-0.15433	-0.61374	0.75462	0.9778	0.53939	0.77275
CAV2	4	0.50224	1.0973	0.037092	0.36703	0.27252	0.63891
CDK13	4	-0.79815	-2.5034	0.058522	0.46226	0.012301	0.24666
TBC1D24	4	0.3808	1.3737	0.10899	0.60608	0.16953	0.634
OR4L1	4	0.22302	1.1441	0.32513	0.84648	0.25257	0.63489
TRIM68	4	0.46869	1.0376	0.051213	0.42899	0.29944	0.64531
CMC4	4	0.48495	1.1251	0.044004	0.40118	0.26054	0.63562
TMC6	4	-0.072065	-0.36934	0.95495	0.99777	0.71187	0.84434
PACSIN3	4	0.082266	0.78732	0.64171	0.95452	0.43109	0.72004
KBTBD2	4	-0.75443	-2.0288	0.071848	0.50702	0.042475	0.45731
RNF122	4	0.29548	0.8537	0.20366	0.74033	0.39327	0.69467
OR9G4	4	0.27354	1.088	0.23648	0.77522	0.27661	0.63891
KRT23	4	0.077865	1.0888	0.65205	0.95548	0.27623	0.63891
ERMP1	4	-0.11085	-0.80253	0.85606	0.98994	0.42225	0.71499
MRLN	4	0.34033	0.96214	0.14772	0.66982	0.33598	0.66253
CFAP45	4	0.015512	0.096086	0.81747	0.9868	0.92345	0.9651
KCNMB2	4	-0.015457	-0.081151	0.90294	0.99393	0.93532	0.97127
SMIM2	4	0.18891	0.86832	0.39399	0.88511	0.38522	0.68959
HOPX	4	0.043798	0.17532	0.74204	0.9778	0.86083	0.93176
SNRNP25	4	-1.8522	-3.2682	0.00044749	0.026946	0.0010823	0.064592
ANAPC10	4	-0.28443	-0.88433	0.4904	0.91945	0.37652	0.68393
MUC12	4	0.057598	0.43004	0.7051	0.96918	0.66717	0.81898
CMTM8	4	-0.14789	-0.61589	0.77014	0.98035	0.53797	0.77228
AURKB	4	-1.1222	-2.3058	0.013126	0.2023	0.021122	0.33185
ZBTB7B	4	-0.23254	-1.1479	0.58811	0.94338	0.251	0.63489
HRSP12	4	-0.37768	-0.89458	0.34507	0.85721	0.37101	0.6803
PHF12	4	-0.5981	-1.7819	0.14076	0.66052	0.074765	0.58141
GALNT12	4	0.31949	0.95377	0.17144	0.70081	0.3402	0.66475
RNF44	4	-0.024306	-0.10701	0.92477	0.99393	0.91478	0.96058
MYO10	4	-0.42265	-1.4201	0.29022	0.82119	0.15558	0.634
ABCC6	4	0.22654	0.74895	0.31901	0.84377	0.45389	0.73275
CES5A	4	-0.28201	-1.0075	0.49423	0.9208	0.31371	0.65234
CPXCR1	4	0.57658	1.123	0.016657	0.23427	0.26146	0.63562
FBXL18	4	0.089019	0.36793	0.62505	0.95125	0.71293	0.84502
OR5M9	4	0.5956	1.3632	0.012977	0.20092	0.17282	0.634
DDX56	4	-0.96227	-1.8478	0.026899	0.30721	0.064638	0.5465
RAD54B	4	-0.045245	-0.16098	0.97678	0.99888	0.87211	0.93836
ZNF442	4	0.31004	1.5327	0.18307	0.71673	0.12536	0.634
SNRNP48	4	-0.25784	-0.55802	0.54008	0.9326	0.57683	0.78386
ITPKB	4	-0.2794	-1.853	0.49955	0.92336	0.063879	0.54505
PCGF3	4	-0.055604	-0.20536	0.99567	0.99985	0.83729	0.91679
TRIM41	4	0.12889	0.68965	0.5265	0.92922	0.49041	0.7547
RRN3	4	-1.9317	-2.94	0.00014916	0.011029	0.0032824	0.1212
HBD	4	0.361	1.4231	0.12585	0.63481	0.15471	0.634
CHRDL2	4	0.00043625	0.0029034	0.85844	0.99002	0.99768	0.99881
FAM9A	4	0.083836	0.62572	0.63778	0.95395	0.5315	0.76975
TRPM8	4	-0.41594	-1.449	0.29853	0.82782	0.14735	0.634
RAET1L	4	0.027242	0.31892	0.78635	0.98266	0.74979	0.86705
MAML3	4	0.17266	0.97867	0.42845	0.89723	0.32774	0.65876
SMC2	4	-1.9752	-2.8576	9.9443e-05	0.0081633	0.004268	0.14095
PLOD1	4	0.32789	1.1585	0.16085	0.68727	0.24668	0.63489
EIF1B	4	0.1224	1.0022	0.54331	0.93275	0.31624	0.65355
C11orf88	4	0.15645	1.3317	0.46385	0.90953	0.18295	0.634
SKIV2L	4	-0.90758	-2.8038	0.034507	0.35517	0.0050502	0.15431
SEC61G	4	-0.43298	-1.0171	0.27839	0.81039	0.30911	0.64874
EEFSEC	4	-0.15727	-0.75384	0.74861	0.9778	0.45094	0.73135
TTC12	4	0.41668	1.1545	0.080947	0.53478	0.24828	0.63489
ZNF575	4	0.21817	1.021	0.33418	0.85024	0.30726	0.64847
RNF20	4	-0.3802	-1.6277	0.34184	0.8562	0.1036	0.634
MPZ	4	-0.16375	-0.83643	0.73444	0.97602	0.40291	0.70056
AKT1	4	-0.34896	-1.6344	0.38649	0.87978	0.10218	0.634
SERPINB3	4	0.59065	0.90723	0.013723	0.2084	0.36429	0.67689
LYN	4	-0.40089	-1.48	0.31668	0.84201	0.13887	0.634
USP17L3	4	-0.37267	-1.4294	0.35203	0.86155	0.1529	0.634
PRKCH	4	0.29937	1.1852	0.19784	0.73224	0.23593	0.634
GGT7	4	0.21134	1.1251	0.3481	0.85967	0.26054	0.63562
CLCA1	4	0.22272	0.95027	0.32568	0.84648	0.34198	0.66534
KAZN	4	0.054275	0.44806	0.7138	0.97086	0.65411	0.81212
MLX	4	0.089856	0.81886	0.62241	0.95125	0.41287	0.70898
CAPN15	4	0.18505	0.98781	0.40105	0.88765	0.32325	0.65772
COX5B	4	-0.71154	-1.9721	0.085621	0.54597	0.048597	0.48481
RPS12	4	-0.68476	-1.3618	0.097355	0.58212	0.17325	0.634
SYAP1	4	0.18713	0.77146	0.39723	0.88633	0.44044	0.72553
XCR1	4	0.10211	0.78904	0.59198	0.94414	0.43009	0.71969
CTTN	4	-0.054499	-0.20049	0.99866	0.9999	0.8411	0.91927
C20orf173	4	0.010895	0.18444	0.83085	0.98743	0.85367	0.9277
PARL	4	-0.0097449	-0.093827	0.88589	0.99314	0.92525	0.96598
ASB18	4	-0.27487	-1.9421	0.50895	0.92468	0.052131	0.49623
OGDHL	4	0.18438	1.3132	0.40265	0.88776	0.18913	0.634
BBS5	4	0.60723	1.2459	0.010939	0.17843	0.21281	0.634
HSFX1	4	0.0077854	0.025197	0.8386	0.98743	0.9799	0.99085
FAM227A	4	0.030134	0.19688	0.77904	0.98108	0.84392	0.92088
PLSCR2	4	-0.21897	-0.84979	0.61585	0.94951	0.39544	0.69575
SNX9	4	-0.028965	-0.43909	0.93581	0.99487	0.6606	0.81522
CSTF2T	4	0.39354	1.2987	0.098498	0.58617	0.19405	0.634
SNX19	4	-0.56241	-1.9294	0.16423	0.69237	0.05368	0.50215
TMEM132B	4	0.022159	0.16785	0.79878	0.98354	0.8667	0.93587
PRC1	4	-1.3279	-2.8875	0.0043258	0.098639	0.0038835	0.13351
ERN2	4	-0.13422	-0.55529	0.80151	0.98497	0.5787	0.78386
AKT1S1	4	-0.21316	-1.119	0.62768	0.95161	0.26313	0.63591
PAK1	4	-0.024725	-0.10761	0.92596	0.99393	0.91431	0.96054
DGKI	4	0.022467	0.12345	0.79783	0.98352	0.90175	0.9533
FAM150A	4	0.39682	1.5194	0.095615	0.57743	0.12865	0.634
PRH2	4	0.32279	0.94942	0.16677	0.69388	0.34241	0.66555
MOBP	4	0.22856	0.97236	0.31533	0.84175	0.33087	0.66005
EDEM2	4	-0.25517	-1.2912	0.54435	0.93294	0.19664	0.634
FOXB1	4	-0.25982	-1.3732	0.53669	0.93241	0.1697	0.634
CLEC4A	4	0.0085051	0.038328	0.83647	0.98743	0.96943	0.98655
TMEM214	4	-0.026421	-0.1793	0.93014	0.9941	0.85771	0.93018
CDY1B	4	0.33338	1.4135	0.15493	0.67848	0.15752	0.634
ASIC1	4	0.17083	1.7035	0.43283	0.89826	0.088484	0.62407
SCYL1	4	-0.24259	-0.88963	0.56832	0.93746	0.37367	0.68208
GALR2	4	0.22963	0.90179	0.3129	0.83991	0.36717	0.67845
SMN1	4	-1.6319	-3.3079	0.00099443	0.042644	0.00094	0.0604
HSBP1	4	0.025754	0.12534	0.79018	0.98321	0.90026	0.95264
CTAGE1	4	0.37438	1.4395	0.11351	0.61174	0.15	0.634
CEP85	4	-1.1461	-2.3492	0.011535	0.18442	0.018816	0.31378
CHCHD1	4	-1.2601	-2.9282	0.0065135	0.12706	0.0034092	0.12378
RPL35A	4	-2.0183	-3.2129	4.9722e-05	0.0044248	0.0013142	0.071825
OR5H14	4	-0.0039839	-0.035131	0.87082	0.99214	0.97198	0.98814
NLRP12	4	0.079791	0.38278	0.64797	0.95475	0.70188	0.83875
TNRC6C	4	0.073716	0.43314	0.6614	0.95837	0.66491	0.81782
FAF1	4	-0.44896	-2.2346	0.26228	0.79843	0.025441	0.3616
TEC	4	0.011212	0.0635	0.83	0.98743	0.94937	0.97781
HEATR6	4	-0.36346	-1.3817	0.36605	0.87061	0.16706	0.634
FKBP11	4	-0.028499	-0.38213	0.93457	0.99482	0.70236	0.83906
PSME4	4	-0.25103	-1.0736	0.55191	0.93455	0.283	0.63926
BCS1L	4	-1.3532	-2.758	0.003928	0.093491	0.0058163	0.16605
KIAA0753	4	-0.12934	-1.7578	0.81285	0.98582	0.07878	0.59256
SART1	4	-1.1006	-2.7447	0.014469	0.21397	0.0060565	0.16961
RBM5	4	0.025613	0.076632	0.79052	0.98321	0.93892	0.9731
SFRP1	4	0.13342	0.66381	0.51561	0.92502	0.50681	0.76167
IQCC	4	-0.47339	-1.6025	0.23672	0.77532	0.10905	0.634
SFTA2	4	0.30359	1.493	0.19183	0.72342	0.13544	0.634
NEK2	4	-0.41349	-0.93869	0.30121	0.83066	0.34789	0.66882
VWA5B2	4	-0.28839	-1.3402	0.48389	0.91755	0.18018	0.634
GPT	4	-0.27603	-0.80386	0.50691	0.92468	0.42148	0.71456
SLC43A3	4	0.4686	1.441	0.051213	0.42899	0.14959	0.634
MTRNR2L1	2	-0.10687	-0.91758	0.85844	0.99002	0.35884	0.67408
PLEKHO1	4	0.15851	0.58935	0.45963	0.90888	0.55562	0.77875
NUP214	4	-1.1105	-2.5725	0.013872	0.20899	0.010097	0.22438
SCNN1A	4	0.0033928	0.015091	0.84979	0.98873	0.98796	0.99375
SHISA4	4	-0.43649	-2.2326	0.27476	0.80774	0.025576	0.36199
CCDC146	4	0.26661	1.5088	0.24667	0.78298	0.13135	0.634
MAT1A	4	0.32436	1.0048	0.16527	0.69263	0.31498	0.65339
MPZL1	4	0.10052	0.79523	0.59666	0.94567	0.42648	0.71843
ANGPTL3	4	0.12169	0.84916	0.54505	0.93349	0.39579	0.69594
SBF1	4	0.020072	0.13681	0.80564	0.98555	0.89118	0.94782
FZD4	4	-0.38778	-2.2332	0.33269	0.84978	0.025534	0.36165
CUL1	4	-0.57412	-1.2314	0.15727	0.68255	0.21816	0.634
RNF31	4	-0.43658	-2.1857	0.27476	0.80774	0.028836	0.38534
FNDC1	4	0.063109	0.4966	0.69023	0.96665	0.61947	0.79677
CAMTA1	4	-0.21024	-0.45652	0.63435	0.95261	0.64802	0.80915
FAM156A	4	0.0081714	0.027798	0.83726	0.98743	0.97782	0.99036
PTPMT1	4	-1.589	-2.2903	0.0011933	0.047151	0.022003	0.33728
BOC	4	0.37413	1.1834	0.11371	0.61248	0.23664	0.634
CCDC67	4	0.56148	1.262	0.019739	0.25982	0.20694	0.634
CLCNKB	4	0.055104	0.25524	0.71157	0.97086	0.79854	0.89452
HIGD1A	4	-0.13078	-1.0595	0.80927	0.98555	0.28938	0.64214
DDX10	4	-2.6263	-4.8457	0	0	1.2615e-06	0.00078931
KIAA1467	4	-0.23791	-1.1585	0.57707	0.93801	0.24667	0.63489
MYO1D	4	0.24131	1.1247	0.29147	0.82209	0.26071	0.63562
RGS7BP	4	0.296	1.4313	0.20296	0.73976	0.15234	0.634
MEN1	4	-1.6091	-3.4612	0.0010939	0.044625	0.00053782	0.04397
SAXO2	4	-0.24019	-1.1032	0.57249	0.93779	0.26992	0.63805
OR1L3	4	-0.12185	-0.89225	0.82916	0.98743	0.37226	0.68112
SH3RF3	4	-0.057517	-0.35746	0.9908	0.99965	0.72075	0.84923
RPTN	4	-0.22819	-0.69531	0.59711	0.94567	0.48686	0.75309
ZC3H12B	4	-0.021827	-0.18566	0.91945	0.99393	0.85271	0.92706
LCE3B	4	0.28656	1.0483	0.21629	0.75303	0.29448	0.64423
FUT3	4	0.16394	1.1647	0.44645	0.90096	0.24415	0.63489
NADK	4	-0.81881	-2.1932	0.052705	0.43496	0.028296	0.38297
PLA2G4D	4	0.10685	1.2055	0.58045	0.93956	0.228	0.634
ABCF1	4	-1.5846	-3.3463	0.001243	0.04771	0.00081895	0.056942
PPP3CC	4	0.001003	0.0074506	0.8572	0.99002	0.99406	0.99723
FTSJ2	4	-1.2704	-2.2086	0.0060163	0.1204	0.027202	0.37395
YIPF1	4	-0.44479	-2.1156	0.26606	0.80069	0.034377	0.41899
PRDM4	4	0.50596	1.2708	0.03565	0.36066	0.20382	0.634
MROH2B	4	-0.050477	-0.19684	0.9904	0.99965	0.84395	0.92088
CALB2	4	0.094452	0.65992	0.61058	0.94841	0.5093	0.76255
HSFX2	4	-0.16034	-0.45731	0.74135	0.97758	0.64745	0.80889
OR10A6	4	0.20394	0.92381	0.36237	0.86848	0.35558	0.67262
OTUD6B	4	0.21696	0.85726	0.33657	0.85241	0.3913	0.69307
SMIM20	4	0.26551	0.70999	0.24836	0.78421	0.47771	0.74704
HGD	4	0.067972	0.41094	0.67606	0.96228	0.68112	0.82701
ZIM2	4	0.041302	0.25461	0.7495	0.9778	0.79902	0.89486
PCSK4	4	-0.042202	-0.27021	0.96947	0.99826	0.787	0.88781
FH	4	-0.090087	-0.23614	0.90851	0.99393	0.81332	0.90346
JPH1	4	0.15966	0.81332	0.45674	0.90576	0.41604	0.71111
VANGL2	4	-0.24864	-1.6051	0.55673	0.93558	0.10848	0.634
COMTD1	4	0.029317	0.30137	0.78123	0.98108	0.76313	0.87489
CT62	4	-0.14244	-0.40159	0.78232	0.98147	0.68799	0.83098
PNRC1	4	-0.17421	-0.56894	0.70978	0.97069	0.5694	0.78185
KIAA2022	4	0.38891	1.426	0.10203	0.59421	0.15387	0.634
RBMXL3	4	-0.18805	-0.67586	0.68158	0.96442	0.49913	0.75848
RNF213	4	0.14182	1.0496	0.49712	0.92232	0.29389	0.64423
SAP30BP	4	-0.58097	-1.2094	0.1521	0.67334	0.2265	0.634
ZNF205	4	-0.1579	-0.67404	0.74732	0.9778	0.50028	0.75906
UBR2	4	0.19207	0.92616	0.38838	0.88086	0.35436	0.67241
TBC1D7	4	0.24325	1.1512	0.28829	0.81962	0.24966	0.63489
PDLIM7	4	-0.038092	-0.38096	0.95863	0.99826	0.70323	0.83947
RBBP7	4	-0.37854	-1.5846	0.34397	0.85652	0.11306	0.634
ACBD4	4	0.15136	1.1995	0.47499	0.91397	0.23032	0.634
CHRNA3	4	0.10327	0.44154	0.58895	0.94361	0.65882	0.81469
ABCA1	4	0.55804	1.1566	0.020634	0.26552	0.24745	0.63489
PDGFD	4	0.14186	1.1662	0.49692	0.92213	0.24354	0.63475
ZNF286B	4	0.095925	0.38679	0.6073	0.94792	0.69891	0.83749
ERBB2IP	4	0.96133	1.0743	9.9443e-05	0.0081633	0.28269	0.63912
SPSB2	4	-0.062563	-0.18603	0.97772	0.99898	0.85242	0.927
NTN3	4	0.15818	0.53131	0.46047	0.90953	0.59521	0.78984
TARM1	4	-0.13094	-1.5344	0.80902	0.98555	0.12493	0.634
GAPDH	4	-2.2442	-3.7757	0	0	0.00015953	0.022595
CSK	4	0.18799	0.91893	0.39568	0.88535	0.35813	0.67376
PIWIL1	4	0.2353	1.3831	0.30236	0.83153	0.16663	0.634
PPIP5K1	4	0.10365	0.5314	0.58821	0.94338	0.59514	0.78981
GOLGA7B	4	-0.13071	-0.74419	0.80932	0.98555	0.45676	0.73438
GLIPR1L1	4	-0.3121	-1.1052	0.44332	0.90077	0.26908	0.63805
C14orf79	4	0.31298	1.4497	0.1785	0.71047	0.14713	0.634
PAGE5	4	0.27381	1.104	0.23613	0.77484	0.2696	0.63805
C21orf58	4	-0.42464	-1.2682	0.28789	0.81895	0.20473	0.634
AIF1L	4	0.50634	1.072	0.035601	0.36066	0.28372	0.63926
LGALS1	4	-0.25835	-1.4549	0.53913	0.9326	0.14569	0.634
OR10T2	4	0.16934	1.2339	0.43566	0.89877	0.21723	0.634
ATP6V0E2	4	0.49921	1.2845	0.038087	0.37184	0.19897	0.634
TRPC4	4	-0.17239	-0.65013	0.7143	0.97086	0.51561	0.76462
CYP21A2	4	0.21411	1.0859	0.34273	0.85643	0.27754	0.63891
RBMX	4	-1.6213	-3.0277	0.0010442	0.04375	0.0024641	0.10522
HIST1H2BC	4	0.17234	0.96182	0.4292	0.89795	0.33614	0.66253
AKIRIN2	4	-1.8224	-3.4651	0.00044749	0.026946	0.00053003	0.043689
OR5R1	4	-0.11671	-0.74308	0.84174	0.98787	0.45743	0.73505
CABP5	4	-0.10466	-0.51809	0.87147	0.99214	0.60439	0.7928
ICK	4	-0.15055	-0.60846	0.76323	0.97929	0.54288	0.77441
CCDC174	4	-0.86455	-2.0617	0.042661	0.39521	0.039241	0.44388
ZNF423	4	0.24241	1.3084	0.28978	0.82119	0.19073	0.634
DPP10	4	0.41931	1.4236	0.078411	0.52462	0.15457	0.634
PAG1	4	-0.33357	-0.63811	0.4103	0.89076	0.5234	0.76785
RNPEPL1	4	0.56089	1.3089	0.019938	0.2609	0.19056	0.634
NDUFS3	4	-0.3872	-1.6068	0.33343	0.84983	0.1081	0.634
LSM12	4	-0.80159	-2.3524	0.056931	0.45491	0.018653	0.31297
HSH2D	4	-0.07642	-0.36938	0.94441	0.99764	0.71184	0.84434
RPL38	4	-1.5268	-2.7217	0.0016408	0.054187	0.0064952	0.17599
NARFL	4	-1.86	-3.3804	0.00044749	0.026946	0.00072392	0.053279
MYOF	4	0.32456	1.0906	0.16503	0.69263	0.27544	0.63891
DMXL2	4	0.21152	1.0009	0.34785	0.85957	0.31687	0.65356
PRG4	4	-0.032985	-0.11884	0.9466	0.99776	0.9054	0.95545
RNF144A	4	0.065187	0.44228	0.68387	0.96499	0.65829	0.81458
ADK	4	-0.10699	-0.59906	0.86585	0.99176	0.54913	0.7766
SLC17A3	4	0.28987	0.95264	0.21221	0.74829	0.34077	0.66481
ANKIB1	4	-0.065295	-0.28057	0.97076	0.99826	0.77904	0.88443
FBXL6	4	-0.63659	-1.914	0.11928	0.62484	0.055622	0.51315
ZFP1	4	-0.11557	-0.85216	0.84517	0.98832	0.39413	0.69516
TCP11L1	4	-0.0042782	-0.021111	0.87172	0.99214	0.98316	0.99228
POLR3F	4	-0.56413	-2.0044	0.16304	0.69046	0.045028	0.46874
MADD	4	-0.039364	-0.38542	0.96186	0.99826	0.69992	0.83799
KDM1B	4	-0.17721	-1.1987	0.70351	0.96869	0.23063	0.634
GPSM2	4	-0.40576	-1.947	0.31096	0.83838	0.051539	0.49423
NFKB2	4	-0.17361	-1.3338	0.71092	0.97086	0.18227	0.634
DNTTIP1	4	-0.44318	-2.0825	0.26755	0.80218	0.037298	0.43638
CENPO	4	-1.0394	-2.772	0.018994	0.25399	0.005571	0.16274
CNBD2	4	0.11287	0.82711	0.56558	0.93746	0.40817	0.70483
BRS3	4	-0.052115	-0.33314	0.99473	0.99985	0.73903	0.85993
KIAA1033	4	-0.35053	-1.9065	0.38405	0.87843	0.056579	0.51771
MYLK2	4	-0.2924	-1.2835	0.47643	0.91404	0.19933	0.634
CAPN2	4	-0.056995	-0.21147	0.99204	0.99965	0.83252	0.91431
USP28	4	0.55012	0.96344	0.022424	0.27998	0.33533	0.66253
CLDN23	4	0.34027	1.1721	0.14772	0.66982	0.24117	0.6342
EGR1	4	0.21056	0.94413	0.34934	0.86029	0.3451	0.6667
HABP2	4	-0.073524	-0.28611	0.95142	0.99776	0.77479	0.88225
ABT1	4	-1.0894	-2.4541	0.015165	0.22006	0.014122	0.26947
CPVL	4	-0.11351	-1.0796	0.85029	0.98873	0.28034	0.63898
RASGEF1B	4	0.71264	1.2139	0.0029336	0.081744	0.22478	0.634
UNKL	4	0.41572	1.1621	0.081444	0.53492	0.24519	0.63489
ZNF563	4	-0.22467	-1.6566	0.60337	0.94761	0.097598	0.634
PCDHGB2	4	-0.14804	-0.69771	0.76994	0.98035	0.48536	0.75205
CFL2	4	-0.11804	-0.56094	0.8385	0.98743	0.57484	0.78315
MGAT4C	4	0.097625	0.40096	0.60402	0.94767	0.68845	0.83112
NHLRC1	4	0.45043	1.2503	0.061008	0.46987	0.21118	0.634
SGK1	4	-0.23211	-1.1919	0.5891	0.94361	0.23331	0.634
SLC38A10	4	-0.0007291	-0.012307	0.86093	0.99056	0.99018	0.99497
MAGEA2B	4	-0.83569	-2.4159	0.048876	0.42407	0.015694	0.28565
GTF2H2	4	-0.59813	-1.2915	0.14076	0.66052	0.19653	0.634
EIF1AX	4	-1.9329	-3.4889	0.00014916	0.011029	0.00048505	0.042415
OR8H1	4	0.21329	1.1243	0.34392	0.85652	0.26088	0.63562
ZNF785	4	-0.17216	-0.61639	0.7149	0.97086	0.53764	0.77224
OR52H1	4	-0.3575	-1.5393	0.37435	0.87547	0.12374	0.634
CXCL11	4	0.39672	1.2288	0.095664	0.57743	0.21914	0.634
MUCL1	4	0.31684	1.1154	0.17403	0.70465	0.26468	0.63658
KLK5	4	-0.056462	-0.76063	0.99344	0.99965	0.44688	0.72941
TNS2	4	-0.27185	-1.9984	0.51412	0.92502	0.045675	0.47133
PFDN1	4	-0.29501	-1.0785	0.47226	0.91336	0.28082	0.63898
TMEM244	4	0.19718	0.92194	0.37689	0.87652	0.35656	0.67314
PGK2	4	-0.057919	-0.39217	0.98996	0.99965	0.69493	0.83516
JAG1	4	0.052194	0.34299	0.71972	0.9718	0.73161	0.85642
SMCO1	4	0.061163	0.80477	0.69486	0.96699	0.42095	0.71427
VWA3B	4	0.18129	0.95915	0.40911	0.89042	0.33748	0.66298
TLX1	4	-0.065188	-0.5213	0.97101	0.99826	0.60216	0.79229
MYD88	4	0.52949	1.2187	0.028043	0.31403	0.22295	0.634
OR6K6	4	0.045467	0.49589	0.73747	0.97714	0.61997	0.79711
SLC25A10	4	-0.19987	-0.96953	0.65588	0.95698	0.33228	0.66095
RPL39	4	-0.41015	-0.98175	0.30564	0.83482	0.32622	0.65832
ARL10	4	-0.76079	-2.0031	0.06971	0.49858	0.045163	0.46917
MYH9	4	-1.0889	-2.9542	0.015215	0.22062	0.0031348	0.11788
CLEC12A	4	0.12346	0.79003	0.54072	0.9326	0.42951	0.71946
ANKRD46	4	0.36338	1.3327	0.12371	0.63147	0.18264	0.634
RANBP1	4	-0.19206	-1.0466	0.67273	0.96148	0.29529	0.64462
RNFT1	4	-0.13114	-0.6938	0.80862	0.98555	0.48781	0.7534
SH2D5	4	0.40852	1.0495	0.086963	0.55243	0.29395	0.64423
FABP9	4	0.051301	0.28108	0.72166	0.97246	0.77865	0.88425
VSX1	4	0.12457	0.67293	0.53779	0.9326	0.50099	0.75944
MAP4K2	4	-0.28474	-1.4209	0.49001	0.91945	0.15535	0.634
C7orf72	4	0.28498	1.1854	0.21838	0.75399	0.23587	0.634
NXPE4	4	0.16945	0.33553	0.43541	0.89861	0.73723	0.85875
LALBA	4	0.27116	0.84399	0.23991	0.77719	0.39867	0.69741
LCE1F	4	-0.014188	-0.11198	0.89931	0.99393	0.91084	0.95878
SLC39A13	4	0.12575	0.40687	0.53451	0.93219	0.6841	0.82843
FOXD1	4	-0.58911	-1.6889	0.14678	0.66946	0.091233	0.63206
TANK	4	0.15059	0.89515	0.47628	0.91404	0.37071	0.68002
KCNQ3	4	-0.30972	-1.4096	0.44744	0.90197	0.15866	0.634
APBB3	4	-0.23688	-1.5504	0.57941	0.93938	0.12106	0.634
C1orf122	4	0.21501	0.92438	0.34079	0.8562	0.35529	0.67262
PDE4D	4	0.1181	0.8349	0.5531	0.93534	0.40377	0.70119
DSTN	4	-0.34649	-1.2374	0.38952	0.88131	0.21593	0.634
AMT	4	0.17128	0.75443	0.43193	0.89825	0.45059	0.73118
RPP25	4	0.033337	0.23579	0.77158	0.98048	0.81359	0.90358
AMIGO1	4	0.30992	1.2795	0.18317	0.71673	0.20072	0.634
KRT17	4	-0.78832	-2.1274	0.061158	0.46987	0.033388	0.4152
DEFA1B	4	0.1475	0.76787	0.48399	0.91755	0.44257	0.72705
DSCC1	4	-0.52588	-1.5134	0.19004	0.7217	0.13017	0.634
MEI1	4	0.077608	0.56166	0.65289	0.95603	0.57435	0.78313
ZBTB46	4	-0.14037	-0.80922	0.78744	0.98288	0.41839	0.71273
C12orf71	4	0.35265	1.2002	0.13425	0.64873	0.23008	0.634
STK33	4	0.4056	1.0922	0.089002	0.55867	0.27474	0.63891
ABHD8	4	0.39916	1.4856	0.094372	0.57527	0.13738	0.634
KANSL3	4	-0.57639	-1.4042	0.15593	0.67958	0.16027	0.634
KCTD18	4	0.80172	0.98372	0.001243	0.04771	0.32525	0.65821
MCM8	4	-0.19094	-0.95081	0.67512	0.96228	0.3417	0.66531
EXTL3	4	-0.33669	-1.6124	0.40468	0.88908	0.10688	0.634
TBC1D10B	4	-0.10283	-0.73442	0.8756	0.99232	0.46269	0.73837
5-Sep	4	-0.31178	-1.5913	0.44406	0.90077	0.11154	0.634
ASTN2	4	0.30988	0.99784	0.18317	0.71673	0.31836	0.65418
ROPN1L	4	-0.23752	-1.6169	0.57791	0.93832	0.10589	0.634
UTS2B	4	0.044655	0.32344	0.73946	0.9775	0.74637	0.86478
CHST11	4	0.18362	0.78924	0.40439	0.88895	0.42997	0.71969
VPS8	4	0.33171	1.2769	0.15702	0.68222	0.20163	0.634
PLTP	4	0.16775	0.71233	0.43869	0.9001	0.47626	0.74559
RCOR3	4	0.12763	0.80971	0.53018	0.9306	0.41811	0.71269
CACNA2D1	4	-0.18683	-0.88205	0.68427	0.96514	0.37775	0.68492
SMIM10L1	4	0.21111	0.68743	0.34845	0.85967	0.49181	0.75512
SSTR2	4	0.75587	1.0733	0.0016905	0.055465	0.28313	0.63926
