Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
EAF2	4	-0.17333	-0.56069	0.71142	0.97086	0.57501	0.78315
RGL2	4	0.20444	1.1729	0.36133	0.86732	0.24082	0.6342
CTXN2	4	0.17863	1.0352	0.41532	0.89262	0.30058	0.64531
ABHD17B	4	0.56331	1.3593	0.019242	0.25528	0.17405	0.634
EZH1	4	-0.068157	-0.36885	0.96455	0.99826	0.71224	0.84461
RCCD1	4	-0.62594	-2.1666	0.1254	0.63481	0.030267	0.39451
PVRL3	4	0.6855	1.0533	0.0041766	0.097335	0.29221	0.64383
AKR7A3	4	0.082162	0.51441	0.6421	0.95468	0.60696	0.79298
HAPLN3	4	-0.18924	-1.0272	0.67875	0.96344	0.30433	0.64669
MIA3	4	-0.065519	-0.42082	0.97042	0.99826	0.67389	0.82319
MAN1B1	4	-0.11153	-0.33518	0.85476	0.98969	0.73749	0.859
SSBP2	4	0.34655	1.2768	0.14046	0.66005	0.20168	0.634
SHROOM2	4	0.154	0.90007	0.46952	0.91078	0.36808	0.67879
NTRK2	4	0.19196	0.97564	0.38857	0.88086	0.32924	0.65918
HTT	4	-0.15273	-1.8337	0.7582	0.978	0.066703	0.55184
RPS6KB2	4	0.034721	0.42278	0.76795	0.98021	0.67246	0.82205
GATSL3	4	0.20718	1.3135	0.35586	0.86364	0.18901	0.634
EPS8	4	-0.44648	-1.4886	0.26517	0.80006	0.1366	0.634
CENPH	4	-0.26513	-0.94981	0.5272	0.92935	0.34221	0.66543
SNCB	4	-0.12906	-1.286	0.81349	0.98582	0.19845	0.634
C1orf210	4	-0.022187	-0.07908	0.9202	0.99393	0.93697	0.97216
ZNF865	4	-0.022674	-0.2193	0.92114	0.99393	0.82642	0.91188
ABCB10	4	-0.43066	-1.744	0.28127	0.8129	0.081162	0.60051
GTF2H1	4	-0.88935	-2.2627	0.037739	0.36934	0.023654	0.34928
EIF3C	4	-1.8806	-3.7813	0.00044749	0.026946	0.00015603	0.022595
LYRM7	4	-0.15744	-0.49312	0.74816	0.9778	0.62193	0.79809
ENAM	4	-0.28179	-1.2813	0.49483	0.92115	0.20009	0.634
CCDC54	4	0.082517	0.96607	0.64111	0.95412	0.33401	0.66216
HIST1H4J	4	-0.31662	-0.87023	0.43521	0.89861	0.38417	0.68882
ATP6AP2	4	-0.78903	-1.7012	0.061108	0.46987	0.088912	0.62504
KRT12	4	-0.073649	-0.37746	0.95132	0.99776	0.70583	0.84126
PRR20E	4	-0.29345	-1.1827	0.47479	0.91397	0.23691	0.634
C7orf55-LUC7L2	4	-0.46458	-1.3149	0.24652	0.78298	0.18855	0.634
CEBPG	4	0.36819	1.0871	0.11958	0.62484	0.27699	0.63891
PLIN2	4	-0.11943	-0.57578	0.83587	0.98743	0.56476	0.78073
MITD1	4	0.24264	0.95779	0.28918	0.82077	0.33817	0.66328
MMP3	4	0.23613	0.71593	0.30087	0.83061	0.47404	0.74409
ZG16	4	0.093473	1.3018	0.61287	0.94888	0.19298	0.634
FRA10AC1	4	0.23998	0.99255	0.29405	0.82437	0.32093	0.65555
TLK2	4	-0.60524	-2.0333	0.13639	0.6507	0.042026	0.45499
DOCK7	4	0.033747	0.15296	0.77029	0.98035	0.87843	0.94182
IFI30	4	0.2051	0.73061	0.36013	0.867	0.46502	0.73927
OTOGL	4	-0.007934	-0.046782	0.88097	0.99244	0.96269	0.98377
DCDC2C	4	0.28731	1.1715	0.21505	0.75074	0.24141	0.6342
WSCD1	4	0.060084	0.3147	0.69734	0.96717	0.75299	0.86875
C8orf89	4	-0.011023	-0.059463	0.89036	0.99393	0.95258	0.97917
GOSR2	4	-2.069	-3.6632	4.9722e-05	0.0044248	0.00024905	0.027413
TMED8	4	-0.003462	-0.020417	0.86938	0.99214	0.98371	0.99253
CABYR	4	0.12433	0.65562	0.53848	0.9326	0.51207	0.76338
HDAC3	4	-2.1075	-3.6665	4.9722e-05	0.0044248	0.00024592	0.027325
SLC24A4	4	0.12399	0.71598	0.53918	0.9326	0.474	0.74409
ARL6IP5	4	0.018105	0.11358	0.81061	0.98555	0.90957	0.95821
GGPS1	4	-1.5502	-3.2578	0.0015911	0.054187	0.0011226	0.065826
ZNF345	4	-0.0060599	-0.030624	0.87599	0.99232	0.97557	0.98949
SLC17A6	4	0.22409	1.135	0.32299	0.84541	0.25637	0.63496
CCNE1	4	-0.16747	-1.8477	0.72598	0.97394	0.064647	0.5465
PLAA	4	0.12857	1.0797	0.52794	0.93005	0.28029	0.63898
CCL15	4	0.27733	1.0025	0.23021	0.76656	0.31612	0.65349
MVD	4	-0.93996	-1.8176	0.030131	0.32917	0.069124	0.55921
JAM3	4	0.42945	1.4271	0.072544	0.50978	0.15356	0.634
