"","GeneID","MeanBeta","AneuScore.lm","AneuScore.lm.R2","AneuScore.P"
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)10372","PABPN1..8106.",-1.77853843097598,-0.0038500350791503,0.196447462240026,0.0202470241579761
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11243","POLR2H..5437.",-1.63061888422045,-0.00384989241422801,0.224276101157618,0.0182381615817725
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)6415","HAUS3..79441.",-1.12062165708074,-0.00384825567998803,0.247904788370891,0.0132456807023116
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)1235","ATP6V1F..9296.",-1.3417605604906,-0.00383017862535925,0.199381320518751,0.0182210920316024
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)4910","FAAP20..199990.",-0.64410514966581,-0.00380516136008062,0.214730310948133,0.00301069835151969
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2349","CCNB1..891.",-0.875346152349471,-0.00379731938178536,0.235388406913384,0.0506784541060747
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2591","CDKN1A..1026.",0.133695416300503,-0.00377194995323375,0.244301443721207,0.00112829000710709
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)8742","MED8..112950.",-1.36512798506575,-0.00376755536919075,0.17149024903193,0.015858871161532
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)3256","COPZ1..22818.",-1.67792806594135,-0.00376588774788441,0.230145107758413,0.0135708346717218
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)17209","ZNF684..127396.",-0.123090236122017,-0.0037643474887778,0.173266969732935,2.11025646196826e-05
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)8669","MCM3AP..8888.",-1.06957554300307,-0.00372703943237847,0.200472609931635,0.0229742670598009
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16578","XPO1..7514.",-1.75645518580272,-0.00368277454373269,0.20471694618346,0.0186567158554363
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16468","WDR73..84942.",-0.461958672637407,-0.00367578183444033,0.232870402865164,0.0504761479008158
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)1223","ATP6V0D1..9114.",-1.02423031187989,-0.00367468037900044,0.221177555314163,0.04501041918108
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)3409","CRKL..1399.",-0.720917650678719,-0.00367193026744342,0.358729618008499,0.10198339717632
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2843","CHMP4B..128866.",-0.92812012396262,-0.00365459024867246,0.403675635615799,0.134584045510752
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)10946","PIP5K1A..8394.",-0.607525368861106,-0.00365218957281946,0.210873055043186,0.00256599916913692
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16633","YTHDC1..91746.",-0.661046524722911,-0.00364475168121667,0.203865099713506,0.00631885448906303
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2395","CCT3..7203.",-1.95221726554236,-0.00362118947272718,0.263624391087653,0.0100775374116103
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2559","CDK1..983.",-2.01774858359316,-0.00361977204377084,0.208281762071167,0.0213778855773663
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)15132","TMED10..10972.",-0.600024829020072,-0.003616518792246,0.254872835012369,0.0493501664708412
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)15914","TUBGCP4..27229.",-1.05506881496567,-0.00360997963339694,0.257113518151491,0.00854760850894321
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11157","PMPCA..23203.",-1.14709502880009,-0.00360819316115472,0.203670732416495,0.0219192958744814
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)13989","SOX2..6657.",-0.169366110290733,-0.00360281824785697,0.184900367134228,0.00151448077020652
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)10128","NUP62..23636.",-0.76352095127681,-0.00358578602298178,0.221176897215384,0.00520635191390225
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11794","PTPN23..25930.",-1.04904749008881,-0.00356551971749833,0.242148933566207,0.0687066018315925
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)7779","KRT18..3875.",-0.490536601536933,-0.00355657849747846,0.202215887129589,0.0098869879188431
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)155","ACO2..50.",-0.738256258994492,-0.00355217464000073,0.284497475076177,0.139237934132591
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2952","CLCC1..23155.",-0.328908938076472,-0.00354910718775004,0.21489856691141,0.000399302806852987
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)8342","LSM8..51691.",-1.69586664264468,-0.0035308831200874,0.210048567742074,0.0194148147300512
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11560","PRPF31..26121.",-2.0163694534314,-0.00353037749662089,0.221256892874229,0.0117766632521981
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)10022","NSF..4905.",-1.83086018569436,-0.0035250180450352,0.225897980642538,0.0287653061821796
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11424","PPP6R3..55291.",-0.290966976109427,-0.00351847648387052,0.237110835838864,0.00318339642860684
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16465","WDR7..23335.",-0.791850657662824,-0.00351670050884169,0.235643209001103,0.0527868297010502
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16356","VPS51..738.",-0.657163717987845,-0.00350490445501322,0.240240151975293,0.00917240236741569
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)8266","LRRC37A3..374819.",-0.819553139577262,-0.00350460848885771,0.176398260718098,0.0142146644432588
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)8172","LONP1..9361.",-1.20241698586997,-0.00349635847652387,0.226841769570737,0.0911220851112157
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)7600","KIF22..3835.",-0.277025865516347,-0.00348461101557407,0.252699714694886,1.99733041586411e-05
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)6161","GRB2..2885.",-0.731442786966252,-0.00346787974988738,0.413997455112256,0.128411839619112
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16438","WDR26..80232.",-0.424135507665371,-0.00346175816214179,0.261539177172032,0.0191970144179207
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)6050","GPN1..11321.",-1.85414642542785,-0.00345919743950986,0.186784971040784,0.027576910203089
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2394","CCT2..10576.",-1.89721743592647,-0.0034587999315638,0.158130590483947,0.00528936067175756
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11396","PPP2R1A..5518.",-0.871488018489992,-0.00345746753876582,0.339657183014104,0.152121127272053
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)7370","KANSL1..284058.",-1.00258186152719,-0.00345276967908874,0.194331522833469,0.0336347512387152
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11471","PRELID3B..51012.",-1.66884154271968,-0.0034450747397544,0.224647510899281,0.0777227292426567
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)14215","SRRM1..10250.",-1.04448042205826,-0.00343779670326355,0.243994508057946,0.00736530839810184
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)1740","C19orf25..148223.",-0.433160630738726,-0.00343524562433671,0.340286685031565,0.0137135861864043
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)15009","TICRR..90381.",-1.41462199847828,-0.00342914725199555,0.18772185891635,0.0265833190016547
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11240","POLR2E..5434.",-1.90553583001261,-0.00342279652000985,0.216426457042351,0.0235007310649165
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16312","VIRMA..25962.",-1.2881084740385,-0.0034185937291858,0.191788236880169,0.0560164362830315
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)10988","PKN2..5586.",-0.272309006435113,-0.00341545024392118,0.388081372042168,0.00435734518267385
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)10325","OXA1L..5018.",-0.51961915959863,-0.00341425653021413,0.161877846992122,0.002106482572925
