Gene	sgRNA	Ts3|beta	Ts3|z	Ts3|p-value	Ts3|fdr	Ts3|wald-p-value	Ts3|wald-fdr
TFCP2	7	-0.028256	-0.31997	0.85771	0.959	0.74899	0.84683
ZNF254	6	0.12546	1.4305	0.26665	0.61898	0.15257	0.34885
OMA1	6	0.18548	1.8365	0.12578	0.42913	0.066281	0.27258
RNF146	9	0.44051	2.18	0	0	0.02926	0.20253
ZBTB32	12	-0.034603	-0.68658	0.81531	0.93658	0.49235	0.67821
INTS12	6	-0.83375	-2.7919	0.0065452	0.068047	0.0052405	0.068205
TPP1	6	-0.062758	-0.8274	0.97866	0.99307	0.40801	0.6002
SYVN1	11	-0.33532	-3.0876	0.096756	0.37281	0.0020181	0.033376
BAZ2A	18	-0.44028	-4.0867	0.0056915	0.06079	4.3747e-05	0.0019709
ZNF778	6	-0.24621	-2.0086	0.3671	0.72027	0.044578	0.24944
ZNF486	6	0.42419	1.7986	0.0014229	0.021008	0.072076	0.27561
KCNG4	6	0.1867	1.6143	0.12208	0.42059	0.10646	0.30126
WDTC1	18	0.0096644	0.1459	0.46727	0.78445	0.884	0.93679
SOX5	5	0.21533	1.5301	0.10529	0.38988	0.12599	0.32268
DCAF8	15	-0.044779	-0.59896	0.87479	0.96606	0.5492	0.71082
neg32	1	0.35838	0.59096	0.23278	0.58417	0.55455	0.7138
ZNF266	6	-0.0026721	-0.052742	0.76836	0.92157	0.95794	0.97883
USP21	6	-0.34889	-2.1985	0.19209	0.53024	0.027915	0.1976
ZBTB7C	12	-0.11361	-1.5443	0.72083	0.89982	0.12251	0.31929
TAOK1	6	1.2962	1.1402	0	0	0.25421	0.45715
BHLHE41	3	0.21397	0.70047	0.22396	0.57681	0.48363	0.66988
TAOK3	6	-0.053403	-0.60723	0.98264	0.99453	0.5437	0.7084
KCTD4	6	0.20338	1.8662	0.094195	0.36737	0.062017	0.27258
ZNF837	6	-0.15819	-1.4443	0.60586	0.84894	0.14866	0.34413
ALX3	6	-0.17957	-1.9301	0.54183	0.82034	0.053595	0.26503
PADI4	8	0.097135	0.92124	0.27518	0.63021	0.35692	0.55604
DPYSL2	5	-0.21	-1.8167	0.47353	0.78449	0.069265	0.27258
ZNF574	6	-0.89363	-2.5864	0.0042686	0.04902	0.009699	0.10751
RNF39	10	-0.14318	-1.0696	0.5868	0.84383	0.2848	0.48704
neg93	1	0.44225	0.56512	0.13347	0.44287	0.57199	0.72379
