sgRNA	Gene	Cont1.initial	Cont1.final
13109229	OPTN	1478	1385
88768885	LIPN	1293	1363
100263588	DEPDC4	2037	2059
65072557	CEP68	1680	1937
6589208	GLDC	1047	1276
68477432	TMPRSS11E	770	827
2917600	ZNF57	1660	1549
69340320	NIP7	2276	407
154885123	H2AFB1	276	421
96384397	CCDC82	1092	1097
55952016	IL6ST	623	686
67134239	C16orf70	1581	1238
27132570	HIST1H2BJ	1574	1265
69899366	AUTS2	2803	3328
NA	Non-Targeting_Control-N9	3688	3498
114330489	ORM2	1742	740
61413867	PCDH20	606	863
76076664	IFT43	1015	847
118340449	CD3D	351	433
33129880	STARD13	675	919
44755979	KIF2C	1888	1987
79313864	TMED3	455	729
102958559	ASCL1	1632	1851
66332552	PDE4B	1465	1382
105662638	TAL2	1013	1378
83157958	HDGFRP3	2937	2779
17550333	SLC7A2	831	719
19516319	NDUFA13	1356	1182
5623355	SAFB	1132	395
50154245	PAPD5	1536	1575
142917744	CYP11B2	2086	2705
52704541	SSX2	1897	2293
117297763	WNT2	1847	1484
NA	Non-Targeting_Control-N10	3317	3310
50285885	CXXC1	1494	1596
68790159	ZFP36L1	563	561
79368735	RBM26	532	393
93134475	C8orf87	801	1053
96157638	ZNF518A	2114	2926
153747331	INTS3	960	603
22508565	ZBTB40	587	640
126727103	CHCHD6	1966	2460
42765109	CHRNA6	1000	1020
97643356	NCBP1	2473	816
99449465	REV1	985	1206
101818654	OR4F15	1714	2143
5352092	OR51B6	965	802
170892405	RANBP17	1141	1406
125957062	HINT3	1687	1432
158798005	ESYT2	1050	1157
25726398	HIST1H2AA	1076	1072
71604547	ACRC	1009	1520
42435285	ZMYND12	2365	2259
36295783	CCDC169	3217	3327
121802728	EXOSC9	871	400
55406824	UBE2S	701	641
89267101	GBP5	1852	2048
21032363	APOB	1964	2116
152652892	TMEM154	1313	1521
88055904	CGGBP1	1673	1751
93532972	FNBP1L	947	1190
6173699	CYTH3	866	820
30854921	TAB3	2084	3036
72719036	MZT1	1767	1140
158843391	MNDA	1933	2883
160093537	PWWP2A	1234	1534
89988951	TDP1	265	372
28575265	ZBED9	2175	2348
8370083	KRBA2	1011	792
179908661	TOR1AIP1	992	880
27929889	BRE	601	519
149330335	TM4SF18	847	988
94575934	PDLIM5	2891	2834
118262524	MPZL2	811	988
19555683	SLC47A1	1319	1244
45255773	SPATA32	632	840
41742426	PGC	1922	1724
39532424	RPS19BP1	1262	976
143440169	GAB1	907	884
206771035	IL10	862	899
202964623	CYB5R1	1049	1268
42637643	NKTR	1624	1212
NA	Non-Targeting_Control-N11	2267	2938
160681387	CD48	1828	1797
172032496	DNM3	1216	1007
122456176	IL2	411	628
51995434	RPL29	1783	1664
16392088	NPIPA7	713	269
63857928	UGP2	1028	997
121335542	ANAPC5	925	311
139371732	COPB2	880	815
123698508	ANXA13	1455	1703
168568705	PANK3	2946	3300
89248870	GPRIN3	506	578
65489057	ZC3H12B	1217	1225
98891281	EIF4E	2878	1136
113901128	GRAMD1C	2823	3593
8842978	MBD3L1	1325	1525
122275852	CASR	1958	1939
29253695	CRYBA1	1317	1644
36438887	OSCP1	851	1364
