sgRNA,Gene,DLD1-Ts8.initial,DLD1-Ts8.final
ASB14_1764.82,ASB14,4213,4592
NKX6_1_E3_42.3,NKX6,1930,1811
PRSS33_843.165,PRSS33,1504,952
DMRTA2_E2_141.17,DMRTA2,1260,702
KDM5D_e14_163.1,KDM5D,2212,1622
MST1_2178.252,MST1,2947,2549
ZNF613_E6_981.87,ZNF613,2125,2319
HOXC11_E2_171.6,HOXC11,3181,3055
HERC1_14586.617,HERC1,4747,5669
SMAD3_E2_190.17,SMAD3,1624,1837
TDRD6_tudor314360_E1_6291.556,TDRD6,1079,1082
MYOG_E1_177.25,MYOG,2408,2378
UBP1_E4_106.7,UBP1,5777,5270
CUX2_E21_155.8,CUX2,1768,1415
ZNF671_E4_573.42,ZNF671,3023,4022
FBXO25_8,FBXO25,2544,3478
ZNF778_E7_1323.152,ZNF778,3614,2378
EBF1_E6_69.1,EBF1,4164,6209
RARA_E4_142.9,RARA,1688,1254
ZNF560_E10_1560.40,ZNF560,3283,3485
MARCH2_741.26,43526,2247,2274
ZNF585B_E5_1839.84,ZNF585B,3181,5120
SP2_E7_80.1,SP2,2289,1826
ELF5_E6_182.10,ELF5,2865,3452
TMPRSS3_984.116,TMPRSS3,1968,2834
BCL11A_E4_1326.145,BCL11A,1328,1478
HTRA3_1362.91,HTRA3,2871,3813
TFR2_2406.327,TFR2,855,840
ZNF582_E5_663.43,ZNF582,3237,3800
USP46_1101.37,USP46,4356,5266
ZBTB3_E2_75.3,ZBTB3,2834,3287
PKNOX2_E10_72.3,PKNOX2,1583,2458
ZFP69B_E5_666.39,ZFP69B,4287,4967
ZNF37A_E8_1242.102,ZNF37A,2990,3610
FOLH1_2253.221,FOLH1,2975,3190
SENP1_1935.83,SENP1,1876,2110
ZBTB26_E2_300.15,ZBTB26,3902,4723
RFWD2_2124.88,RFWD2,1849,2191
BTBD8_BTB48121_E1_1137.75,BTBD8,3788,5116
CFI_1752.93,CFI,4420,6527
ZBTB34_BTB22122_E1_1503.195,ZBTB34,2815,3209
TWIST2_Ex_176.1,TWIST2,1489,1882
TYK2_PKc_E18_135.4,TYK2,688,609
HSFX2_E2_72.2,HSFX2,6545,7081
USP9Y_162.7,USP9Y,2177,2789
LONRF1_2322.33,LONRF1,893,802
PRDM14_E7_66.3,PRDM14,2844,3622
KDM2A_E8_93.6,KDM2A,4544,2451
RCE1_990.125,RCE1,2427,2433
TPSD1_729.27,TPSD1,980,1219
PMS1_E9_143.5,PMS1,4542,5295
TRIM63_1062.148,TRIM63,1464,1737
KBTBD12_BTB32127_E1_1872.2,KBTBD12,1877,2787
ZNF790_E5_1317.86,ZNF790,3070,3127
TEK_PKc_E20_41,TEK,1070,1532
FBXO10_2871.338,FBXO10,567,1060
ZNF214_E3_1026.57,ZNF214,366,201
ZNF836_E5_2079.116,ZNF836,2637,2771
LONRF3_2280.146,LONRF3,2338,3491
EBF2_E6_69.2,EBF2,3602,3818
EHF_E8_188.12,EHF,4551,4414
TFDP2_E9_108.0,TFDP2,11304,13557
XPNPEP2_70.0,XPNPEP2,1996,2782
