sgRNA,Gene,DLD1-Cont2_P10.initial,DLD1-Cont2_P10.final
KMT2A_11919.336,KMT2A,2130,505
CDC26_3,CDC26,610,186
PCNA_e2.1,PCNA,4818,1836
HECTD3_2586.262,HECTD3,230,154
MLLT6_ePhd_E3_55.3,MLLT6,476,146
TRIM55_1647.201,TRIM55,1290,573
FOSB_E4_99.2,FOSB,1390,631
PSKH2_PKc_E2_667.73,PSKH2,1068,597
OVCH1_3405.132,OVCH1,2636,1341
ZNF574_E2_1602.200,ZNF574,1934,1167
PCSK1_2262.104,PCSK1,1896,965
GSX2_E2_174.12,GSX2,1742,996
IRX1_E2_165.26,IRX1,2422,1301
SHPRH_Phd_E9_141.0,SHPRH,3238,1672
LGMN_1302.137,LGMN,1302,678
WNK4_PKc_E4_158.14,WNK4,1516,1122
UBE4B_3909.177,UBE4B,1114,674
VEZF1_E2_78.3,VEZF1,6758,2331
DNAJC2_SANT2_E16_155.1,DNAJC2,1640,801
TSHZ3_E2_207.30,TSHZ3,1134,391
USP50_1005.74,USP50,2312,1399
MEX3A_1563.181,MEX3A,510,370
HERC2_14505.102,HERC2,1616,1059
PRSS53_1662.318,PRSS53,2768,1341
PRSS53_825.96,PRSS53,2768,1341
DRGX_E4_102.4,DRGX,3718,2026
FOXF2_E1_234.29,FOXF2,1042,991
FBXL19_CXXC5077_E1_2085.27,FBXL19,166,162
SNAPC4_SANT_E9_165.2,SNAPC4,1714,675
USP9X_7713.252,USP9X,2966,1941
KCTD17_BTB33121_E1_894.165,KCTD17,718,440
MXI1_E4_115.6,MXI1,3078,1417
TSC22D3_E3_168.17,TSC22D3,1758,679
ZNF479_E5_990.83,ZNF479,2394,914
TMPRSS12_1047.78,TMPRSS12,2678,1494
NAALADL2_2388.129,NAALADL2,2448,1068
CLK3_PKc_E9_130.3,CLK3,964,382
AXL_PKc_E15_93.5,AXL,2438,1741
HMG20A_E5_144.10,HMG20A,4562,1946
FOXM1_E5_87.1,FOXM1,1198,908
BFAR_1353.147,BFAR,1832,687
ATF6_E8_162.3,ATF6,2470,888
AIRE_Phd2_E11_104.1,AIRE,1368,838
ALG13_82.0,ALG13,4566,2350
CTSD_1239.176,CTSD,2048,1148
USP43_3372.73,USP43,2740,1403
NTRK1_PKc_E13_123.1,NTRK1,2260,1392
USP12_1113.18,USP12,7620,4568
DPF1_Phd1_E10_33.0,DPF1,1700,1097
PRPF19_1515.157,PRPF19,1310,818
NRF1_E3_80.1,NRF1,2244,908
ZBTB26_BTB23123_E1_1326.13,ZBTB26,3486,1553
SPSB1_822.72,SPSB1,906,396
EZH2_e19_85.3,EZH2,2256,960
VDR_E4_131.10,VDR,970,685
ZBTB34_BTB22122_E1_1503.207,ZBTB34,3510,1723
SUPT16H_3144.274,SUPT16H,4128,1594
CFLAR_708.34,CFLAR,4322,2666
ZBTB22_BTB47149_E1_1905.17,ZBTB22,1784,900
GLIS2_E6_53.1,GLIS2,2442,1502
MECP2_MBD_E3_98.3,MECP2,1188,414
ZNF614_E5_666.30,ZNF614,3028,1842
FBXO21_1887.248,FBXO21,2912,1913
PSMA1_810.47,PSMA1,2856,1434
CPD_4143.22,CPD,3964,2191
ZNF211_E4_1116.7,ZNF211,4904,2643
MARCH8_876.14,MARCH8,2502,1418
ZNF678_E4_1161.56,ZNF678,3996,1406
JAK3_PKc2_E18_140.11,JAK3,1402,905
CPB2_1272.47,CPB2,2830,1048
TRIM37_2895.24,TRIM37,804,469
ZBED2_E2_162.1,ZBED2,2184,1277
RPL9_e4.2,RPL9,5756,2218
UBE2QL1_486.43,UBE2QL1,1466,760
RNF14_1425.68,RNF14,2648,1843
HMGB1_E2_135.2,HMGB1,3288,1520
KLHL25_BTB36144_E1_1770.12,KLHL25,2030,864
ZNF420_E5_1581.118,ZNF420,2804,1479
HIC2_E3_507.48,HIC2,2384,1528
SETDB2_e13_63.1,SETDB2,6084,2923
HNF1A_E4_106.11,HNF1A,2288,1134
LBX1_E2_171.14,LBX1,1352,710
KCNG2_BTB19112_E1_1401.249,KCNG2,1228,570
HERC1_14586.663,HERC1,1412,601
MORF_e12_162.9,MORF,2890,1419
ZNF746_E7_162.21,ZNF746,1454,684
BTBD9_BTB33137_E1_1839.9,BTBD9,1126,747
NANOG_E2_195.13,NANOG,3096,1225
WDTC1_2034.63,WDTC1,1956,1373
GRK5_PKc_E9_191,GRK5,1920,1125
MTA3_Bah3170_E1_1548.145,MTA3,1054,432
JMJD8_E3_49.6,JMJD8,3242,2341
EIF2AK2_PKc_E11_123.3,EIF2AK2,2706,1105
PRSS2_42.0,PRSS2,1638,422
MAFG_E3_210.17,MAFG,1800,860
FOXN1_E6_120.4,FOXN1,2820,1843
JADE2_Phd_E3_33.2,JADE2,1864,628
ABHD12_1215.35,ABHD12,2956,1322
BRD1_ePhd_E2_354.49,BRD1,1356,840
ELMSAN1_SANT_E9_81.2,ELMSAN1,834,548
KLHL13_BTB85191_E1_1977.181,KLHL13,4088,2226
TET2_e9_138.0,TET2,1508,664
RAD18_1488.70,RAD18,2128,808
ANAPC4_2430.3,ANAPC4,1372,609
ATR_PKc_E45_152,ATR,628,150
PHF13_Phd_E4_141.15,PHF13,1838,927
ZNF224_E6_1320.26,ZNF224,2538,1091
EIF2AK4_PKc2_E12_431.72,EIF2AK4,928,370
PHF1_tudor2980_E1_1704.14,PHF1,1590,680
MDM2_1335.53,MDM2,3124,2562
PDZRN4_3111.310,PDZRN4,1306,644
CCDC79_E2_135.10,CCDC79,2596,1087
PRDM9_e8_158.10,PRDM9,2838,1387
TBX10_E4_172.16,TBX10,6624,5865
GTF3C4_e4_89.5,GTF3C4,1564,629
RFWD3_2325.176,RFWD3,2378,1808
CTSB_1020.33,CTSB,2604,1652
DMRTA2_E2_141.0,DMRTA2,3234,2685
ZNF516_E4_1449.35,ZNF516,3352,1843
RNF168_1716.168,RNF168,1132,578
ZNF207_E2_127.3,ZNF207,3310,849
USP6_106.6,USP6,1274,633
PHF7_Phd_E9_59.1,PHF7,1786,869
ADAMTS18_3666.86,ADAMTS18,4026,2021
TDRD7_tudor9631007_E1_3297.178,TDRD7,1936,880
NEURL2_858.38,NEURL2,2204,1048
USP16_2472.152,USP16,3856,1817
PRDM2_e5_153.4,PRDM2,3338,1894
NTRK2_PKc_E17_123.3,NTRK2,416,299
UBE2G1_513.45,UBE2G1,1984,664
ZNF484_E4_1164.25,ZNF484,704,281
KLHL25_BTB36144_E1_1770.8,KLHL25,848,377
RNF223_750.58,RNF223,2406,1483
TRIM39_1557.13,TRIM39,1602,876
L3MBTL2_MBT408500_E1_2118.126,L3MBTL2,1688,671
PKN1_PKc_E18_77.6,PKN1,1272,952
ZNF667_E5_1383.52,ZNF667,6228,3426
ZNF33A_E5_1407.74,ZNF33A,4492,1979
SENP6_3339.94,SENP6,1906,925
NAALAD2_2223.16,NAALAD2,2796,1230
TRIM10_1446.250,TRIM10,2756,2111
PSMB9_660.65,PSMB9,2986,1761
DPP7_1479.47,DPP7,2684,1499
FOXA1_E2_234.25,FOXA1,5274,2515
ZNF234_E6_1245.125,ZNF234,3802,1928
USF1_E9_95.7,USF1,2670,1297
SP3_E6_121.0,SP3,1472,1071
OTUB1_816.6,OTUB1,1542,1321
ZNF2_E5_666.45,ZNF2,1208,833
MKRN2_1251.48,MKRN2,2806,1360
ARID4A_Chromo_E18_46.1,ARID4A,2316,1382
GLIS3_E4_75.7,GLIS3,1200,313
TRIM50_1464.313,TRIM50,1746,937
MEOX1_E2_129.3,MEOX1,4168,2425
KLHL4_BTB172279_E1_2163.18,KLHL4,3106,1494
ZNF287_E6_1158.79,ZNF287,1022,336
PSMB4_795.22,PSMB4,2646,1685
FBXL17_2106.112,FBXL17,3696,1966
MST1_2178.252,MST1,3472,2090
ASPA_942.64,ASPA,1848,710
ERBB2_PKc_E19_99.8,ERBB2,2826,2047
ADCK3_PKc_E8_141.23,ADCK3,590,352
CAPN11_2220.92,CAPN11,1450,539
RNF150_1317.132,RNF150,2520,1855
ZNF417_E3_567.53,ZNF417,3126,1788
CDK1_e3.1,CDK1,4062,1163
DZIP3_3627.128,DZIP3,5764,3394
SUV420H2_e7_105.8,SUV420H2,2086,909
ELOB_1,ELOB,1436,830
EPHA5_PKc_E11_43,EPHA5,1406,908
NR2E1_E2_146.6,NR2E1,2858,1770
TCF12_E19_183.4,TCF12,5352,3177
ZNF165_E4_327.5,ZNF165,5126,2648
STK19_PKc_E7_148.22,STK19,900,338
PRDM2_e5_153.5,PRDM2,1900,753
COPS6_984.74,COPS6,2800,1772
ZNF34_E6_1071.93,ZNF34,1622,782
KMT2A_Phd3_E15_62.1,KMT2A,824,352
CTCF_E6_121.0,CTCF,1310,788
PRKCH_PKc_E11_139.2,PRKCH,1408,1113
CHUK_PKc_E6_90.5,CHUK,710,479
ZNF280D_E11_88.5,ZNF280D,862,342
ZNF800_E4_81.4,ZNF800,2230,1112
PRKACB_PKc_E8_123,PRKACB,2212,1121
NR1H2_E5_274.13,NR1H2,2104,1300
NKX2_1_E3_174.0,NKX2,682,346
ANAPC5_2268.171,ANAPC5,1126,654
PRDM6_E7_131.2,PRDM6,2100,983
FURIN_2385.387,FURIN,866,582
ZFP42_E4_330.3,ZFP42,1042,465
SCRT2_E2_156.1,SCRT2,1638,608
CTSL1_456.7,CTSL1,3386,2293
TTC3_6078.249,TTC3,2374,1436
CELA1_777.121,CELA1,2738,1333
RELB_E6_92.6,RELB,5542,2314
BTBD6_BTB76183_E1_1458.212,BTBD6,3118,1586
PSMB8_831.63,PSMB8,3738,1676
PRKCI_PKc_E10_98.3,PRKCI,2386,999
ZNF81_E5_1236.37,ZNF81,5712,2393
KMT2A_BD_e17_111.1,KMT2A,2926,976
MARCH8_876.15,MARCH8,1160,689
TDRD6_tudor314360_E1_6291.126,TDRD6,1012,364
DCAF11_1641.208,DCAF11,924,403
YBX2_E4_90.3,YBX2,2656,1770
ZNF92_E4_1059.54,ZNF92,2104,823
RIPK4_PKc_E3_149.14,RIPK4,818,460
LHX3_E4_135.7,LHX3,1654,1314
ZNF497_E3_1158.36,ZNF497,5752,3098
MSL2_1734.150,MSL2,2398,1539
NFATC3_E4_200.5,NFATC3,3138,1155
KLK2_786.61,KLK2,4076,2110
ZNF534_E4_1170.67,ZNF534,4708,2491
SPSB1_822.25,SPSB1,882,338
LATS2_PKc_E8_366.32,LATS2,1094,496
ZNF25_E6_930.85,ZNF25,3864,1949
ZNF716_E4_825.40,ZNF716,3080,1210
ZNF28_E4_1494.95,ZNF28,2480,1560
VSX2_E4_42.4,VSX2,3890,1965
HOXB13_E2_171.13,HOXB13,2040,922
DTX4_1860.350,DTX4,2120,988
FBXO17_864.85,FBXO17,1710,1275
ZBTB48_E10_86.1,ZBTB48,6278,4133
WSB1_1266.75,WSB1,1364,738
FBXL7_1476.49,FBXL7,2162,1392
RNF166_714.18,RNF166,802,614
ZNF736_E4_579.1,ZNF736,5046,1728
DPP7_1479.57,DPP7,990,495
NR1D2_E3_81.6,NR1D2,4654,2296
RIPK4_PKc_E1_110.1,RIPK4,2180,895
CDH1_2649.257,CDH1,1888,1620
DCUN1D2_780.47,DCUN1D2,4144,1882
LACTB_1644.8,LACTB,2412,697
FBXO8_960.12,FBXO8,2654,1399
TRIM35_1482.252,TRIM35,1376,760
ZMIZ2_E13_75.3,ZMIZ2,2236,1276
ELF2_E7_188.13,ELF2,2978,1079
UBOX5_1626.122,UBOX5,1466,832
SENP6_3339.149,SENP6,1386,377
ZNF500_E6_330.38,ZNF500,3450,1863
SOX10_E2_122.9,SOX10,2964,2045
RNF170_777.59,RNF170,948,531
STUB1_696.44,STUB1,796,444
EPHX4_1089.91,EPHX4,3790,2230
USP17L3_1593.169,USP17L3,3140,1647
NR2C2_E6_180.6,NR2C2,972,434
TRAF7_2013.212,TRAF7,1026,713
ATG4D_1425.92,ATG4D,2444,1376
TRIM42_2172.200,TRIM42,2948,1514
WDSUB1_1155.41,WDSUB1,1910,930
PIM2_PKc_E2_81,PIM2,1550,793
ZNF567_E6_1281.79,ZNF567,1526,544
ZNF583_E5_1056.75,ZNF583,1622,689
CREBBP_e29_162.8,CREBBP,1978,1479
FBXO17_864.42,FBXO17,2714,1061
PHF1_Phd1_E4_73.6,PHF1,1446,809
TMPRSS11E_1272.76,TMPRSS11E,2596,1276
MAZ_E2_78.3,MAZ,4526,3425
ASB1_1008.18,ASB1,3806,2483
ZNF155_E5_750.18,ZNF155,4628,2066
BSX_E2_129.4,BSX,3472,2236
RNPEPL1_2178.429,RNPEPL1,1922,908
ZNF275_E4_237.12,ZNF275,2478,1395
DPEP2_1461.72,DPEP2,2456,1470
IRF2BPL_2391.244,IRF2BPL,546,290
PIAS4_1533.175,PIAS4,1428,884
RNF125_699.52,RNF125,3006,1527
PHF2_Phd_E2_61.2,PHF2,862,362
ZFP42_E4_330.29,ZFP42,3542,1967
YY1_E5_126.7,YY1,2096,1402
RORB_E2_86.1,RORB,2054,1071
NSD2_e21_142.16,NSD2,2338,1171
ZNF273_E4_1041.20,ZNF273,4588,2309
RNF112_1896.336,RNF112,2000,814
TRIM60_1416.14,TRIM60,2418,997
PRKCG_PKc_E14_139.17,PRKCG,256,85
ZNF211_E4_1116.90,ZNF211,1200,646
MALT1_2475.98,MALT1,2218,1015
ZNF764_E3_489.24,ZNF764,2146,1268
NEUROD2_E2_180.0,NEUROD2,748,732
ZNF773_E4_663.18,ZNF773,6702,3636
ZNF480_E5_1050.16,ZNF480,5288,2916
ZNF529_E6_1119.61,ZNF529,3562,1542
FURIN_2385.122,FURIN,2674,1625
TRAF7_2013.275,TRAF7,918,515
ZIC2_E2_137.7,ZIC2,1582,803
CHD5_Chromo_E12_132.8,CHD5,2344,1387
ASB6_1266.26,ASB6,946,443
ZNF141_E4_666.34,ZNF141,3964,1762
TRIM16_1695.36,TRIM16,3238,2136
JMJD4_E3_126.7,JMJD4,1660,891
UBE2M_552.14,UBE2M,1076,617
KLF10_E4_69.7,KLF10,3908,3125
CASP12_1026.39,CASP12,1288,499
CDK3_PKc_E2_116.4,CDK3,2056,874
KAT6A_Phd_E4_109.10,KAT6A,2024,1194
TRIM8_1656.312,TRIM8,1218,906
FOXD4L6_E1_234.4,FOXD4L6,1466,567
TLK1_PKc_E19_112.4,TLK1,1148,460
ZNF92_E4_1059.32,ZNF92,3756,1687
SP140_Phd_E23_101.1,SP140,3700,2645
NKX2_6_E2_177.0,NKX2,1370,539
CARHSP1_E4_103.12,CARHSP1,3588,2202
MTA2_E10_84.0,MTA2,4706,2364
KLF17_E3_170.11,KLF17,1542,581
REN_1221.115,REN,2618,1707
HERC1_14586.1617,HERC1,2628,1414
GLIS3_E4_75.8,GLIS3,1018,395
ZNF182_E7_1221.16,ZNF182,2222,1443
FBXO48_468.7,FBXO48,1790,1163
PRSS42_882.94,PRSS42,3132,1576
SPIN2A_Spinlin129177_E1_777.33,SPIN2A,1742,527
FBXO32_3,FBXO32,3686,1706
MIB1_3021.63,MIB1,1724,986
ZNF613_E6_981.33,ZNF613,7024,3941
KDM4A_tudor897953_E1_3195.231,KDM4A,1058,632
PDZRN3_3201.502,PDZRN3,1086,436
NOTO_E2_129.9,NOTO,1638,760
ZFP30_E6_1074.65,ZFP30,2204,888
TEX14_PKc_E9_124.2,TEX14,3054,2169
AKT2_PKc_E9_123.8,AKT2,1324,941
KDM4A_tudor897953_E1_3195.233,KDM4A,580,290
FBXO21_1887.124,FBXO21,2046,1166
BRCA1_5592.488,BRCA1,1504,786
PhIP_BD1_e31_121.12,PhIP,4794,2541
ANAPC16_6,ANAPC16,1288,633
KDM2B_Phd_E14_123.10,KDM2B,4692,2154
NR4A2_E4_130.8,NR4A2,1036,624
CXXC4_CXXC301341_E1_1104.111,CXXC4,2608,1229
VRK3_PKc_E5_85.7,VRK3,1546,678
ZSCAN2_E3_1143.102,ZSCAN2,1076,742
SNAPC4_SANT_E10_56.0,SNAPC4,2312,849
EIF2AK4_PKc2_E16_105.6,EIF2AK4,706,287
CTSD_1239.5,CTSD,2596,1273
CISH_828.60,CISH,1794,1382
BCL6B_BTB28134_E1_1440.17,BCL6B,1910,861
L3MBTL4_MBT57149_E1_1872.206,L3MBTL4,2886,1655
FBXO41_2628.259,FBXO41,464,221
ZNF714_E5_1002.59,ZNF714,4622,2357
NFYB_E7_80.2,NFYB,4996,1935
RCHY1_720.28,RCHY1,2796,1412
GCK_PKc_E5_96.1,GCK,860,492
RNF114_687.88,RNF114,2436,1441
FBXO32_2,FBXO32,2504,1300
FBXO10_2871.278,FBXO10,798,498
ADAM18_82.3,ADAM18,2840,1400
PRTN3_771.58,PRTN3,2356,1013
CUL4A_2280.200,CUL4A,1026,714
ZNF195_E6_1215.92,ZNF195,5058,2642
NCOA1_e18_175.13,NCOA1,590,196
DCAF8_1794.58,DCAF8,1726,878
TLX2_E2_167.16,TLX2,3270,2026
RORA_E4_142.2,RORA,1906,895
T_E4_135.15,T,4358,2700
L3MBTL1_MBT385481_E1_2523.334,L3MBTL1,2056,1306
PJA2_2127.127,PJA2,2872,1583
WHSC1L1_Phd_E13_198.14,WHSC1L1,1904,1061
WHSC1_PWWP878972_E1_4098.189,WHSC1,1302,853
MAP2K6_PKc_E5_120.1,MAP2K6,1534,831
TRAF6_1569.168,TRAF6,990,572
neg45,neg45,8804,3398
RCE1_990.125,RCE1,2100,1003
ZEB2_E8_1970.181,ZEB2,3350,2059
LIN28A_E2_105.0,LIN28A,11496,6925
CEBPD_E1_132.8,CEBPD,2590,1667
ZNF480_E5_1050.34,ZNF480,5232,2105
LHX3_E4_135.5,LHX3,1626,1024
POU3F3_E1_174.0,POU3F3,1738,685
MKRN3_1524.177,MKRN3,1950,711
TULP3_E8_115.16,TULP3,570,323
SCML2_MBT142240_E1_2103.44,SCML2,2202,818
FBXL7_1476.195,FBXL7,980,721
MAPK15_PKc_E2_99.9,MAPK15,910,660
MEX3B_1710.155,MEX3B,1512,779
MTF2_Phd2_E7_96.2,MTF2,1616,633
MMP24_1938.312,MMP24,636,248
ROR2_PKc_E9_852.54,ROR2,1466,622
SP7_E3_168.18,SP7,1144,480
SPIN4_Spinlin119167_E1_750.61,SPIN4,2016,858
ASH1L_BD_e19_133.7,ASH1L,3252,1809
MDM2_1335.64,MDM2,2064,1846
IRF5_E3_171.29,IRF5,898,751
SFMBT1_MBT23120_E1_2601.327,SFMBT1,1800,899
NUAK1_PKc_E2_121,NUAK1,736,389
ZKSCAN2_E6_245.7,ZKSCAN2,7412,4036
ZKSANT2_SANT2_E6_245.7,ZKSANT2,7412,4036
RNF181_462.17,RNF181,3056,1164
TRAIP_1410.154,TRAIP,748,293
ZNF564_E4_1317.70,ZNF564,2878,1678
BCL6_E9_138.10,BCL6,2426,1235
CPB1_1254.64,CPB1,1718,1111
ATF4_E2_156.6,ATF4,208,66
SIX1_E1_156.7,SIX1,982,833
ZNF827_E3_173.7,ZNF827,3760,2067
MMP10_1431.149,MMP10,2432,1153
TDRD6_tudor10371080_E1_6291.464,TDRD6,844,302
TRIM16_1695.30,TRIM16,2154,1608
ZMYND11_BD_e7_88.0,ZMYND11,2510,998
HELT_E2_105.6,HELT,936,554
RNF31_2766.307,RNF31,1508,871
BRD3_BD1_e4_66.0,BRD3,3694,2432
ZNRF2_729.81,ZNRF2,2512,1128
TDRD15_Tudor_E4_351.9,TDRD15,2410,896
PHF3_Phd_E6_118.3,PHF3,1062,474
GCN5_e12_59.1,GCN5,1094,937
ZNF226_E6_1572.49,ZNF226,3980,2014
PSMB8_831.6,PSMB8,2764,1406
SATB2_E11_177.25,SATB2,4410,2007
JADE1_ePhd_E9_123.3,JADE1,2868,1674
FBXO45_861.103,FBXO45,3632,2706
TRAF7_2013.187,TRAF7,1944,1251
ADAM15_2592.476,ADAM15,2612,1731
UBE4A_3201.148,UBE4A,2814,1211
CAMKV_PKc_E6_121.12,CAMKV,1484,634
HOXC12_E2_171.5,HOXC12,1108,700
E2F5_E2_110.5,E2F5,3280,1591
BAHCC1_BAHCC1_E27_180.25,BAHCC1,1494,1164
TRIM16_1695.207,TRIM16,2454,1365
L3MBTL4_MBT57149_E1_1872.26,L3MBTL4,1838,696
KLF8_E6_78.2,KLF8,5762,3925
FOLH1B_1329.117,FOLH1B,2372,898
ZNF146_E4_819.57,ZNF146,724,336
FOXI1_E1_208.28,FOXI1,2894,2014
SIM1_E1_153.3,SIM1,1518,702
USP32_4815.138,USP32,2436,1057
ZNF473_E5_1962.158,ZNF473,4004,1808
EIF2AK4_PKc2_E15_123.2,EIF2AK4,1350,707
FBXL7_1476.100,FBXL7,1560,690
KLHL20_BTB59165_E1_1830.11,KLHL20,716,486
ZNF221_E6_1233.121,ZNF221,2358,867
SPOP_BTB190297_E1_1125.43,SPOP,926,746
MARCH1_870.38,MARCH1,1506,872
USP45_2445.25,USP45,1650,487
RNF224_471.102,RNF224,2172,1579
ZNF131_BTB24129_E1_1770.139,ZNF131,2978,958
MIB1_3021.172,MIB1,2566,1204
FBXO40_3,FBXO40,1836,967
MAPK11_PKc_E6_48.3,MAPK11,832,677
ZNF329_E4_1050.53,ZNF329,3722,2236
LNX2_2073.236,LNX2,2780,1174
MBD4_MBD_E3_133.0,MBD4,1434,482
KMT2C_e58_117.6,KMT2C,3376,2032
PAX9_E3_378.11,PAX9,1900,840
PRKG2_PKc_E11_75.4,PRKG2,1736,1141
ZNF501_E3_582.35,ZNF501,1762,959
DNPEP_1458.22,DNPEP,2228,1045
FBXO34_2136.164,FBXO34,3020,1167
TBX10_E3_102.12,TBX10,2194,1176
ZNF426_E8_750.73,ZNF426,3500,1607
MNX1_E2_129.9,MNX1,1576,771
ZNF224_E6_1320.28,ZNF224,4162,2401
HECW1_4719.54,HECW1,3706,1798
ZNF132_E3_1272.101,ZNF132,5132,2650
ZNF202_E9_735.31,ZNF202,2390,1673
BAZ1B_BD_e19_237.13,BAZ1B,2016,1048
TRAF4_1413.230,TRAF4,744,431
ADAMTS18_3666.427,ADAMTS18,4824,2510
RNF19B_1764.241,RNF19B,346,146
SMYD3_e6_68.1,SMYD3,1550,518
TRIM43_4,TRIM43,1832,861
ABTB1_BTB105178_E1_1437.4,ABTB1,2006,878
MAPK12_PKc_E1_95.4,MAPK12,630,708
ZNF497_E3_1158.88,ZNF497,1962,1562
ZNF786_E4_1077.82,ZNF786,1224,592
RC3H1_3405.421,RC3H1,2492,1647
ACY1_1227.216,ACY1,1608,920
FOXD4_E1_234.41,FOXD4,4882,3682
ADAMTS16_3675.104,ADAMTS16,4156,2060
CHD3_H_e20_86.3,CHD3,2532,1419
RHBDD2_672.1,RHBDD2,2250,1255
LBR_tudor956_E1_1848.2,LBR,2256,1344
RNF4_573.38,RNF4,1682,663
ADAMTS20_5733.501,ADAMTS20,4452,2579
CMA1_744.73,CMA1,1322,513
ZBTB40_E18_164.19,ZBTB40,3672,2098
ZNF334_E5_1401.103,ZNF334,2604,968
EPHA1_PKc_E15_150.26,EPHA1,1930,1078
RNF10_2436.24,RNF10,1758,900
ZBTB7C_BTB24127_E1_1860.37,ZBTB7C,464,280
HERC1_14586.1075,HERC1,1816,937
ZNF594_E2_2052.136,ZNF594,3820,1910
PBRM1_BD5_e17_310.16,PBRM1,3854,1478
HERC6_3069.100,HERC6,2506,1149
ZBTB41_E8_106.3,ZBTB41,7226,3395
RNF222_663.9,RNF222,2570,1522
JADE3_Phd_E7_66.0,JADE3,1702,1027
KLHL21_BTB25133_E1_1794.323,KLHL21,2940,1181
SMARCC2_Chromo_E7_70.3,SMARCC2,1784,698
BCL6B_E8_138.15,BCL6B,170,22
TRIM2_2316.321,TRIM2,2934,1643
SBK3_PKc_E3_203.1,SBK3,632,410
FBXO18_3285.344,FBXO18,1638,1107
UBE2V1_2,UBE2V1,1222,428
ETV7_E6_141.3,ETV7,4950,2782
PRSS8_1032.152,PRSS8,7768,5307
SMAD6_E2_340.34,SMAD6,920,396
NAALADL2_2388.169,NAALADL2,3862,2206
CAMK2A_PKc_E4_55.3,CAMK2A,3902,2063
PRSS35_1242.145,PRSS35,4518,2041
CIT_PKc_E7_94,CIT,2378,2165
ADAMTS1_2904.371,ADAMTS1,2930,1033
NPAS3_E3_174.9,NPAS3,1734,1181
FBXO10_2871.2,FBXO10,2848,1674
F11_1878.113,F11,1920,1429
PRSS38_981.29,PRSS38,3270,2450
NEURL2_858.84,NEURL2,224,75
KLF5_E4_78.11,KLF5,2410,1404
FURIN_2385.76,FURIN,2594,1692
ZNF570_E6_834.55,ZNF570,1884,1158
RAF1_PKc_E12_177.12,RAF1,1774,1623
MYNN_E4_160.4,MYNN,5226,3772
PRSS57_852.123,PRSS57,5372,3475
KDM2A_7,KDM2A,2580,987
DCAF1_13,DCAF1,994,623
KDM2B_e6_107.0,KDM2B,5158,3415
NEURL1_1725.150,NEURL1,254,197
NR2F2_E1_208.3,NR2F2,1388,1176
MUL1_1059.87,MUL1,3082,1489
ADAMTS12_4785.96,ADAMTS12,2608,2174
DBP_E4_159.26,DBP,1890,1071
TMPRSS11A_1266.47,TMPRSS11A,2860,1651
FBXL16_14,FBXL16,346,150
FBXO11_2784.20,FBXO11,1752,627
TRIM22_1497.19,TRIM22,1256,736
CASP3_834.12,CASP3,2676,1680
E2F1_E3_220.3,E2F1,2444,990
MBD1_E2_98.3,MBD1,2294,1271
MBD1_MBD_E2_98.3,MBD1,2294,1271
CHD7_SANT_E30_184.4,CHD7,1718,894
ACR_1266.25,ACR,3478,2409
RNF133_1131.52,RNF133,1832,776
KMT2A_Phd1_E11_105.1,KMT2A,926,448
DMRTB1_E1_141.14,DMRTB1,2204,1728
RC3H2_3576.341,RC3H2,1266,617
DPYSL2_81.8,DPYSL2,1426,814
BRCA1_5592.487,BRCA1,2390,938
MLXIPL_E13_117.0,MLXIPL,4592,2675
ZNF233_E5_648.5,ZNF233,2398,1336
MEIS2_E9_77.2,MEIS2,2724,1249
TCF23_E2_150.6,TCF23,1784,876
CUL3_2325.76,CUL3,1468,442
FBXO3_1416.4,FBXO3,3534,2245
ZSCAN12_E4_1068.44,ZSCAN12,3624,1230
ANAPC1_6,ANAPC1,1426,591
PDK3_PKc_E5_62.2,PDK3,1146,473
ING3_Phd_E12_90.1,ING3,1092,608
ZNF764_E3_489.11,ZNF764,1204,695
RNF139_1995.59,RNF139,1434,873
CASP10_127.1,CASP10,2900,1817
PSMA6_741.42,PSMA6,2044,765
FBXO11_1,FBXO11,4086,1950
MAPKAPK5_PKc_E4_98.3,MAPKAPK5,2420,1418
ZNF701_E5_795.7,ZNF701,2280,1346
NR0B2_E1_417.1,NR0B2,1604,622
MYF5_E1_171.11,MYF5,1882,1297
UBTFL1_E1_558.0,UBTFL1,7044,3674
XPNPEP2_70.0,XPNPEP2,2122,1302
RNF103_2058.127,RNF103,1694,960
PRKCQ_PKc_E11_60.3,PRKCQ,2328,1172
OTUB1_816.103,OTUB1,1580,979
ONECUT3_E2_177.13,ONECUT3,1466,803
HOXC5_E2_171.8,HOXC5,1086,817
ZNF512B_E12_171.8,ZNF512B,6680,4333
ZNF652_E5_145.1,ZNF652,3546,1676
USP17L10_1593.52,USP17L10,3208,1967
CCDC79_E2_135.12,CCDC79,756,368
FBXL21_5,FBXL21,4184,2644
THAP3_E2_190.4,THAP3,1308,739
UBE2H_552.41,UBE2H,2572,1426
SHPRH_5052.350,SHPRH,3642,1815
DTX1_1863.112,DTX1,544,254
MYSM1_E7_90.2,MYSM1,2276,726
MYSM1_SANT_E7_93.2,MYSM1,2276,726
ZNF419_E5_666.49,ZNF419,5148,2167
MMP16_1824.49,MMP16,3140,1738
SGK494_PKc_E9_90.3,SGK494,1346,593
FOXP2_E14_102.0,FOXP2,2992,1705
DPYSL4_1719.2,DPYSL4,1774,824
