sgRNA,Gene,DLD1-Cont2_P10.initial,DLD1-Cont2_P10.final
ZFP2_E5_1059.49,ZFP2,11086,5590
NFIL3_E2_156.5,NFIL3,3954,1713
MMP26_786.44,MMP26,4620,2666
ADAMTS13_4284.886,ADAMTS13,2882,1844
RFX6_E4_62.7,RFX6,3286,1788
KDM4B_tudor9751030_E1_3291.35,KDM4B,546,399
PRKCB_PKc_E5_55.3,PRKCB,2398,1613
UBE4A_3201.25,UBE4A,2454,1120
BRWD3_BD_e32_126.5,BRWD3,2724,1451
VPS11_2825.164,VPS11,2840,1810
PRSS1_744.88,PRSS1,3034,1559
PIAS4_E9_132.3,PIAS4,1360,1028
TOX4_E5_144.1,TOX4,5092,2440
TRIM38_1398.156,TRIM38,2624,1465
USP38_3129.204,USP38,1716,540
PIAS2_E9_129.8,PIAS2,7856,5073
PIAS2_1866.123,PIAS2,7856,5073
FBXO34_3,FBXO34,2432,1176
MIER3_E10_81.1,MIER3,4702,2613
MIER3_SANT_E10_87.1,MIER3,4702,2613
ARID4A_E13_95.1,ARID4A,2344,1121
ANAPC7_1800.61,ANAPC7,1688,624
KMT2C_e58_117.5,KMT2C,11538,8394
KMT2C_14736.745,KMT2C,11538,8394
CDK9_e4.2,CDK9,7056,3528
STKLD1_PKc_E3_45,STKLD1,1472,685
T_E3_265.10,T,3488,2406
RXRG_E4_180.16,RXRG,6828,4681
ASB7_957.59,ASB7,1806,725
SNAPC4_SANT4_E14_68.5,SNAPC4,1242,736
TDRD15_Tudor_E4_336.8,TDRD15,1898,978
ZNF844_E4_318.18,ZNF844,4266,1278
NCOR2_E19_95.0,NCOR2,2598,1892
NCOR2_SANT2_E19_101.0,NCOR2,2598,1892
USP2_1818.109,USP2,1520,616
STK32B_PKc_E8_117.15,STK32B,986,654
ADNP_E6_126.3,ADNP,4794,2753
ZNF660_E3_825.44,ZNF660,6502,3159
PRMT5_e12_106.3,PRMT5,2268,1240
PSMA2_705.42,PSMA2,1174,439
GGT7_1989.233,GGT7,1374,618
FBXO40_5,FBXO40,1454,929
SH3RF2_2190.404,SH3RF2,1628,837
SETDB1_E13_186.3,SETDB1,1620,794
neg69,neg69,3904,1739
ADAM18_39.0,ADAM18,2472,864
UBE2E2_606.51,UBE2E2,934,333
HMGB2_E2_126.14,HMGB2,5012,2855
CREB3_E6_67.3,CREB3,2590,1172
PMS1_E9_143.2,PMS1,4836,2857
SPZ1_E1_66.1,SPZ1,8776,5118
ZNF449_E5_573.1,ZNF449,1086,374
UNCX_E2_135.0,UNCX,6004,4147
L3MBTL3_MBT345439_E1_2343.211,L3MBTL3,2826,1423
TET2_e7_86.2,TET2,4490,1804
TRIM9_2133.369,TRIM9,2108,1195
ZNF417_E3_567.7,ZNF417,5810,3505
KCNG1_BTB65164_E1_1542.261,KCNG1,870,486
MTA2_SANT_E10_57.3,MTA2,2906,1708
ZNF222_E4_483.16,ZNF222,2648,1214
CAMK2G_PKc_E3_60.2,CAMK2G,242,91
BATF3_E2_90.3,BATF3,3300,1407
ZNF222_E4_483.30,ZNF222,2694,1278
PSMA2_705.64,PSMA2,2118,772
TSNARE1_SANT_E4_234.9,TSNARE1,1002,602
