Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
TSHZ1	6	0.14279	1.3388	0.12693	0.4283	0.18063	0.37428
ADCK5	6	-0.061626	-0.63366	0.94324	0.98543	0.5263	0.69009
ADAMTS2	6	-0.0045352	-0.2007	0.75813	0.92487	0.84094	0.90578
PINK1	6	-0.16805	-1.4442	0.51768	0.80168	0.14869	0.33986
TTN	6	0.06804	0.95778	0.39076	0.70801	0.33817	0.5365
USP17L4	6	-0.11014	-0.66008	0.73845	0.92105	0.5092	0.68144
PRPF4B	6	-1.4578	-4.0785	0	0	4.5322e-05	0.0016904
STAT3	7	0.079089	1.1034	0.28637	0.63504	0.26983	0.47389
MASP1	6	0.061673	1.1568	0.42071	0.73237	0.24735	0.45074
ONECUT2	6	0.15808	1.333	0.096977	0.38505	0.18252	0.37576
RNF128	11	0.24774	2.342	0.00028523	0.005102	0.01918	0.16011
PBK	6	-0.040556	-0.43242	0.94495	0.98543	0.66544	0.78263
EP400	5	-1.0555	-3.1518	0.00028523	0.005102	0.0016229	0.028882
ZNF626	5	0.34873	1.5421	0.00028523	0.005102	0.12305	0.31124
MEF2D	6	-0.21615	-1.6008	0.37307	0.69628	0.10942	0.29766
ETV7	5	-0.1755	-1.1564	0.52339	0.80588	0.24752	0.45082
ZIC4	6	-0.30202	-1.619	0.19681	0.54689	0.10545	0.29399
ADAM21	6	0.12171	1.2367	0.18939	0.53678	0.2162	0.41331
ZNF616	4	0.075545	1.0271	0.4518	0.75393	0.3044	0.5044
ROS1	6	-0.08778	-0.55627	0.82944	0.95159	0.57803	0.7178
BCL6B	12	-0.022631	-0.25055	0.70936	0.90634	0.80216	0.88079
TOX2	7	0.1913	2.1185	0.034797	0.21708	0.034135	0.21919
DTL	12	-1.0091	-4.2708	0	0	1.948e-05	0.0008537
ZNF222	6	-0.0083346	-0.1804	0.77952	0.93308	0.85684	0.91616
ZNF496	6	0.028759	0.39216	0.59013	0.84899	0.69494	0.80285
MAFB	5	-0.19875	-1.3171	0.4595	0.75847	0.1878	0.38303
NR4A2	6	-0.2039	-2.1951	0.40844	0.7225	0.028156	0.19823
KLF9	6	-0.074045	-0.71341	0.89104	0.97162	0.47559	0.65466
KCNS2	6	0.065258	0.40728	0.40331	0.71878	0.6838	0.79569
MEX3D	11	-0.18179	-2.2545	0.36138	0.68896	0.024168	0.18261
CDK20	6	0.20656	1.6532	0.036224	0.22242	0.098294	0.28694
ERN1	6	0.004141	0.05581	0.71563	0.90676	0.95549	0.98067
HNF1B	7	-0.34628	-2.1984	0.12179	0.42167	0.027923	0.19822
