sgRNA,Gene,DLD1-Cont2_P10.13.initial,DLD1-Cont2_P10.13.final
PRSS8_1032.139,PRSS8,1123,1316.6
POU5F1B_E1_174.17,POU5F1B,1246,1072.4
CELA3A_813.87,CELA3A,2061,2157.8
BRD8_BD_e19_178.3,BRD8,742,896.2
PRSS41_957.126,PRSS41,2553,2313.2
DNPEP_1458.256,DNPEP,980,940.8
CDK20_PKc_E3_189.5,CDK20,413,546.2
KLKB1_1917.7,KLKB1,1061,881
ZNF524_E2_243.13,ZNF524,1598,1807.8
RPL23A_e2.1,RPL23A,6073,4260.4
FBXO11_2784.130,FBXO11,3066,2442
TPSG1_966.6,TPSG1,1314,1166.6
ZNF79_E5_834.56,ZNF79,1232,956.4
CDKL5_PKc_E5_137.5,CDKL5,1269,995.8
ATF6_E8_162.8,ATF6,1624,945.2
BARD1_2277.15,BARD1,671,667.8
ZNF880_E4_1221.59,ZNF880,2557,2679.8
DCLK3_PKc_E2_390.28,DCLK3,1195,1591.8
TET3_e10_79.1,TET3,1334,1373.8
MEF2A_E3_51.1,MEF2A,3356,3107.4
ZNF189_E3_1161.3,ZNF189,1769,1601
ZNF676_E3_1410.86,ZNF676,1833,2302.6
UBTFL1_E1_558.21,UBTFL1,3198,2491.8
RNF222_663.159,RNF222,1189,964.2
ASB10_1404.42,ASB10,513,491
VPS41_2565.110,VPS41,974,549.6
TERF1_SANT_E10_144.8,TERF1,325,156.2
ZNF470_E6_1338.89,ZNF470,889,588
CSDE1_E11_213.15,CSDE1,751,642.4
KLHL38_BTB24131_E1_1746.268,KLHL38,451,422
STAT4_E10_89.6,STAT4,2106,1785
TRERF1_E7_69.3,TRERF1,882,862.6
MARCH3_762.21,3-Mar,554,402
KMT2C_e59_74.2,KMT2C,1459,1476.8
EIF2AK4_PKc_E9_536.1,EIF2AK4,1549,815.6
HOXB3_E4_177.17,HOXB3,1285,1423.8
MYOG_E1_177.9,MYOG,1253,1274.6
CDK1_e7.1,CDK1,2199,1769.2
ZNF625_E4_396.14,ZNF625,3216,4186
ZNF587_E3_567.30,ZNF587,5481,5197.2
MAK_PKc_E3_55.1,MAK,1321,637.2
TRIB1_PKc_E3_361.38,TRIB1,1124,689.4
PRSS53_1662.27,PRSS53,1117,1125
KCTD3_BTB20112_E1_2448.8,KCTD3,1032,977.2
TFDP1_E6_144.6,TFDP1,1185,1013.8
ZNF582_E5_663.50,ZNF582,2730,2134.8
BMPR2_PKc_E10_137.6,BMPR2,1079,1295
USP4_150.10,USP4,690,516.2
KLF5_E4_78.9,KLF5,1016,977
RCOR2_SANT2_E10_58.0,RCOR2,1372,1143
PARK2_1398.149,PARK2,1117,738
PSMB10_822.132,PSMB10,1434,1488.4
SRC_PKc_E9_82.15,SRC,965,1236.4
PRKRIR_E1_80.0,PRKRIR,1376,1094.2
TLL1_3042.279,TLL1,2261,2470
EZH2_e16_96.8,EZH2,916,797.2
ADAMTS18_3666.74,ADAMTS18,1606,1151.6
USP1_2358.7,USP1,1318,1060.8
TRPS1_E6_102.4,TRPS1,3682,3054
FBXO22_1212.72,FBXO22,1837,1195.4
ZNF585B_E5_1839.141,ZNF585B,3101,3011.4
FMR1_Agenet59117_E1_1899.173,FMR1,2069,2189.4
ABHD12B_858.58,ABHD12B,2061,1912.6
SHPRH_H_e27_179.9,SHPRH,1760,1651.2
ASH1L_BD_e18_55.0,ASH1L,2026,1444.8
ZNF554_E5_498.59,ZNF554,1683,1949.8
TDRD3_tudor652700_E1_2235.103,TDRD3,1493,1506.4
WDSUB1_1431.53,WDSUB1,1448,1024.2
ZNF526_E3_963.98,ZNF526,1464,1427.4
TESK1_PKc_E5_83,TESK1,940,1044.6
ZNF417_E3_567.28,ZNF417,1800,1724
SUV39H2_e4_147.1,SUV39H2,4148,3734.8
BRWD1_BD1_e32_126.1,BRWD1,828,640.2
CLOCK_E7_149.4,CLOCK,1525,1128.4
ASB15_1767.136,ASB15,1778,2330.8
NAALADL2_2388.136,NAALADL2,797,643.2
TFEB_E8_76.6,TFEB,1531,1568.4
PROX1_E4_195.9,PROX1,1074,845.8
MBTPS2_1560.129,MBTPS2,1531,1079.4
ZNF234_E6_1245.128,ZNF234,3974,3523
ZNF773_E4_663.19,ZNF773,1090,805.2
UBE2C_240.27,UBE2C,900,700
FBXO38_2,FBXO38,1282,1135.4
NIM1K_PKc_E4_414.1,NIM1K,1011,958
KLK9_753.142,KLK9,3280,3165.6
BTBD9_BTB33137_E1_1839.2,BTBD9,1397,1207
MIB2_3213.414,MIB2,1702,1782
