Gene	sgRNA	Cont2|beta	Cont2|z	Cont2|p-value	Cont2|fdr	Cont2|wald-p-value	Cont2|wald-fdr
FBXL3	15	0.075933	1.4041	0.13574	0.49895	0.16029	0.39731
CTSZ	6	0.024484	0.39537	0.65367	0.88161	0.69257	0.81204
ZBTB10	9	0.1282	1.6653	0.087649	0.4	0.095859	0.33016
E2F1	6	-0.1178	-1.7605	0.49118	0.81109	0.078328	0.32007
GCM1	6	-0.09583	-1.3808	0.5885	0.8562	0.16735	0.40416
ZNF581	6	-0.14742	-1.5233	0.36966	0.76009	0.12769	0.36156
RCBTB2	6	0.079081	1.2966	0.35458	0.74432	0.19478	0.42994
RNF122	7	0.087893	1.252	0.2638	0.67418	0.21058	0.44551
ZNF398	6	0.0016998	0.036069	0.81417	0.94962	0.97123	0.9873
KLK2	5	-0.11976	-0.98197	0.49032	0.81109	0.32611	0.56223
ORC1	6	-0.77442	-2.7312	0	0	0.0063108	0.12745
NHLH2	6	-0.14513	-0.99307	0.37792	0.76542	0.32068	0.55703
43527	7	0.18696	2.0107	0.027319	0.21525	0.044357	0.30057
ZBTB33	12	0.14472	2.1144	0.022482	0.19268	0.034483	0.28296
ISX	6	0.044996	0.52131	0.5313	0.832	0.60215	0.75253
UBE2J2	8	-0.015108	-0.22603	0.89385	0.97154	0.82118	0.89644
ZSCAN26	6	-0.095776	-1.0297	0.58936	0.8562	0.30314	0.54103
CAPN8	6	0.059847	1.1028	0.45447	0.80808	0.2701	0.50728
DPRX	6	0.10381	1.1792	0.2473	0.65585	0.2383	0.47389
MYSM1	18	0.15087	2.8707	0.0045532	0.062745	0.0040962	0.097526
ZNF527	6	0.19424	2.0417	0.038133	0.26223	0.041177	0.2965
ZNF268	6	0.22792	1.764	0.014513	0.14489	0.077731	0.32007
MEF2D	6	-0.32068	-2.1262	0.050939	0.3039	0.033483	0.27882
CXXC1	12	-0.52488	-3.4807	0	0	0.00050007	0.02891
RPS6KB2	6	0.012356	0.22774	0.73421	0.9136	0.81984	0.89637
ZNF865	6	-0.071443	-0.96169	0.72225	0.90805	0.33621	0.57176
FBXW7	16	0.033264	0.58205	0.37621	0.7646	0.56053	0.72246
ZNF879	6	0.14182	1.8377	0.12493	0.4814	0.066113	0.31322
CHEK2	6	0.012595	0.14496	0.73307	0.91283	0.88474	0.93475
RNF144B	15	0.1028	2.2718	0.059761	0.32915	0.023099	0.24299
KLK1	6	0.054081	1.0252	0.48435	0.80871	0.30528	0.54266
RHOXF1	7	0.21579	1.7018	0.011098	0.12226	0.088784	0.32769
FOXB1	6	-0.080594	-1.6147	0.66904	0.88717	0.10636	0.34354
DPYSL5	6	-0.12857	-1.3838	0.4428	0.80599	0.16641	0.403
PDZRN3	10	-0.052352	-0.60746	0.81446	0.94962	0.54355	0.7111
NR1H2	5	0.062571	0.64358	0.47638	0.80871	0.51985	0.70036
TRIM2	11	0.044474	0.84323	0.38532	0.77041	0.3991	0.62414
ZSCAN12	6	0.077248	0.83876	0.3654	0.75842	0.4016	0.62666
ADAMTS1	6	0.10289	1.1151	0.25128	0.66142	0.26481	0.50153
ING1	6	-0.23042	-1.5917	0.1531	0.52693	0.11145	0.34706
TRIM23	10	-0.07614	-1.3419	0.64456	0.88065	0.17962	0.41795
OTUD5	5	0.15976	1.4857	0.11355	0.45757	0.13735	0.36928
GZMA	6	0.13606	1.5484	0.13916	0.50256	0.12154	0.35531
neg34	1	0.27877	0.61625	0.22368	0.63592	0.53773	0.70812
SETDB1	33	-0.3412	-5.0943	0	0	3.5005e-07	0.00013668
EEF2K	6	-0.093444	-0.84716	0.59989	0.85906	0.39691	0.62404
FER	6	0.16841	1.827	0.069437	0.36123	0.067696	0.31383
RNF168	10	-0.5623	-3.8525	0	0	0.0001169	0.011378
