sgRNA,Gene,HCT116-Ts5.initial,HCT116-Ts5.final
PWWP2B_PWWP488574_E1_1773.183,PWWP2B,258,595
NR2F2_E1_208.19,NR2F2,2127,1779
HOXA5_E2_177.22,HOXA5,616,667
MYCL_E2_165.1,MYCL,1702,2615
ZNF366_E2_366.43,ZNF366,1434,1486
UHRF1_3,UHRF1,636,306
C17orf49_SANT_E3_98.2,C17orf49,403,422
ZNF253_E4_828.60,ZNF253,1345,1502
ZNF480_E5_1050.16,ZNF480,1879,2266
CREB3L3_E6_92.1,CREB3L3,1022,915
DAPK1_PKc_E8_153.1,DAPK1,702,964
FBXO25_2,FBXO25,673,753
PHRF1_4950.1066,PHRF1,1490,1407
RPL9_e3.2,RPL9,5470,2399
neg51,neg51,2237,3117
ZNF324B_E4_660.34,ZNF324B,485,453
KALRN_PKc_E58_201,KALRN,1003,969
CTRB2_792.86,CTRB2,632,640
HERC3_2799.114,HERC3,1547,1646
ACE_3921.52,ACE,1048,1591
KMT2B_ePhd_E21_39.2,KMT2B,1272,1839
ZFHX4_E10_2571.111,ZFHX4,923,866
MARK4_PKc_E5_66,MARK4,515,790
NEK4_PKc_E5_117.1,NEK4,691,707
RNF103_2058.119,RNF103,620,578
BATF3_E2_90.1,BATF3,1309,1429
ZNF81_E5_1236.33,ZNF81,714,601
POU2F1_E11_63.5,POU2F1,1064,499
ZNF274_E8_552.10,ZNF274,2620,2892
DPP3_2214.238,DPP3,1242,1272
AFG3L2_2394.2,AFG3L2,1732,991
ZFP92_E4_657.72,ZFP92,1820,1736
RAG1_3132.325,RAG1,1999,2599
DOT1L_e7_63.3,DOT1L,1648,2151
TRIML1_1407.190,TRIML1,449,374
AURKB_PKc_E7_149.8,AURKB,835,1281
ADAM15_2592.452,ADAM15,868,1059
NFIA_E9_166.6,NFIA,3287,4399
ZNF446_E7_69.1,ZNF446,586,711
DEAF1_E11_84.0,DEAF1,973,835
FOXP3_E12_81.2,FOXP3,318,430
ZFP36_E2_195.2,ZFP36,1221,1008
L3MBTL2_MBT511604_E1_2118.243,L3MBTL2,1062,950
RNF31_2766.163,RNF31,685,903
ADAM17_2475.206,ADAM17,1000,919
TINAG_1431.103,TINAG,816,740
MMP26_786.76,MMP26,1068,1164
MPHOSPH8_Chromo_E2_114.0,MPHOSPH8,626,748
PRSS37_708.91,PRSS37,2046,2309
OLIG1_E1_189.1,OLIG1,174,173
EGR3_E2_237.0,EGR3,494,696
NO66_e1_980.160,NO66,842,1041
neg98,neg98,2474,3563
KLHL20_BTB59165_E1_1830.206,KLHL20,995,944
BCR_PKc_E1_1278.13,BCR,208,183
UBP1_E4_106.7,UBP1,2787,2548
DCAF5_2829.11,DCAF5,535,664
ZHX3_E3_1533.208,ZHX3,1211,1805
CUL3_2325.160,CUL3,895,1341
MAZ_E2_78.2,MAZ,2240,2111
ATG4A_1197.84,ATG4A,1487,2088
CDX4_E2_126.0,CDX4,1636,2051
CUX2_E21_155.5,CUX2,1070,1482
USP17L4_1593.42,USP17L4,1175,573
ZNF740_E6_119.3,ZNF740,3977,4498
ZNF287_E6_1158.39,ZNF287,1778,2392
TRIM21_1428.211,TRIM21,538,616
ZIC2_E1_118.10,ZIC2,1002,1569
KLHL3_BTB40147_E1_1764.222,KLHL3,1639,1897
PhIP_BD2_e36_153.1,PhIP,2041,2391
PHIP_5466.213,PHIP,2041,2391
MAP2K5_PKc_E8_56,MAP2K5,699,614
QPCT_1086.28,QPCT,977,1538
FBXL5_2076.23,FBXL5,907,991
ZNF251_E5_1287.133,ZNF251,428,252
MIER1_SANT_E13_57.1,MIER1,824,914
TRIM11_1407.255,TRIM11,696,662
PAX6_E5_129.5,PAX6,943,978
ADAM12_2730.46,ADAM12,1117,1003
SPSB2_792.16,SPSB2,1474,1914
UBE4A_3201.198,UBE4A,888,1039
PDIK1L_PKc_E3_708.64,PDIK1L,313,414
ASH1L_Phd_E20_63.1,ASH1L,1622,1967
DCAF5_2829.51,DCAF5,1478,1651
DNAJC1_E11_449.65,DNAJC1,3494,4521
DNAJC1_SANT2_E11_449.65,DNAJC1,3494,4521
PRCP_1554.87,PRCP,775,1015
HNF4G_E2_113.4,HNF4G,944,1156
RFPL1_954.122,RFPL1,632,679
LMTK3_PKc_E5_42.1,LMTK3,2517,1680
FBXL5_2076.152,FBXL5,1004,864
DUXA_E3_112.5,DUXA,950,551
TRIM38_1398.32,TRIM38,1446,2264
SOX17_E1_109.4,SOX17,1228,1309
CDK16_PKc_E8_63.4,CDK16,386,554
GRK6_PKc_E7_45,GRK6,259,209
LRSAM1_2172.164,LRSAM1,1732,1563
KCNA2_BTB35126_E1_1500.15,KCNA2,636,1178
ZNF275_E4_237.13,ZNF275,760,901
ZNF621_E5_492.16,ZNF621,686,841
LRSAM1_2172.179,LRSAM1,172,211
TSHZ3_E2_207.20,TSHZ3,825,890
CDC27_2493.119,CDC27,369,466
MBD3_E5_178.8,MBD3,2353,2685
