Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
neg29	1	2.1365	0.20325	0.16866	0.73221	0.83894	0.91464
neg30	1	1.4838	0.30926	0.38396	0.84678	0.75712	0.87887
neg31	1	1.1546	0.37765	0.51479	0.90467	0.70569	0.85124
neg32	1	2.2213	0.19205	0.14391	0.70839	0.8477	0.91934
neg33	1	1.8077	0.25207	0.25597	0.80282	0.80098	0.8987
neg34	1	1.6678	0.27559	0.312	0.823	0.78286	0.88935
neg35	1	1.6566	0.27756	0.31883	0.83284	0.78135	0.88907
neg36	1	1.4525	0.31529	0.39534	0.84939	0.75254	0.87751
neg37	1	0.76164	0.47407	0.7008	0.94988	0.63545	0.814
neg38	1	0.71027	0.48792	0.72071	0.95985	0.6256	0.80987
neg39	1	1.0769	0.39538	0.54323	0.90683	0.69256	0.84521
neg40	1	1.1412	0.38067	0.51792	0.90467	0.70345	0.85124
neg41	1	1.3116	0.34368	0.45165	0.88814	0.73109	0.86784
neg42	1	1.9586	0.22857	0.21331	0.7731	0.8192	0.90574
neg43	1	-0.61176	-0.95014	0.80176	0.97493	0.34204	0.68713
neg44	1	0.58113	0.52408	0.77361	0.97457	0.60022	0.79727
neg45	1	1.9581	0.22864	0.21331	0.7731	0.81915	0.90574
neg46	1	0.54934	0.53327	0.78413	0.97493	0.59385	0.7942
neg47	1	1.6411	0.28028	0.32338	0.83668	0.77926	0.8883
neg48	1	1.8087	0.2519	0.2554	0.80282	0.80112	0.8987
neg49	1	1.1143	0.38677	0.52816	0.90467	0.69892	0.84914
neg50	1	0.90301	0.43744	0.64107	0.93566	0.66179	0.82954
