sgRNA,Gene,DLD1-Cont1.initial,DLD1-Cont1.final
ZNF689_E3_666.79,ZNF689,738,445
SFMBT2_MBT156256_E1_2685.37,SFMBT2,1985,1447
FXR1_Agenet59115_E1_1866.17,FXR1,3516,2132
STUB1_696.53,STUB1,2407,1701
VEZF1_E2_78.0,VEZF1,3077,1664
LMX1A_E5_84.4,LMX1A,4110,4023
KLHL32_BTB32137_E1_1863.228,KLHL32,2557,1901
TRAF5_1674.8,TRAF5,3276,3371
TCF20_ePhd_E3_47.0,TCF20,1989,1456
ZNF345_E3_1242.85,ZNF345,5620,3956
TDRD6_tudor69133_E1_6291.39,TDRD6,758,1126
HDAC6_a1_e9_105.4,HDAC6,5405,3741
TFAP2E_E6_142.18,TFAP2E,1583,1778
ZNF852_E4_1077.2,ZNF852,3804,3353
ZNF383_E5_969.43,ZNF383,4204,4522
CBFB_E4_117.8,CBFB,1534,1786
PGC_948.131,PGC,3854,2365
ZNF461_E6_666.23,ZNF461,11759,7802
KDM5A_Phd3_E27_45.1,KDM5A,2928,2525
KDM3A_e21_131.0,KDM3A,4262,3085
UBE2U_681.0,UBE2U,4824,2804
ZNF548_E4_834.71,ZNF548,5579,3486
EAF2_E3_137.0,EAF2,3323,2376
VPS11_2825.207,VPS11,3182,1438
ZBTB33_E3_657.36,ZBTB33,3036,2891
DYRK3_PKc_E3_1140.11,DYRK3,2790,2527
NKX2_2_E2_171.6,NKX2,1018,1063
BARX1_E3_82.0,BARX1,4330,3551
RNF8_1458.98,RNF8,3210,2038
TGIF2LY_E2_171.0,TGIF2LY,4311,3124
MBTPS2_1560.29,MBTPS2,3998,137
IRF3_E3_165.8,IRF3,2500,1351
WHSC1_PWWP878972_E1_4098.182,WHSC1,1971,1747
RAD54L2_H_e15_100.9,RAD54L2,5232,714
MMP17_1812.78,MMP17,3447,2109
CAD_6678.668,CAD,7734,6792
ASB7_957.55,ASB7,4111,3442
ZFPL1_933.62,ZFPL1,2520,2202
BACE1_1506.5,BACE1,3045,1846
THRB_E5_69.4,THRB,1627,1202
BRPF1_Phd_E3_186.4,BRPF1,2233,1798
RAX_E3_42.2,RAX,1393,1085
USP28_3234.88,USP28,2985,2179
CISH_828.60,CISH,1620,1039
CHD7_Chromo_E7_56.0,CHD7,3079,1548
PRMT7_e5_73.1,PRMT7,6608,3396
ETS2_E10_111.5,ETS2,2101,1278
SOCS2_597.36,SOCS2,3917,3223
ZFP69_E6_666.49,ZFP69,1474,394
DPYSL2_165.11,DPYSL2,1616,1968
neg33,neg33,7677,7950
IPP_BTB28134_E1_1755.1,IPP,2625,2000
ZNF99_E4_1773.68,ZNF99,3120,3112
ZMPSTE24_185.5,ZMPSTE24,4321,3186
CAMK2D_PKc_E4_55.2,CAMK2D,2083,1677
BIRC7_897.172,BIRC7,3862,3271
KCTD21_BTB593_E1_783.23,KCTD21,1927,1404
MARCH10_2541.129,43534,2528,2103
TDRD6_tudor821866_E1_6291.211,TDRD6,2827,1952
HP_1221.118,HP,5094,2990
MYO3B_PKc_E2_177.13,MYO3B,1658,936
USP44_2139.126,USP44,2764,1915
ZNF165_E4_327.18,ZNF165,3769,2616
FBXW11_5,FBXW11,1468,647
ZNF100_E5_1155.84,ZNF100,5464,3976
PSEN2_1347.77,PSEN2,1489,1326
CPA2_1260.38,CPA2,1328,1250
E2F7_E6_159.6,E2F7,4249,2307
TMPRSS11F_1317.82,TMPRSS11F,2504,2325
RFWD2_2124.56,RFWD2,3190,1406
RFPL2_1137.141,RFPL2,3901,1488
KLHL31_BTB63165_E1_1905.212,KLHL31,4342,3281
CXXC4_CXXC301341_E1_1104.118,CXXC4,1230,972
ZBTB16_BTB25125_E1_2022.8,ZBTB16,1756,1675
SMYD4_e5_95.4,SMYD4,1940,1612
SNAI2_E3_152.9,SNAI2,3238,2862
KCTD21_BTB593_E1_783.13,KCTD21,2273,1745
ZNF266_E11_1233.73,ZNF266,3052,2233
DZIP3_3627.150,DZIP3,5901,4982
HSF2_E1_78.1,HSF2,4179,3057
ZNF92_E4_1059.54,ZNF92,2344,2395
ZNF559_E6_1170.65,ZNF559,3219,2823
ZBTB25_E6_69.4,ZBTB25,5921,5041
CELA1_777.5,CELA1,1944,1872
TET3_e9_138.1,TET3,3187,2400
ASCL1_E1_126.11,ASCL1,1724,1412
BRD2_BD2_e6_145.6,BRD2,3426,989
IBTK_BTB554639_E1_4062.107,IBTK,1332,1792
TRIM41_1893.397,TRIM41,338,222
LHX8_E7_39.0,LHX8,2996,2283
GRHL1_E5_77.7,GRHL1,3160,2673
FOXA1_E2_234.12,FOXA1,1784,642
PLAU_1296.115,PLAU,5902,3970
CREB3_E6_67.1,CREB3,2523,1554
ZNF880_E4_1221.60,ZNF880,4564,3369
GGH_957.56,GGH,4969,3877
RAX2_E2_135.13,RAX2,2917,2582
IRF2BP1_1755.214,IRF2BP1,2106,1158
TRIM49B_1359.92,TRIM49B,1921,764
PHF10_Phd_E10_88.0,PHF10,2825,2204
RNF223_750.149,RNF223,2091,1617
BRD2_BD2_e6_145.7,BRD2,2589,479
KLK2_786.109,KLK2,2421,1715
BMPR2_PKc_E7_115.4,BMPR2,2285,1625
KMT2B_Phd3_E16_183.35,KMT2B,706,590
RNF19B_1764.188,RNF19B,3573,2422
EVX1_E2_135.14,EVX1,1911,1428
ZNF793_E8_600.56,ZNF793,4780,3480
UBE4B_3909.308,UBE4B,1309,919
ATRX_D_e19_178.6,ATRX,3240,2109
CHD3_D_e14_79.5,CHD3,3007,2571
F7_1401.21,F7,1619,1526
CASP6_882.68,CASP6,1224,717
MTA1_Bah3188_E1_2148.39,MTA1,1021,1325
MALT1_2475.89,MALT1,1802,1318
TNFAIP3_2373.24,TNFAIP3,2496,2604
SFMBT1_MBT131232_E1_2601.37,SFMBT1,4987,3038
PEPD_1482.189,PEPD,2359,2019
Nr1h4_E2_76.8,Nr1h4,4186,3899
HMGB1_E3_146.2,HMGB1,2643,3298
LAP3_1560.23,LAP3,798,1106
UBE2NL_462.21,UBE2NL,2573,2381
RNF139_1995.95,RNF139,3505,2972
KMT2C_Phd4_E18_105.4,KMT2C,866,315
CDK9_e4.2,CDK9,8590,1151
ZNF354A_E5_1209.34,ZNF354A,3325,3221
CDKL3_PKc_E6_140.5,CDKL3,1203,1067
MMP15_2010.366,MMP15,3079,2273
RNF135_1299.6,RNF135,3046,1785
KDM4C_tudor935990_E1_3171.165,KDM4C,2747,1956
YME1L1_2322.94,YME1L1,5071,1530
SP110_Phd_E15_101.7,SP110,2583,2696
CERS6_E2_39.0,CERS6,5236,5349
TRIM51_1359.29,TRIM51,3428,1922
TRIM24_3153.299,TRIM24,1409,1354
UBP1_E4_106.4,UBP1,708,327
CDX1_E2_126.17,CDX1,944,1195
NPR1_PKc_E10_78,NPR1,1851,1519
KLHL15_BTB32128_E1_1815.12,KLHL15,1314,1194
ZNF148_E6_67.0,ZNF148,5570,4210
SETDB1_tudor257317_E1_3876.56,SETDB1,3372,2456
SETD1B_e17_118.2,SETD1B,6292,4485
RCBTB1_BTB371467_E1_1596.94,RCBTB1,3847,2828
FBXO9_1344.24,FBXO9,2115,1038
TRIM9_2133.363,TRIM9,4270,3553
BSX_E2_129.11,BSX,1079,1382
HAND2_E1_177.20,HAND2,1242,630
USP51_2136.132,USP51,3898,3516
NEURL2_858.72,NEURL2,1125,1000
RFX3_E7_182.13,RFX3,3533,3102
EPHA4_PKc_E14_210.8,EPHA4,1097,688
ZNF710_E2_450.11,ZNF710,4041,4577
COMMD3_588.13,COMMD3,1822,1425
BTBD7_BTB268397_E1_3399.51,BTBD7,2621,1670
MAFA_E1_273.9,MAFA,3187,2041
RNF145_2082.147,RNF145,1232,507
TRIM21_1428.166,TRIM21,2144,1807
ZNF431_E5_1059.60,ZNF431,3955,2597
SP110_Phd_E15_101.1,SP110,1326,738
TULP4_4632.374,TULP4,1587,1476
USP38_3129.204,USP38,1850,1407
