sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final
DDB1_3423.475,DDB1,498,860
KCNA10_BTB88179_E1_1536.29,KCNA10,426,650
ANAPC5_2268.82,ANAPC5,1063,1764
KDM4A_ePhd_E16_53.4,KDM4A,768,1503
PRSS53_1662.325,PRSS53,1393,2602
PRSS53_825.103,PRSS53,1393,2602
ZNF460_E3_999.105,ZNF460,1141,2506
KMT2A_BD_e17_111.4,KMT2A,1362,2459
PRMT1_e4_73.7,PRMT1,546,743
TRIM40_777.108,TRIM40,427,900
KDM7A_e6_187.7,KDM7A,1345,2042
AKTIP_8,AKTIP,1768,4080
USP18_1119.135,USP18,1673,2943
ZNF251_E5_1287.112,ZNF251,3019,6619
MAP2K7_PKc_E5_114.12,MAP2K7,1035,2372
ZNF276_E2_231.25,ZNF276,1041,2342
HSF4_E4_109.8,HSF4,897,1524
CUL4B_2742.48,CUL4B,1214,2301
GATAD2B_E8_203.16,GATAD2B,1681,2583
KDM5D_e15_118.1,KDM5D,1948,5555
KLK8_134.1,KLK8,1648,3702
KDM5A_e12_163.5,KDM5A,2873,6713
ANAPC5_2268.41,ANAPC5,2008,3499
KDM5A_Phd3_E28_204.0,KDM5A,421,765
ZNF155_E5_750.59,ZNF155,1230,2044
IVNS1ABP_BTB22126_E1_1929.1,IVNS1ABP,629,1278
UBE2V1_513.26,UBE2V1,1034,2109
CTRB1_792.75,CTRB1,1272,1661
PRKRIR_E1_80.9,PRKRIR,1317,1924
TGFBR2_PKc_E8_102.12,TGFBR2,1314,2707
HLTF_3030.169,HLTF,1169,1991
MMP21_1710.74,MMP21,759,1450
ZNF200_E5_240.12,ZNF200,1129,1534
ZNF677_E5_903.12,ZNF677,2199,4581
ZNF534_E4_1170.83,ZNF534,484,891
MARCH7_2001.91,MARCH7,1800,2393
ZNF530_E3_1005.13,ZNF530,2564,4277
PTK7_PKc_E18_152.17,PTK7,230,256
PHF19_Phd1_E5_86.9,PHF19,1265,3839
FOS_E3_75.1,FOS,909,1557
KDM1B_e13_75.2,KDM1B,2528,6212
ZNF816_E5_999.43,ZNF816,4119,8728
KDM4A_tudor9601004_E1_3195.227,KDM4A,1226,2836
UBE2E3_624.10,UBE2E3,2309,5311
LTA4H_1836.192,LTA4H,1468,1965
HMX2_E2_174.21,HMX2,2125,4238
ZIC1_E1_157.1,ZIC1,2421,6807
PRMT5_e12_106.10,PRMT5,2542,4353
HM13_1281.181,HM13,1182,2661
JARID2_E17_108.3,JARID2,1172,1715
RAG1_3132.353,RAG1,1261,2212
PLK2_PKc_E4_130.5,PLK2,354,554
MAP3K9_PKc_E2_412.14,MAP3K9,644,1386
MAFA_E1_273.9,MAFA,1271,2923
MMP24_1938.66,MMP24,1415,2489
DOT1L_e7_63.4,DOT1L,1504,1748
FBXW5_1701.238,FBXW5,271,419
IKZF2_E5_168.5,IKZF2,1455,2572
KMT2C_14736.787,KMT2C,1202,2125
TADA2B_E2_73.0,TADA2B,1078,1334
MST1_2178.186,MST1,1462,1934
TRIM24_Phd_E15_104.1,TRIM24,2498,5125
TRIM24_3153.132,TRIM24,2498,5125
ZNF217_E3_47.0,ZNF217,1817,3153
RNF217_1629.147,RNF217,907,2277
MAPK13_PKc_E5_30,MAPK13,572,771
ZPR1_E9_71.1,ZPR1,1376,1629
PHF11_Phd_E3_84.0,PHF11,1357,2837
ZNF705G_E5_162.6,ZNF705G,1471,2595
STK17B_PKc_E2_53.1,STK17B,466,1157
KCNG4_BTB61160_E1_1560.19,KCNG4,1252,2857
ZNF90_E4_996.22,ZNF90,1079,1916
RNF125_699.53,RNF125,873,1598
ARID5A_E6_34.3,ARID5A,966,1912
HNF1B_E3_116.0,HNF1B,1575,1717
FOXD4L6_E1_234.5,FOXD4L6,2869,3946
CSF1R_PKc_E17_98.1,CSF1R,705,1481
TULP4_E13_120.16,TULP4,1290,2043
TULP4_4632.365,TULP4,1290,2043
L3MBTL2_MBT511604_E1_2118.165,L3MBTL2,1111,2907
ZNF80_E1_411.42,ZNF80,2000,4675
KLHL20_BTB59165_E1_1830.16,KLHL20,1135,1958
SCYL1_PKc_E3_123.21,SCYL1,627,1262
ZNF341_E3_81.7,ZNF341,741,760
ASPRV1_1032.66,ASPRV1,1353,3125
HOXA3_E3_177.16,HOXA3,904,1548
