sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final
KDM4B_tudor9751030_E1_3291.35,KDM4B,323,604
PRKCB_PKc_E5_55.3,PRKCB,1260,2577
UBE4A_3201.25,UBE4A,996,1908
BRWD3_BD_e32_126.5,BRWD3,1409,2634
VPS11_2825.164,VPS11,1290,3261
PRSS1_744.88,PRSS1,1389,2542
PIAS4_E9_132.3,PIAS4,975,1654
TOX4_E5_144.1,TOX4,2529,4178
TRIM38_1398.156,TRIM38,1376,2674
USP38_3129.204,USP38,758,1063
PIAS2_E9_129.8,PIAS2,3113,8118
PIAS2_1866.123,PIAS2,3113,8118
FBXO34_3,FBXO34,1205,2280
MIER3_E10_81.1,MIER3,2021,4326
MIER3_SANT_E10_87.1,MIER3,2021,4326
ARID4A_E13_95.1,ARID4A,1097,2041
ANAPC7_1800.61,ANAPC7,579,1032
KMT2C_e58_117.5,KMT2C,6104,14944
KMT2C_14736.745,KMT2C,6104,14944
CDK9_e4.2,CDK9,5472,5698
STKLD1_PKc_E3_45,STKLD1,689,1243
T_E3_265.10,T,1707,4113
RXRG_E4_180.16,RXRG,2921,8391
ASB7_957.59,ASB7,633,1386
SNAPC4_SANT4_E14_68.5,SNAPC4,744,1308
TDRD15_Tudor_E4_336.8,TDRD15,904,1897
ZNF844_E4_318.18,ZNF844,1787,2590
NCOR2_E19_95.0,NCOR2,1210,3241
NCOR2_SANT2_E19_101.0,NCOR2,1210,3241
USP2_1818.109,USP2,667,1068
STK32B_PKc_E8_117.15,STK32B,498,898
ADNP_E6_126.3,ADNP,2679,4127
ZNF660_E3_825.44,ZNF660,2977,6154
PRMT5_e12_106.3,PRMT5,1593,1938
PSMA2_705.42,PSMA2,859,935
GGT7_1989.233,GGT7,652,1081
FBXO40_5,FBXO40,574,1548
SH3RF2_2190.404,SH3RF2,665,1538
SETDB1_E13_186.3,SETDB1,896,1164
neg69,neg69,1894,2735
ADAM18_39.0,ADAM18,1167,1861
UBE2E2_606.51,UBE2E2,321,575
HMGB2_E2_126.14,HMGB2,2134,5153
CREB3_E6_67.3,CREB3,1344,2298
PMS1_E9_143.2,PMS1,2161,4838
SPZ1_E1_66.1,SPZ1,3848,9001
ZNF449_E5_573.1,ZNF449,502,639
UNCX_E2_135.0,UNCX,3511,6391
L3MBTL3_MBT345439_E1_2343.211,L3MBTL3,1391,2540
TET2_e7_86.2,TET2,1352,2898
TRIM9_2133.369,TRIM9,904,1612
ZNF417_E3_567.7,ZNF417,2768,5742
KCNG1_BTB65164_E1_1542.261,KCNG1,437,1052
MTA2_SANT_E10_57.3,MTA2,1510,2864
ZNF222_E4_483.16,ZNF222,1290,2035
CAMK2G_PKc_E3_60.2,CAMK2G,123,193
BATF3_E2_90.3,BATF3,1445,2858
ZNF222_E4_483.30,ZNF222,1260,2292
PSMA2_705.64,PSMA2,966,1194
TSNARE1_SANT_E4_234.9,TSNARE1,633,1021
SPOPL_BTB190297_E1_1179.31,SPOPL,735,1468
HM13_1281.161,HM13,949,1935
CBLC_1425.103,CBLC,851,1767
PRSS12_2628.222,PRSS12,1872,4147
SOX6_E14_107.4,SOX6,628,1363
PRSS8_1032.139,PRSS8,1549,2693
POU5F1B_E1_174.17,POU5F1B,1210,2045
CELA3A_813.87,CELA3A,1830,4721
BRD8_BD_e19_178.3,BRD8,804,1539
