sgRNA,Gene,HCT116-Cont2.initial,HCT116-Cont2.final
ZNF740_E6_119.3,ZNF740,3931,3056
ZNF287_E6_1158.39,ZNF287,1972,1855
TRIM21_1428.211,TRIM21,652,539
ZIC2_E1_118.10,ZIC2,1263,980
KLHL3_BTB40147_E1_1764.222,KLHL3,1563,1933
PhIP_BD2_e36_153.1,PhIP,2048,1609
PHIP_5466.213,PHIP,2048,1609
MAP2K5_PKc_E8_56,MAP2K5,797,386
QPCT_1086.28,QPCT,1259,1360
FBXL5_2076.23,FBXL5,1024,925
ZNF251_E5_1287.133,ZNF251,455,181
MIER1_SANT_E13_57.1,MIER1,1050,767
TRIM11_1407.255,TRIM11,675,406
PAX6_E5_129.5,PAX6,983,821
ADAM12_2730.46,ADAM12,1443,1095
SPSB2_792.16,SPSB2,1648,1171
UBE4A_3201.198,UBE4A,984,1000
PDIK1L_PKc_E3_708.64,PDIK1L,285,220
ASH1L_Phd_E20_63.1,ASH1L,1611,1676
DCAF5_2829.51,DCAF5,1789,1070
DNAJC1_E11_449.65,DNAJC1,3422,3538
DNAJC1_SANT2_E11_449.65,DNAJC1,3422,3538
PRCP_1554.87,PRCP,796,711
HNF4G_E2_113.4,HNF4G,867,953
RFPL1_954.122,RFPL1,554,501
LMTK3_PKc_E5_42.1,LMTK3,2246,1444
FBXL5_2076.152,FBXL5,1193,931
DUXA_E3_112.5,DUXA,1069,386
TRIM38_1398.32,TRIM38,1601,1315
SOX17_E1_109.4,SOX17,1220,1110
CDK16_PKc_E8_63.4,CDK16,447,442
GRK6_PKc_E7_45,GRK6,317,160
LRSAM1_2172.164,LRSAM1,1886,1144
KCNA2_BTB35126_E1_1500.15,KCNA2,772,777
ZNF275_E4_237.13,ZNF275,894,657
ZNF621_E5_492.16,ZNF621,787,499
LRSAM1_2172.179,LRSAM1,152,128
TSHZ3_E2_207.20,TSHZ3,1020,863
CDC27_2493.119,CDC27,446,519
MBD3_E5_178.8,MBD3,2455,1911
MBD3_MBD2_E5_178.8,MBD3,2455,1911
AHRR_E3_126.15,AHRR,637,582
OTUB2_705.66,OTUB2,1545,1308
TFAP4_E2_111.4,TFAP4,2611,1782
DDIT3_E4_192.15,DDIT3,987,467
CASP8_130.7,CASP8,1953,1449
ADAMTS7_5061.111,ADAMTS7,670,445
WHSC1_E7_39.0,WHSC1,2090,1751
ELK3_E2_153.5,ELK3,1068,827
ZNF746_E7_162.11,ZNF746,1396,1018
ATAT1_e5_114.0,ATAT1,2671,2246
HOXC9_E2_147.17,HOXC9,1511,1113
ANAPC4_2430.140,ANAPC4,908,303
USP45_2445.8,USP45,2102,1377
RNF165_1041.67,RNF165,976,951
RNF121_984.71,RNF121,996,699
PCSK4_2268.424,PCSK4,1262,1253
HABP2_1683.158,HABP2,1664,1143
MYBL2_E5_221.19,MYBL2,1231,955
MYBL2_SANT3_E5_97.6,MYBL2,1231,955
DDB1_3423.254,DDB1,487,158
DIDO1_Phd_E4_118.8,DIDO1,632,276
MIB1_3021.166,MIB1,333,232
PRMT7_e5_73.1,PRMT7,2192,1538
ZNF710_E2_450.23,ZNF710,539,442
RAB40B_837.68,RAB40B,285,183
GTF3A_E1_78.8,GTF3A,2994,634
CASP3_834.24,CASP3,586,532
MAPK8_PKc_E7_72,MAPK8,661,630
FBXO40_3,FBXO40,669,542
TSSK2_PKc_E1_789.12,TSSK2,1623,1268
VRK3_PKc_E6_65.2,VRK3,867,759
ZRANB1_199.3,ZRANB1,1692,1046
HTRA4_1431.162,HTRA4,778,647
TET1_e10_86.0,TET1,844,725
ZNF32_E3_561.40,ZNF32,885,577
KCNG3_BTB11111_E1_1311.18,KCNG3,932,633
MBD1_E2_98.3,MBD1,951,727
MBD1_MBD_E2_98.3,MBD1,951,727
UBE2C_240.27,UBE2C,1021,424
HERC1_14586.1075,HERC1,644,608
ZNF445_E8_1842.104,ZNF445,401,273
SGK494_PKc_E6_105.2,SGK494,664,328
USP33_2829.197,USP33,1305,725
ASB17_888.33,ASB17,625,494
PSEN1_1404.109,PSEN1,1554,1209
METAP2_1437.87,METAP2,2104,518
LEUTX_E2_73.2,LEUTX,1908,1591
CDK9_e4.1,CDK9,3721,1891
MKNK1_PKc_E4_98.4,MKNK1,670,594
FOXS1_E1_234.33,FOXS1,1749,1787
RNF20_2928.183,RNF20,915,661
GGTLC2_657.85,GGTLC2,1679,891
ZNF652_E5_145.8,ZNF652,361,222
PEPD_1482.189,PEPD,1505,941
ZNF429_E4_1167.56,ZNF429,2890,2964
CDK9_e5.2,CDK9,4562,1213
ZNF668_E2_410.27,ZNF668,1077,516
HDAC10_e6_69.8,HDAC10,986,707
RNF152_612.100,RNF152,521,450
PRMT2_e7_165.21,PRMT2,2269,1680
MLLT3_Yeats29112_E1_1707.15,MLLT3,685,787
PMS1_E9_143.6,PMS1,2509,1834
ZIC5_E1_118.4,ZIC5,1438,1149
UBE4B_3909.160,UBE4B,721,496
ZNF354A_E5_1209.34,ZNF354A,1852,1918
TRAF4_1413.200,TRAF4,450,283
LONRF3_2280.260,LONRF3,862,927
SP110_E13_88.3,SP110,2899,2687
RNF24_510.46,RNF24,1953,1054
FOXK2_E4_138.15,FOXK2,1142,879
