sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final,test1,Test2,DLD1-Ts2.18.final_recalculate
ZNF773_E4_663.19,ZNF773,1094,2409,1315,1315,1315
UBE2C_240.27,UBE2C,1256,2580,1324,1324,1324
FBXO38_2,FBXO38,1412,3295,1883,1883,1883
NIM1K_PKc_E4_414.1,NIM1K,1228,2570,1342,1342,1342
KLK9_753.142,KLK9,3238,8170,4932,4932,4932
BTBD9_BTB33137_E1_1839.2,BTBD9,1411,3274,1863,1863,1863
MIB2_3213.414,MIB2,1542,4802,3260,3260,3260
ATOH1_E1_177.0,ATOH1,1118,2948,1830,1830,1830
KLHL20_BTB59165_E1_1830.206,KLHL20,1523,3781,2258,2258,2258
ADAMTS4_2514.456,ADAMTS4,817,2218,1401,1401,1401
CIC_E6_171.6,CIC,1251,3237,1986,1986,1986
UTY_e25_115.4,UTY,4080,11520,7440,7440,7440
HDAC8_e3_131.7,HDAC8,2071,5314,3243,3243,3243
SUB1_E5_47.1,SUB1,910,2120,1210,1210,1210
SMN1_Tudor_E5_201.4,SMN1,1345,2380,1035,1035,1035
FBXW9_15,FBXW9,1084,2740,1656,1656,1656
ZNF582_E5_663.39,ZNF582,1715,4068,2353,2353,2353
ANAPC10_2,ANAPC10,1370,3039,1669,1669,1669
RNF112_1896.385,RNF112,1212,3136,1924,1924,1924
ASB10_1404.247,ASB10,935,2775,1840,1840,1840
UBE2J2_828.128,UBE2J2,650,1538,888,888,888
CUL9_7554.837,CUL9,527,1028,501,501,501
ZNF304_E4_1068.94,ZNF304,1329,3586,2257,2257,2257
PHF7_1146.110,PHF7,953,2082,1129,1129,1129
TRIM13_1224.106,TRIM13,993,2114,1121,1121,1121
SPPL2B_1779.345,SPPL2B,1014,2421,1407,1407,1407
ZNF740_E6_119.3,ZNF740,5483,13671,8188,8188,8188
BTBD1_BTB62175_E1_1449.42,BTBD1,1185,3489,2304,2304,2304
PRKCZ_PKc_E10_98.3,PRKCZ,1382,3059,1677,1677,1677
ZBTB43_E3_216.3,ZBTB43,1756,4208,2452,2452,2452
FBXL18_2157.376,FBXL18,1193,2678,1485,1485,1485
STAT6_E12_93.8,STAT6,2964,8255,5291,5291,5291
DCAF17_1362.103,DCAF17,1729,4776,3047,3047,3047
KCTD8_BTB46143_E1_1422.35,KCTD8,708,1377,669,669,669
XIAP_3,XIAP,838,2252,1414,1414,1414
JUNB_E1_162.21,JUNB,710,2451,1741,1741,1741
