sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final,test1,Test2,DLD1-Ts2.18.final_recalculate
ZBTB8A_BTB14122_E1_1326.1,ZBTB8A,1808,4015,2207,2207,2207
RNF31_2766.179,RNF31,885,2499,1614,1614,1614
KDM5A_Phd1_E8_147.2,KDM5A,1450,3624,2174,2174,2174
NFYB_E4_75.4,NFYB,1328,3282,1954,1954,1954
BRD2_BD2_e7_129.7,BRD2,1973,4165,2192,2192,2192
ZNF589_E4_318.8,ZNF589,1203,3801,2598,2598,2598
HECTD4_12855.435,HECTD4,850,1851,1001,1001,1001
THAP6_E3_202.7,THAP6,1091,2977,1886,1886,1886
PRKCG_PKc_E11_189.3,PRKCG,513,1255,742,742,742
OSR1_E2_137.10,OSR1,1155,3352,2197,2197,2197
CAMK1D_PKc_E5_127.8,CAMK1D,690,1899,1209,1209,1209
ZBTB34_E2_156.17,ZBTB34,2021,4474,2453,2453,2453
G2E3_1983.114,G2E3,1150,2555,1405,1405,1405
CFI_1752.138,CFI,1833,4103,2270,2270,2270
DDR2_PKc_E19_120.5,DDR2,577,1480,903,903,903
ZBTB14_BTB26132_E1_1350.5,ZBTB14,251,913,662,662,662
RNF17_tudor419526_E1_4872.315,RNF17,1875,4793,2918,2918,2918
CDK11A_PKc_E14_106.1,CDK11A,427,1028,601,601,601
CASP6_882.78,CASP6,1078,3391,2313,2313,2313
CHD9_H_e17_196.11,CHD9,1199,2833,1634,1634,1634
BCL6B_E7_131.11,BCL6B,992,2109,1117,1117,1117
HOXB4_E2_177.21,HOXB4,615,1358,743,743,743
ADAM29_2463.41,ADAM29,1404,4706,3302,3302,3302
ADAMTS18_3666.417,ADAMTS18,1568,3890,2322,2322,2322
CLOCK_e21_210.10,CLOCK,1365,3221,1856,1856,1856
TRIM49_4,TRIM49,1260,2729,1469,1469,1469
RIOK3_PKc_E6_48,RIOK3,717,2041,1324,1324,1324
IKZF2_E5_168.4,IKZF2,926,2411,1485,1485,1485
UBR3_RING_E29_62.1,UBR3,953,2504,1551,1551,1551
ABHD12B_858.38,ABHD12B,3325,9946,6621,6621,6621
BRCA1_5592.335,BRCA1,934,1830,896,896,896
RNF144A_879.85,RNF144A,443,946,503,503,503
MME_2253.112,MME,2053,4838,2785,2785,2785
EN2_E2_180.2,EN2,1640,4337,2697,2697,2697
RCOR3_E11_54.2,RCOR3,1208,2425,1217,1217,1217
SP8_E2_162.10,SP8,1301,2940,1639,1639,1639
TXK_PKc_E13_119.8,TXK,715,1822,1107,1107,1107
ADAM33_2442.457,ADAM33,1571,3700,2129,2129,2129
TINAG_1431.38,TINAG,1520,4101,2581,2581,2581
MSX1_E2_177.13,MSX1,320,690,370,370,370
ZNF24_E4_234.17,ZNF24,939,2337,1398,1398,1398
RPS6KB1_PKc_E8_91.1,RPS6KB1,904,2182,1278,1278,1278
NEK7_PKc_E5_111.1,NEK7,531,997,466,466,466
KEAP1_BTB67179_E1_1875.323,KEAP1,732,1165,433,433,433
FBXW2_1365.34,FBXW2,722,1408,686,686,686
VRK2_PKc_E4_70.1,VRK2,421,956,535,535,535
CTRC_807.64,CTRC,889,2384,1495,1495,1495
ZNF98_E4_1155.3,ZNF98,1039,2508,1469,1469,1469
DLX5_E2_129.2,DLX5,1103,2572,1469,1469,1469
UBTF_E17_178.8,UBTF,2417,4939,2522,2522,2522
BRD1_PWWP_E12_155.10,BRD1,1233,3140,1907,1907,1907
NR2C1_E5_180.3,NR2C1,1166,2984,1818,1818,1818
STK39_PKc_E2_113.5,STK39,325,987,662,662,662
FEV_E3_249.4,FEV,479,1168,689,689,689
CTSC_132.4,CTSC,2334,5688,3354,3354,3354
KLHL6_BTB62167_E1_1866.3,KLHL6,1332,3513,2181,2181,2181
USP19_111.5,USP19,1689,4187,2498,2498,2498
ZNF549_E4_1143.3,ZNF549,946,2596,1650,1650,1650
EPHA3_PKc_E11_186.8,EPHA3,677,1628,951,951,951
CAPN13_2010.7,CAPN13,908,2234,1326,1326,1326
NFKB1_E7_164.3,NFKB1,2123,4937,2814,2814,2814
ZNF420_E5_1581.60,ZNF420,1935,5098,3163,3163,3163
IHH_1236.157,IHH,1432,3896,2464,2464,2464
HECW2_4719.568,HECW2,1044,2449,1405,1405,1405
FBXL19_2085.223,FBXL19,891,2299,1408,1408,1408
FBXO22_1212.16,FBXO22,810,2109,1299,1299,1299
TBX22_E6_165.3,TBX22,1565,3926,2361,2361,2361
TRAF6_1569.108,TRAF6,1123,2644,1521,1521,1521
AFG3L2_2394.203,AFG3L2,2174,4331,2157,2157,2157
AKT2_PKc_E7_66.3,AKT2,109,337,228,228,228
NEDD4_3960.222,NEDD4,860,2266,1406,1406,1406
PCSK6_2910.425,PCSK6,1637,4173,2536,2536,2536
PCGF1_780.8,PCGF1,258,650,392,392,392
RNF182_744.86,RNF182,1263,3254,1991,1991,1991
ZNF598_2715.47,ZNF598,832,1959,1127,1127,1127
ABL1_PKc_E7_185.15,ABL1,871,2069,1198,1198,1198
ZSCAN22_E3_654.101,ZSCAN22,1885,4805,2920,2920,2920
CREBBP_e28_168.2,CREBBP,1194,2509,1315,1315,1315
ZBTB49_E7_162.7,ZBTB49,2969,7962,4993,4993,4993
KLHL15_BTB32128_E1_1815.1,KLHL15,957,2255,1298,1298,1298
FOXO4_E1_153.18,FOXO4,579,1188,609,609,609
NSD1_Phd1_E11_144.20,NSD1,465,1039,574,574,574
MAST2_PKc_E14_41.1,MAST2,660,1379,719,719,719
ASB18_1401.161,ASB18,633,1577,944,944,944
IRF2BP2_1764.11,IRF2BP2,1038,2850,1812,1812,1812
SETD7_e6_86.1,SETD7,539,1223,684,684,684
CTRC_807.81,CTRC,616,1227,611,611,611
RHBDL1_56.1,RHBDL1,1715,4146,2431,2431,2431
LACTB_1644.107,LACTB,822,1754,932,932,932
PMPCB_1470.113,PMPCB,2498,3608,1110,1110,1110
FBXO28_1107.97,FBXO28,887,2388,1501,1501,1501
GGT7_1989.156,GGT7,1880,5525,3645,3645,3645
ZNF233_E5_648.48,ZNF233,1374,3505,2131,2131,2131
SPIN2A_Spinlin129177_E1_777.32,SPIN2A,791,1894,1103,1103,1103
AMFR_1932.48,AMFR,917,1936,1019,1019,1019
ZNF16_E4_1479.95,ZNF16,2359,6090,3731,3731,3731
ATM_PKc_E61_64.1,ATM,635,1038,403,403,403
L3MBTL2_MBT294390_E1_2118.104,L3MBTL2,309,535,226,226,226
KLK11_849.68,KLK11,1306,3144,1838,1838,1838
HES4_E1_99.6,HES4,1417,3540,2123,2123,2123
SCRT2_E2_156.0,SCRT2,507,1276,769,769,769
MMP9_2124.318,MMP9,1689,3950,2261,2261,2261
KLK14_804.43,KLK14,580,1320,740,740,740
HOXA10_E2_177.16,HOXA10,1080,2536,1456,1456,1456
PJA2_2127.104,PJA2,842,2307,1465,1465,1465
HUWE1_13125.281,HUWE1,961,2262,1301,1301,1301
ZCWPW1_PWWP313416_E1_1947.74,ZCWPW1,706,2462,1756,1756,1756
LHX2_E5_39.0,LHX2,658,1204,546,546,546
TDRD7_tudor9631007_E1_3297.179,TDRD7,702,1875,1173,1173,1173
ASB10_1404.183,ASB10,1222,3300,2078,2078,2078
CREB3L2_E8_69.0,CREB3L2,1658,3857,2199,2199,2199
FBXO8_960.73,FBXO8,504,1293,789,789,789
DMBX1_E2_147.0,DMBX1,1796,4884,3088,3088,3088
NEURL2_858.74,NEURL2,2187,5971,3784,3784,3784
CXXC1_CXXC162208_E1_1983.65,CXXC1,1353,2371,1018,1018,1018
BRWD1_6963.40,BRWD1,1677,4053,2376,2376,2376
PGA5_1167.92,PGA5,1202,2873,1671,1671,1671
HOXD8_E2_177.4,HOXD8,990,2506,1516,1516,1516
ZBTB38_E8_2331.86,ZBTB38,930,2381,1451,1451,1451
ZFPM2_E8_1788.36,ZFPM2,906,2308,1402,1402,1402
ATF1_E7_155.4,ATF1,832,1993,1161,1161,1161
MTA3_Bah3170_E1_1548.11,MTA3,1612,4374,2762,2762,2762
KCNS1_BTB52151_E1_1581.248,KCNS1,700,1784,1084,1084,1084
UBE4B_3909.316,UBE4B,878,1868,990,990,990
NFAT5_E8_173.3,NFAT5,786,1731,945,945,945
T_E3_265.9,T,922,2487,1565,1565,1565
CTSF_1455.18,CTSF,1150,2989,1839,1839,1839
PRSS1_744.84,PRSS1,1151,3454,2303,2303,2303
KCTD12_BTB36126_E1_978.194,KCTD12,1064,2505,1441,1441,1441
T_E4_135.14,T,1157,2369,1212,1212,1212
ELP3_e15_58.2,ELP3,853,1614,761,761,761
ZNF660_E3_825.10,ZNF660,1509,4298,2789,2789,2789
DCAF1_14,DCAF1,2035,3102,1067,1067,1067
ZNF333_E12_972.2,ZNF333,361,694,333,333,333
VPS18_2922.454,VPS18,759,2251,1492,1492,1492
ZNF134_E3_1116.98,ZNF134,1858,5047,3189,3189,3189
KDM5A_E3_123.6,KDM5A,2084,5704,3620,3620,3620
PHF3_Phd_E6_118.2,PHF3,749,1513,764,764,764
UBP1_E6_153.2,UBP1,2425,5205,2780,2780,2780
H2AFY_Macro178364_E1_1119.85,H2AFY,1225,3679,2454,2454,2454
STK10_PKc_E1_90,STK10,904,2023,1119,1119,1119
CAPN14_2055.32,CAPN14,725,2394,1669,1669,1669
ZBTB21_BTB20120_E1_3201.331,ZBTB21,1128,2574,1446,1446,1446
PKNOX1_E8_72.1,PKNOX1,500,1524,1024,1024,1024
FBXO7_1569.160,FBXO7,1692,3417,1725,1725,1725
PKN3_PKc_E15_92.2,PKN3,304,729,425,425,425
JMJD8_E7_68.4,JMJD8,1901,4645,2744,2744,2744
SHPRH_H_e27_179.16,SHPRH,1850,3848,1998,1998,1998
FBXO32_6,FBXO32,432,1331,899,899,899
TBX6_E5_147.23,TBX6,897,1972,1075,1075,1075
GBX2_E2_177.11,GBX2,483,1214,731,731,731
STK32B_PKc_E5_38,STK32B,404,1145,741,741,741
RFX3_E8_49.3,RFX3,2301,5251,2950,2950,2950
KMT2C_ePhd2_E52_315.28,KMT2C,411,1146,735,735,735
RAD18_1488.69,RAD18,1637,3798,2161,2161,2161
LONRF1_2322.192,LONRF1,324,714,390,390,390
SIRT3_e6_158.32,SIRT3,583,1353,770,770,770
CHD3_H_e22_125.0,CHD3,1076,2281,1205,1205,1205
MID2_2208.199,MID2,2977,7775,4798,4798,4798
ZNF559_E6_1170.59,ZNF559,822,1887,1065,1065,1065
FOXD4L5_E1_234.31,FOXD4L5,4094,7182,3088,3088,3088
NFE2L2_E5_183.2,NFE2L2,365,797,432,432,432
ZNF679_E5_492.39,ZNF679,2248,5944,3696,3696,3696
ZNF766_E4_582.31,ZNF766,1730,4394,2664,2664,2664
KMT2A_BD_e16_174.16,KMT2A,3185,5613,2428,2428,2428
KMT2A_11919.1159,KMT2A,3185,5613,2428,2428,2428
RELB_E7_132.13,RELB,985,2340,1355,1355,1355
ANAPC2_2469.293,ANAPC2,752,1190,438,438,438
UBE2I_477.29,UBE2I,353,563,210,210,210
ZNF429_E4_1167.62,ZNF429,1134,3248,2114,2114,2114
HIF1AN_e4_146.7,HIF1AN,1329,2725,1396,1396,1396
POU6F1_E6_177.10,POU6F1,1760,4541,2781,2781,2781
PTK7_PKc_E18_152.4,PTK7,765,2221,1456,1456,1456
KMT2C_Phd5_E19_134.5,KMT2C,1231,2313,1082,1082,1082
PRPF19_1515.163,PRPF19,949,1526,577,577,577
ZBTB7A_BTB24131_E1_1755.386,ZBTB7A,1033,2869,1836,1836,1836
CCNB1IP1_834.0,CCNB1IP1,1003,2324,1321,1321,1321
CBFB_E5_96.7,CBFB,894,2091,1197,1197,1197
ZNF354B_E5_1239.80,ZNF354B,1902,4585,2683,2683,2683
DCAF10_1680.108,DCAF10,1143,3409,2266,2266,2266
SOX13_E13_107.2,SOX13,648,1847,1199,1199,1199
TRIM40_777.111,TRIM40,449,1008,559,559,559
TFAP4_E2_111.5,TFAP4,843,1769,926,926,926
ZNF37A_E8_1242.5,ZNF37A,1543,3251,1708,1708,1708
ZNF524_E2_243.12,ZNF524,1917,5102,3185,3185,3185
ZNF436_E4_918.73,ZNF436,867,2299,1432,1432,1432
WDTC1_2034.330,WDTC1,1167,2395,1228,1228,1228
YES1_PKc_E11_132.7,YES1,771,1970,1199,1199,1199
HMX3_E2_174.17,HMX3,2426,6131,3705,3705,3705
CELA2A_810.32,CELA2A,315,713,398,398,398
CLK4_PKc_E8_95.2,CLK4,1295,3745,2450,2450,2450
VRK2_PKc_E9_121.15,VRK2,728,1569,841,841,841
MUSK_PKc_E13_74.3,MUSK,626,1562,936,936,936
ZNF274_E8_552.53,ZNF274,1298,3158,1860,1860,1860
KDM5C_e13_120.3,KDM5C,1255,3513,2258,2258,2258
DESI2_585.43,DESI2,633,1575,942,942,942
MAPK12_PKc_E2_130.1,MAPK12,304,575,271,271,271
CAPN12_2160.71,CAPN12,1209,2964,1755,1755,1755
ZNF502_E5_1161.13,ZNF502,1435,4149,2714,2714,2714
ADAM32_2364.145,ADAM32,1557,3299,1742,1742,1742
GRK6_PKc_E10_38,GRK6,1037,2626,1589,1589,1589
CAMKV_PKc_E4_75.2,CAMKV,513,1385,872,872,872
STK38_PKc_E9_62.4,STK38,72,156,84,84,84
TAOK3_PKc_E4_72.5,TAOK3,1274,2959,1685,1685,1685
RNF11_465.34,RNF11,1771,4742,2971,2971,2971
CDK7_PKc_E2_60.3,CDK7,896,1411,515,515,515
ZBTB2_BTB1484_E1_1545.3,ZBTB2,927,2682,1755,1755,1755
MESP2_E1_174.26,MESP2,393,1025,632,632,632
ZNRF2_729.80,ZNRF2,1960,4086,2126,2126,2126
ADAMTS12_4785.638,ADAMTS12,1703,3958,2255,2255,2255
ZFP69B_E5_666.40,ZFP69B,2520,6652,4132,4132,4132
NR2E3_E2_127.8,NR2E3,1551,4066,2515,2515,2515
HECW1_4719.375,HECW1,909,2136,1227,1227,1227
LMX1B_E4_84.3,LMX1B,1207,2642,1435,1435,1435
ZNF471_E5_1311.57,ZNF471,1008,2459,1451,1451,1451
SETDB1_E13_186.16,SETDB1,724,1812,1088,1088,1088
CBX3_Chromo_E3_86.4,CBX3,404,1055,651,651,651
ECEL1_2328.372,ECEL1,1331,3229,1898,1898,1898
ZNF277_E11_175.6,ZNF277,518,1388,870,870,870
ZNF559_E6_1170.51,ZNF559,2174,5369,3195,3195,3195
CSNK2A1_PKc_E10_102.3,CSNK2A1,533,1237,704,704,704
SGK2_PKc_E4_84.4,SGK2,657,2138,1481,1481,1481
TDRD1_tudor545592_E1_3570.209,TDRD1,1288,3246,1958,1958,1958
FBXW7_2124.104,FBXW7,2261,5151,2890,2890,2890
KMT2E_Phd_E6_73.4,KMT2E,808,2008,1200,1200,1200
SOX2_E1_216.12,SOX2,1412,3158,1746,1746,1746
SMAD4_E2_210.1,SMAD4,2004,4635,2631,2631,2631
ZRANB1_230.5,ZRANB1,1096,2511,1415,1415,1415
DCAF12L1_1392.81,DCAF12L1,341,976,635,635,635
GGT5_158.11,GGT5,1212,2907,1695,1695,1695
YES1_PKc_E10_154.1,YES1,598,1740,1142,1142,1142
HAND2_E1_177.20,HAND2,583,1504,921,921,921
ZNF99_E4_1773.36,ZNF99,3239,8225,4986,4986,4986
ZNF322_E5_246.18,ZNF322,1253,2760,1507,1507,1507
NACC1_BTB20122_E1_1584.22,NACC1,258,478,220,220,220
ZBTB20_E5_215.11,ZBTB20,1480,3491,2011,2011,2011
BTBD11_BTB9151022_E1_3315.287,BTBD11,916,2215,1299,1299,1299
AFG3L2_2394.142,AFG3L2,1596,2845,1249,1249,1249
ZNF677_E5_903.60,ZNF677,1095,3198,2103,2103,2103
PRTN3_771.131,PRTN3,1216,3205,1989,1989,1989
FOXN3_E2_204.4,FOXN3,1238,3142,1904,1904,1904
MEP1B_2106.37,MEP1B,1341,3880,2539,2539,2539
EPHB2_PKc_E10_43.1,EPHB2,308,884,576,576,576
GCN5_e11_127.5,GCN5,1486,3047,1561,1561,1561
SETD7_e6_86.0,SETD7,1424,3261,1837,1837,1837
FOXN3_E2_204.15,FOXN3,1781,4389,2608,2608,2608
VRK2_PKc_E6_106.3,VRK2,2692,6836,4144,4144,4144
DPEP1_1236.177,DPEP1,729,1872,1143,1143,1143
ZMIZ1_E19_75.5,ZMIZ1,2001,4345,2344,2344,2344
ZMIZ1_3204.382,ZMIZ1,2001,4345,2344,2344,2344
MXD1_E4_115.0,MXD1,420,885,465,465,465
CAPN5_1923.12,CAPN5,1706,4283,2577,2577,2577
USP6_131.5,USP6,1879,4623,2744,2744,2744
ZNF541_SANT_E12_78.6,ZNF541,860,1318,458,458,458
BRDT_BD2_e7_129.3,BRDT,2377,6740,4363,4363,4363
ARID1A_E11_210.21,ARID1A,2036,4377,2341,2341,2341
YBX1_E2_50.0,YBX1,1716,2793,1077,1077,1077
CDK9_PKc_E7_192.9,CDK9,1404,3151,1747,1747,1747
RFX5_E8_31.0,RFX5,1887,4203,2316,2316,2316
KDM4C_tudor935990_E1_3171.165,KDM4C,1784,4045,2261,2261,2261
RNF183_579.112,RNF183,1363,3533,2170,2170,2170
DLX6_E2_129.6,DLX6,1181,3197,2016,2016,2016
ZNF865_E1_1950.216,ZNF865,1839,4642,2803,2803,2803
MXD1_E4_115.8,MXD1,1034,2947,1913,1913,1913
MEX3B_1710.173,MEX3B,1945,5259,3314,3314,3314
CSNK1D_PKc_E1_55.3,CSNK1D,643,1704,1061,1061,1061
PPAT_1554.138,PPAT,1671,3533,1862,1862,1862
KMT2D_e52_109.3,KMT2D,826,1754,928,928,928
RNF31_2766.294,RNF31,569,1214,645,645,645
MARK1_PKc_E2_81.6,MARK1,1303,3967,2664,2664,2664
TRIM2_2316.270,TRIM2,404,843,439,439,439
PSMA6_741.44,PSMA6,1440,2290,850,850,850
SPIN3_Spinlin129177_E1_777.68,SPIN3,374,1043,669,669,669
TNNI3K_PKc_E18_53.3,TNNI3K,456,1360,904,904,904
ZNF444_E5_360.71,ZNF444,1498,4210,2712,2712,2712
ALX1_E3_42.0,ALX1,1890,4394,2504,2504,2504
PRKD2_PKc_E16_268.1,PRKD2,564,1374,810,810,810
HOXD12_E2_171.10,HOXD12,991,2274,1283,1283,1283
GTF3C4_e3_131.0,GTF3C4,764,1340,576,576,576
RNF175_987.56,RNF175,750,1647,897,897,897
RFFL_1092.83,RFFL,1074,2123,1049,1049,1049
HBO1_e9_192.8,HBO1,1296,2891,1595,1595,1595
ZNF136_E4_1110.74,ZNF136,1652,4219,2567,2567,2567
MIB1_3021.182,MIB1,1213,3366,2153,2153,2153
KLHL15_BTB32128_E1_1815.12,KLHL15,651,1237,586,586,586
EPHA4_PKc_E12_186.13,EPHA4,1639,4675,3036,3036,3036
E2F6_E3_194.4,E2F6,1089,2892,1803,1803,1803
CBX5_Chromo_E3_70.2,CBX5,138,566,428,428,428
ZBTB45_BTB23122_E1_1536.14,ZBTB45,14,12,-2,2,2
TRIM58_1461.17,TRIM58,1195,3179,1984,1984,1984
KLHL20_BTB59165_E1_1830.197,KLHL20,879,2546,1667,1667,1667
NR5A1_E4_71.0,NR5A1,382,796,414,414,414
PRSS55_831.91,PRSS55,1875,5063,3188,3188,3188
HCK_PKc_E9_180.11,HCK,745,1663,918,918,918
PIAS1_1956.91,PIAS1,530,1172,642,642,642
ROCK2_PKc_E1_27.3,ROCK2,794,2134,1340,1340,1340
ZBTB17_E12_121.7,ZBTB17,521,802,281,281,281
AURKA_PKc_E8_139,AURKA,450,749,299,299,299
HERC1_14586.623,HERC1,1014,3155,2141,2141,2141
ZNF283_E7_1077.104,ZNF283,1345,3621,2276,2276,2276
KDM4A_tudor9601004_E1_3195.223,KDM4A,707,1717,1010,1010,1010
RIPK4_PKc_E6_38,RIPK4,833,1946,1113,1113,1113
KLHL8_BTB57163_E1_1863.18,KLHL8,1742,4110,2368,2368,2368
KDM4B_tudor9751030_E1_3291.352,KDM4B,697,1483,786,786,786
TIE1_PKc_E15_115.16,TIE1,911,2592,1681,1681,1681
PCGF2_1035.198,PCGF2,820,1816,996,996,996
KCND1_BTB42131_E1_1944.19,KCND1,363,906,543,543,543
SPIN1_Spinlin54102_E1_789.22,SPIN1,925,2037,1112,1112,1112
CDYL2_Chromo_E2_144.13,CDYL2,1777,4382,2605,2605,2605
ZNF791_E4_1428.106,ZNF791,1310,3385,2075,2075,2075
COPS5_1005.39,COPS5,1610,2981,1371,1371,1371
KCTD7_BTB53138_E1_870.115,KCTD7,592,1601,1009,1009,1009
DRGX_E4_102.3,DRGX,1828,5201,3373,3373,3373
NFKB1_E7_164.4,NFKB1,1894,5041,3147,3147,3147
ASB13_837.34,ASB13,1081,3061,1980,1980,1980
UHRF2_2409.128,UHRF2,1036,2660,1624,1624,1624
MAPK8_PKc_E3_130.3,MAPK8,635,1927,1292,1292,1292
ZNF541_E12_78.2,ZNF541,1663,3951,2288,2288,2288
ZBTB1_BTB14109_E1_2142.137,ZBTB1,749,1344,595,595,595
RNF17_tudor14841531_E1_4872.219,RNF17,1115,2677,1562,1562,1562
MAP3K10_PKc_E2_181.22,MAP3K10,975,2692,1717,1717,1717
KDM8_e6_150.12,KDM8,2942,5029,2087,2087,2087
LYN_PKc_E13_194.6,LYN,287,953,666,666,666
BIRC2_1857.78,BIRC2,1217,3266,2049,2049,2049
SPIN3_Spinlin5098_E1_777.24,SPIN3,1357,2604,1247,1247,1247
EGR1_E2_75.4,EGR1,1552,4354,2802,2802,2802
ZNF394_E3_495.35,ZNF394,2294,4607,2313,2313,2313
ZNF276_E2_231.6,ZNF276,837,2242,1405,1405,1405
GZMH_741.75,GZMH,1072,2318,1246,1246,1246
TRAF5_1674.158,TRAF5,594,1671,1077,1077,1077
BBX_E5_171.14,BBX,1440,3729,2289,2289,2289
EVX2_E2_135.15,EVX2,280,1129,849,849,849
HMGXB4_E6_79.4,HMGXB4,1310,3100,1790,1790,1790
ZNF32_E3_561.62,ZNF32,1434,3903,2469,2469,2469
ZNF165_E4_327.22,ZNF165,661,1459,798,798,798
CUL4B_2742.124,CUL4B,811,2194,1383,1383,1383
FBXO10_2871.472,FBXO10,609,1627,1018,1018,1018
ONECUT1_E2_165.14,ONECUT1,2713,6363,3650,3650,3650
OLIG1_E1_189.28,OLIG1,704,1933,1229,1229,1229
RNF14_1425.45,RNF14,1894,4906,3012,3012,3012
SATB2_E11_177.6,SATB2,1846,4003,2157,2157,2157
RERE_SANT_E14_39.0,RERE,880,2197,1317,1317,1317
KDM4C_e7_104.6,KDM4C,2850,5977,3127,3127,3127
PSMB6_720.19,PSMB6,1568,2618,1050,1050,1050
TRIM62_1428.226,TRIM62,688,1937,1249,1249,1249
ZBTB7B_BTB58178_E1_1722.17,ZBTB7B,375,897,522,522,522
CHD1_H_e17_72.2,CHD1,1303,3233,1930,1930,1930
SETD6_e4_118.16,SETD6,1220,2956,1736,1736,1736
RNF168_1716.169,RNF168,1894,4309,2415,2415,2415
TRIM31_1278.147,TRIM31,1519,3931,2412,2412,2412
EP400_D_e16_170.3,EP400,820,1801,981,981,981
SPPL2C_2055.36,SPPL2C,1487,3741,2254,2254,2254
RPS6KA2_PKc2_E13_131.14,RPS6KA2,263,752,489,489,489
RERE_SANT_E13_81.1,RERE,862,1912,1050,1050,1050
CHD6_Chromo_E8_118.7,CHD6,672,1884,1212,1212,1212
FBXW10_1,FBXW10,1152,2451,1299,1299,1299
METAP2_1437.104,METAP2,1464,2200,736,736,736
TADA2A_E6_158.4,TADA2A,2299,4978,2679,2679,2679
TADA2A_SANT_E6_158.4,TADA2A,2299,4978,2679,2679,2679
HECTD4_12855.879,HECTD4,939,2510,1571,1571,1571
ZNF600_E3_1785.84,ZNF600,1044,3047,2003,2003,2003
UBE2M_552.53,UBE2M,850,1594,744,744,744
KDM6B_e18_115.4,KDM6B,1703,3861,2158,2158,2158
FBXO16_1,FBXO16,1266,3159,1893,1893,1893
PSMA3_768.16,PSMA3,2264,4144,1880,1880,1880
TFE3_E8_76.0,TFE3,1522,3265,1743,1743,1743
HMGB3_E3_140.2,HMGB3,1951,4927,2976,2976,2976
MKRN2_1251.109,MKRN2,248,711,463,463,463
PRRX1_E2_123.8,PRRX1,538,1364,826,826,826
LRSAM1_2172.153,LRSAM1,630,1520,890,890,890
TDRD6_tudor541585_E1_6291.169,TDRD6,736,1475,739,739,739
PRDM6_E7_131.0,PRDM6,1752,4920,3168,3168,3168
ZNF699_E5_1254.61,ZNF699,2204,4959,2755,2755,2755
EHF_E8_188.3,EHF,1149,2868,1719,1719,1719
CELA2B_810.122,CELA2B,1533,4327,2794,2794,2794
ZNF420_E5_1581.91,ZNF420,1849,4083,2234,2234,2234
TRIM6-TRIM34_2529.230,TRIM6-TRIM34,1196,3544,2348,2348,2348
TRIM34_1467.144,TRIM34,1196,3544,2348,2348,2348
LONRF1_2322.189,LONRF1,1849,5730,3881,3881,3881
NEUROG3_E2_180.17,NEUROG3,1482,3923,2441,2441,2441
HOXD12_E2_171.13,HOXD12,2596,7068,4472,4472,4472
CTCF_E5_134.8,CTCF,3597,6336,2739,2739,2739
DCAF6_2856.148,DCAF6,619,1457,838,838,838
CDK10_PKc_E3_72.5,CDK10,623,1447,824,824,824
PHF11_Phd_E4_108.5,PHF11,466,1028,562,562,562
HES5_E2_159.2,HES5,751,2116,1365,1365,1365
ZNF197_E6_1911.181,ZNF197,925,2266,1341,1341,1341
DNAJC2_E16_155.5,DNAJC2,927,2483,1556,1556,1556
DNAJC2_SANT2_E16_155.5,DNAJC2,927,2483,1556,1556,1556
STUB1_696.9,STUB1,2226,5448,3222,3222,3222
TRIM37_2895.251,TRIM37,1164,2291,1127,1127,1127
CDC34_711.124,CDC34,1644,4241,2597,2597,2597
ESRRG_E3_109.9,ESRRG,2179,5482,3303,3303,3303
HECW2_4719.310,HECW2,196,355,159,159,159
KBTBD6_BTB53168_E1_2025.232,KBTBD6,1052,2573,1521,1521,1521
AK1_PKc_E5_117.13,AK1,458,1249,791,791,791
ASB12_957.8,ASB12,1218,3740,2522,2522,2522
LBR_tudor956_E1_1848.207,LBR,469,998,529,529,529
KCTD5_BTB46135_E1_705.3,KCTD5,1568,3776,2208,2208,2208
USP5_2577.304,USP5,1037,1697,660,660,660
MGRN1_1731.258,MGRN1,919,2275,1356,1356,1356
USF1_E10_63.0,USF1,736,1628,892,892,892
MBTD1_MBT468560_E1_1887.11,MBTD1,1288,3054,1766,1766,1766
USP54_135.6,USP54,1008,2738,1730,1730,1730
CAMK1_PKc_E7_76.4,CAMK1,959,2199,1240,1240,1240
TRIM9_2133.182,TRIM9,1891,4764,2873,2873,2873
UBE2E2_606.29,UBE2E2,1720,4274,2554,2554,2554
RORC_E4_142.12,RORC,681,1708,1027,1027,1027
RNF151_738.1,RNF151,578,2209,1631,1631,1631
OTUD4_438.25,OTUD4,2213,5317,3104,3104,3104
SFMBT1_MBT252348_E1_2601.63,SFMBT1,366,787,421,421,421
TET1_CXXC585624_E1_6411.59,TET1,867,2040,1173,1173,1173
ZNF664_E5_735.33,ZNF664,1097,2596,1499,1499,1499
UBE2W_576.42,UBE2W,1259,2974,1715,1715,1715
AMBRA1_3906.689,AMBRA1,1304,2686,1382,1382,1382
neg80,neg80,1575,4466,2891,2891,2891
ZBTB7A_BTB24131_E1_1755.17,ZBTB7A,369,932,563,563,563
CLOCK_e22_203.5,CLOCK,1081,2488,1407,1407,1407
SPIN4_Spinlin201245_E1_750.54,SPIN4,1387,3477,2090,2090,2090
JDP2_E3_63.5,JDP2,765,2327,1562,1562,1562
PINK1_PKc_E2_192.4,PINK1,289,550,261,261,261
ZNF471_E5_1311.58,ZNF471,660,1487,827,827,827
NEUROD2_E2_180.19,NEUROD2,1028,2437,1409,1409,1409
STAT4_E17_136.4,STAT4,1353,3660,2307,2307,2307
