sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:15510","OR3A4P","olfactory receptor family 3 subfamily A member 4 pseudogene","OR3A4","","17p13.3","Olfactory receptors, family 3"
"HGNC:8286","OR3A5P","olfactory receptor family 3 subfamily A member 5 pseudogene","","OLFRA06,OR25,OR17-25,RP11-64J4.6-001","17p13.3","Olfactory receptors, family 3"
"HGNC:14839","OR3B1P","olfactory receptor family 3 subfamily B member 1 pseudogene","","","Xq28","Olfactory receptors, family 3"
"HGNC:25339","OR3D1P","olfactory receptor family 3 subfamily D member 1 pseudogene","","","1q44","Olfactory receptors, family 3"
"HGNC:8289","OR4A1P","olfactory receptor family 4 subfamily A member 1 pseudogene","OR4A20P","OR11-30","11p11.12","Olfactory receptors, family 4"
"HGNC:15159","OR4A2P","olfactory receptor family 4 subfamily A member 2 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15160","OR4A3P","olfactory receptor family 4 subfamily A member 3 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15161","OR4A4P","olfactory receptor family 4 subfamily A member 4 pseudogene","OR4A4","","11q11","Olfactory receptors, family 4"
"HGNC:15162","OR4A5","olfactory receptor family 4 subfamily A member 5","","","11q11","Olfactory receptors, family 4"
"HGNC:15163","OR4A6P","olfactory receptor family 4 subfamily A member 6 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15164","OR4A7P","olfactory receptor family 4 subfamily A member 7 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15165","OR4A8","olfactory receptor family 4 subfamily A member 8 (gene/pseudogene)","OR4A8P","","11q11","Olfactory receptors, family 4"
"HGNC:15166","OR4A9P","olfactory receptor family 4 subfamily A member 9 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15147","OR4A10P","olfactory receptor family 4 subfamily A member 10 pseudogene","OR4A25P","","11q11","Olfactory receptors, family 4"
"HGNC:15148","OR4A11P","olfactory receptor family 4 subfamily A member 11 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15149","OR4A12P","olfactory receptor family 4 subfamily A member 12 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15150","OR4A13P","olfactory receptor family 4 subfamily A member 13 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15151","OR4A14P","olfactory receptor family 4 subfamily A member 14 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:15152","OR4A15","olfactory receptor family 4 subfamily A member 15","","","11q11","Olfactory receptors, family 4"
"HGNC:15153","OR4A16","olfactory receptor family 4 subfamily A member 16","","OR4A16Q","11q11","Olfactory receptors, family 4"
"HGNC:15154","OR4A17P","olfactory receptor family 4 subfamily A member 17 pseudogene","OR4A22P","","11q11","Olfactory receptors, family 4"
"HGNC:15155","OR4A18P","olfactory receptor family 4 subfamily A member 18 pseudogene","","","11p11.12","Olfactory receptors, family 4"
"HGNC:15156","OR4A19P","olfactory receptor family 4 subfamily A member 19 pseudogene","","","11p11.12","Olfactory receptors, family 4"
"HGNC:15158","OR4A21P","olfactory receptor family 4 subfamily A member 21 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:31259","OR4A40P","olfactory receptor family 4 subfamily A member 40 pseudogene","","","11p11.2","Olfactory receptors, family 4"
"HGNC:31260","OR4A41P","olfactory receptor family 4 subfamily A member 41 pseudogene","","","11p11.2","Olfactory receptors, family 4"
"HGNC:31261","OR4A42P","olfactory receptor family 4 subfamily A member 42 pseudogene","","","11p11.2","Olfactory receptors, family 4"
"HGNC:31262","OR4A43P","olfactory receptor family 4 subfamily A member 43 pseudogene","","","11p11.2","Olfactory receptors, family 4"
"HGNC:31263","OR4A44P","olfactory receptor family 4 subfamily A member 44 pseudogene","","","11p11.2","Olfactory receptors, family 4"
"HGNC:31264","OR4A45P","olfactory receptor family 4 subfamily A member 45 pseudogene","","","11p11.2","Olfactory receptors, family 4"
"HGNC:31265","OR4A46P","olfactory receptor family 4 subfamily A member 46 pseudogene","","","11p11.2","Olfactory receptors, family 4"
"HGNC:31266","OR4A47","olfactory receptor family 4 subfamily A member 47","","","11p11.2","Olfactory receptors, family 4"
"HGNC:31267","OR4A48P","olfactory receptor family 4 subfamily A member 48 pseudogene","","","11p11.2","Olfactory receptors, family 4"
"HGNC:31268","OR4A49P","olfactory receptor family 4 subfamily A member 49 pseudogene","","","11p11.12","Olfactory receptors, family 4"
"HGNC:31269","OR4A50P","olfactory receptor family 4 subfamily A member 50 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:8290","OR4B1","olfactory receptor family 4 subfamily B member 1","","OST208","11p11.2","Olfactory receptors, family 4"
"HGNC:8291","OR4B2P","olfactory receptor family 4 subfamily B member 2 pseudogene","","hg449","11p11.2","Olfactory receptors, family 4"
"HGNC:8292","OR4C1P","olfactory receptor family 4 subfamily C member 1 pseudogene","OR4C1","HTPCRX11,HSHTPCRX11","11q11","Olfactory receptors, family 4"
"HGNC:14696","OR4C2P","olfactory receptor family 4 subfamily C member 2 pseudogene","OR4C8P","","11p11.2","Olfactory receptors, family 4"
"HGNC:14697","OR4C3","olfactory receptor family 4 subfamily C member 3","","","11p11.2","Olfactory receptors, family 4"
"HGNC:14700","OR4C4P","olfactory receptor family 4 subfamily C member 4 pseudogene","OR4C17P,OR4C17","OR4C47P","11p11.2","Olfactory receptors, family 4"
"HGNC:14702","OR4C5","olfactory receptor family 4 subfamily C member 5","OR4C5P","OR4C5Q","11p11.2","Olfactory receptors, family 4"
"HGNC:14743","OR4C6","olfactory receptor family 4 subfamily C member 6","","","11q11","Olfactory receptors, family 4"
"HGNC:14768","OR4C7P","olfactory receptor family 4 subfamily C member 7 pseudogene","","","11q11","Olfactory receptors, family 4"
"HGNC:14796","OR4C9P","olfactory receptor family 4 subfamily C member 9 pseudogene","","","11p11.2","Olfactory receptors, family 4"
