Gene	sgRNA	Ctrl_3|beta	Ctrl_3|z	Ctrl_3|p-value	Ctrl_3|fdr	Ctrl_3|wald-p-value	Ctrl_3|wald-fdr
UBE2E1	8	-0.068353	-1.3079	0.93345	0.98411	0.19092	0.35035
UBE2E2	9	0.073719	1.2664	0.16496	0.44788	0.20538	0.3636
UBE2E3	6	-0.0086628	-0.21567	0.68259	0.86643	0.82924	0.89406
UBE2F	7	0.40132	1.8788	0	0	0.060267	0.19981
UBE2G1	8	-0.13207	-1.9171	0.76849	0.90489	0.05522	0.19399
UBE2G2	9	-0.57692	-3.4905	0.018487	0.12948	0.00048214	0.0083098
UBE2H	7	0.060595	0.86148	0.28754	0.58847	0.38898	0.55348
UBE2I	9	-2.2771	-5.6564	0	0	1.5459e-08	1.0871e-06
UBE2J1	9	0.099232	1.6808	0.088737	0.33405	0.092796	0.23322
UBE2J2	8	-0.22709	-2.6659	0.42662	0.71003	0.0076781	0.06633
UBE2K	7	-0.32334	-2.7855	0.24772	0.54099	0.0053451	0.052059
UBE2L3	6	-1.39	-3.5041	0	0	0.00045808	0.0080531
UBE2L6	7	-0.17332	-1.3932	0.60353	0.83027	0.16355	0.31806
UBE2M	6	-1.5601	-3.9343	0	0	8.3447e-05	0.0019052
UBE2N	6	-1.1462	-3.4086	0.0017065	0.022305	0.00065298	0.010436
UBE2NL	6	-0.29008	-1.3769	0.33191	0.62607	0.16853	0.32313
UBE2O	8	-0.25326	-2.8564	0.36121	0.65195	0.0042851	0.044444
UBE2Q1	7	0.095457	1.6987	0.15671	0.4342	0.089383	0.22853
UBE2Q2	9	0.026061	0.38021	0.38396	0.67433	0.70379	0.80229
UBE2QL1	7	0.05174	0.878	0.32708	0.62043	0.37994	0.54593
UBE2R2	7	-0.26778	-2.5567	0.34784	0.63998	0.010567	0.081659
UBE2S	7	-0.076934	-0.78293	0.98038	0.99457	0.43367	0.5996
UBE2T	8	-0.40556	-3.0897	0.11689	0.37972	0.0020039	0.025903
UBE2U	6	0.0841	1.6468	0.21815	0.50997	0.099603	0.23954
UBE2V1	6	-0.25153	-1.9731	0.41268	0.69942	0.04848	0.18937
UBE2V2	7	-0.34901	-1.7731	0.20819	0.50103	0.076206	0.21451
UBE2W	7	-0.046713	-1.3851	0.87059	0.95121	0.16603	0.32038
UBE2Z	7	0.13517	1.7057	0.063424	0.27875	0.08807	0.22691
neg1	1	0.25206	0.62492	0.2008	0.49372	0.53203	0.67948
neg2	1	0.26253	0.62151	0.18089	0.47041	0.53426	0.68029
neg3	1	0.32931	0.60011	0.087315	0.33153	0.54843	0.68182
neg4	1	0.24417	0.62749	0.21672	0.508	0.53034	0.67834
neg5	1	0.26737	0.61995	0.17264	0.45985	0.53529	0.68029
neg6	1	0.2685	0.61957	0.17179	0.45897	0.53554	0.68029
neg7	1	0.31818	0.60364	0.10154	0.36097	0.54608	0.68182
neg8	1	0.3368	0.59774	0.081342	0.3192	0.55002	0.68238
neg9	1	0.38973	0.58156	0.044653	0.2282	0.56086	0.68908
neg10	1	0.39261	0.58031	0.044369	0.22774	0.56171	0.68958
neg11	1	0.30915	0.60652	0.11405	0.3783	0.54417	0.6812
neg12	1	0.34049	0.59658	0.078498	0.31186	0.55079	0.68284
neg13	1	0.29957	0.60958	0.124	0.38718	0.54214	0.6812
neg14	1	0.075881	0.68409	0.75284	0.90316	0.49392	0.65311
neg15	1	0.22759	0.63292	0.25455	0.55003	0.52679	0.67683
neg16	1	0.23293	0.63117	0.23976	0.53354	0.52793	0.67726
neg17	1	0.24429	0.62745	0.21559	0.50767	0.53037	0.67834
neg18	1	0.25638	0.62351	0.19226	0.48494	0.53295	0.67967
neg19	1	0.23818	0.62945	0.23123	0.5235	0.52906	0.67786
neg20	1	0.34596	0.59486	0.074801	0.30475	0.55194	0.68284
neg21	1	0.28999	0.61265	0.13993	0.40928	0.54011	0.68053
neg22	1	0.36079	0.59021	0.063709	0.2793	0.55505	0.68524
neg23	1	0.21365	0.63751	0.28669	0.58765	0.52379	0.67411
neg24	1	0.21258	0.63787	0.28982	0.59107	0.52356	0.67405
neg25	1	0.29117	0.61227	0.13794	0.40894	0.54036	0.68053
neg26	1	0.26669	0.62016	0.17349	0.46107	0.53515	0.68029
neg27	1	0.27991	0.61589	0.15245	0.42573	0.53797	0.68029
neg28	1	0.26401	0.62104	0.17833	0.46896	0.53457	0.68029
neg29	1	0.25425	0.6242	0.19653	0.49147	0.5325	0.67958
neg30	1	0.27379	0.61787	0.16212	0.44427	0.53666	0.68029
neg31	1	0.26292	0.62139	0.17947	0.46914	0.53434	0.68029
neg32	1	0.28345	0.61475	0.14676	0.41781	0.53872	0.68029
neg33	1	0.31386	0.60502	0.10552	0.36605	0.54517	0.6812
neg34	1	0.30601	0.60752	0.11718	0.37972	0.54351	0.6812
