Gene	sgRNA	Ctrl_3|beta	Ctrl_3|z	Ctrl_3|p-value	Ctrl_3|fdr	Ctrl_3|wald-p-value	Ctrl_3|wald-fdr
ZNF70	6	-0.13723	-1.1122	0.73948	0.89624	0.26607	0.4319
ZNF700	6	0.11209	1.929	0.13055	0.39672	0.053728	0.19295
ZNF701	4	-0.096339	-1.1629	0.83049	0.93562	0.24488	0.40884
ZNF703	6	0.1852	1.9886	0.021047	0.13936	0.046748	0.188
ZNF705A	6	0.077149	1.3748	0.24431	0.53991	0.16921	0.32403
ZNF705D	6	0.19622	1.8037	0.016496	0.1191	0.071285	0.20919
ZNF705G	6	-0.23121	-1.7779	0.46274	0.73966	0.075413	0.21402
ZNF706	4	-0.49006	-2.2219	0.17349	0.46107	0.026287	0.14874
ZNF707	6	-0.19319	-1.6243	0.56797	0.81179	0.10432	0.24616
ZNF708	6	0.056678	0.71614	0.32594	0.61946	0.47391	0.63573
ZNF709	6	0.086204	1.0019	0.21217	0.50505	0.3164	0.48453
ZNF71	6	0.079079	0.80323	0.23493	0.52712	0.42184	0.58787
ZNF710	6	0.26695	1.837	0.0019909	0.024911	0.066211	0.2047
ZNF711	6	0.24968	2.0441	0.0025597	0.029508	0.040941	0.18638
ZNF713	6	0.051562	1.445	0.35466	0.64678	0.14846	0.29999
ZNF714	5	0.12282	1.627	0.14733	0.41842	0.10374	0.24514
ZNF716	5	-0.021468	-0.11521	0.80319	0.92107	0.90828	0.94762
ZNF717	6	-0.00085569	-0.0087314	0.63908	0.84889	0.99303	0.99843
ZNF726	6	0.14716	1.3875	0.058589	0.26858	0.1653	0.31987
ZNF732	6	-0.022728	-0.29324	0.76394	0.90316	0.76934	0.85242
ZNF736	5	-0.14109	-0.96536	0.72639	0.89332	0.33436	0.5024
ZNF737	5	0.1228	1.5658	0.14733	0.41842	0.11739	0.26326
ZNF74	6	-0.29144	-2.3841	0.32821	0.62043	0.017123	0.11285
ZNF740	7	0.081063	1.762	0.20108	0.49372	0.078065	0.21616
ZNF746	6	0.046146	1.1419	0.38652	0.67713	0.25351	0.41847
ZNF749	6	0.1396	1.8773	0.071672	0.29822	0.060482	0.19986
ZNF75A	6	0.010296	0.14093	0.58191	0.81927	0.88792	0.93527
ZNF75D	6	0.034245	0.56101	0.44881	0.72752	0.57479	0.69973
ZNF76	7	-0.047843	-0.78179	0.87742	0.95511	0.43434	0.60005
ZNF763	6	-0.0019677	-0.024086	0.64733	0.853	0.98078	0.98979
ZNF764	6	0.00074026	0.0068055	0.63168	0.8461	0.99457	0.99912
ZNF765	4	0.16697	1.6967	0.088453	0.33369	0.089759	0.22853
ZNF766	6	0.086921	1.081	0.20933	0.5017	0.2797	0.4454
ZNF768	6	0.035775	0.53418	0.44283	0.72554	0.59322	0.71528
ZNF77	6	0.034798	0.50339	0.44767	0.72752	0.61469	0.73387
ZNF770	6	-0.15781	-2.0273	0.67179	0.86152	0.042635	0.18643
ZNF771	6	0.12814	1.4091	0.092719	0.34205	0.15881	0.31284
ZNF772	8	0.12305	2.0012	0.062287	0.27757	0.04537	0.188
ZNF773	6	0.17841	2.0784	0.02446	0.15412	0.03767	0.18094
ZNF774	6	0.041565	0.58049	0.41297	0.69942	0.56158	0.68958
ZNF775	6	0.086259	1.3252	0.21189	0.50505	0.18509	0.34306
ZNF776	6	0.04761	1.0291	0.37628	0.66784	0.30343	0.4723
ZNF777	6	-0.15442	-1.915	0.68174	0.86597	0.055493	0.19434
ZNF778	6	-0.018011	-0.23676	0.7372	0.89624	0.81284	0.87993
ZNF780A	6	0.035119	0.74311	0.44625	0.72752	0.45741	0.62218
ZNF780B	6	-0.047315	-0.62357	0.87969	0.95613	0.53291	0.67967
ZNF781	6	0.14487	2.0555	0.062571	0.27764	0.039833	0.18428
ZNF782	6	0.095166	1.6183	0.18032	0.46998	0.1056	0.24803
ZNF783	6	0.031803	0.53617	0.46075	0.7377	0.59184	0.71424
ZNF784	6	0.021471	0.37886	0.52133	0.78166	0.70479	0.80273
ZNF785	6	0.059472	1.2073	0.3157	0.61212	0.22733	0.38914
ZNF786	6	0.10698	1.7695	0.14164	0.41104	0.076808	0.2149
ZNF787	6	0.090202	1.4921	0.19653	0.49147	0.13567	0.28568
ZNF789	1	0.0516	0.69245	0.84016	0.93867	0.48866	0.6481
ZNF79	6	-0.027197	-0.4396	0.78498	0.91029	0.66023	0.77019
ZNF790	6	0.0069927	0.1906	0.59727	0.82645	0.84884	0.90847
ZNF791	6	0.043739	0.65505	0.3996	0.68854	0.51244	0.66635
ZNF792	6	0.058082	0.67881	0.32082	0.61842	0.49726	0.65604
ZNF793	6	-0.027205	-0.18163	0.78498	0.91029	0.85587	0.91245
ZNF799	6	0.11424	1.4932	0.12372	0.38718	0.13538	0.28568
ZNF8	6	-0.037842	-0.99777	0.83447	0.9368	0.31839	0.4863
ZNF80	6	0.12698	1.8799	0.09471	0.34436	0.060127	0.19979
ZNF800	5	0.16746	1.6039	0.059158	0.27083	0.10874	0.2517
ZNF805	6	-0.015674	-0.2561	0.72099	0.88947	0.79787	0.87016
ZNF808	6	0.10399	1.7288	0.15102	0.42277	0.083851	0.22167
ZNF81	6	0.16198	2.0228	0.042093	0.22123	0.043093	0.18647
ZNF813	6	-0.19703	-0.97381	0.55631	0.8056	0.33015	0.49863
ZNF814	6	0.0081965	0.21152	0.59272	0.82483	0.83248	0.89566
ZNF816	4	0.12855	1.445	0.18743	0.47858	0.14845	0.29999
ZNF821	6	0.0014961	0.02335	0.62799	0.84307	0.98137	0.98982
ZNF823	6	0.04139	0.42158	0.41325	0.69952	0.67333	0.78082
ZNF827	6	0.085548	1.3894	0.21331	0.50505	0.16472	0.31927
ZNF83	6	0.11171	1.9014	0.13083	0.39673	0.05725	0.19638
ZNF831	6	0.086643	1.4678	0.2099	0.50238	0.14215	0.29192
ZNF836	6	-0.0015221	-0.088956	0.64391	0.85145	0.92912	0.96138
ZNF837	6	-0.18535	-1.3973	0.59215	0.82483	0.16232	0.31609
ZNF84	6	0.018053	0.57541	0.53925	0.79564	0.56501	0.69171
ZNF841	6	0.18896	2.034	0.019625	0.13398	0.041952	0.18638
ZNF844	6	0.052823	0.95242	0.34528	0.63794	0.34088	0.50915
ZNF845	5	0.17397	1.8253	0.049204	0.24542	0.06795	0.20614
ZNF846	6	0.043839	0.73996	0.39932	0.68854	0.45932	0.62378
ZNF85	6	0.18112	1.6672	0.023038	0.14727	0.09547	0.23499
ZNF852	6	0.035772	0.4458	0.44283	0.72554	0.65574	0.76725
ZNF860	4	-0.21378	-0.99858	0.53754	0.79412	0.318	0.48617
ZNF865	6	-0.020275	-0.23674	0.74744	0.90123	0.81286	0.87993
ZNF878	6	0.13701	1.2343	0.075939	0.3069	0.21711	0.37631
ZNF879	6	0.040887	1.2492	0.41468	0.69995	0.2116	0.37013
ZNF880	5	0.16438	1.8938	0.062571	0.27764	0.058247	0.19771
ZNF90	5	0.11257	0.4382	0.18231	0.47167	0.66124	0.77112
ZNF91	5	-0.024018	-0.15615	0.81684	0.92857	0.87591	0.9279
ZNF92	5	0.21876	1.8444	0.015074	0.11158	0.06513	0.20426
ZNF93	6	0.12937	1.6081	0.089875	0.33581	0.1078	0.25051
ZNF98	6	-0.26652	-2.3591	0.38111	0.67168	0.01832	0.11819
ZNF99	6	0.15269	1.4121	0.051195	0.25	0.15791	0.31139
ZPR1	9	-2.6004	-7.1755	0	0	7.2063e-13	1.6892e-10
ZSCAN1	6	0.070658	1.2374	0.27446	0.57236	0.21592	0.37576
ZSCAN10	6	-0.27135	-2.2695	0.37059	0.66176	0.023236	0.13894
ZSCAN12	6	0.036756	0.53572	0.43601	0.7185	0.59215	0.71424
ZSCAN16	6	-0.013907	-0.25425	0.71047	0.88175	0.7993	0.87089
ZSCAN2	6	0.088911	0.49798	0.20108	0.49372	0.6185	0.73766
ZSCAN20	19	0.014337	0.48547	0.21331	0.50505	0.62735	0.74519
ZSCAN21	6	0.02181	0.11757	0.51763	0.77954	0.90641	0.9468
ZSCAN22	6	-0.081741	-1.1265	0.95904	0.99265	0.25994	0.42549
ZSCAN23	6	0.085636	1.307	0.21303	0.50505	0.1912	0.35068
ZSCAN25	6	-0.12522	-1.9468	0.78242	0.90972	0.051557	0.19141
ZSCAN26	6	0.15078	1.8841	0.053754	0.25714	0.059548	0.19924
ZSCAN29	7	0.039409	0.65199	0.38879	0.67909	0.51441	0.66804
ZSCAN30	6	-0.073861	-1.4004	0.98919	0.99457	0.1614	0.31544
ZSCAN31	6	0.14013	1.6745	0.07025	0.2951	0.094034	0.23451
ZSCAN32	6	-0.17711	-1.9081	0.61291	0.83767	0.056383	0.19533
ZSCAN4	6	-0.022871	-0.26104	0.76536	0.90423	0.79406	0.86766
ZSCAN5A	6	-0.23383	-1.1886	0.45506	0.73361	0.23458	0.39798
ZSCAN5B	6	-0.062531	-0.87605	0.95734	0.99263	0.381	0.54654
ZSCAN9	7	0.11822	1.2851	0.098976	0.35546	0.19876	0.35789
ZXDA	6	-0.031881	-0.46783	0.80404	0.92115	0.63991	0.75653
ZXDB	6	0.10054	0.9704	0.16439	0.44702	0.33185	0.50033
ZXDC	6	0.088671	0.79729	0.20193	0.49374	0.42528	0.59102
ZZZ3	12	-1.2103	-5.2138	0	0	1.8504e-07	9.7107e-06
ACAT1	5	0.044755	0.75389	0.46104	0.73782	0.45091	0.61641
ACTR	5	-0.25705	-2.202	0.43629	0.7185	0.027667	0.15441
ASH1L	24	0.057688	1.9984	0.036974	0.20408	0.045678	0.188
ATAD2	6	0.040588	0.5483	0.41581	0.70154	0.58348	0.70742
ATAD2B	6	0.057572	1.5394	0.32338	0.61884	0.1237	0.26932
ATAT1	7	-0.07058	-1.9849	0.99175	0.99515	0.047161	0.188
ATRX	13	-0.44861	-3.8786	0.035836	0.2016	0.00010506	0.0022523
BAZ1A	14	0.22173	2.8746	0	0	0.0040454	0.043102
BAZ1B	12	-0.16188	-2.667	0.60836	0.83392	0.0076542	0.066286
BAZ2A	18	0.089325	2.0252	0.023322	0.14882	0.042845	0.18644
BAZ2B	18	0.2231	3.3412	0	0	0.00083413	0.012587
BPTF	17	-0.41164	-3.2142	0.023038	0.14727	0.001308	0.01847
BRD1	24	-0.046052	-1.1885	0.55233	0.80256	0.23464	0.39798
BRD2	13	-2.1545	-7.9642	0	0	1.6631e-15	5.316e-13
BRD3	13	-0.13445	-2.4533	0.73549	0.89624	0.014153	0.099588
BRD4	13	-2.6168	-8.7274	0	0	2.6051e-18	1.1449e-15
BRD8	6	-1.2491	-4.0549	0.00056883	0.0084388	5.0151e-05	0.0012245
BRD9	6	-0.58599	-2.5826	0.055745	0.2619	0.0098046	0.07817
BRDT	13	-0.060563	-1.0263	0.8029	0.92107	0.30474	0.47338
BRPF1	24	-0.39444	-4.912	0.010523	0.087059	9.0166e-07	4.1172e-05
BRPF3	23	0.025108	0.69043	0.1314	0.39725	0.48992	0.64954
BRWD1	28	-0.10383	-3.2002	0.94767	0.98931	0.0013734	0.019162
BRWD3	17	0.23086	3.4236	0	0	0.00061802	0.010107
CARM1	6	0.025278	0.5358	0.49403	0.76161	0.5921	0.71424
CECR2	9	-0.12427	-2.0876	0.79949	0.91983	0.03683	0.18002
CHD1	12	0.11194	2.2598	0.032708	0.19103	0.023833	0.14168
CHD1L	13	-0.001139	-0.02626	0.41809	0.70301	0.97905	0.98918
CHD2	12	-0.1149	-2.2626	0.86121	0.94776	0.023659	0.14099
CHD3	20	0.02681	0.73389	0.14192	0.41104	0.46302	0.62628
CHD4	18	-2.5313	-7.0324	0	0	2.0306e-12	3.9664e-10
CHD5	19	-0.0037417	-0.099185	0.31342	0.61007	0.92099	0.95561
CHD6	17	0.061797	1.8411	0.069966	0.29461	0.065608	0.20427
CHD7	16	-0.17722	-2.4535	0.4909	0.76002	0.014147	0.099588
CHD8	11	0.44777	2.4636	0	0	0.013753	0.097887
CHD9	11	0.22097	2.61	0.00056883	0.0084388	0.0090542	0.073692
CREBBP	21	-0.17494	-2.2352	0.47241	0.74786	0.025404	0.14571
DOT1L	12	-2.0752	-7.6784	0	0	1.611e-14	4.7202e-12
EHMT1	8	-0.055532	-1.1218	0.86576	0.94952	0.26194	0.42758
EHMT2	7	-0.21134	-2.5492	0.49346	0.76161	0.010796	0.08306
ELP3	7	-2.5363	-6.1071	0	0	1.0145e-09	1.0809e-07
EP300	21	-0.68896	-5.9924	0	0	2.0673e-09	1.9128e-07
EP400	5	-1.2963	-3.0917	0.0014221	0.019084	0.0019904	0.025823
ERCC6	7	0.067232	1.0996	0.26024	0.55657	0.27149	0.43688
EZH1	16	-0.17374	-2.3565	0.50313	0.76913	0.018449	0.11881
EZH2	19	-0.94295	-5.5128	0	0	3.5316e-08	2.2995e-06
GCN5	6	-0.58919	-2.9621	0.054608	0.25911	0.0030556	0.036543
GTF3C4	6	-2.0197	-5.1074	0	0	3.2666e-07	1.5521e-05
HAT1	11	0.040191	1.296	0.24744	0.54099	0.19498	0.3543
HBO1	5	-0.75429	-2.8708	0.025882	0.16221	0.0040943	0.043353
HDAC1	8	-0.26165	-2.6945	0.33675	0.62845	0.0070494	0.06264
HDAC10	7	-0.074388	-1.2905	0.98948	0.99457	0.19687	0.35644
HDAC11	7	0.052371	1.1284	0.32281	0.61884	0.25916	0.42461
HDAC2	5	-0.022847	-0.65933	0.81058	0.92532	0.50968	0.66421
HDAC3	6	-0.89556	-3.4859	0.0099545	0.083933	0.00049043	0.0083707
HDAC4	5	0.1469	1.5712	0.09471	0.34436	0.11614	0.2621
HDAC5	6	-0.18589	-1.5583	0.5913	0.82483	0.11916	0.26522
HDAC6	12	0.1129	2.7317	0.032139	0.18992	0.0063	0.058291
HDAC7	9	-0.076875	-1.768	0.96274	0.99386	0.077057	0.21503
HDAC8	6	0.19555	1.9154	0.016496	0.1191	0.055444	0.19434
HDAC9	6	0.086382	1.5683	0.21075	0.50374	0.11681	0.26243
HELLS	6	0.079816	0.83072	0.23294	0.52567	0.40613	0.57027
HIF1AN	7	-0.12623	-2.1104	0.77019	0.90569	0.034827	0.17543
HLTF	18	0.11931	3.0384	0.0062571	0.060942	0.002378	0.02965
HR	6	0.049178	0.75588	0.36633	0.65647	0.44972	0.61526
HSPBAP1	9	0.088248	1.5168	0.12031	0.38385	0.12932	0.27675
INO80	8	-2.6481	-6.6276	0	0	3.4127e-11	4.7997e-09
JMJD1C	6	0.2164	1.9857	0.0088168	0.078283	0.047063	0.188
JMJD4	7	-0.085723	-1.7376	0.94397	0.9881	0.082285	0.21921
JMJD6	4	-0.35231	-2.1107	0.32366	0.61884	0.034799	0.17543
JMJD7	5	-0.016318	-0.29071	0.77332	0.90694	0.77128	0.85332
JMJD8	6	-0.19863	-1.8131	0.55063	0.80256	0.069819	0.20878
KAT2A	6	-0.26323	-1.7628	0.38965	0.67956	0.077926	0.21616
KAT2B	6	0.092893	1.4509	0.18601	0.47668	0.14682	0.29821
KDM1A	10	-1.0657	-4.5601	0.00056883	0.0084388	5.1133e-06	0.00016961
KDM1B	13	0.18593	2.5587	0.00085324	0.012397	0.010506	0.081501
KDM2A	42	0	0	0.12543	0.38718	1	1
KDM2B	42	0	0	0.12543	0.38718	1	1
KDM3A	6	0.02348	0.37833	0.50683	0.77176	0.70519	0.80293
KDM3B	4	-0.96491	-2.1433	0.020193	0.13628	0.032087	0.16855
KDM4A	31	0.057526	1.8536	0.017918	0.12651	0.0638	0.20337
KDM4B	34	-0.11204	-3.068	0.87372	0.95256	0.002155	0.027354
KDM4C	34	0.071465	2.6898	0.0056883	0.05698	0.007149	0.062997
KDM4D	6	0.13949	1.5712	0.071672	0.29822	0.11613	0.2621
KDM6A	4	0.048276	1.3205	0.51138	0.776	0.18667	0.34532
KDM6B	6	-0.006623	-0.094525	0.67235	0.86152	0.92469	0.95786
KDM7A	11	0.063452	1.1155	0.15046	0.42277	0.26463	0.43055
KDM8	11	-0.84669	-4.6205	0	0	3.8276e-06	0.00013458
KMT2A	49	0	0	0.12543	0.38718	1	1
KMT2B	46	0	0	0.12543	0.38718	1	1
KMT2C	67	0	0	0.12543	0.38718	1	1
KMT2D	56	0	0	0.12543	0.38718	1	1
MINA	6	0.10951	0.48674	0.13595	0.4044	0.62644	0.74462
MLL1	6	-0.49638	-2.1062	0.093003	0.34205	0.035185	0.17628
MLL5	9	0.021069	0.57725	0.40842	0.69555	0.56377	0.69091
MOF	6	-2.4637	-5.7152	0	0	1.0955e-08	7.8608e-07
MORF	6	0.079589	0.89459	0.23379	0.52692	0.37101	0.5377
MOZ	7	-0.13484	-1.3608	0.73862	0.89624	0.17357	0.32827
NAT10	5	-1.5955	-3.4	0.00028441	0.0045045	0.00067377	0.010623
NCOA1	6	0.015719	0.24029	0.55205	0.80256	0.8101	0.87884
NCOA2	6	0.024198	0.44476	0.50114	0.76742	0.6565	0.76737
NO66	5	-0.084828	-1.229	0.91297	0.97392	0.21909	0.37847
NSD1	48	0	0	0.12543	0.38718	1	1
NSD2	6	-0.26893	-2.4565	0.37514	0.66717	0.014031	0.099459
NSD3	5	-0.024086	-0.37907	0.81712	0.92857	0.70463	0.80273
PADI4	8	0.055281	0.8823	0.27218	0.56998	0.37761	0.54302
PCAF	5	0.089377	1.6643	0.26109	0.55772	0.09605	0.23558
PHF2	12	-0.23757	-2.2383	0.32452	0.61884	0.025203	0.14487
PHF8	11	-0.17496	-2.4891	0.55717	0.80617	0.012806	0.093198
PhIP	15	0.019888	0.45576	0.25455	0.55003	0.64856	0.76216
PRMT1	5	-2.0537	-3.8135	0	0	0.00013702	0.0027847
PRMT2	6	-0.12768	-1.4709	0.77019	0.90569	0.14131	0.29106
PRMT3	6	0.021637	0.50848	0.51934	0.77968	0.61112	0.73135
PRMT5	6	-2.676	-6.3145	0	0	2.7099e-10	3.0736e-08
PRMT6	3	0.013683	0.51433	0.74403	0.89928	0.60702	0.72775
PRMT7	5	-0.2289	-2.1011	0.50427	0.7702	0.03563	0.17677
PRMT8	8	0.14092	1.9941	0.041524	0.21955	0.046142	0.188
PRMT9	5	0.086575	1.5762	0.27105	0.56862	0.11497	0.26046
RAD54L	6	-0.16375	-2.2713	0.65245	0.85306	0.02313	0.13878
RAD54L2	8	-1.9634	-5.3755	0	0	7.6389e-08	4.403e-06
SETD1A	7	-1.2253	-3.4409	0	0	0.00057986	0.0097085
SETD1B	7	-0.19225	-1.3544	0.54494	0.79967	0.1756	0.33053
SETD2	7	-0.4703	-2.9199	0.093288	0.34271	0.0035012	0.039839
SETD4	5	-0.092341	-1.7779	0.88481	0.95753	0.075417	0.21402
SETD5	7	-0.062185	-1.6745	0.94767	0.98931	0.094032	0.23451
SETD6	7	-0.1369	-2.0557	0.7318	0.89402	0.039814	0.18428
SETD7	9	0.023667	0.84674	0.39505	0.68593	0.39714	0.56055
SETD8	5	-1.4625	-2.8055	0.00056883	0.0084388	0.0050245	0.049763
SETMAR	5	-0.052669	-0.88817	0.95563	0.99232	0.37445	0.5404
SHPRH	21	0.093753	2.9007	0.010523	0.087059	0.0037228	0.041162
SIRT1	7	-0.11204	-1.8935	0.83077	0.93562	0.058297	0.19771
SIRT2	9	0.010612	0.29889	0.45961	0.73667	0.76502	0.84933
SIRT3	5	-0.052243	-0.84454	0.95449	0.99202	0.39837	0.56206
SIRT4	6	-0.24708	-2.0166	0.42349	0.70804	0.043741	0.18733
SIRT5	6	-0.010021	-0.15993	0.68942	0.87163	0.87293	0.92569
SIRT6	10	0.017813	0.4134	0.38424	0.67449	0.67931	0.78397
SIRT7	10	0.065284	1.0038	0.17463	0.4627	0.31549	0.48356
SMARCA2	13	0.0024861	0.025088	0.3942	0.68528	0.97999	0.98927
SMARCA4	17	-0.68894	-3.8658	0.00028441	0.0045045	0.00011073	0.0023313
SMARCAD1	5	-0.05546	-1.32	0.96559	0.99386	0.18683	0.34537
SMARCAL1	6	-0.010903	-0.1471	0.69454	0.87536	0.88305	0.93214
SMYD1	4	0.076703	1.3551	0.37941	0.67151	0.17538	0.33028
SMYD2	3	-0.065496	-0.66688	0.90586	0.97015	0.50485	0.66237
SMYD3	8	0.1619	2.0649	0.019625	0.13398	0.038935	0.18302
SMYD4	6	0.015628	0.39683	0.55205	0.80256	0.69149	0.79394
SMYD5	9	-0.05879	-1.4676	0.85893	0.94612	0.14222	0.29192
SRCAP	6	-1.9306	-4.57	0	0	4.8767e-06	0.0001633
SUV39H1	15	0.072657	1.9316	0.066553	0.28676	0.053403	0.19295
SUV39H2	15	0.18065	3.1799	0.00028441	0.0045045	0.0014732	0.020312
SUV420H1	7	-0.26662	-1.8867	0.35154	0.64476	0.059205	0.19882
SUV420H2	6	0.099684	1.7956	0.16581	0.44846	0.072563	0.21068
TAF1	9	-1.581	-4.6582	0	0	3.1899e-06	0.00011486
TET1	16	0.065222	1.9872	0.068259	0.28951	0.046897	0.188
TET2	12	0.046628	1.8558	0.18942	0.47983	0.063477	0.2029
TET3	18	0.028045	0.97325	0.17833	0.46896	0.33043	0.49883
TRIM24	24	0.14315	3.4253	0.00028441	0.0045045	0.00061421	0.010091
TRIM28	28	-0.070753	-1.8261	0.73948	0.89624	0.06784	0.20598
TRIM33	27	-0.12663	-2.9829	0.75484	0.90316	0.0028558	0.034744
TRIM66	15	0.0050176	0.11654	0.32935	0.62191	0.90723	0.94737
UTY	5	0.27524	1.8443	0.0025597	0.029508	0.065143	0.20426
ZMYND11	19	-0.23956	-3.9967	0.21615	0.50767	6.4238e-05	0.0015365
ZMYND8	20	-0.79953	-5.5054	0	0	3.6829e-08	2.3123e-06
ABTB1	12	-0.0536	-1.4045	0.75796	0.90316	0.16016	0.31372
ABTB2	6	0.015691	0.18954	0.55205	0.80256	0.84967	0.90847
AKAP1	6	-0.16784	-1.2393	0.64192	0.84951	0.21523	0.37555
ALG13	11	0.11771	2.6123	0.032992	0.1911	0.0089932	0.073364
ANKFY1	6	0.15059	1.7083	0.054039	0.2578	0.087589	0.22644
ARID4B	12	0.47157	2.6003	0	0	0.0093148	0.075289
BAHCC1	6	0.046915	0.7915	0.38083	0.67151	0.42865	0.59453
BAHD1	6	-0.35412	-2.6744	0.22355	0.51541	0.0074873	0.065323
BDP1	6	-2.0875	-4.557	0	0	5.1894e-06	0.00017052
BTBD1	6	0.009211	0.38867	0.58703	0.82297	0.69752	0.79698
BTBD11	6	0.19015	1.5689	0.018771	0.12992	0.11666	0.26227
BTBD17	6	-0.19795	-1.8711	0.55262	0.80256	0.061332	0.20046
BTBD18	6	-0.076749	-1.2021	0.97952	0.99457	0.22931	0.39134
BTBD19	6	-0.06311	-1.305	0.95961	0.99265	0.19188	0.35102
BTBD2	6	0.093173	1.5371	0.18515	0.47518	0.12426	0.27002
BTBD3	6	0.1398	1.4999	0.070819	0.29643	0.13365	0.28291
BTBD6	6	0.17909	1.7838	0.023606	0.14982	0.074456	0.21283
BTBD7	12	-0.037309	-0.89995	0.66013	0.85619	0.36815	0.53488
BTBD8	12	0.13729	2.6907	0.013367	0.10217	0.0071296	0.062984
BTBD9	6	-0.18657	-2.0763	0.58874	0.82404	0.037863	0.18136
C17orf49	6	0.14396	1.8037	0.063709	0.2793	0.071272	0.20919
CBX1	6	-0.23916	-1.5531	0.44425	0.72651	0.1204	0.26609
CBX2	6	-0.25106	-1.0082	0.41411	0.69966	0.31338	0.48183
CBX3	6	-0.21814	-1.5033	0.49346	0.76161	0.13276	0.28188
CBX4	6	-0.27493	-2.0032	0.36519	0.65577	0.045158	0.188
CBX5	6	-0.044899	-1.0864	0.86604	0.94952	0.2773	0.44298
CBX6	6	-0.047896	-0.40971	0.88282	0.95684	0.68202	0.78545
CBX7	6	-0.19123	-1.1065	0.57253	0.81366	0.26851	0.43506
CBX8	6	-0.0054958	-0.0677	0.66695	0.86118	0.94602	0.97116
CCIN	6	0.078088	0.79278	0.23862	0.53202	0.42791	0.59381
CDY2A	6	0.1465	1.7187	0.059727	0.27097	0.085663	0.22373
CDYL	6	0.26039	1.9433	0.0022753	0.027027	0.051984	0.19219
CDYL2	6	-0.079867	-1.0098	0.96615	0.99386	0.31259	0.48141
CRAMP1	6	-0.4722	-2.7225	0.10609	0.36605	0.0064791	0.059325
CXXC1	12	-0.2339	-2.2344	0.33589	0.62845	0.025459	0.14579
CXXC4	6	0.053288	0.65093	0.34357	0.63646	0.51509	0.66804
CXXC5	6	0.10166	1.1843	0.16041	0.43994	0.2363	0.40002
DIDO1	6	-0.78004	-2.8767	0.015074	0.11158	0.004019	0.04295
DMAP1	6	-2.662	-5.931	0	0	3.0103e-09	2.5815e-07
DNMT1	15	-1.8391	-7.1122	0	0	1.1421e-12	2.3622e-10
DNMT3A	6	0.079795	1.4929	0.23294	0.52567	0.13546	0.28568
DNMT3B	12	-0.12644	-2.1843	0.79494	0.91579	0.028941	0.15801
DPF1	12	-0.12114	-1.2768	0.82565	0.93224	0.20166	0.36101
DPF2	12	-1.0394	-5.1337	0	0	2.8412e-07	1.3684e-05
DPF3	6	0.042971	0.70887	0.40557	0.69358	0.47841	0.63909
ELMSAN1	6	-0.093571	-1.0326	0.90643	0.97046	0.30179	0.47118
ENC1	6	0.24959	1.8369	0.0025597	0.029508	0.066225	0.2047
FBXL19	31	-0.2604	-4.2203	0.08959	0.33581	2.4398e-05	0.00064867
FMR1	6	0.2562	1.9799	0.0022753	0.027027	0.047716	0.18872
FXR1	6	0.14329	1.7497	0.064846	0.28288	0.08017	0.21792
FXR2	6	-0.016953	-0.3375	0.7318	0.89402	0.73574	0.82674
G2E3	22	0.041611	1.7056	0.089875	0.33581	0.088079	0.22691
GAN	6	0.10343	1.4308	0.15472	0.43106	0.1525	0.30499
GDAP2	6	-0.12582	-1.9398	0.77929	0.90819	0.052407	0.19257
GLYR1	6	0.055668	0.57429	0.3339	0.62845	0.56577	0.69216
GMCL1	6	-0.13679	-1.3845	0.74061	0.897	0.1662	0.32038
GON4L	6	-0.82871	-3.1619	0.012514	0.09713	0.0015677	0.021282
H2AFY	6	-0.10559	-1.0555	0.85154	0.9421	0.29118	0.45889
H2AFY2	6	0.0071198	0.11539	0.59613	0.82645	0.90814	0.94762
HDGF	6	-0.087046	-1.9006	0.9306	0.98288	0.057348	0.19652
HDGFL1	6	0.038832	0.91603	0.4252	0.7092	0.35965	0.52799
IBTK	12	-0.0050697	-0.10898	0.45705	0.7348	0.91322	0.95109
ING1	6	0.31624	1.7736	0.00085324	0.012397	0.076138	0.21451
ING2	6	0.14897	1.7641	0.056314	0.2619	0.07772	0.21616
ING3	6	-0.95608	-3.1201	0.0071104	0.066667	0.0018078	0.024168
ING4	6	0.0048785	0.073451	0.61177	0.83696	0.94145	0.96759
ING5	6	-0.56508	-2.8303	0.062287	0.27757	0.0046507	0.046864
INTS12	6	-0.13768	-1.2339	0.73834	0.89624	0.21725	0.37631
IPP	6	-0.15705	-1.1466	0.6752	0.86327	0.25154	0.416
IVNS1ABP	6	0.1204	1.4728	0.11092	0.37488	0.14082	0.29067
JADE1	12	-0.033673	-0.66189	0.63908	0.84889	0.50804	0.66357
JADE2	6	-0.18922	-1.6884	0.57878	0.81727	0.091327	0.23067
JADE3	12	0.21019	2.7997	0	0	0.0051142	0.050297
KAT5	6	-1.3401	-3.1933	0.00028441	0.0045045	0.0014066	0.019548
KAT6A	6	-0.095774	-0.91622	0.89761	0.96514	0.35955	0.52799
KAT6B	12	-0.13443	-2.2285	0.75427	0.90316	0.025847	0.14751
KAT8	6	-1.9945	-3.0222	0	0	0.0025093	0.031066
KBTBD11	6	0.11783	1.9868	0.1149	0.3785	0.046945	0.188
KBTBD12	6	0.23126	0.91813	0.0051195	0.052478	0.35855	0.52682
KBTBD13	6	-0.011869	-0.1617	0.69994	0.87611	0.87154	0.92467
