sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final
PRSS12_2628.222,PRSS12,2198,5172
SOX6_E14_107.4,SOX6,798,1640
PRSS8_1032.139,PRSS8,1453,3550
POU5F1B_E1_174.17,POU5F1B,1164,3042
CELA3A_813.87,CELA3A,2314,5663
BRD8_BD_e19_178.3,BRD8,1003,2474
PRSS41_957.126,PRSS41,2595,6221
DNPEP_1458.256,DNPEP,1078,2678
CDK20_PKc_E3_189.5,CDK20,632,1421
KLKB1_1917.7,KLKB1,1117,2815
ZNF524_E2_243.13,ZNF524,1756,4632
RPL23A_e2.1,RPL23A,5611,15640
FBXO11_2784.130,FBXO11,3152,7904
TPSG1_966.6,TPSG1,1226,3236
ZNF79_E5_834.56,ZNF79,1464,3126
CDKL5_PKc_E5_137.5,CDKL5,1196,3010
ATF6_E8_162.8,ATF6,1682,3518
BARD1_2277.15,BARD1,681,1758
ZNF880_E4_1221.59,ZNF880,2813,7150
DCLK3_PKc_E2_390.28,DCLK3,1327,3496
TET3_e10_79.1,TET3,1461,3789
MEF2A_E3_51.1,MEF2A,3014,7948
ZNF189_E3_1161.3,ZNF189,1569,4929
ZNF676_E3_1410.86,ZNF676,1963,5740
UBTFL1_E1_558.21,UBTFL1,2983,7617
RNF222_663.159,RNF222,1280,2827
ASB10_1404.42,ASB10,476,1168
VPS41_2565.110,VPS41,972,1837
TERF1_SANT_E10_144.8,TERF1,254,563
ZNF470_E6_1338.89,ZNF470,842,2172
CSDE1_E11_213.15,CSDE1,718,1939
KLHL38_BTB24131_E1_1746.268,KLHL38,423,1060
STAT4_E10_89.6,STAT4,2654,5454
TRERF1_E7_69.3,TRERF1,885,2293
MARCH3_762.21,MARCH3,600,1302
KMT2C_e59_74.2,KMT2C,1670,4047
EIF2AK4_PKc_E9_536.1,EIF2AK4,1310,2225
HOXB3_E4_177.17,HOXB3,1428,3831
MYOG_E1_177.9,MYOG,1542,3322
CDK1_e7.1,CDK1,3384,5684
ZNF625_E4_396.14,ZNF625,3363,9448
