Gene	sgRNA	Ts10|beta	Ts10|z	Ts10|p-value	Ts10|fdr	Ts10|wald-p-value	Ts10|wald-fdr
DPEP2	6	0.23008	0.63371	0.60751	0.93089	0.52627	0.78187
DPEP3	6	-0.65788	-1.4155	0.23094	0.75676	0.15692	0.66759
DPP3	6	0.013891	0.035968	0.93259	0.98867	0.97131	0.99258
DPYSL3	6	0.2214	0.60963	0.61718	0.93293	0.54211	0.79254
DPYSL4	6	0.15949	0.38986	0.70137	0.95397	0.69664	0.86489
DPYSL5	6	-0.37037	-0.89196	0.49716	0.89877	0.37241	0.68989
ECE1	6	0.47288	0.94182	0.30034	0.82809	0.34629	0.6849
ECEL1	6	0.073879	0.2016	0.83419	0.98327	0.84023	0.93518
EIF3F	4	-0.30526	-0.86001	0.66183	0.94386	0.38978	0.69709
EIF3H	6	-1.3375	-1.8848	0.017634	0.28837	0.059461	0.46126
ENPEP	6	0.66029	1.5303	0.14534	0.67104	0.12594	0.65992
ERAP1	6	-0.17022	-0.74937	0.78868	0.97504	0.45364	0.73871
FOLH1	7	0.78448	1.3015	0.065131	0.5	0.1931	0.66759
FOLH1B	8	0.91256	1.3252	0.021615	0.30279	0.1851	0.66759
IDE	6	0.10558	0.37124	0.7901	0.97577	0.71046	0.87057
INPP5E	6	-0.30039	-0.78438	0.5967	0.93089	0.43282	0.72445
KEL	6	0.5556	1.6138	0.21672	0.74537	0.10656	0.6179
LAP3	6	0.48924	1	0.28385	0.82699	0.3173	0.67215
LMLN	6	0.31259	1.1969	0.48891	0.89677	0.23135	0.66759
LNPEP	6	0.47466	0.96515	0.29892	0.82809	0.33447	0.6849
LTA4H	6	-0.082507	-0.46331	0.92065	0.98867	0.64314	0.83828
MBTPS2	12	-1.0706	-3.3062	0.0071104	0.17007	0.00094579	0.031372
MEP1A	6	0.12083	0.38139	0.76593	0.9694	0.70291	0.86766
MEP1B	6	-0.17309	-0.56747	0.78612	0.97432	0.5704	0.80575
METAP1	6	-1.835	-3.6782	0.0019909	0.074468	0.00023489	0.0099889
METAP2	6	-0.59358	-2.0694	0.28527	0.82756	0.038508	0.36079
MIPEP	6	-0.50879	-1.1235	0.34727	0.8527	0.2612	0.66759
MME	6	1.0476	1.0904	0.021331	0.30279	0.27553	0.66759
MMEL1	6	-0.79088	-1.8183	0.15046	0.67513	0.069022	0.49628
MMP1	6	-0.4704	-1.4507	0.38737	0.86367	0.14686	0.66759
MMP10	6	0.36508	0.84248	0.42122	0.87448	0.39952	0.70051
MMP11	6	-0.92331	-2.5346	0.09727	0.58362	0.011258	0.16394
MMP12	6	-0.21186	-0.5159	0.72469	0.96113	0.60592	0.82079
