DepMap_ID,Aneuploidy score,Ploidy,Genome doublings
ACH-000587,23,2.9,1
ACH-000588,26,3.51,1
ACH-000589,21,2.89,1
ACH-000590,32,2.57,1
ACH-000591,21,4.03,2
ACH-000592,20,2.93,1
ACH-000593,22,3.17,1
ACH-000594,13,1.9,0
ACH-000595,26,3.81,2
ACH-000596,22,2.9,1
ACH-000598,14,1.93,0
ACH-000599,26,4.19,2
ACH-000600,20,1.83,0
ACH-000601,17,2.84,2
ACH-000602,0,2.02,0
ACH-000603,31,3.78,2
ACH-000604,13,1.99,0
ACH-000605,27,2.7,1
ACH-000606,16,2.06,0
ACH-000607,2,2.03,0
ACH-000608,24,2.62,1
ACH-000609,6,2,0
ACH-000610,23,2.52,1
ACH-000611,6,2.11,0
ACH-000612,0,2,0
ACH-000613,9,2.26,1
ACH-000614,14,3.2,1
ACH-000615,25,4.02,2
ACH-000616,29,6.44,2
ACH-000617,27,2.99,1
ACH-000619,24,3.39,1
ACH-000620,26,4.15,2
ACH-000621,17,2.44,1
ACH-000622,21,3.2,1
ACH-000623,27,3.32,1
ACH-000624,16,2.38,1
ACH-000625,21,2.83,1
ACH-000626,10,2.04,0
ACH-000627,14,2.38,1
ACH-000628,23,3.1,1
ACH-000630,24,3.43,1
ACH-000631,8,1.9,0
ACH-000632,21,2.75,1
ACH-000633,35,7.7,2
ACH-000634,30,3.58,1
ACH-000635,27,3.12,1
ACH-000636,5,1.95,0
ACH-000637,24,2.82,1
ACH-000638,19,2.73,1
ACH-000639,14,1.92,0
ACH-000640,25,3.54,1
ACH-000641,13,1.94,0
ACH-000643,34,4.85,2
ACH-000644,22,3.22,1
ACH-000645,7,2.04,0
ACH-000646,27,3.83,1
ACH-000647,26,2.71,1
ACH-000648,22,3.94,1
ACH-000649,24,3.71,1
ACH-000650,13,1.76,0
ACH-000651,10,2.21,1
ACH-000652,21,3.8,1
ACH-000653,20,2.85,1
ACH-000654,0,2.02,0
ACH-000656,7,2.26,0
ACH-000657,2,2.01,0
ACH-000659,10,1.89,0
ACH-000660,2,1.97,0
ACH-000661,25,2.53,1
ACH-000662,9,2.27,1
ACH-000663,24,3.43,1
ACH-000664,16,3.44,1
ACH-000665,23,2.64,1
ACH-000666,17,2.4,1
ACH-000667,32,7.74,2
ACH-000668,36,4.65,2
ACH-000669,25,2.72,1
ACH-000670,19,2.97,1
ACH-000671,15,2.01,0
ACH-000672,15,2.47,1
ACH-000673,25,2.79,1
ACH-000674,14,2.44,0
ACH-000675,25,2.63,1
ACH-000677,27,3.48,1
ACH-000678,22,3.19,2
ACH-000679,26,2.69,1
ACH-000680,22,2.95,1
ACH-000681,23,2.85,1
ACH-000683,26,2.72,1
ACH-000684,6,1.94,0
ACH-000685,8,2.13,1
ACH-000686,29,3.03,1
ACH-000687,0,2,0
ACH-000688,8,1.88,0
