,Aneuploidy score,Ploidy,Genome doublings
ACH-000448,17.0,3.02,1.0
ACH-000449,2.0,1.93,0.0
ACH-000450,18.0,3.28,1.0
ACH-000451,30.0,2.68,1.0
ACH-000452,24.0,2.7,1.0
ACH-000453,11.0,1.91,0.0
ACH-000454,29.0,2.55,1.0
ACH-000456,18.0,3.2,1.0
ACH-000457,15.0,2.45,1.0
ACH-000458,14.0,1.38,0.0
ACH-000459,12.0,1.88,0.0
ACH-000460,28.0,2.9,1.0
ACH-000461,31.0,2.54,1.0
ACH-000462,1.0,1.97,0.0
ACH-000463,21.0,2.54,1.0
ACH-000464,13.0,1.87,0.0
ACH-000465,20.0,3.61,1.0
ACH-000466,15.0,2.24,1.0
ACH-000467,22.0,2.94,1.0
ACH-000468,11.0,2.25,1.0
ACH-000469,9.0,1.96,0.0
ACH-000470,21.0,3.45,1.0
ACH-000471,23.0,2.8,1.0
ACH-000472,25.0,2.65,1.0
ACH-000473,12.0,2.04,0.0
ACH-000475,17.0,2.94,1.0
ACH-000476,22.0,3.44,1.0
ACH-000477,7.0,1.95,0.0
ACH-000478,25.0,2.92,1.0
ACH-000479,6.0,1.96,0.0
ACH-000480,26.0,2.54,1.0
ACH-000481,24.0,2.91,1.0
ACH-000482,18.0,2.99,1.0
ACH-000483,20.0,3.32,1.0
ACH-000484,14.0,2.19,0.0
ACH-000485,29.0,3.72,1.0
ACH-000486,14.0,1.87,0.0
ACH-000487,8.0,1.92,0.0
ACH-000488,19.0,2.82,1.0
ACH-000489,24.0,2.76,1.0
ACH-000491,29.0,2.83,1.0
ACH-000492,0.0,1.99,0.0
ACH-000493,33.0,7.64,2.0
ACH-000495,19.0,2.44,1.0
ACH-000496,16.0,2.28,1.0
ACH-000498,6.0,2.12,0.0
ACH-000499,20.0,3.06,1.0
ACH-000500,25.0,2.95,1.0
ACH-000501,26.0,2.66,1.0
ACH-000502,34.0,3.31,1.0
ACH-000503,22.0,2.98,1.0
ACH-000505,33.0,4.63,2.0
ACH-000506,20.0,3.08,1.0
ACH-000507,23.0,2.96,1.0
ACH-000508,13.0,1.92,0.0
ACH-000509,11.0,1.88,0.0
ACH-000510,27.0,2.62,1.0
ACH-000511,20.0,2.84,1.0
ACH-000513,8.0,1.94,0.0
ACH-000514,21.0,2.86,1.0
ACH-000515,21.0,2.65,1.0
ACH-000516,35.0,7.72,2.0
ACH-000517,24.0,2.87,1.0
ACH-000518,10.0,2.13,0.0
ACH-000519,5.0,1.99,0.0
ACH-000520,27.0,2.6,1.0
ACH-000521,15.0,2.12,1.0
ACH-000522,24.0,3.61,2.0
ACH-000523,23.0,2.56,1.0
ACH-000524,30.0,2.8,1.0
ACH-000525,13.0,1.82,0.0
ACH-000526,2.0,1.99,0.0
ACH-000527,23.0,2.88,1.0
ACH-000528,32.0,2.53,1.0
ACH-000529,0.0,2.0,0.0
ACH-000530,24.0,3.0,1.0
ACH-000532,26.0,2.8,1.0
ACH-000534,3.0,2.07,0.0
ACH-000535,23.0,2.52,1.0
ACH-000536,25.0,2.62,1.0
ACH-000537,15.0,2.24,0.0
ACH-000538,0.0,1.99,0.0
ACH-000539,0.0,2.0,0.0
ACH-000540,0.0,2.0,0.0
ACH-000541,13.0,1.9,0.0
ACH-000542,5.0,2.03,0.0
ACH-000543,13.0,1.83,0.0
ACH-000544,25.0,3.22,1.0
ACH-000545,5.0,2.07,1.0
ACH-000546,28.0,3.73,2.0
ACH-000547,20.0,3.35,1.0
ACH-000548,21.0,2.85,1.0
ACH-000549,27.0,3.71,1.0
ACH-000550,18.0,1.49,0.0
