STUDY_ID	SAMPLE_ID	UBE2H
ov_tcga_pan_can_atlas_2018	TCGA-13-2057-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-2059-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-2060-01	1976.6934
ov_tcga_pan_can_atlas_2018	TCGA-13-2061-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-2065-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-2066-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-2071-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-13-A5FT-01	1680.729
ov_tcga_pan_can_atlas_2018	TCGA-13-A5FU-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-20-0987-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-20-0990-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-20-0991-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-20-0996-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-20-1682-01	1604.5781
ov_tcga_pan_can_atlas_2018	TCGA-20-1683-01	1245.0893
ov_tcga_pan_can_atlas_2018	TCGA-20-1684-01	2544.6072
ov_tcga_pan_can_atlas_2018	TCGA-20-1685-01	2548.2031
ov_tcga_pan_can_atlas_2018	TCGA-20-1686-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-20-1687-01	2222.4338
ov_tcga_pan_can_atlas_2018	TCGA-23-1021-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1022-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1023-01	2443.9769
ov_tcga_pan_can_atlas_2018	TCGA-23-1024-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1026-01	1971.4498
ov_tcga_pan_can_atlas_2018	TCGA-23-1027-01	1211.9343
ov_tcga_pan_can_atlas_2018	TCGA-23-1028-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1029-01	5029.5941
ov_tcga_pan_can_atlas_2018	TCGA-23-1030-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1031-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1032-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1109-01	1488.7996
ov_tcga_pan_can_atlas_2018	TCGA-23-1110-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1111-01	3278.5691
ov_tcga_pan_can_atlas_2018	TCGA-23-1113-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1114-01	2095.8858
ov_tcga_pan_can_atlas_2018	TCGA-23-1116-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1117-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1118-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1119-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1120-01	3396.5234
ov_tcga_pan_can_atlas_2018	TCGA-23-1121-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1122-01	2765.9683
ov_tcga_pan_can_atlas_2018	TCGA-23-1123-01	2474.3008
ov_tcga_pan_can_atlas_2018	TCGA-23-1124-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-1809-01	1993.3074
ov_tcga_pan_can_atlas_2018	TCGA-23-2072-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2077-01	1082.2912
ov_tcga_pan_can_atlas_2018	TCGA-23-2078-01	4051.8764
ov_tcga_pan_can_atlas_2018	TCGA-23-2079-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2081-01	3653.5066
ov_tcga_pan_can_atlas_2018	TCGA-23-2084-01	4184.6239
ov_tcga_pan_can_atlas_2018	TCGA-23-2641-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2643-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2645-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2647-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-23-2649-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-0966-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-0968-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-0970-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-0975-01	2759.341
ov_tcga_pan_can_atlas_2018	TCGA-24-0979-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-0980-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-0982-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1103-01	3185.9226
ov_tcga_pan_can_atlas_2018	TCGA-24-1104-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1105-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1413-01	4030.0098
ov_tcga_pan_can_atlas_2018	TCGA-24-1416-01	2691.1829
ov_tcga_pan_can_atlas_2018	TCGA-24-1417-01	5102.2402
ov_tcga_pan_can_atlas_2018	TCGA-24-1418-01	2172.8924
ov_tcga_pan_can_atlas_2018	TCGA-24-1419-01	1847.5418
ov_tcga_pan_can_atlas_2018	TCGA-24-1422-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1423-01	2878.2875
ov_tcga_pan_can_atlas_2018	TCGA-24-1424-01	3654.7264
ov_tcga_pan_can_atlas_2018	TCGA-24-1425-01	1353.0752
ov_tcga_pan_can_atlas_2018	TCGA-24-1426-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1427-01	2232.8118
ov_tcga_pan_can_atlas_2018	TCGA-24-1428-01	3271.7506
ov_tcga_pan_can_atlas_2018	TCGA-24-1430-01	2113.0914
ov_tcga_pan_can_atlas_2018	TCGA-24-1431-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1434-01	2366.2147
ov_tcga_pan_can_atlas_2018	TCGA-24-1435-01	2673.8316
ov_tcga_pan_can_atlas_2018	TCGA-24-1436-01	3118.9481
ov_tcga_pan_can_atlas_2018	TCGA-24-1463-01	3088.6334
ov_tcga_pan_can_atlas_2018	TCGA-24-1464-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1466-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1467-01	4502.4459
ov_tcga_pan_can_atlas_2018	TCGA-24-1469-01	2106.191
ov_tcga_pan_can_atlas_2018	TCGA-24-1470-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1471-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1474-01	2307.579
ov_tcga_pan_can_atlas_2018	TCGA-24-1544-01	2033.3628
ov_tcga_pan_can_atlas_2018	TCGA-24-1545-01	2654.0224
ov_tcga_pan_can_atlas_2018	TCGA-24-1546-01	2786.6606
ov_tcga_pan_can_atlas_2018	TCGA-24-1548-01	8638.3009
ov_tcga_pan_can_atlas_2018	TCGA-24-1549-01	4647.9019
ov_tcga_pan_can_atlas_2018	TCGA-24-1550-01	2500.6008
ov_tcga_pan_can_atlas_2018	TCGA-24-1551-01	2023.0212
ov_tcga_pan_can_atlas_2018	TCGA-24-1552-01	3419.4187
ov_tcga_pan_can_atlas_2018	TCGA-24-1553-01	2713.7961
ov_tcga_pan_can_atlas_2018	TCGA-24-1555-01	2116.8785
ov_tcga_pan_can_atlas_2018	TCGA-24-1556-01	1663.9785
ov_tcga_pan_can_atlas_2018	TCGA-24-1557-01	3420.9026
ov_tcga_pan_can_atlas_2018	TCGA-24-1558-01	4093.525
ov_tcga_pan_can_atlas_2018	TCGA-24-1560-01	4521.3994
ov_tcga_pan_can_atlas_2018	TCGA-24-1562-01	2697.1457
ov_tcga_pan_can_atlas_2018	TCGA-24-1563-01	2046.0713
ov_tcga_pan_can_atlas_2018	TCGA-24-1564-01	2315.9178
ov_tcga_pan_can_atlas_2018	TCGA-24-1565-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1567-01	1535.3094
ov_tcga_pan_can_atlas_2018	TCGA-24-1603-01	2952.7725
ov_tcga_pan_can_atlas_2018	TCGA-24-1604-01	2863.3486
ov_tcga_pan_can_atlas_2018	TCGA-24-1614-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1616-01	4978.2776
ov_tcga_pan_can_atlas_2018	TCGA-24-1842-01	2445.7794
ov_tcga_pan_can_atlas_2018	TCGA-24-1843-01	3135.8897
ov_tcga_pan_can_atlas_2018	TCGA-24-1844-01	4331.236
ov_tcga_pan_can_atlas_2018	TCGA-24-1845-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1846-01	2721.8072
ov_tcga_pan_can_atlas_2018	TCGA-24-1847-01	2557.6708
ov_tcga_pan_can_atlas_2018	TCGA-24-1849-01	2142.423
ov_tcga_pan_can_atlas_2018	TCGA-24-1850-01	2945.872
ov_tcga_pan_can_atlas_2018	TCGA-24-1852-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1920-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1923-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1924-01	2241.6695
ov_tcga_pan_can_atlas_2018	TCGA-24-1927-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1928-01	2550.4699
ov_tcga_pan_can_atlas_2018	TCGA-24-1930-01	2922.7309
ov_tcga_pan_can_atlas_2018	TCGA-24-2019-01	3450.5254
ov_tcga_pan_can_atlas_2018	TCGA-24-2020-01	812.8962
ov_tcga_pan_can_atlas_2018	TCGA-24-2023-01	2323.8378
ov_tcga_pan_can_atlas_2018	TCGA-24-2024-01	2218.3736
ov_tcga_pan_can_atlas_2018	TCGA-24-2026-01	3116.4992
ov_tcga_pan_can_atlas_2018	TCGA-24-2027-01	2631.9099
ov_tcga_pan_can_atlas_2018	TCGA-24-2029-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2030-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2033-01	1693.9291
ov_tcga_pan_can_atlas_2018	TCGA-24-2035-01	3561.2242
ov_tcga_pan_can_atlas_2018	TCGA-24-2038-01	1283.0237
ov_tcga_pan_can_atlas_2018	TCGA-24-2254-01	3864.8811
ov_tcga_pan_can_atlas_2018	TCGA-24-2260-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2261-01	2534.4932
ov_tcga_pan_can_atlas_2018	TCGA-24-2262-01	4676.7054
ov_tcga_pan_can_atlas_2018	TCGA-24-2267-01	3787.7197
ov_tcga_pan_can_atlas_2018	TCGA-24-2271-01	2929.4766
ov_tcga_pan_can_atlas_2018	TCGA-24-2280-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2281-01	1775.8972
ov_tcga_pan_can_atlas_2018	TCGA-24-2288-01	2125.8455
ov_tcga_pan_can_atlas_2018	TCGA-24-2289-01	5162.906
ov_tcga_pan_can_atlas_2018	TCGA-24-2290-01	3660.0793
ov_tcga_pan_can_atlas_2018	TCGA-24-2293-01	2902.43
ov_tcga_pan_can_atlas_2018	TCGA-24-2295-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2297-01	2782.1726
ov_tcga_pan_can_atlas_2018	TCGA-24-2298-01	3438.4633
ov_tcga_pan_can_atlas_2018	TCGA-25-1312-01	4243.0321
ov_tcga_pan_can_atlas_2018	TCGA-25-1313-01	2870.1945
ov_tcga_pan_can_atlas_2018	TCGA-25-1314-01	2251.7198
ov_tcga_pan_can_atlas_2018	TCGA-25-1315-01	3542.0431
ov_tcga_pan_can_atlas_2018	TCGA-25-1316-01	2021.0549
ov_tcga_pan_can_atlas_2018	TCGA-25-1317-01	2233.5583
ov_tcga_pan_can_atlas_2018	TCGA-25-1318-01	4119.8888
ov_tcga_pan_can_atlas_2018	TCGA-25-1319-01	3440.457
ov_tcga_pan_can_atlas_2018	TCGA-25-1320-01	2978.8723
ov_tcga_pan_can_atlas_2018	TCGA-25-1321-01	3855.2132
ov_tcga_pan_can_atlas_2018	TCGA-25-1322-01	5103.7149
ov_tcga_pan_can_atlas_2018	TCGA-25-1323-01	2991.7628
ov_tcga_pan_can_atlas_2018	TCGA-25-1324-01	2395.3551
ov_tcga_pan_can_atlas_2018	TCGA-25-1326-01	4489.5007
ov_tcga_pan_can_atlas_2018	TCGA-25-1328-01	1710.1334
ov_tcga_pan_can_atlas_2018	TCGA-25-1329-01	1985.0505
ov_tcga_pan_can_atlas_2018	TCGA-25-1623-01	2936.0038
ov_tcga_pan_can_atlas_2018	TCGA-25-1625-01	2059.3625
ov_tcga_pan_can_atlas_2018	TCGA-25-1626-01	2928.0837
ov_tcga_pan_can_atlas_2018	TCGA-25-1627-01	3911.3637
ov_tcga_pan_can_atlas_2018	TCGA-25-1628-01	3463.1338
ov_tcga_pan_can_atlas_2018	TCGA-25-1630-01	1375.5518
ov_tcga_pan_can_atlas_2018	TCGA-25-1631-01	2091.2066
ov_tcga_pan_can_atlas_2018	TCGA-25-1632-01	1669.3405
ov_tcga_pan_can_atlas_2018	TCGA-25-1633-01	1800.6405
ov_tcga_pan_can_atlas_2018	TCGA-25-1634-01	1966.5885
ov_tcga_pan_can_atlas_2018	TCGA-25-1635-01	1613.2082
ov_tcga_pan_can_atlas_2018	TCGA-25-1870-01	3511.4189
ov_tcga_pan_can_atlas_2018	TCGA-25-1871-01	2638.0548
ov_tcga_pan_can_atlas_2018	TCGA-25-1877-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-1878-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2042-01	2406.17
ov_tcga_pan_can_atlas_2018	TCGA-25-2391-01	2416.7119
ov_tcga_pan_can_atlas_2018	TCGA-25-2392-01	2650.3446
ov_tcga_pan_can_atlas_2018	TCGA-25-2393-01	1855.7623
ov_tcga_pan_can_atlas_2018	TCGA-25-2396-01	3729.1568
ov_tcga_pan_can_atlas_2018	TCGA-25-2397-01	1748.1406
ov_tcga_pan_can_atlas_2018	TCGA-25-2398-01	2994.2845
ov_tcga_pan_can_atlas_2018	TCGA-25-2399-01	2967.857
ov_tcga_pan_can_atlas_2018	TCGA-25-2400-01	4670.8609
ov_tcga_pan_can_atlas_2018	TCGA-25-2401-01	2790.129
ov_tcga_pan_can_atlas_2018	TCGA-25-2404-01	2573.5837
ov_tcga_pan_can_atlas_2018	TCGA-25-2408-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-25-2409-01	3300.9183
ov_tcga_pan_can_atlas_2018	TCGA-29-1688-01	2259.9767
ov_tcga_pan_can_atlas_2018	TCGA-29-1690-01	1159.7621
