MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1098746	Ankzf1	ankyrin repeat and zinc finger domain containing 1	1		tRNA 3'-terminal CCA addition			ISO	Q9H8Y5 	J:164563 	
MGI:103298	Apobec1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	6		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1343178	Apobec2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 2	17		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1918531	Apobec4	apolipoprotein B mRNA editing enzyme catalytic polypeptide-like 4	1		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1276102	Aqr	aquarius	2		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1276102	Aqr	aquarius	2		mRNA splicing, via spliceosome			IEA	IPR026300 	J:72247 	
MGI:1276102	Aqr	aquarius	2		mRNA splicing, via spliceosome			IEA	ENSP00000156471 O60306 	J:342605 	
MGI:1276102	Aqr	aquarius	2		mRNA splicing, via spliceosome			ISO	O60306 	J:164563 	
MGI:1276102	Aqr	aquarius	2		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1915925	Arb2a	ARB2 cotranscriptional regulator A	13		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1915925	Arb2a	ARB2 cotranscriptional regulator A	13		regulation of alternative mRNA splicing, via spliceosome			IDA		J:260599 	
MGI:1915925	Arb2a	ARB2 cotranscriptional regulator A	13		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:2442985	Arglu1	arginine and glutamate rich 1	8		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:2442985	Arglu1	arginine and glutamate rich 1	8		regulation of alternative mRNA splicing, via spliceosome			IEA	ENSP00000383059 Q9NWB6 	J:342605 	
MGI:2442985	Arglu1	arginine and glutamate rich 1	8		regulation of alternative mRNA splicing, via spliceosome			IMP		J:273438 	
MGI:2442985	Arglu1	arginine and glutamate rich 1	8		regulation of alternative mRNA splicing, via spliceosome			ISO	Q9NWB6 	J:164563 	
MGI:2442985	Arglu1	arginine and glutamate rich 1	8		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1929500	Arl6ip4	ADP-ribosylation factor-like 6 interacting protein 4	5		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1929500	Arl6ip4	ADP-ribosylation factor-like 6 interacting protein 4	5		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:2679719	Armc7	armadillo repeat containing 7	11		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:2679719	Armc7	armadillo repeat containing 7	11		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:109620	Arvcf	armadillo repeat gene deleted in velocardiofacial syndrome	16		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:109620	Arvcf	armadillo repeat gene deleted in velocardiofacial syndrome	16		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:109620	Arvcf	armadillo repeat gene deleted in velocardiofacial syndrome	16		RNA splicing			IEA	ENSP00000263207 O00192 	J:342605 	
MGI:109620	Arvcf	armadillo repeat gene deleted in velocardiofacial syndrome	16		RNA splicing			ISO	O00192 	J:164563 	
MGI:109620	Arvcf	armadillo repeat gene deleted in velocardiofacial syndrome	16		RNA splicing			ISS	O00192 	J:342587 	
MGI:2179277	Atxn7	ataxin 7	14		regulation of RNA splicing			NAS		J:320036 	
MGI:3036270	Atxn7l3	ataxin 7-like 3	11		regulation of RNA splicing			NAS		J:320036 	
MGI:2441705	B3gntl1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1	11		tRNA modification			IEA	ENSP00000319979 Q67FW5 	J:342605 	
MGI:2441705	B3gntl1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1	11		tRNA modification			IEA	ENSRNOP00000081528 Q6GV29 	J:342605 	
MGI:2441705	B3gntl1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1	11		tRNA modification			ISO	RGD:1359497 	J:155856 	
MGI:2441705	B3gntl1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1	11		tRNA modification			ISO	Q67FW5 	J:164563 	
MGI:2441705	B3gntl1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1	11		tRNA modification			ISS	Q67FW5 	J:342587 	
MGI:2385132	BC005624	cDNA sequence BC005624	2		mRNA cis splicing, via spliceosome			IEA	ENSP00000361524 Q9NZ63 	J:342605 	
MGI:2385132	BC005624	cDNA sequence BC005624	2		mRNA cis splicing, via spliceosome			ISO	Q9NZ63 	J:164563 	
MGI:2385132	BC005624	cDNA sequence BC005624	2		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:2385132	BC005624	cDNA sequence BC005624	2		mRNA splicing, via spliceosome			IBA	PTN000337000 Q9NZ63 SPAC1D4.01 	J:161428 	
MGI:2385132	BC005624	cDNA sequence BC005624	2		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1915433	Bcas2	BCAS2 pre-mRNA processing factor	3		alternative mRNA splicing, via spliceosome			IMP		J:324155 	
MGI:1915433	Bcas2	BCAS2 pre-mRNA processing factor	3		mRNA processing			IEA	IPR008409 	J:72247 	
MGI:1915433	Bcas2	BCAS2 pre-mRNA processing factor	3		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1915433	Bcas2	BCAS2 pre-mRNA processing factor	3		mRNA splicing, via spliceosome			IEA	ENSP00000358554 O75934 	J:342605 	
MGI:1915433	Bcas2	BCAS2 pre-mRNA processing factor	3		mRNA splicing, via spliceosome			ISO	O75934 	J:164563 	
MGI:1915433	Bcas2	BCAS2 pre-mRNA processing factor	3		mRNA splicing, via spliceosome			ISS	O75934 	J:342587 	
MGI:1915433	Bcas2	BCAS2 pre-mRNA processing factor	3		mRNA splicing, via spliceosome			ISS	Q9UMS4 	J:342587 	
